ranking_name,days,horizon,n_obs,avg_return_pct,avg_excess_pct,win_rate_pct,median_excess_pct,benchmark,state
big_holder_increase,5,5,100,-6.73,-4.3,35.0,-6.19,TAIEX,ready
big_holder_increase,20,5,100,-6.48,-3.85,33.8,-6.19,TAIEX,ready
chip_score,5,5,100,-1.42,1.04,65.0,2.48,TAIEX,ready
chip_score,20,5,100,-1.87,0.19,61.3,1.24,TAIEX,ready
foreign_5d_revenue_growth,5,5,100,-3.39,-1.5,43.8,-0.34,TAIEX,ready
foreign_buy,5,5,100,-0.68,1.79,62.5,2.55,TAIEX,ready
foreign_buy,20,5,100,-1.37,1.42,62.5,1.83,TAIEX,ready
foreign_trust_same_buy,5,5,100,0.18,3.2,71.2,3.81,TAIEX,ready
foreign_trust_same_buy,20,5,100,-1.25,1.82,58.8,1.13,TAIEX,ready
high_52w_inst_buy,5,5,99,-5.89,-3.67,36.2,-4.87,TAIEX,accumulating
high_52w_inst_buy,20,5,100,-4.97,-2.78,36.2,-5.03,TAIEX,ready
inst_buy,5,5,100,-0.68,1.63,65.0,3.11,TAIEX,ready
inst_buy,20,5,100,-0.6,2.2,68.8,2.76,TAIEX,ready
inst_buy_volume,5,5,99,-0.24,2.37,72.2,1.75,TAIEX,accumulating
inst_buy_volume,20,5,96,0.76,3.33,78.2,2.67,TAIEX,accumulating
margin_down_foreign_buy,5,5,100,-1.07,1.74,63.7,1.96,TAIEX,ready
margin_down_foreign_buy,20,5,100,-2.08,0.4,53.8,0.77,TAIEX,ready
momentum_inst_buy,5,5,100,-3.45,-1.14,43.8,-3.03,TAIEX,ready
momentum_inst_buy,20,5,100,-3.23,-0.46,42.5,-0.94,TAIEX,ready
multifactor_score,5,5,100,-3.31,-1.35,47.5,-0.2,TAIEX,ready
multifactor_score,20,5,100,-4.1,-1.25,55.0,0.56,TAIEX,ready
near_avg_with_inst_buy,5,5,100,-1.61,0.44,57.5,1.56,TAIEX,ready
near_avg_with_inst_buy,20,5,99,-3.07,-0.74,53.2,0.58,TAIEX,accumulating
revenue_volume_breakout,5,5,100,-5.04,-2.2,46.2,-0.99,TAIEX,ready
revenue_volume_breakout,20,5,99,-2.99,-0.92,41.8,-2.25,TAIEX,accumulating
selection_score,5,5,100,-2.52,-0.24,52.5,0.55,TAIEX,ready
selection_score,20,5,100,-2.91,-0.65,52.5,0.55,TAIEX,ready
total_score,5,5,100,-2.52,-0.24,52.5,0.55,TAIEX,ready
total_score,20,5,100,-2.91,-0.65,52.5,0.55,TAIEX,ready
trust_buy,5,5,100,-2.5,0.89,51.2,0.61,TAIEX,ready
trust_buy,20,5,100,0.67,3.83,71.2,4.78,TAIEX,ready
value_dividend,5,5,100,-1.5,0.96,65.0,1.3,TAIEX,ready
value_dividend,20,5,100,-1.25,1.35,70.0,1.75,TAIEX,ready
volume_expansion,5,5,97,-3.67,-0.83,53.2,0.51,TAIEX,accumulating
volume_expansion,20,5,99,-4.91,-4.19,39.2,-1.87,TAIEX,accumulating
