as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,buy,1,富邦證券,9600,6754.0,1666.0,5088.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,sell,1,台灣摩根士丹利,1470,4492.0,12623.0,8131.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,buy,2,群益金鼎,9100,3709.0,988.0,2721.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,sell,2,摩根大通,8440,4163.0,9750.0,5587.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,buy,3,元大證券,9800,10233.0,7741.0,2492.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,sell,3,中國信託,6160,464.0,2186.0,1722.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,buy,4,凱基,9200,2126.0,273.0,1853.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,sell,4,美商高盛,1480,7658.0,9246.0,1588.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,buy,5,永豐金證券,9A00,2807.0,1436.0,1371.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,sell,5,花旗環球,1590,1353.0,2772.0,1419.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2376,技嘉,buy,6,華南永昌-中正,9359,1274.0,113.0,1161.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2376&e=2026-6-16&f=2026-7-15
