as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-04-17,2026-03-19,2026-04-17,20,1240,茂生農經,sell,1,兆豐,,63.0,-63.0,59.12,histock,https://histock.tw/stock/branch.aspx?no=1240&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1240,茂生農經,buy,1,康和-板橋,36.0,,35.0,59.35,histock,https://histock.tw/stock/branch.aspx?no=1240&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1240,茂生農經,sell,2,國票-彰化,,20.0,-20.0,59.11,histock,https://histock.tw/stock/branch.aspx?no=1240&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1240,茂生農經,buy,2,兆豐-寶成,20.0,1.0,19.0,59.11,histock,https://histock.tw/stock/branch.aspx?no=1240&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1240,茂生農經,sell,3,元大,4.0,21.0,-17.0,59.19,histock,https://histock.tw/stock/branch.aspx?no=1240&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1240,茂生農經,buy,3,元大-北屯,17.0,,17.0,59.59,histock,https://histock.tw/stock/branch.aspx?no=1240&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1259,安心,sell,1,第一金-頭份,,13.0,-13.0,58.83,histock,https://histock.tw/stock/branch.aspx?no=1259&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1259,安心,buy,1,第一金-中山,44.0,,44.0,59.95,histock,https://histock.tw/stock/branch.aspx?no=1259&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1259,安心,sell,2,元大,1.0,12.0,-11.0,60.02,histock,https://histock.tw/stock/branch.aspx?no=1259&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1259,安心,buy,2,群益金鼎-東門,5.0,,5.0,58.72,histock,https://histock.tw/stock/branch.aspx?no=1259&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1259,安心,sell,3,永豐金-北高雄,,5.0,-5.0,59.94,histock,https://histock.tw/stock/branch.aspx?no=1259&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1259,安心,buy,3,兆豐-南門,2.0,,2.0,59.9,histock,https://histock.tw/stock/branch.aspx?no=1259&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1264,德麥,sell,1,元大-西屯,,87.0,-87.0,277.94,histock,https://histock.tw/stock/branch.aspx?no=1264&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1264,德麥,buy,1,國泰-桃園,21.0,4.0,16.0,278.58,histock,https://histock.tw/stock/branch.aspx?no=1264&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1264,德麥,sell,2,美好,,51.0,-51.0,277.02,histock,https://histock.tw/stock/branch.aspx?no=1264&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1264,德麥,buy,2,富邦-豐原,16.0,,16.0,275.41,histock,https://histock.tw/stock/branch.aspx?no=1264&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1264,德麥,sell,3,富邦-新竹,37.0,78.0,-40.0,277.81,histock,https://histock.tw/stock/branch.aspx?no=1264&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1264,德麥,buy,3,元大-古亭,14.0,,14.0,276.79,histock,https://histock.tw/stock/branch.aspx?no=1264&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1268,漢來美食,sell,1,元大-新竹經國,,18.0,-18.0,156.58,histock,https://histock.tw/stock/branch.aspx?no=1268&from=20260319&to=20260417
2026-04-17,2026-03-19,2026-04-17,20,1268,漢來美食,buy,1,統一-仁愛,49.0,,49.0,157.22,histock,https://histock.tw/stock/branch.aspx?no=1268&from=20260319&to=20260417
