as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,1,摩根大通,8440,421.0,987.0,-566.0,19.97,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,1,台新-敦南,9B2Q,1411.0,15.0,1396.0,20.4,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,2,富邦-斗六,962G,173.0,533.0,-360.0,20.52,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,2,元大-台南,9896,336.0,17.0,319.0,20.34,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,3,美商高盛,1480,895.0,1231.0,-335.0,20.16,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,3,新加坡商瑞銀,1650,501.0,225.0,276.0,20.15,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,4,美林,1440,520.0,752.0,-232.0,20.19,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,4,第一金-新竹,538B,280.0,17.0,263.0,20.24,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,5,凱基-內埔,9225,3.0,212.0,-209.0,19.49,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,5,台灣摩根士丹利,1470,693.0,436.0,257.0,20.06,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,6,元大-善化,981y,44.0,250.0,-206.0,19.65,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,6,富邦-內湖,9627,193.0,28.0,164.0,19.8,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,7,元大-南屯,9853,7.0,161.0,-153.0,20.33,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,7,永豐金-桃園,9A9x,148.0,13.0,134.0,20.19,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,8,凱基-豐中,9223,,150.0,-150.0,20.46,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,8,凱基-台南,9211,140.0,22.0,118.0,19.74,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,9,玉山-高雄,8843,15.0,163.0,-148.0,21.14,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,9,凱基-市政,9239,126.0,8.0,118.0,20.75,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,sell,10,元大-大雅,983i,13.0,153.0,-140.0,20.61,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1789,神隆,buy,10,元大-忠孝,9871,132.0,18.0,113.0,19.64,histock,https://histock.tw/stock/branch.aspx?no=1789&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,1,元大,9800,2445.0,5691.0,-3245.0,221.4,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,1,群益金鼎-海山,9108,743.0,35.0,708.0,217.21,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,2,美商高盛,1480,1783.0,3601.0,-1818.0,220.12,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,2,富邦-永和,9654,667.0,168.0,499.0,218.11,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,3,港商野村,1560,564.0,2017.0,-1453.0,217.26,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,3,國泰-敦南,8888,1095.0,796.0,299.0,218.18,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
