date,stock_id,name,close,volume,turnover,avg_price,foreign_net,trust_net
2026-04-09,2376,技嘉,251.0,11984800,3008506424,251.0268,2205107,793655
2026-04-09,2382,廣達,313.0,46807353,14388612997,307.4007,14888939,419627
2026-04-09,2324,仁寶,27.3,28992671,789219848,27.2214,-11039727,-896411
2026-04-09,6196,帆宣,318.5,6170745,1942239983,314.7497,1308284,-12000
2026-04-13,2376,技嘉,264.0,9009291,2379553084,264.1221,462049,372822
2026-04-13,2382,廣達,319.0,16849027,5354556461,317.7962,-239269,249690
2026-04-13,2324,仁寶,29.0,27744660,794207579,28.6256,4503478,-1212216
2026-04-13,6196,帆宣,320.5,2971473,956771282,321.9855,586614,-11000
2026-04-14,2376,技嘉,263.5,10232265,2744382994,268.2087,262360,7548
2026-04-14,2382,廣達,323.0,20523896,6665477410,324.7667,2849283,-709567
2026-04-14,2324,仁寶,29.5,35883203,1059322402,29.5214,13706297,-5036568
2026-04-14,6196,帆宣,331.0,2754889,912965058,331.3981,645090,-1000
2026-04-15,2376,技嘉,279.0,25948743,7223920383,278.3919,10583988,105575
2026-04-15,2382,廣達,308.5,34222733,10741061897,313.8575,-8943400,-1351398
2026-04-15,2324,仁寶,29.45,33328745,979016419,29.3745,1865222,-6509451
2026-04-15,6196,帆宣,353.0,4787408,1663560559,347.4867,233790,-3783
2026-04-16,2376,技嘉,281.0,15475639,4339012620,280.377,2026844,249301
2026-04-16,2382,廣達,318.5,19430054,6135581416,315.7779,7636916,-748382
2026-04-16,2324,仁寶,29.4,66959632,2005761558,29.9548,-6925700,-11474804
2026-04-16,6196,帆宣,340.0,5493480,1840575839,335.0473,-622837,-5000
