latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-29,5227,立凱-KY,TPEX,電子零組件業,,20,37.45,,0.0,5.85,9.18,59.71,85.78,-12.09,28.03,0.407,6.51,252,34.23,28.25,8.96,-41.82,-19.81,88.19,23.3,35.11,8.5,0.0,2026-07-24,18.35,7.17,5.48,26.57,57.56,-12.62,6.0,2026Q1,-70.7,-192.11,-194.39,-1,-0.74,,76.3,10.57,-1.43,,-166.84,0.0,0.0,0.0,0.0,近四季 EPS 未轉正或缺財報,-6.2,58.93,36.6972,2.05,22190.0,1720.0,1109.5,2513.0,1.55,2.26,27.6,放量,3233.42,0.0,3233.42,14.57,0.0,0,1,0,0,-113.0,0.0,,,,,,,0,,,,0.0,35.66,-13,0,0.06,30.32,未取得,0.0,30.32,0.0,0.0,0.0,0.0,0.0,-5.4,30.32,2026-06,84.23,-86.98,-79.6,,,,營收 2026-06，月增 84.23%，年增 -86.98%，累計年增 -79.6%,外資買超；融資下降；放量；波動偏高；千張大戶增持；營收 2026-06，月增 84.23%，年增 -86.98%，累計年增 -79.6%,30.32
2026-07-29,3605,宏致,TWSE,電子零組件業,,20,82.5,23.84,2.04,1.7,-3.62,40.67,77.59,-14.51,13.79,10.12,-5.17,252,29.72,43.48,4.44,-26.59,-14.51,51.38,1.46,17.23,7.5,0.0,2026-07-24,50.54,6.22,9.45,55.9,36.11,-4.62,6.0,2026Q1,24.59,5.23,3.82,-1,3.65,22.6,92.5,17.67,0.67,-51.1,0.67,-1.0,-1.0,0.0,0.0,毛利率連 1 季降、月營收年增 30%、PE 23.8（一年 92% 分位）、距 52 週高點 -15%,0.3,36.69,88.5788,-6.86,228494.5,9015.62,11424.72,7833.93,0.79,0.69,-7.56,正常,14192.97,0.0,14192.97,6.21,0.0,2,0,0,0,216.32,0.0,,,,,,,0,,,,0.0,24.39,1201,37,-0.42,31.84,未取得,0.0,31.84,0.0,0.0,0.0,0.0,0.0,7.87,31.84,2026-06,0.84,29.81,15.05,,,,營收 2026-06，月增 0.84%，年增 29.81%，累計年增 15.05%,外資買超；融資增加；波動偏高；千張大戶增持；營收 2026-06，月增 0.84%，年增 29.81%，累計年增 15.05%,31.84
2026-07-29,3231,緯創,TWSE,電腦及週邊設備業,AI伺服器/組裝,20,169.5,17.0,3.24,2.83,6.27,67.69,59.23,-7.88,21.94,107.575,7.76,252,24.18,37.8,-1.1,-32.27,-15.67,55.5,9.62,21.58,6.29,3.0,2026-07-24,60.75,3.79,1.92,64.63,30.21,-3.24,6.0,2026Q1,5.21,3.44,1.14,-2,10.25,16.54,44.0,17.22,3.06,65.4,-0.93,13.0,10.0,3.0,0.0,單季 EPS 年增 65%、毛利率連 2 季降、月營收年增 54%、PE 17.0（一年 44% 分位）、距 52 週高點 -16%,-0.9,113.5,164.5618,3.0,1307406.34,155521.28,65370.32,149147.76,2.38,2.28,30.0,強放量,121662.01,28733.21,150395.21,9.31,2.2,8,0,5,0,4022.65,1253.88,台灣摩根士丹利,42010.0,,163.66,1,台灣摩根士丹利,0,台新,13028.0,,14.16,55.81,1457,677,-0.06,76.35,已取得,55.11,131.46,17.25,3.86,6.0,14.0,14.0,20.6,76.35,2026-06,10.9,53.85,94.01,11.5,3.21,,外資與投信同買；前大買超分點約占成交 3.21%；收盤距區間均價 3.0%；連買：外8 / 投5；營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,外資買超；投信買超；融資增加；強放量；毛利率連2降；千張大戶增持；營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,76.35
2026-07-29,6525,捷敏-KY,TWSE,半導體業,,20,120.5,19.85,4.15,3.55,-20.46,13.82,113.43,-45.48,3.43,9.022,-10.5,252,50.44,77.47,25.16,7.4,-45.48,81.2,-13.55,27.76,8.06,1.5,2026-07-24,60.5,3.41,3.41,69.19,22.67,0.47,5.5,2026Q1,26.14,19.12,15.38,1,6.08,19.82,84.5,14.4,1.62,14.1,1.81,16.0,10.0,6.0,0.0,單季 EPS 年增 14%、毛利率連 1 季升、月營收年增 20%、PE 19.9（一年 84% 分位）、距 52 週高點 -45%,4.2,36.51,180.1816,-33.12,100145.86,2708.22,5007.29,2272.05,0.54,0.45,-12.0,量縮,4790.54,156.13,4946.68,4.78,0.16,5,0,0,0,641.87,0.0,,,,,,,0,,,,0.0,26.91,-450,18,0.45,33.75,未取得,0.0,33.75,0.0,0.0,0.0,0.0,0.0,6.39,33.75,2026-06,2.61,19.84,15.64,,,,營收 2026-06，月增 2.61%，年增 19.84%，累計年增 15.64%,外資買超；投信買超；融資下降；波動偏高；千張大戶增持；營收 2026-06，月增 2.61%，年增 19.84%，累計年增 15.64%,33.75
2026-07-29,3581,博磊,TPEX,半導體業,,20,93.2,69.55,0.64,5.25,-34.6,24.37,69.97,-38.48,2.53,0.537,-10.5,252,25.95,181.57,0.67,111.5,-68.88,188.99,-46.05,0.42,2.68,-2.0,2026-07-24,48.53,3.19,3.18,59.94,31.55,-0.27,6.0,2026Q1,35.65,6.19,3.91,1,1.35,69.04,0.0,99.04,0.31,,-1.58,0.0,0.0,0.0,0.0,日均量 434 張偏低（門檻 500）,2.7,72.94,123.5392,-24.56,8690.0,757.0,434.5,360.6,1.74,0.83,9.19,放量,1192.03,0.0,1192.03,13.72,0.0,4,0,0,0,272.95,0.0,台灣摩根士丹利,477.0,,114.01,12,台灣摩根士丹利,0,元大-員林中山,167.0,,13.63,41.97,-642,-33,7.27,69.46,已取得,37.96,107.42,20.58,6.59,0.0,4.8,6.0,20.22,69.46,2026-06,77.93,95.44,28.87,13.72,5.49,,外資主導買超；前大買超分點約占成交 5.49%；收盤距區間均價 -24.56%；連買：外4 / 投0；營收 2026-06，月增 77.93%，年增 95.44%，累計年增 28.87%,外資買超；融資下降；放量；波動偏高；主力分點連12買；千張大戶增持；營收 2026-06，月增 77.93%，年增 95.44%，累計年增 28.87%,69.46
2026-07-29,6414,樺漢,TWSE,電腦及週邊設備業,,20,436.5,20.28,3.16,2.42,17.81,57.08,69.85,-16.38,19.43,15.134,7.0,252,50.0,42.65,24.73,-27.42,-16.38,70.51,14.41,38.5,11.97,1.5,2026-07-24,51.95,2.72,0.96,67.44,20.76,-1.56,6.0,2026Q1,20.11,5.37,2.03,-2,22.39,19.5,97.2,13.67,5.15,-14.5,0.96,0.5,-2.5,3.0,0.0,毛利率連 2 季降、月營收年增 57%、PE 20.3（一年 97% 分位）、距 52 週高點 -16%,-0.9,87.17,443.7836,-1.64,68205.99,4964.55,3410.3,6566.66,1.46,1.93,23.28,放量,9936.28,-30.0,9906.28,14.57,-0.04,0,1,0,0,-190.75,0.0,台灣摩根士丹利,4374.0,,447.67,0,台灣摩根士丹利,0,永豐金證券,1118.0,,16.88,35.51,971,599,-1.14,49.96,已取得,41.48,91.44,21.79,7.7,6.0,0.0,6.0,15.59,49.96,2026-06,13.36,56.97,23.33,14.52,6.41,,外資主導買超；前大買超分點約占成交 6.41%；收盤距區間均價 -1.64%；營收 2026-06，月增 13.36%，年增 56.97%，累計年增 23.33%,外資買超；融資增加；放量；波動偏高；毛利率連2降；千張大戶增持；營收 2026-06，月增 13.36%，年增 56.97%，累計年增 23.33%,49.96
2026-07-29,3653,健策,TWSE,電子零組件業,散熱,20,3310.0,91.56,0.66,22.93,-2.65,53.06,70.78,-13.35,10.7,42.17,-4.59,252,18.43,129.86,-6.85,59.79,-41.78,161.66,-7.52,10.31,1.02,-3.5,2026-07-24,62.06,2.47,1.8,70.52,16.52,-0.67,6.0,2026Q1,41.78,31.98,26.36,2,36.69,90.22,63.9,83.24,9.53,-0.6,-3.08,1.0,-1.0,2.0,0.0,毛利率連 2 季升、月營收年增 58%、PE 91.6（一年 64% 分位）、距 52 週高點 -42%,6.9,43.66,3379.3415,-2.05,24957.79,2191.3,1247.89,1746.15,1.76,1.4,18.46,放量,-1140.03,1229.61,89.58,-4.57,4.93,0,6,10,0,-514.08,399.02,,,,,,,0,,,,0.0,11.97,-62,1,0.25,28.6,未取得,0.0,28.6,0.0,0.0,0.0,0.0,0.0,16.38,28.6,2026-06,14.54,57.64,26.64,,,,營收 2026-06，月增 14.54%，年增 57.64%，累計年增 26.64%,投信買超；融資下降；放量；波動偏高；毛利率連2升；千張大戶增持；營收 2026-06，月增 14.54%，年增 57.64%，累計年增 26.64%,28.6
2026-07-29,3624,光頡,TPEX,電子零組件業,,20,62.3,30.1,1.77,2.05,-59.68,8.8,86.91,-61.78,0.0,3.565,-10.5,252,0.48,63.09,-24.79,-6.98,-65.0,100.97,-42.78,-2.1,-9.93,0.0,2026-07-24,54.75,2.21,-1.46,59.26,35.05,-0.92,3.0,2026Q1,28.56,13.25,12.08,2,2.07,30.1,44.4,30.81,0.75,38.9,3.48,19.0,17.0,2.0,0.0,單季 EPS 年增 39%、毛利率連 2 季升、月營收年增 29%、PE 30.1（一年 44% 分位）、距 52 週高點 -65%,5.4,8.93,113.2211,-44.97,62980.0,1001.0,3149.0,894.0,0.32,0.28,-12.0,量縮,3760.23,-1020.0,2740.23,5.97,-1.62,3,0,0,4,412.28,-280.0,,,,,,,0,,,,0.0,10.37,-4132,-98,6.51,26.96,未取得,0.0,26.96,0.0,0.0,0.0,0.0,0.0,10.08,26.96,2026-06,10.92,28.72,22.52,,,,營收 2026-06，月增 10.92%，年增 28.72%，累計年增 22.52%,外資買超；融資下降；年線之下；波動偏高；毛利率連2升；千張大戶增持；營收 2026-06，月增 10.92%，年增 28.72%，累計年增 22.52%,26.96
2026-07-29,3675,德微,TPEX,半導體業,,20,202.5,71.81,1.98,4.2,-48.41,3.34,99.21,-55.88,4.11,2.959,-10.5,252,38.23,60.71,12.95,-9.36,-55.88,70.89,-37.55,1.91,5.38,-2.0,2026-07-24,57.36,2.2,2.2,59.99,31.96,0.13,5.5,2026Q1,38.26,14.94,11.7,2,2.83,71.55,63.9,42.51,1.51,11.9,2.31,17.0,15.0,2.0,0.0,單季 EPS 年增 12%、毛利率連 2 季升、月營收年增 30%、PE 71.8（一年 64% 分位）、距 52 週高點 -56%,5.4,27.03,333.9338,-39.36,17725.0,335.0,886.25,286.0,0.38,0.32,-12.0,量縮,796.55,-521.0,275.55,4.49,-2.94,5,0,0,0,135.28,0.0,,,,,,,0,,,,0.0,15.88,-835,-35,4.65,29.25,未取得,0.0,29.25,0.0,0.0,0.0,0.0,0.0,8.72,29.25,2026-06,4.83,29.99,17.11,,,,營收 2026-06，月增 4.83%，年增 29.99%，累計年增 17.11%,外資買超；融資下降；波動偏高；毛利率連2升；千張大戶增持；營收 2026-06，月增 4.83%，年增 29.99%，累計年增 17.11%,29.25
2026-07-29,3324,雙鴻,TPEX,其他電子業,散熱,20,855.0,24.68,1.39,5.93,-15.35,40.64,57.25,-17.79,4.78,19.91,-9.0,252,-8.06,26.85,-33.34,-43.22,-34.48,34.01,-15.59,-10.04,-11.41,0.0,2026-07-24,29.21,2.08,0.56,44.08,46.27,-0.31,6.0,2026Q1,29.66,17.77,13.61,1,35.21,24.28,0.0,39.1,12.61,122.8,5.01,29.0,17.5,11.5,0.0,單季 EPS 年增 123%、毛利率連 1 季升、月營收年增 62%、PE 24.7（一年 0% 分位）、距 52 週高點 -34%,4.2,24.44,926.9082,-7.76,42961.0,3138.0,2148.05,2826.0,1.46,1.32,13.58,放量,71.14,20.36,91.5,0.17,0.05,1,0,1,0,563.1,2.25,,,,,,,0,,,,0.0,8.12,-408,201,0.95,27.86,未取得,0.0,27.86,0.0,0.0,0.0,0.0,0.0,18.79,27.86,2026-06,-13.41,62.13,77.31,,,,營收 2026-06，月增 -13.41%，年增 62.13%，累計年增 77.31%,外資買超；投信買超；融資下降；放量；年線之下；千張大戶增持；營收 2026-06，月增 -13.41%，年增 62.13%，累計年增 77.31%,27.86
