latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-15,8097,常珵,TPEX,20,53.7,52.2215,2.83,1778.0,211.0,88.9,86.2,2.37,0.97,19.0,強放量,132.35,0.0,132.35,7.44,0.0,6,0,0,0,99.0,0.0,福邦,435.0,52.22,統一-三重,-45.0,53.39,32.73,36.84,-160,-3,7.95,35.66,已取得,61.17,96.83,11.17,24.0,14.0,6.0,6.0,-9.13,35.66,2026-04,8.89,-34.23,-34.73,7.44,24.47,2.83,外資主導買超；前大買超分點約占成交 24.47%；收盤距區間均價 2.83%；收盤距分點均價 2.83%；連買：外6 / 投0；營收 2026-04，月增 8.89%，年增 -34.23%，累計年增 -34.73%,外資買超；融資下降；強放量；營收 2026-04，月增 8.89%，年增 -34.23%，累計年增 -34.73%,35.66
2026-05-15,1527,鑽全,TWSE,20,32.05,32.5364,-1.49,5010.11,426.7,250.51,339.97,1.7,1.36,17.15,放量,34.7,0.0,34.7,0.69,0.0,0,1,0,0,-192.0,0.0,合庫-台南,1485.0,32.44,凱基-台北,-176.0,32.51,32.24,5.94,-35,1,0.7,2.9,已取得,45.04,47.94,1.04,24.0,14.0,0.0,6.0,-3.74,2.9,2026-04,-2.84,-2.66,-18.23,0.69,29.64,-1.2,外資主導買超；前大買超分點約占成交 29.64%；收盤距區間均價 -1.49%；收盤距分點均價 -1.2%；營收 2026-04，月增 -2.84%，年增 -2.66%，累計年增 -18.23%,外資買超；融資下降；放量；營收 2026-04，月增 -2.84%，年增 -2.66%，累計年增 -18.23%,2.9
2026-05-15,2023,燁輝,TWSE,20,13.9,13.9417,-0.3,50042.19,4829.77,2502.11,3514.16,1.93,1.4,17.64,放量,-6515.64,-6.0,-6521.64,-13.02,-0.01,0,1,0,0,-2482.01,0.0,兆豐-北高雄,17320.0,13.92,凱基-台北,-1860.0,13.93,32.14,-32.46,-198,-2,0.39,-35.39,已取得,0.0,-35.39,0.0,0.0,0.0,0.0,0.0,-3.32,-35.39,2026-04,-3.04,-6.91,-10.72,,,,營收 2026-04，月增 -3.04%，年增 -6.91%，累計年增 -10.72%,融資下降；放量；營收 2026-04，月增 -3.04%，年增 -6.91%，累計年增 -10.72%,-35.39
2026-05-15,8917,欣泰,TPEX,20,53.2,52.9798,0.42,415.0,4.0,20.75,12.2,0.19,0.59,-12.0,量縮,-8.0,0.0,-8.0,-1.93,0.0,1,0,0,0,4.0,0.0,永豐金-三重,147.0,53.17,第一金-員林,-17.0,53.38,31.95,-3.4,-26,0,6.27,1.69,已取得,0.0,1.69,0.0,0.0,0.0,0.0,0.0,-1.18,1.69,2026-04,-5.3,-0.79,-2.5,,,,營收 2026-04，月增 -5.3%，年增 -0.79%，累計年增 -2.5%,融資下降；營收 2026-04，月增 -5.3%，年增 -0.79%，累計年增 -2.5%,1.69
2026-05-15,9950,萬國通,TPEX,20,11.6,11.5101,0.78,3615.0,334.0,180.75,104.8,1.85,0.58,3.45,放量,-24.0,0.0,-24.0,-0.66,0.0,0,4,0,0,-1.0,0.0,永豐金-台南,744.0,11.62,凱基-台北,-260.0,11.71,30.4,-9.86,0,0,0.0,-13.6,已取得,0.0,-13.6,0.0,0.0,0.0,0.0,0.0,-3.74,-13.6,2026-04,-26.31,-2.74,-1.56,,,,營收 2026-04，月增 -26.31%，年增 -2.74%，累計年增 -1.56%,放量；營收 2026-04，月增 -26.31%，年增 -2.74%，累計年增 -1.56%,-13.6
2026-05-15,8354,冠好,TPEX,20,17.3,17.5486,-1.42,10559.0,157.0,527.95,231.6,0.3,0.44,-12.0,量縮,-32.46,0.0,-32.46,-0.31,0.0,0,2,0,0,-4.0,0.0,華南永昌-彰化,2792.0,17.44,永豐金-敦南,-763.0,17.13,30.39,-4.86,-399,0,3.78,1.97,已取得,0.0,1.97,0.0,0.0,0.0,0.0,0.0,3.05,1.97,2026-04,-11.44,16.48,9.12,,,,營收 2026-04，月增 -11.44%，年增 16.48%，累計年增 9.12%,融資下降；營收 2026-04，月增 -11.44%，年增 16.48%，累計年增 9.12%,1.97
2026-05-15,8908,欣雄,TPEX,20,40.25,39.5946,1.66,3367.0,182.0,168.35,278.2,1.08,1.65,11.41,放量,-213.67,0.0,-213.67,-6.35,0.0,2,0,0,0,24.0,0.0,凱基-高美館,608.0,40.09,摩根大通,-107.0,39.7,30.08,-13.77,-138,0,4.1,-11.41,已取得,0.0,-11.41,0.0,0.0,0.0,0.0,0.0,-1.74,-11.41,2026-04,-5.29,-1.22,-5.53,,,,營收 2026-04，月增 -5.29%，年增 -1.22%，累計年增 -5.53%,融資下降；放量；營收 2026-04，月增 -5.29%，年增 -1.22%，累計年增 -5.53%,-11.41
2026-05-15,1259,安心,TPEX,20,59.0,58.3362,1.14,243.0,20.0,12.15,16.4,1.65,1.35,13.35,放量,-5.0,0.0,-5.0,-2.06,0.0,0,0,0,0,0.0,0.0,第一金-中山,86.0,58.85,第一金-頭份,-22.0,57.82,29.47,-5.76,-8,0,3.29,-2.29,已取得,0.0,-2.29,0.0,0.0,0.0,0.0,0.0,0.18,-2.29,2026-04,-5.66,1.96,3.19,,,,營收 2026-04，月增 -5.66%，年增 1.96%，累計年增 3.19%,融資下降；放量；營收 2026-04，月增 -5.66%，年增 1.96%，累計年增 3.19%,-2.29
2026-05-15,3118,進階,TPEX,20,33.55,33.6395,-0.27,515.0,8.0,25.75,19.6,0.31,0.76,-11.82,量縮,-2.0,0.0,-2.0,-0.39,0.0,1,0,0,0,1.0,0.0,亞東,93.0,33.61,華南永昌-大安,-23.0,33.7,29.44,0.91,3,0,-0.47,-3.63,已取得,0.0,-3.63,0.0,0.0,0.0,0.0,0.0,-4.07,-3.63,2026-04,-17.2,-3.6,-8.51,,,,營收 2026-04，月增 -17.2%，年增 -3.6%，累計年增 -8.51%,融資增加；營收 2026-04，月增 -17.2%，年增 -3.6%，累計年增 -8.51%,-3.63
2026-05-15,8401,白紗科,TPEX,20,23.95,24.2921,-1.41,1450.0,66.0,72.5,84.2,0.91,1.16,1.51,正常,29.0,0.0,29.0,2.0,0.0,2,0,0,0,11.0,0.0,元大-太平,277.0,24.26,新光-桃園,-103.0,24.26,29.37,15.6,23,0,-1.27,16.21,已取得,48.32,64.53,3.0,22.92,14.0,2.4,6.0,1.88,16.21,2026-04,-2.18,7.0,5.52,2.0,19.1,-1.28,外資主導買超；前大買超分點約占成交 19.1%；收盤距區間均價 -1.41%；收盤距分點均價 -1.28%；連買：外2 / 投0；營收 2026-04，月增 -2.18%，年增 7.0%，累計年增 5.52%,外資買超；融資增加；營收 2026-04，月增 -2.18%，年增 7.0%，累計年增 5.52%,16.21
2026-05-15,2947,振宇五金,TPEX,20,78.5,78.1789,0.41,270.0,3.0,13.5,18.6,0.22,1.38,-1.96,放量,8.0,0.0,8.0,2.96,0.0,0,0,0,0,0.0,0.0,元大-楊梅,73.0,78.34,元大-豐原,-29.0,78.73,28.63,14.3,,,0.0,16.52,已取得,48.44,64.96,4.44,24.0,14.0,0.0,6.0,2.22,16.52,2026-04,-1.71,7.69,6.5,2.96,27.04,0.2,外資主導買超；前大買超分點約占成交 27.04%；收盤距區間均價 0.41%；收盤距分點均價 0.2%；營收 2026-04，月增 -1.71%，年增 7.69%，累計年增 6.5%,外資買超；放量；營收 2026-04，月增 -1.71%，年增 7.69%，累計年增 6.5%,16.52
2026-05-15,1423,利華,TWSE,20,41.1,41.115,-0.04,1393.93,52.34,69.7,89.86,0.75,1.29,1.64,正常,60.2,0.0,60.2,4.32,0.0,0,1,0,0,-1.0,0.0,台灣企銀-建成,533.0,41.05,統一-桃園,-150.0,40.97,28.62,16.09,-50,0,3.59,11.6,已取得,50.48,62.08,6.48,24.0,14.0,0.0,6.0,-8.08,11.6,2026-04,-47.9,-33.97,2.02,4.32,38.24,0.12,外資主導買超；前大買超分點約占成交 38.24%；收盤距區間均價 -0.04%；收盤距分點均價 0.12%；營收 2026-04，月增 -47.9%，年增 -33.97%，累計年增 2.02%,外資買超；融資下降；營收 2026-04，月增 -47.9%，年增 -33.97%，累計年增 2.02%,11.6
2026-05-15,8916,光隆,TPEX,20,46.6,47.2751,-1.43,2419.0,61.0,120.95,119.8,0.5,0.99,-6.1,正常,-150.0,0.0,-150.0,-6.2,0.0,0,10,0,0,-31.0,0.0,國泰,824.0,47.56,國票-和平,-261.0,46.9,28.61,-27.36,-5,0,0.21,-34.26,已取得,0.0,-34.26,0.0,0.0,0.0,0.0,0.0,-7.11,-34.26,2026-04,4.2,-26.52,-17.73,,,,營收 2026-04，月增 4.2%，年增 -26.52%，累計年增 -17.73%,融資下降；營收 2026-04，月增 4.2%，年增 -26.52%，累計年增 -17.73%,-34.26
2026-05-15,1213,大飲,TWSE,20,8.9,8.7787,1.38,533.41,9.15,26.67,19.85,0.34,0.74,-11.98,量縮,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,元大-崇德,119.0,8.6,元大-三民,-60.0,8.53,28.38,0.0,0,0,0.0,3.21,已取得,0.0,3.21,0.0,0.0,0.0,0.0,0.0,3.21,3.21,2026-04,8.92,0.97,12.25,,,,營收 2026-04，月增 8.92%，年增 0.97%，累計年增 12.25%,營收 2026-04，月增 8.92%，年增 0.97%，累計年增 12.25%,3.21
2026-05-15,2065,世豐,TPEX,20,33.5,31.2269,7.28,3170.0,198.0,158.5,343.2,1.25,2.17,23.99,放量,9.1,0.0,9.1,0.29,0.0,2,0,0,0,8.0,0.0,永豐金-高雄,907.0,32.91,華南永昌-基隆,-503.0,30.61,28.07,4.8,-490,-3,7.97,13.33,已取得,40.83,54.16,0.43,24.0,8.0,2.4,6.0,0.56,13.33,2026-04,0.02,5.19,-2.36,0.29,28.61,1.79,外資主導買超；前大買超分點約占成交 28.61%；收盤距區間均價 7.28%；收盤距分點均價 1.79%；連買：外2 / 投0；營收 2026-04，月增 0.02%，年增 5.19%，累計年增 -2.36%,外資買超；融資下降；放量；營收 2026-04，月增 0.02%，年增 5.19%，累計年增 -2.36%,13.33
2026-05-15,1516,川飛,TWSE,20,21.9,21.1159,3.71,1678.52,110.58,83.93,107.47,1.32,1.28,8.3,正常,-65.5,0.0,-65.5,-3.9,0.0,1,0,0,0,13.0,0.0,元大-敦化,1067.0,21.27,元大-松江,-230.0,21.74,27.15,-8.93,0,0,0.0,-2.83,已取得,0.0,-2.83,0.0,0.0,0.0,0.0,0.0,6.1,-2.83,2026-04,-21.35,,54.11,,,,營收 2026-04，月增 -21.35%，累計年增 54.11%,營收 2026-04，月增 -21.35%，累計年增 54.11%,-2.83
