latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,3533,嘉澤,TWSE,1,2325.0,32.67,1.51,6.22,2288.0939,1.61,1201.68,1201.68,1201.68,1201.68,1.0,1.0,0.0,正常,177.82,157.0,334.82,14.8,13.07,1,0,1,0,177.82,157.0,,,,,,,0.0,67.5,-10,1,0.88,73.7,未取得,0.0,73.7,0.0,0.0,0.0,0.0,0.0,5.32,73.7,2026-04,-4.29,15.21,19.38,,,,營收 2026-04，月增 -4.29%，年增 15.21%，累計年增 19.38%,外資買超；投信買超；融資下降；營收 2026-04，月增 -4.29%，年增 15.21%，累計年增 19.38%,73.7
2026-05-18,3023,信邦,TWSE,1,294.0,23.02,3.4,4.03,287.3282,2.32,1851.34,1851.34,1851.34,1851.34,1.0,1.0,0.0,正常,213.8,152.0,365.8,11.55,8.21,1,0,1,0,213.8,152.0,,,,,,,0.0,63.03,10,3,-0.33,66.34,未取得,0.0,66.34,0.0,0.0,0.0,0.0,0.0,3.64,66.34,2026-04,1.85,14.97,4.51,,,,營收 2026-04，月增 1.85%，年增 14.97%，累計年增 4.51%,外資買超；投信買超；融資增加；營收 2026-04，月增 1.85%，年增 14.97%，累計年增 4.51%,66.34
2026-05-18,5347,世界,TPEX,1,159.0,38.31,2.83,4.34,159.1195,-0.08,16457.0,16457.0,16457.0,16457.0,1.0,1.0,0.0,正常,150630.79,1179.0,151809.79,915.3,7.16,1,0,1,0,150630.79,1179.0,,,,,,,0.0,60.41,550,2928,-2.67,58.2,未取得,0.0,58.2,0.0,0.0,0.0,0.0,0.0,0.46,58.2,2026-04,-18.5,9.58,5.98,,,,營收 2026-04，月增 -18.5%，年增 9.58%，累計年增 5.98%,外資買超；投信買超；融資增加；營收 2026-04，月增 -18.5%，年增 9.58%，累計年增 5.98%,58.2
2026-05-18,8996,高力,TWSE,1,1045.0,74.54,0.44,20.93,1015.6685,2.89,2982.42,2982.42,2982.42,2982.42,1.0,1.0,0.0,正常,319.85,68.0,387.85,10.72,2.28,1,0,1,0,319.85,68.0,,,,,,,0.0,46.6,-113,-32,3.47,67.47,未取得,0.0,67.47,0.0,0.0,0.0,0.0,0.0,17.4,67.47,2026-04,-25.48,86.03,186.88,,,,營收 2026-04，月增 -25.48%，年增 86.03%，累計年增 186.88%,外資買超；投信買超；融資下降；營收 2026-04，月增 -25.48%，年增 86.03%，累計年增 186.88%,67.47
2026-05-18,6187,萬潤,TPEX,1,1135.0,75.22,1.04,16.09,1112.5261,2.02,1243.0,1243.0,1243.0,1243.0,1.0,1.0,0.0,正常,243.89,16.0,259.89,19.62,1.29,1,0,1,0,243.89,16.0,,,,,,,0.0,45.72,-16,11,1.82,56.92,未取得,0.0,56.92,0.0,0.0,0.0,0.0,0.0,9.38,56.92,2026-04,15.5,26.14,17.61,,,,營收 2026-04，月增 15.5%，年增 26.14%，累計年增 17.61%,外資買超；投信買超；融資下降；營收 2026-04，月增 15.5%，年增 26.14%，累計年增 17.61%,56.92
2026-05-18,6640,均華,TPEX,1,1305.0,81.06,1.15,11.39,1309.3285,-0.33,417.0,417.0,417.0,417.0,1.0,1.0,0.0,正常,107.01,5.0,112.01,25.66,1.2,1,0,1,0,107.01,5.0,,,,,,,0.0,45.5,-62,1,8.0,75.26,未取得,0.0,75.26,0.0,0.0,0.0,0.0,0.0,21.76,75.26,2026-04,11.36,142.34,104.96,,,,營收 2026-04，月增 11.36%，年增 142.34%，累計年增 104.96%,外資買超；投信買超；融資下降；營收 2026-04，月增 11.36%，年增 142.34%，累計年增 104.96%,75.26
2026-05-18,1582,信錦,TWSE,1,106.5,38.73,2.82,2.04,105.0422,1.39,16357.37,16357.37,16357.37,16357.37,1.0,1.0,0.0,正常,1836.81,240.0,2076.8,11.23,1.47,1,0,1,0,1836.81,240.0,,,,,,,0.0,44.33,1164,17,-5.63,38.25,未取得,0.0,38.25,0.0,0.0,0.0,0.0,0.0,-0.45,38.25,2026-04,3.99,-1.13,-4.51,,,,營收 2026-04，月增 3.99%，年增 -1.13%，累計年增 -4.51%,外資買超；投信買超；融資增加；營收 2026-04，月增 3.99%，年增 -1.13%，累計年增 -4.51%,38.25
2026-05-18,2368,金像電,TWSE,1,1250.0,56.43,0.8,18.33,1242.617,0.59,7982.65,7982.65,7982.65,7982.65,1.0,1.0,0.0,正常,1914.65,29.0,1943.65,23.99,0.36,1,0,1,0,1914.65,29.0,,,,,,,0.0,43.41,-100,-375,-0.16,63.21,未取得,0.0,63.21,0.0,0.0,0.0,0.0,0.0,19.96,63.21,2026-04,-1.29,58.41,60.84,,,,營收 2026-04，月增 -1.29%，年增 58.41%，累計年增 60.84%,外資買超；投信買超；融資下降；營收 2026-04，月增 -1.29%，年增 58.41%，累計年增 60.84%,63.21
2026-05-18,2637,慧洋-KY,TWSE,1,72.8,10.24,4.81,1.08,72.1077,0.96,2100.19,2100.19,2100.19,2100.19,1.0,1.0,0.0,正常,507.0,5.46,512.46,24.14,0.26,1,0,1,0,507.0,5.46,,,,,,,0.0,43.15,-263,412,10,60.1,未取得,0.0,60.1,0.0,0.0,0.0,0.0,0.0,6.95,60.1,2026-04,-4.53,21.23,22.98,,,,營收 2026-04，月增 -4.53%，年增 21.23%，累計年增 22.98%,外資買超；投信買超；融資下降；營收 2026-04，月增 -4.53%，年增 21.23%，累計年增 22.98%,60.1
2026-05-18,3526,凡甲,TPEX,1,366.0,20.9,4.6,6.71,364.9086,0.3,821.0,821.0,821.0,821.0,1.0,1.0,0.0,正常,197.95,1.66,199.61,24.11,0.2,1,0,1,0,197.95,1.66,,,,,,,0.0,43.0,-45,-38,4.09,58.7,未取得,0.0,58.7,0.0,0.0,0.0,0.0,0.0,11.61,58.7,2026-04,3.77,40.32,24.4,,,,營收 2026-04，月增 3.77%，年增 40.32%，累計年增 24.4%,外資買超；投信買超；融資下降；營收 2026-04，月增 3.77%，年增 40.32%，累計年增 24.4%,58.7
