latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-01,2883,凱基金,TWSE,金融保險業,金控,20,34.95,12.22,2.86,1.38,10.6,74.83,29.81,-0.43,16.31,14.259,15.36,252,75.63,128.43,32.37,33.63,-0.43,138.57,15.45,63.9,19.88,3.5,2026-08-28,65.01,0.35,0.79,68.83,23.1,-0.23,4.8,2026Q1,,,49.61,0,1.91,18.3,3.2,13.42,-8.9,0.69,32.7,,12.5,1.0,11.5,0.0,0,0,單季 EPS 年增 33%、月營收年減 167%、PE 12.2（一年 3% 分位）、距 52 週高點 -0%,4.5,123.79,31.8497,9.73,895401.3,63652.32,44770.06,57929.72,1.42,1.29,12.76,正常,110733.23,105910.36,216643.58,12.37,11.83,6,0,2,0,18961.77,919.76,凱基,70298.0,,31.22,0,凱基,0,台灣摩根士丹利,13574.0,,8.66,68.0,-1571,-269,0.17,69.37,已取得,55.12,124.49,22.5,9.42,0.0,9.2,14.0,1.2,69.37,2026-07,-36.51,-167.35,385.65,24.2,7.85,11.95,外資與投信同買；前大買超分點約占成交 7.85%；收盤距區間均價 9.73%；收盤距分點均價 11.95%；連買：外6 / 投2；營收 2026-07，月增 -36.51%，年增 -167.35%，累計年增 385.65%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；千張大戶增持；營收 2026-07，月增 -36.51%，年增 -167.35%，累計年增 385.65%,69.37
2026-09-01,2542,興富發,TWSE,建材營造業,,20,47.9,11.09,8.35,2.05,8.74,67.61,21.46,-2.24,9.36,3.767,9.24,252,33.06,13.24,-10.2,-81.57,-2.24,42.14,7.1,18.29,12.08,6.0,2026-08-28,62.83,0.28,2.21,66.27,26.61,-0.19,4.24,2026Q2,31.85,25.33,16.11,1,4.31,11.11,3.6,14.43,-23.1,1.3,441.7,18.11,22.5,15.5,12.0,-5.0,1,1,⚠ 循環高峰疑慮（獲利在多年高點、年增來自低基期，低 PE 可能反映市場預期獲利反轉）：單季 EPS 年增 442%、毛利率連 1 季升、月營收年增 197%、PE 11.1（一年 4% 分位）、距 52 週高點 -2%,4.2,116.78,46.7768,2.4,161056.56,8094.79,8052.83,5577.04,1.01,0.69,-4.86,正常,29916.2,13823.35,43739.55,18.57,8.58,0,2,3,0,-1480.74,3108.0,美商高盛,10949.0,,47.22,20,美商高盛,0,統一-永和,2830.0,,21.28,62.96,-1527,-196,0.91,83.45,已取得,63.46,146.91,22.5,8.16,14.0,4.8,14.0,19.58,83.45,2026-07,-6.82,196.59,404.28,27.16,6.8,1.44,外資與投信同買；前大買超分點約占成交 6.8%；收盤距區間均價 2.4%；收盤距分點均價 1.44%；連買：外0 / 投3；營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,外資買超；投信買超；融資下降；主力分點連20買；營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,83.45
2026-09-01,1402,遠東新,TWSE,紡織纖維,,20,29.4,15.23,4.25,0.68,10.11,62.25,32.09,-4.08,10.53,5.327,10.07,252,2.8,7.69,-40.46,-87.11,-7.11,26.18,5.38,6.76,0.68,5.0,2026-08-28,87.21,0.16,0.43,89.19,7.89,-0.1,3.07,2026Q2,19.82,7.54,3.94,-1,2.04,14.41,4.4,17.74,-14.1,0.54,170.0,1.5,23.5,13.0,10.5,0.0,0,0,單季 EPS 年增 170%、毛利率連 1 季降、月營收年增 21%、PE 15.2（一年 4% 分位）、距 52 週高點 -7%,0.3,82.19,28.186,4.31,377998.9,16143.44,18899.95,13986.36,0.85,0.74,-5.91,正常,89519.12,34382.46,123901.58,23.68,9.1,2,0,1,0,3520.29,3641.1,台灣摩根士丹利,29863.0,,28.3,20,台灣摩根士丹利,0,港商麥格理,10823.0,,22.05,61.24,1595,43,-0.33,66.03,已取得,63.98,130.01,22.5,9.48,14.0,4.0,14.0,5.12,66.03,2026-07,1.94,20.58,7.41,32.78,7.9,3.89,外資與投信同買；前大買超分點約占成交 7.9%；收盤距區間均價 4.31%；收盤距分點均價 3.89%；連買：外2 / 投1；營收 2026-07，月增 1.94%，年增 20.58%，累計年增 7.41%,外資買超；投信買超；融資增加；主力分點連20買；營收 2026-07，月增 1.94%，年增 20.58%，累計年增 7.41%,66.03
2026-09-01,2892,第一金,TWSE,金融保險業,金控,20,35.9,16.78,3.62,1.71,0.0,79.57,31.82,-1.1,10.63,14.62,1.0,252,23.79,24.01,-19.47,-70.8,-2.71,31.99,7.22,19.47,10.04,3.0,2026-08-28,67.79,-0.07,-0.14,71.7,20.09,0.04,-0.98,2026Q1,,,42.72,0,1.93,18.6,83.7,15.93,5.3,0.57,11.8,,6.0,5.0,1.0,0.0,0,1,單季 EPS 年增 12%、月營收年增 3%、PE 16.8（一年 84% 分位）、距 52 週高點 -3%,4.5,80.08,34.1427,5.15,856405.66,37065.47,42820.28,52155.36,0.87,1.22,1.88,正常,153361.21,47412.75,200773.96,17.91,5.54,10,0,1,0,15290.64,945.26,摩根大通,57336.0,,34.12,20,摩根大通,0,台新,46346.0,,9.33,58.34,-458,46,0.06,61.58,已取得,52.13,113.71,22.5,8.03,0.0,7.6,14.0,3.18,61.58,2026-07,7.39,3.04,10.93,23.44,6.69,5.22,外資與投信同買；前大買超分點約占成交 6.69%；收盤距區間均價 5.15%；收盤距分點均價 5.22%；連買：外10 / 投1；營收 2026-07，月增 7.39%，年增 3.04%，累計年增 10.93%,外資買超；投信買超；融資下降；接近區間高點；RSI過熱；主力分點連20買；營收 2026-07，月增 7.39%，年增 3.04%，累計年增 10.93%,61.58
2026-09-01,2886,兆豐金,TWSE,金融保險業,金控,20,48.5,18.87,3.61,1.79,-5.27,49.03,35.19,-6.55,7.9,16.46,-3.16,252,24.2,18.0,-19.06,-76.8,-9.68,28.14,2.83,15.49,4.13,1.5,2026-08-28,81.66,-0.1,-0.37,83.17,13.86,0.04,-1.91,2026Q1,,,45.25,0,2.45,19.8,73.8,17.93,5.2,0.63,16.7,,6.0,5.0,1.0,0.0,0,1,單季 EPS 年增 17%、月營收年增 2%、PE 18.9（一年 74% 分位）、距 52 週高點 -10%,4.5,64.33,47.7127,1.65,689946.21,30744.77,34497.31,34634.81,0.89,1.0,-1.24,正常,142608.13,51193.49,193801.62,20.67,7.42,14,0,0,4,16176.95,-1567.58,台灣摩根士丹利,36367.0,,47.92,3,台灣摩根士丹利,0,富邦證券,45487.0,,15.43,56.55,878,-42,-0.1,59.89,已取得,62.83,122.72,22.5,6.33,14.0,6.0,14.0,3.44,59.89,2026-07,6.77,1.77,14.42,28.09,5.27,1.21,外資與投信同買；前大買超分點約占成交 5.27%；收盤距區間均價 1.65%；收盤距分點均價 1.21%；連買：外14 / 投0；營收 2026-07，月增 6.77%，年增 1.77%，累計年增 14.42%,外資買超；投信買超；融資增加；主力分點連3買；營收 2026-07，月增 6.77%，年增 1.77%，累計年增 14.42%,59.89
2026-09-01,2618,長榮航,TWSE,航運業,航空,20,42.4,8.93,4.72,1.64,-3.2,51.45,33.73,-4.93,8.16,12.257,-1.92,252,30.06,7.21,-13.2,-87.6,-7.12,31.88,1.23,12.78,5.42,4.5,2026-08-28,79.13,0.51,1.59,82.27,13.86,-0.38,6.0,2026Q2,14.13,8.44,5.68,-1,4.74,8.95,97.6,7.3,22.3,0.71,-42.7,-10.39,-0.5,-5.5,5.0,0.0,0,0,毛利率連 1 季降、月營收年增 21%、PE 8.9（一年 98% 分位）、距 52 週高點 -7%,0.3,75.81,42.141,0.61,581703.09,21244.16,29085.15,23231.6,0.73,0.8,-6.46,正常,77090.86,4695.01,81785.87,13.25,0.81,2,0,6,0,2327.19,3757.01,元大證券,49996.0,,42.43,20,元大證券,0,富邦證券,11597.0,,23.32,55.77,-16702,275,2.9,64.74,已取得,69.8,134.54,21.09,10.31,14.0,10.4,14.0,6.07,64.74,2026-07,-4.34,21.42,17.08,14.06,8.59,-0.07,外資與投信同買；前大買超分點約占成交 8.59%；收盤距區間均價 0.61%；收盤距分點均價 -0.07%；連買：外2 / 投6；營收 2026-07，月增 -4.34%，年增 21.42%，累計年增 17.08%,外資買超；投信買超；融資下降；主力分點連20買；千張大戶增持；營收 2026-07，月增 -4.34%，年增 21.42%，累計年增 17.08%,64.74
2026-09-01,9910,豐泰,TWSE,運動休閒,,20,68.3,13.88,6.0,2.85,1.34,36.36,23.13,-6.69,2.09,0.853,0.8,252,-23.09,-39.02,-66.34,-133.82,-49.78,2.86,-4.03,-27.34,-12.0,4.5,2026-08-28,86.9,-0.18,0.05,88.91,8.44,0.14,-1.29,2026Q2,19.43,5.92,4.98,1,4.92,13.88,3.2,17.7,-21.6,1.03,41.1,-5.53,22.5,5.5,17.0,0.0,0,0,單季 EPS 年增 41%、毛利率連 1 季升、月營收年增 1%、PE 13.9（一年 3% 分位）、距 52 週高點 -50%,2.7,48.67,69.2935,-1.43,24616.03,719.24,1230.8,1122.72,0.58,0.91,-6.39,正常,4116.02,1053.62,5169.64,16.72,4.28,1,0,2,0,186.43,120.0,港商麥格理,1228.0,,69.48,0,港商麥格理,0,國票-敦北法人,689.0,,14.59,55.7,-192,5,0.78,57.16,已取得,60.89,118.05,22.5,5.99,14.0,4.4,14.0,0.68,57.16,2026-07,8.12,1.0,-2.96,21.0,4.99,-1.7,外資與投信同買；前大買超分點約占成交 4.99%；收盤距區間均價 -1.43%；收盤距分點均價 -1.7%；連買：外1 / 投2；營收 2026-07，月增 8.12%，年增 1.0%，累計年增 -2.96%,外資買超；投信買超；融資下降；年線之下；營收 2026-07，月增 8.12%，年增 1.0%，累計年增 -2.96%,57.16
2026-09-01,3045,台灣大,TWSE,通信網路業,,20,115.5,21.83,4.1,4.18,4.52,80.0,15.66,-0.43,7.44,12.652,3.71,252,8.45,8.45,-34.81,-86.35,-4.94,11.06,1.04,4.79,1.25,1.5,2026-08-28,90.07,0.31,-0.17,92.51,5.52,-0.17,2.47,2026Q2,22.16,12.38,9.18,2,5.33,21.67,4.4,22.97,-5.0,1.49,36.7,1.49,20.5,11.5,9.0,0.0,0,1,單季 EPS 年增 37%、毛利率連 2 季升、月營收年增 7%、PE 21.8（一年 4% 分位）、距 52 週高點 -5%,3.9,69.2,112.2474,2.9,225423.59,12275.13,11271.18,9452.03,1.09,0.84,-1.51,正常,58059.17,2141.68,60200.84,25.76,0.95,12,0,2,0,1129.84,949.24,台灣摩根士丹利,31596.0,,112.95,15,台灣摩根士丹利,0,富邦證券,5596.0,,29.58,55.38,-1094,358,0.58,57.12,已取得,76.52,133.64,22.5,16.82,14.0,9.2,14.0,1.16,57.12,2026-07,-6.65,7.14,4.2,26.71,14.02,2.26,外資與投信同買；前大買超分點約占成交 14.02%；收盤距區間均價 2.9%；收盤距分點均價 2.26%；連買：外12 / 投2；營收 2026-07，月增 -6.65%，年增 7.14%，累計年增 4.2%,外資買超；投信買超；融資下降；接近區間高點；RSI過熱；主力分點連15買；毛利率連2升；千張大戶增持；營收 2026-07，月增 -6.65%，年增 7.14%，累計年增 4.2%,57.12
2026-09-01,1717,長興,TWSE,化學工業,,20,84.7,44.58,1.18,3.19,27.37,62.25,59.56,-0.94,30.51,14.782,18.0,252,45.28,91.63,2.02,-3.18,-5.78,123.78,20.41,42.23,8.77,-2.0,2026-08-28,61.0,0.98,3.26,66.75,26.47,-1.03,6.0,2026Q2,24.81,8.59,7.1,3,1.9,44.58,67.1,39.4,13.1,0.72,140.0,3.49,17.0,20.0,-3.0,0.0,0,0,單季 EPS 年增 140%、毛利率連 3 季升、月營收年增 24%、PE 44.6（一年 67% 分位）、距 52 週高點 -6%,5.0,111.24,76.6011,10.57,385939.51,52664.04,19296.98,35363.28,2.73,1.83,30.0,強放量,58537.46,7757.75,66295.21,15.17,2.01,4,0,5,0,10852.47,300.6,台灣摩根士丹利,15008.0,,77.26,20,台灣摩根士丹利,0,國泰-敦南,1867.0,,8.42,53.53,-162,694,0.15,60.47,已取得,53.97,114.44,22.5,4.67,0.0,12.8,14.0,6.79,60.47,2026-07,6.82,23.86,10.48,17.18,3.89,9.63,外資與投信同買；前大買超分點約占成交 3.89%；收盤距區間均價 10.57%；收盤距分點均價 9.63%；連買：外4 / 投5；營收 2026-07，月增 6.82%，年增 23.86%，累計年增 10.48%,外資買超；投信買超；融資下降；強放量；接近區間高點；主力分點連20買；毛利率連3升；千張大戶增持；營收 2026-07，月增 6.82%，年增 23.86%，累計年增 10.48%,60.47
2026-09-01,2597,潤弘,TWSE,建材營造業,,20,170.5,14.62,5.67,7.12,4.28,58.97,15.54,-1.73,6.23,0.335,11.57,252,3.33,12.91,-39.93,-81.89,-16.83,16.78,0.36,3.46,0.73,3.0,2026-08-28,78.1,-0.01,-0.02,81.51,12.89,-0.1,-0.14,2026Q2,16.8,12.88,9.56,-2,11.66,14.62,52.4,14.54,0.6,2.7,31.7,0.03,0.0,0.0,0.0,0.0,,0,日均量 199 張偏低（門檻 500）,-0.9,81.43,168.3385,1.28,3983.55,472.82,199.18,247.73,2.37,1.24,23.39,強放量,1452.8,48.36,1501.16,36.47,1.21,12,0,1,0,241.93,51.0,港商野村,380.0,,169.74,1,港商野村,0,富邦-板橋,252.0,,19.08,53.53,-19,0,0.48,55.48,已取得,69.55,125.03,22.5,11.45,14.0,7.6,14.0,1.47,55.48,2026-07,-10.17,3.13,13.32,37.68,9.54,0.45,外資與投信同買；前大買超分點約占成交 9.54%；收盤距區間均價 1.28%；收盤距分點均價 0.45%；連買：外12 / 投1；營收 2026-07，月增 -10.17%，年增 3.13%，累計年增 13.32%,外資買超；投信買超；融資下降；強放量；接近區間高點；毛利率連2降；營收 2026-07，月增 -10.17%，年增 3.13%，累計年增 13.32%,55.48
