latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-29,2006,東和鋼鐵,TWSE,鋼鐵工業,,5,72.4,10.92,5.94,1.63,1.69,,,-1.23,4.93,1.657,6.01,252,2.55,12.95,-22.72,-57.12,-13.81,23.34,5.9,7.61,1.53,6.0,2026-07-24,73.43,-0.36,-0.7,79.67,15.28,-0.08,-4.38,2026Q1,14.74,10.22,8.91,-1,6.63,10.92,70.6,10.55,1.66,10.7,1.01,9.0,5.0,4.0,0.0,0,1,單季 EPS 年增 11%、毛利率連 1 季降、月營收年增 9%、PE 10.9（一年 71% 分位）、距 52 週高點 -14%,0.3,92.86,72.0194,0.53,11500.54,2318.46,2300.11,2300.11,1.01,1.0,0.1,正常,2602.57,1049.64,3652.21,22.63,9.13,5,0,4,0,377.88,100.0,,,,,,,0,,,,0.0,80.82,-114,1,1.0,83.35,未取得,0.0,83.35,0.0,0.0,0.0,0.0,0.0,1.53,83.35,2026-06,1.01,9.01,-1.3,,,,營收 2026-06，月增 1.01%，年增 9.01%，累計年增 -1.3%,外資買超；投信買超；融資下降；接近區間高點；千張大戶減持；營收 2026-06，月增 1.01%，年增 9.01%，累計年增 -1.3%,83.35
2026-07-29,1402,遠東新,TWSE,紡織纖維,,5,27.25,16.93,4.59,0.62,0.18,,,-1.8,2.06,4.9,5.11,252,-3.02,-5.05,-28.3,-75.12,-13.9,16.95,0.0,-1.05,-6.7,5.0,2026-07-24,86.63,0.14,0.24,88.59,8.33,-0.08,2.34,2026Q1,21.9,7.99,5.05,1,1.7,16.03,16.7,17.75,0.61,32.6,-1.85,19.0,10.5,8.5,0.0,0,1,單季 EPS 年增 33%、毛利率連 1 季升、月營收年增 12%、PE 16.9（一年 17% 分位）、距 52 週高點 -14%,2.7,85.56,27.349,-0.36,89574.92,16977.6,17914.98,17914.98,0.95,1.0,-0.63,正常,32425.18,5764.38,38189.56,36.2,6.44,5,0,4,0,2860.47,30.25,,,,,,,0,,,,0.0,74.09,-514,-50,0.56,77.42,未取得,0.0,77.42,0.0,0.0,0.0,0.0,0.0,2.77,77.42,2026-06,-2.15,12.06,5.35,,,,營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,77.42
2026-07-29,9917,中保科,TWSE,其他業,,5,111.0,16.37,5.59,3.44,2.3,,,0.0,3.26,0.684,6.38,252,4.23,-2.2,-21.05,-72.27,-9.76,7.25,-0.72,0.41,1.9,4.5,2026-07-24,70.99,-0.02,-0.14,76.58,16.73,-0.18,-0.58,2026Q1,33.9,17.61,15.16,1,6.78,16.37,30.6,16.69,1.6,0.6,0.09,11.0,6.0,5.0,0.0,0,1,單季 EPS 年增 1%、毛利率連 1 季升、月營收年增 3%、PE 16.4（一年 31% 分位）、距 52 週高點 -10%,4.2,98.85,109.871,1.03,3114.28,1185.65,622.86,622.86,1.9,1.0,13.84,放量,1259.73,182.0,1441.73,40.45,5.84,4,0,4,0,561.72,2.0,,,,,,,0,,,,0.0,70.61,-112,0,3.6,75.53,未取得,0.0,75.53,0.0,0.0,0.0,0.0,0.0,1.32,75.53,2026-06,5.02,2.56,1.63,,,,營收 2026-06，月增 5.02%，年增 2.56%，累計年增 1.63%,外資買超；投信買超；融資下降；放量；接近區間高點；營收 2026-06，月增 5.02%，年增 2.56%，累計年增 1.63%,75.53
2026-07-29,2633,台灣高鐵,TWSE,航運業,,5,26.05,21.53,4.41,1.96,0.39,,,-0.76,1.36,1.241,5.23,252,-3.34,-4.4,-28.61,-74.48,-10.79,5.04,0.41,-3.63,-6.77,1.5,2026-07-24,84.67,0.09,0.36,86.5,10.82,-0.05,2.3,2026Q1,46.85,43.23,,2,1.21,21.53,13.5,24.25,0.37,12.1,0.35,16.5,9.5,7.0,0.0,0,1,單季 EPS 年增 12%、毛利率連 2 季升、月營收年增 3%、PE 21.5（一年 14% 分位）、距 52 週高點 -11%,3.9,82.81,25.9851,0.25,23883.05,8524.32,4776.61,4776.61,1.78,1.0,12.42,放量,3874.24,2083.0,5957.23,16.22,8.72,4,0,1,0,2159.76,430.0,,,,,,,0,,,,0.0,70.3,50,-60,-0.24,70.44,未取得,0.0,70.44,0.0,0.0,0.0,0.0,0.0,0.38,70.44,2026-06,-6.35,2.77,4.03,,,,營收 2026-06，月增 -6.35%，年增 2.77%，累計年增 4.03%,外資買超；投信買超；融資增加；放量；接近區間高點；年線之下；毛利率連2升；營收 2026-06，月增 -6.35%，年增 2.77%，累計年增 4.03%,70.44
2026-07-29,8938,明安,TPEX,運動休閒,,5,55.4,17.7,7.22,1.12,-3.82,,,-4.32,1.09,0.085,-2.29,252,-23.06,-13.84,-48.33,-83.91,-26.72,7.36,1.86,-11.01,-8.91,6.5,2026-07-24,45.07,0.74,0.05,56.96,31.05,-0.05,4.65,2026Q1,13.86,4.99,4.99,-2,3.16,17.53,96.0,12.42,1.33,-69.4,-2.9,0.0,0.0,0.0,0.0,,0,日均量 150 張偏低（門檻 500）,-0.9,71.63,56.5216,-1.98,751.0,174.0,150.2,150.2,1.16,1.0,1.9,正常,154.83,151.75,306.58,20.62,20.21,3,0,0,0,99.3,0.0,,,,,,,0,,,,0.0,69.0,6,-2,-0.72,71.63,未取得,0.0,71.63,0.0,0.0,0.0,0.0,0.0,3.35,71.63,2026-06,7.51,20.31,-7.56,,,,營收 2026-06，月增 7.51%，年增 20.31%，累計年增 -7.56%,外資買超；投信買超；融資增加；年線之下；毛利率連2降；千張大戶增持；營收 2026-06，月增 7.51%，年增 20.31%，累計年增 -7.56%,71.63
2026-07-29,3231,緯創,TWSE,電腦及週邊設備業,AI伺服器/組裝,5,169.5,17.0,3.24,2.83,-2.31,,,-7.88,3.35,260.171,-1.39,252,24.18,37.8,-1.1,-32.27,-15.67,55.5,9.62,21.58,6.29,3.0,2026-07-24,60.75,3.79,1.92,64.63,30.21,-3.24,6.0,2026Q1,5.21,3.44,1.14,-2,10.25,16.54,44.0,17.22,3.06,65.4,-0.93,13.0,10.0,3.0,0.0,0,1,單季 EPS 年增 65%、毛利率連 2 季降、月營收年增 54%、PE 17.0（一年 44% 分位）、距 52 週高點 -16%,-0.9,102.24,174.4381,-2.83,745738.78,155521.28,149147.76,149147.76,1.04,1.0,0.51,正常,120946.9,21282.84,142229.74,16.22,2.85,5,0,5,0,4022.65,1253.88,,,,,,,0,,,,0.0,67.63,-5644,337,0.76,88.99,未取得,0.0,88.99,0.0,0.0,0.0,0.0,0.0,20.6,88.99,2026-06,10.9,53.85,94.01,,,,營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,外資買超；投信買超；融資下降；毛利率連2降；千張大戶增持；營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,88.99
2026-07-29,2610,華航,TWSE,航運業,航空,5,21.7,8.48,3.73,1.29,5.34,,,-3.12,7.43,11.542,3.2,252,-2.91,5.34,-28.18,-64.73,-12.32,22.6,6.09,7.27,0.33,6.5,2026-07-24,69.52,-0.04,-0.05,72.4,22.38,-0.03,-0.47,2026Q1,20.6,11.29,9.07,2,2.58,8.41,83.7,7.99,0.85,23.2,0.58,20.0,13.5,6.5,0.0,0,0,單季 EPS 年增 23%、毛利率連 2 季升、月營收年增 29%、PE 8.5（一年 84% 分位）、距 52 週高點 -12%,3.9,91.8,21.4756,1.04,268711.92,65660.07,53742.38,53742.38,1.22,1.0,5.66,正常,59680.36,8038.2,67718.57,22.21,2.99,4,0,5,0,14106.42,509.0,,,,,,,0,,,,0.0,65.98,-3639,524,1.47,75.51,未取得,0.0,75.51,0.0,0.0,0.0,0.0,0.0,8.06,75.51,2026-06,2.5,28.82,16.09,,,,營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,外資買超；投信買超；融資下降；毛利率連2升；營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,75.51
2026-07-29,2504,國產,TWSE,建材營造業,,5,31.55,9.59,8.24,1.32,0.48,,,-1.25,2.44,0.557,5.29,252,-12.12,-14.73,-37.39,-84.8,-21.91,4.47,-6.59,-11.93,-7.81,8.0,2026-07-24,70.19,-0.08,-0.18,75.12,17.96,0.07,-1.18,2026Q1,26.62,21.85,16.34,-2,3.29,9.59,4.4,10.98,0.7,-1.4,1.19,-5.0,-12.5,17.5,-10.0,0,0,⚠ 便宜但基本面轉弱：毛利率連 2 季降、月營收年減 19%、PE 9.6（一年 4% 分位）、距 52 週高點 -22%,0.6,72.28,31.4422,0.34,8859.79,3151.17,1771.96,1771.96,1.78,1.0,12.34,放量,2321.23,546.62,2867.85,26.2,6.17,5,0,1,0,212.12,562.0,,,,,,,0,,,,0.0,65.92,-236,2,2.68,61.21,未取得,0.0,61.21,0.0,0.0,0.0,0.0,0.0,-7.39,61.21,2026-06,-21.99,-18.57,-8.83,,,,營收 2026-06，月增 -21.99%，年增 -18.57%，累計年增 -8.83%,外資買超；投信買超；融資下降；放量；接近區間高點；年線之下；毛利率連2降；營收 2026-06，月增 -21.99%，年增 -18.57%，累計年增 -8.83%,61.21
2026-07-29,2890,永豐金,TWSE,金融保險業,金控,5,38.6,18.47,3.37,2.11,1.05,,,-3.02,2.66,17.156,0.63,252,33.1,55.96,7.83,-14.11,-8.75,66.74,9.21,28.86,8.25,1.5,2026-07-24,77.54,-0.03,0.05,80.75,14.3,0.05,-0.09,2026Q1,,,41.88,0,2.16,17.87,89.7,15.62,0.76,33.3,,12.0,11.0,1.0,0.0,0,1,單季 EPS 年增 33%、月營收年增 51%、PE 18.5（一年 90% 分位）、距 52 週高點 -9%,4.5,96.58,38.6074,-0.02,222187.82,39245.88,44437.56,44437.56,0.88,1.0,-1.4,正常,19836.59,12896.1,32732.69,8.93,5.8,1,0,5,0,2923.2,2142.99,,,,,,,0,,,,0.0,64.65,-414,60,0.19,82.49,未取得,0.0,82.49,0.0,0.0,0.0,0.0,0.0,17.65,82.49,2026-06,-2.95,50.94,55.23,,,,營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,外資買超；投信買超；融資下降；營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,82.49
2026-07-29,2530,華建,TWSE,建材營造業,,5,20.65,10.54,8.96,1.73,3.51,,,-2.13,8.68,0.268,2.11,252,-25.18,-27.54,-50.45,-97.62,-38.17,16.67,4.25,-19.98,-12.0,6.0,2026-07-24,81.63,0.04,0.36,85.73,8.16,-0.07,1.9,2026Q1,19.68,-2.09,-16.65,-3,1.97,10.48,34.3,11.03,-0.04,-300.0,-24.28,0.0,0.0,0.0,0.0,,0,最新單季虧損,-5.0,55.65,20.1702,2.38,6643.28,2664.83,1328.66,1328.66,2.01,1.0,15.07,強放量,840.38,548.05,1388.43,12.65,8.25,3,0,0,0,1018.23,0.0,,,,,,,0,,,,0.0,64.62,-32,0,0.48,55.1,未取得,0.0,55.1,0.0,0.0,0.0,0.0,0.0,-10,55.1,2026-06,-95.92,-96.97,-94.26,,,,營收 2026-06，月增 -95.92%，年增 -96.97%，累計年增 -94.26%,外資買超；投信買超；融資下降；強放量；年線之下；毛利率連3降；營收 2026-06，月增 -95.92%，年增 -96.97%，累計年增 -94.26%,55.1
