latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-15,8415,大國鋼,TPEX,20,35.35,34.275,3.14,14041.0,1919.0,702.05,1154.4,2.73,1.64,30.0,強放量,1498.24,38.0,1536.24,10.67,0.27,2,0,0,0,923.0,0.0,台新-成功,2547.0,33.72,美好,-3211.0,34.41,21.77,33.43,182,1,-1.03,38.5,已取得,68.58,107.08,16.41,21.77,14.0,2.4,14.0,6.1,38.5,2026-04,4.15,18.57,14.13,10.94,18.14,4.83,外資與投信同買；前大買超分點約占成交 18.14%；收盤距區間均價 3.14%；收盤距分點均價 4.83%；連買：外2 / 投0；營收 2026-04，月增 4.15%，年增 18.57%，累計年增 14.13%,外資買超；投信買超；融資增加；強放量；營收 2026-04，月增 4.15%，年增 18.57%，累計年增 14.13%,38.5
2026-05-15,1463,強盛新,TWSE,20,17.85,18.04,-1.05,3860.63,30.71,193.03,54.18,0.16,0.28,-12.0,量縮,1517.43,0.0,1517.43,39.31,0.0,1,0,0,0,4.0,0.0,兆豐-忠孝,1375.0,17.61,國泰-館前,-1108.0,17.5,24.0,40.0,12,0,-0.25,39.1,已取得,67.7,106.8,22.5,24.0,14.0,1.2,6.0,-0.65,39.1,2026-04,-17.17,34.51,-86.64,39.31,35.62,1.36,外資主導買超；前大買超分點約占成交 35.62%；收盤距區間均價 -1.05%；收盤距分點均價 1.36%；連買：外1 / 投0；營收 2026-04，月增 -17.17%，年增 34.51%，累計年增 -86.64%,外資買超；融資增加；營收 2026-04，月增 -17.17%，年增 34.51%，累計年增 -86.64%,39.1
2026-05-15,1806,冠軍,TWSE,20,8.05,8.2985,-2.99,22335.48,376.78,1116.77,398.83,0.34,0.36,-12.0,量縮,8136.51,0.0,8136.51,36.43,0.0,0,5,0,0,-4.0,0.0,元大,9985.0,8.1,第一金-頭份,-10000.0,8.08,24.0,28.0,85,0,-0.3,24.0,已取得,66.5,90.5,22.5,24.0,14.0,0.0,6.0,-3.7,24.0,2026-04,10.16,-10.18,-19.31,36.43,44.7,-0.62,外資主導買超；前大買超分點約占成交 44.7%；收盤距區間均價 -2.99%；收盤距分點均價 -0.62%；營收 2026-04，月增 10.16%，年增 -10.18%，累計年增 -19.31%,外資買超；融資增加；營收 2026-04，月增 10.16%，年增 -10.18%，累計年增 -19.31%,24.0
2026-05-15,1203,味王,TWSE,20,42.55,43.4253,-2.02,638.3,25.86,31.91,25.33,0.81,0.79,-5.57,正常,94.94,0.0,94.94,14.87,0.0,0,3,0,0,-8.25,0.0,土銀-台中,107.0,43.52,中國信託-忠孝,-53.0,43.39,25.96,31.9,-5,0,0.78,27.57,已取得,62.43,90.0,22.31,20.12,14.0,0.0,6.0,-5.11,27.57,2026-04,-5.83,-12.21,-13.81,14.87,16.76,-2.23,外資主導買超；前大買超分點約占成交 16.76%；收盤距區間均價 -2.02%；收盤距分點均價 -2.23%；營收 2026-04，月增 -5.83%，年增 -12.21%，累計年增 -13.81%,外資買超；融資下降；營收 2026-04，月增 -5.83%，年增 -12.21%，累計年增 -13.81%,27.57
2026-05-15,8097,常珵,TPEX,20,53.7,52.2215,2.83,1778.0,211.0,88.9,86.2,2.37,0.97,19.0,強放量,132.35,0.0,132.35,7.44,0.0,6,0,0,0,99.0,0.0,福邦,435.0,52.22,統一-三重,-45.0,53.39,32.73,36.84,-160,-3,7.95,35.66,已取得,61.17,96.83,11.17,24.0,14.0,6.0,6.0,-9.13,35.66,2026-04,8.89,-34.23,-34.73,7.44,24.47,2.83,外資主導買超；前大買超分點約占成交 24.47%；收盤距區間均價 2.83%；收盤距分點均價 2.83%；連買：外6 / 投0；營收 2026-04，月增 8.89%，年增 -34.23%，累計年增 -34.73%,外資買超；融資下降；強放量；營收 2026-04，月增 8.89%，年增 -34.23%，累計年增 -34.73%,35.66
2026-05-15,1233,天仁,TWSE,20,28.8,28.8512,-0.18,474.32,30.02,23.72,23.74,1.27,1.0,6.21,正常,51.71,0.0,51.71,10.9,0.0,0,4,0,0,-2.0,0.0,台新-城中,223.0,28.83,元大-六合,-96.0,28.88,24.0,26.72,-4,0,0.84,28.46,已取得,60.35,88.81,16.35,24.0,14.0,0.0,6.0,0.9,28.46,2026-04,-1.37,2.59,3.76,10.9,47.02,-0.1,外資主導買超；前大買超分點約占成交 47.02%；收盤距區間均價 -0.18%；收盤距分點均價 -0.1%；營收 2026-04，月增 -1.37%，年增 2.59%，累計年增 3.76%,外資買超；融資下降；營收 2026-04，月增 -1.37%，年增 2.59%，累計年增 3.76%,28.46
2026-05-15,1470,大統新創,TWSE,20,21.85,22.3045,-2.04,345.68,1.1,17.28,22.72,0.06,1.31,-2.96,放量,35.91,0.0,35.91,10.39,0.0,0,0,0,0,0.0,0.0,元大-大同,65.0,22.12,元大-敦化,-45.0,22.33,26.06,34.31,0,0,0.0,25.56,已取得,58.15,83.71,15.58,22.56,14.0,0.0,6.0,-8.75,25.56,2026-04,-26.3,-20.52,-12.87,10.39,18.8,-1.22,外資主導買超；前大買超分點約占成交 18.8%；收盤距區間均價 -2.04%；收盤距分點均價 -1.22%；營收 2026-04，月增 -26.3%，年增 -20.52%，累計年增 -12.87%,外資買超；放量；營收 2026-04，月增 -26.3%，年增 -20.52%，累計年增 -12.87%,25.56
2026-05-15,1341,富林-KY,TWSE,20,61.0,61.1806,-0.3,189.83,17.05,9.49,9.39,1.8,0.99,12.38,放量,25.28,0.0,25.28,13.32,0.0,1,0,0,0,2.0,0.0,凱基-站前,23.0,60.96,元大-北府,-37.0,61.29,14.79,38.65,,,0.0,40.8,已取得,55.71,96.51,19.97,14.54,14.0,1.2,6.0,2.15,40.8,2026-04,-13.78,18.06,3.44,13.32,12.12,0.07,外資主導買超；前大買超分點約占成交 12.12%；收盤距區間均價 -0.3%；收盤距分點均價 0.07%；連買：外1 / 投0；營收 2026-04，月增 -13.78%，年增 18.06%，累計年增 3.44%,外資買超；放量；營收 2026-04，月增 -13.78%，年增 18.06%，累計年增 3.44%,40.8
2026-05-15,2072,世紀風電,TWSE,20,180.0,179.5602,0.24,12725.93,1623.92,636.3,857.24,2.55,1.35,26.56,強放量,974.96,689.0,1663.96,7.66,5.41,1,0,1,0,790.08,60.0,美商高盛,479.0,180.4,永豐金,-255.0,180.63,13.51,49.82,,,0.0,51.51,已取得,54.93,106.44,19.61,4.52,14.0,2.8,14.0,1.69,51.51,2026-04,14.07,,,13.08,3.76,-0.22,外資與投信同買；前大買超分點約占成交 3.76%；收盤距區間均價 0.24%；收盤距分點均價 -0.22%；連買：外1 / 投1；營收 2026-04，月增 14.07%,外資買超；投信買超；強放量；營收 2026-04，月增 14.07%,51.51
2026-05-15,1413,宏洲,TWSE,20,9.45,9.6041,-1.6,475.75,20.18,23.79,27.98,0.85,1.18,1.0,正常,44.2,0.0,44.2,9.29,0.0,0,4,0,0,-4.0,0.0,永豐金-復興,81.0,9.66,新光-台中,-44.0,9.59,25.81,24.01,0,0,0.0,23.08,已取得,54.37,77.45,13.93,20.43,14.0,0.0,6.0,-0.93,23.08,2026-04,19.53,-0.58,-19.79,9.29,17.03,-2.17,外資主導買超；前大買超分點約占成交 17.03%；收盤距區間均價 -1.6%；收盤距分點均價 -2.17%；營收 2026-04，月增 19.53%，年增 -0.58%，累計年增 -19.79%,外資買超；營收 2026-04，月增 19.53%，年增 -0.58%，累計年增 -19.79%,23.08
