latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-07,2610,華航,TWSE,航運業,航空,5,20.45,9.47,3.96,1.26,0.49,,,-0.97,1.49,3.003,5.29,252,9.36,-6.19,-32.58,-96.6,-17.37,15.54,-4.24,1.33,1.34,6.5,2026-09-04,70.19,0.06,-1.38,73.07,21.84,-0.05,-0.52,2026Q2,11.13,4.18,2.21,-1,2.18,9.38,96.8,7.99,18.5,0.23,-63.5,-7.15,3.0,-5.5,8.5,0.0,0,0,毛利率連 1 季降、月營收年增 25%、PE 9.5（一年 97% 分位）、距 52 週高點 -17%,0.3,99.73,20.4088,0.2,73571.33,13861.2,14714.27,14714.27,0.94,1.0,-0.7,正常,13808.93,5262.0,19070.93,18.77,7.15,4,0,5,0,1101.92,1261.0,,,,,,,0,,,,0.0,76.38,-2368,-98,3.18,87.17,未取得,0.0,87.17,0.0,0.0,0.0,0.0,0.0,7.61,87.17,2026-07,2.18,25.34,17.43,,,,營收 2026-07，月增 2.18%，年增 25.34%，累計年增 17.43%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-07，月增 2.18%，年增 25.34%，累計年增 17.43%,87.17
2026-09-07,9910,豐泰,TWSE,運動休閒,,5,69.8,14.19,5.87,2.91,2.2,,,-0.14,3.41,0.596,6.32,252,-16.41,-39.3,-58.35,-129.71,-48.68,5.12,-0.01,-25.14,-12.0,4.5,2026-09-04,86.7,-0.2,-0.05,88.76,8.53,0.09,-1.75,2026Q2,19.43,5.92,4.98,1,4.92,14.19,7.1,17.59,-19.3,1.03,41.1,-5.53,22.5,5.5,17.0,0.0,0,0,單季 EPS 年增 41%、毛利率連 1 季升、月營收年增 1%、PE 14.2（一年 7% 分位）、距 52 週高點 -49%,2.7,86.46,68.3485,2.12,4359.66,1038.12,871.93,871.93,1.19,1.0,2.29,正常,1248.28,406.09,1654.38,28.63,9.31,5,0,5,0,436.42,187.0,,,,,,,0,,,,0.0,83.79,-46,1,1.07,85.54,未取得,0.0,85.54,0.0,0.0,0.0,0.0,0.0,0.68,85.54,2026-07,8.12,1.0,-2.96,,,,營收 2026-07，月增 8.12%，年增 1.0%，累計年增 -2.96%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-07，月增 8.12%，年增 1.0%，累計年增 -2.96%,85.54
2026-09-07,2890,永豐金,TWSE,金融保險業,金控,5,42.6,16.08,3.05,2.33,2.65,,,-1.5,4.54,10.521,6.59,252,35.24,69.72,-6.7,-20.69,-1.5,84.02,7.52,34.32,12.72,3.0,2026-09-04,77.96,0.19,0.27,81.1,13.94,-0.09,2.83,2026Q1,,,41.88,0,2.16,19.72,52.8,15.84,1.5,0.76,33.3,,12.0,11.0,1.0,0.0,0,1,單季 EPS 年增 33%、月營收年增 51%、PE 16.1（一年 53% 分位）、距 52 週高點 -2%,4.5,112.75,42.1925,0.97,124675.8,20513.38,24935.16,24935.16,0.82,1.0,-2.13,正常,11197.88,11833.98,23031.86,8.98,9.49,0,2,4,0,-3805.85,1124.79,,,,,,,0,,,,0.0,65.69,-212,10,0.17,84.17,未取得,0.0,84.17,0.0,0.0,0.0,0.0,0.0,18.31,84.17,2026-07,2.8,51.3,54.62,,,,營收 2026-07，月增 2.8%，年增 51.3%，累計年增 54.62%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-07，月增 2.8%，年增 51.3%，累計年增 54.62%,84.17
2026-09-07,3131,弘塑,TPEX,半導體業,半導體設備,5,2555.0,45.24,1.8,23.24,3.02,,,-1.16,8.96,10.208,6.81,252,18.29,63.78,-23.65,-26.63,-36.84,93.56,-10.6,13.47,-1.01,-3.5,2026-09-04,31.96,-0.12,-4.18,48.67,30.05,1.15,-2.46,2026Q2,38.86,21.14,18.75,1,56.96,44.86,28.2,50.3,-10.1,11.16,58.3,-3.81,0.0,0.0,0.0,0.0,,1,日均量 415 張偏低（門檻 500）,4.2,91.11,2457.4049,3.97,2077.0,650.0,415.4,415.4,1.56,1.0,9.78,放量,193.83,121.8,315.63,9.33,5.86,1,0,5,0,244.5,6.3,,,,,,,0,,,,0.0,59.83,-169,15,8.43,82.18,未取得,0.0,82.18,0.0,0.0,0.0,0.0,0.0,13.92,82.18,2026-07,25.65,42.41,20.07,,,,營收 2026-07，月增 25.65%，年增 42.41%，累計年增 20.07%,外資買超；投信買超；融資下降；放量；接近區間高點；營收 2026-07，月增 25.65%，年增 42.41%，累計年增 20.07%,82.18
2026-09-07,5534,長虹,TWSE,建材營造業,,5,75.6,13.36,6.69,1.12,-0.4,,,-2.07,0.8,0.424,-0.24,252,0.4,-7.13,-41.54,-97.53,-14.86,3.99,-4.27,-3.71,-6.56,6.5,2026-09-04,59.29,-0.38,-0.67,69.1,24.16,-0.18,-4.54,2026Q2,30.46,22.82,18.28,1,6.09,12.41,65.5,11.7,14.2,0.86,855.6,-0.5,18.0,12.5,5.5,0.0,0,0,單季 EPS 年增 856%、毛利率連 1 季升、月營收年增 270%、PE 13.4（一年 66% 分位）、距 52 週高點 -15%,4.2,80.33,76.101,-0.66,2788.97,641.76,557.79,557.79,1.15,1.0,1.81,正常,399.51,205.0,604.51,14.32,7.35,0,2,0,0,-376.0,0.0,,,,,,,0,,,,0.0,52.38,-123,0,4.41,80.07,未取得,0.0,80.07,0.0,0.0,0.0,0.0,0.0,23.28,80.07,2026-07,24.0,269.79,63.45,,,,營收 2026-07，月增 24.0%，年增 269.79%，累計年增 63.45%,外資買超；投信買超；融資下降；年線之下；千張大戶減持；營收 2026-07，月增 24.0%，年增 269.79%，累計年增 63.45%,80.07
2026-09-07,6861,睿生光電,TWSE,生技醫療業,,5,186.5,28.78,1.07,4.98,-3.62,,,-5.81,4.48,0.536,-2.17,252,19.17,204.24,-22.77,113.83,-61.94,260.74,-23.6,11.36,-0.82,0.0,2026-09-04,51.02,-0.21,-1.14,53.06,36.0,0.29,-3.18,2026Q2,28.54,12.56,12.78,2,6.48,28.78,48.0,29.4,-2.1,2.32,201.3,3.76,0.0,0.0,0.0,0.0,,1,日均量 289 張偏低（門檻 500）,5.4,73.92,185.3811,0.6,1445.63,252.84,289.13,289.13,0.87,1.0,-1.51,正常,256.08,0.0,256.08,17.71,0.0,5,0,0,0,10.1,0.0,,,,,,,0,,,,0.0,48.0,-89,0,6.16,75.44,未取得,0.0,75.44,0.0,0.0,0.0,0.0,0.0,21.28,75.44,2026-07,26.92,63.36,45.3,,,,營收 2026-07，月增 26.92%，年增 63.36%，累計年增 45.3%,外資買超；融資下降；毛利率連2升；營收 2026-07，月增 26.92%，年增 63.36%，累計年增 45.3%,75.44
2026-09-07,7721,微程式,TWSE,數位雲端,,5,61.1,67.14,1.64,2.62,-0.49,,,-3.63,2.52,0.039,-0.29,252,19.8,-10.93,-22.14,-101.34,-34.3,35.63,-7.23,-0.78,-7.68,-2.0,2026-09-04,52.76,0.0,0.14,60.81,23.43,-0.09,0.42,2026Q2,59.85,16.41,13.62,-3,0.9,67.89,52.0,56.85,18.1,0.45,181.3,6.38,0.0,0.0,0.0,0.0,,1,日均量 64 張偏低（門檻 500）,-0.5,64.61,60.8432,0.42,319.37,60.03,63.87,63.87,0.94,1.0,-0.72,正常,48.0,0.0,48.0,15.03,0.0,4,0,0,0,29.0,0.0,,,,,,,0,,,,0.0,46.0,-31,0,8.0,75.02,未取得,0.0,75.02,0.0,0.0,0.0,0.0,0.0,21.02,75.02,2026-07,5.2,67.15,213.42,,,,營收 2026-07，月增 5.2%，年增 67.15%，累計年增 213.42%,外資買超；融資下降；年線之下；毛利率連3降；營收 2026-07，月增 5.2%，年增 67.15%，累計年增 213.42%,75.02
2026-09-07,2207,和泰車,TWSE,汽車工業,,5,539.0,13.26,3.71,3.51,4.05,,,-1.64,6.73,1.295,7.43,251,12.06,-5.6,-29.88,-96.01,-14.85,18.46,7.96,1.8,1.62,3.0,2026-09-04,83.13,0.01,-0.1,89.81,4.72,0.02,-0.22,2026Q2,,,8.47,0,40.67,13.25,6.8,15.76,-15.9,13.62,91.8,,0.0,0.0,0.0,0.0,,0,日均量 245 張偏低（門檻 500）,1.5,87.27,527.8366,2.11,1226.39,282.09,245.28,245.28,1.15,1.0,1.8,正常,222.47,72.0,294.47,18.14,5.87,4,0,2,0,3.12,21.0,,,,,,,0,,,,0.0,65.68,-16,0,1.3,73.04,未取得,0.0,73.04,0.0,0.0,0.0,0.0,0.0,6.06,73.04,2026-07,3.64,17.89,15.04,,,,營收 2026-07，月增 3.64%，年增 17.89%，累計年增 15.04%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-07，月增 3.64%，年增 17.89%，累計年增 15.04%,73.04
2026-09-07,4523,永彰,TPEX,電機機械,,5,23.65,0.88,11.17,0.84,-1.87,,,-2.27,1.07,0.01,-1.12,252,-22.08,-30.44,-64.02,-120.85,-41.02,1.5,-8.4,-20.39,-12.0,8.0,2026-09-04,52.0,0.0,0.1,59.92,30.49,0.27,0.3,2026Q2,23.69,-15.49,-21.88,3,27.14,0.87,0.0,1.29,-31.8,-0.77,,118.06,0.0,0.0,0.0,0.0,,1,最新單季虧損,2.0,68.52,23.6998,-0.21,219.0,32.0,43.8,43.8,0.73,1.0,-3.23,正常,32.0,0.0,32.0,14.61,0.0,5,0,0,0,6.0,0.0,,,,,,,0,,,,0.0,47.69,-7,0,3.2,72.96,未取得,0.0,72.96,0.0,0.0,0.0,0.0,0.0,22.07,72.96,2026-07,13.94,106.54,75.86,,,,營收 2026-07，月增 13.94%，年增 106.54%，累計年增 75.86%,外資買超；融資下降；年線之下；毛利率連3升；營收 2026-07，月增 13.94%，年增 106.54%，累計年增 75.86%,72.96
2026-09-07,6163,華電網,TPEX,資訊服務業,,5,41.4,46.52,1.4,2.1,-1.31,,,-3.5,3.5,0.23,-0.79,252,-18.18,82.38,-60.12,-8.03,-45.95,95.74,-6.27,-10.89,-12.0,-2.0,2026-09-04,35.97,0.04,2.16,44.31,45.77,0.06,1.82,2026Q2,20.09,-2.72,-2.43,1,0.96,43.12,22.2,62.89,-26.0,-0.2,,6.01,0.0,0.0,0.0,0.0,,0,最新單季虧損,-0.3,56.45,41.3345,0.16,2788.0,267.0,557.6,557.6,0.48,1.0,-6.25,正常,888.14,0.0,888.14,31.86,0.0,5,0,0,0,62.0,0.0,,,,,,,0,,,,0.0,48.0,-132,-16,4.56,72.84,未取得,0.0,72.84,0.0,0.0,0.0,0.0,0.0,20.28,72.84,2026-07,68.36,51.14,39.22,,,,營收 2026-07，月增 68.36%，年增 51.14%，累計年增 39.22%,外資買超；融資下降；年線之下；營收 2026-07，月增 68.36%，年增 51.14%，累計年增 39.22%,72.84
