latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-31,2618,長榮航,TWSE,航運業,航空,5,43.3,8.22,4.62,1.73,3.22,,,-1.25,6.26,24.623,6.93,252,13.05,13.5,-20.37,-70.94,-5.15,34.68,9.87,16.09,2.86,4.5,2026-07-24,77.07,0.49,1.3,80.2,15.56,-0.38,5.92,2026Q1,26.22,18.64,13.66,2,5.27,8.22,95.6,7.22,13.9,1.53,39.1,3.44,22.0,17.0,5.0,0.0,0,0,單季 EPS 年增 39%、毛利率連 2 季升、月營收年增 27%、PE 8.2（一年 96% 分位）、距 52 週高點 -5%,5.4,87.37,42.245,2.5,291425.59,70267.46,58285.12,58285.12,1.21,1.0,5.47,正常,136949.6,-374.28,136575.32,46.99,-0.13,5,0,1,0,40012.55,458.0,,,,,,,0,,,,0.0,50.18,-2149,421,0.82,59.02,未取得,0.0,59.02,0.0,0.0,0.0,0.0,0.0,8.02,59.02,2026-06,5.12,26.58,16.36,,,,營收 2026-06，月增 5.12%，年增 26.58%，累計年增 16.36%,外資買超；融資下降；接近區間高點；毛利率連2升；千張大戶增持；營收 2026-06，月增 5.12%，年增 26.58%，累計年增 16.36%,59.02
2026-07-31,2610,華航,TWSE,航運業,航空,5,22.4,8.75,3.62,1.33,5.41,,,-1.1,7.69,14.055,8.25,252,-2.18,7.95,-35.61,-76.49,-9.49,26.55,8.79,10.67,0.18,6.5,2026-07-24,69.52,-0.04,-0.05,72.4,22.38,-0.03,-0.47,2026Q1,20.6,11.29,9.07,2,2.58,8.68,89.2,7.99,9.5,0.85,23.2,0.58,20.0,13.5,6.5,0.0,0,0,單季 EPS 年增 23%、毛利率連 2 季升、月營收年增 29%、PE 8.8（一年 89% 分位）、距 52 週高點 -9%,3.9,93.96,21.8828,2.36,321152.0,76786.12,64230.4,64230.4,1.2,1.0,2.35,正常,117482.77,6033.41,123516.18,36.58,1.88,5,0,5,0,37781.19,389.0,,,,,,,0,,,,0.0,65.2,-3398,541,1.16,74.42,未取得,0.0,74.42,0.0,0.0,0.0,0.0,0.0,8.06,74.42,2026-06,2.5,28.82,16.09,,,,營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,外資買超；投信買超；融資下降；接近區間高點；毛利率連2升；營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,74.42
2026-07-31,5880,合庫金,TWSE,金融保險業,金控,5,27.6,19.71,3.8,1.53,6.36,,,-0.18,8.02,10.898,8.82,252,16.46,6.56,-16.97,-77.87,-0.18,22.39,13.81,14.77,9.61,1.5,2026-07-24,70.15,0.24,0.58,74.12,17.31,-0.14,3.92,2026Q1,,,34.65,0,1.4,19.71,88.1,19.0,3.7,0.36,12.5,,0.0,-1.0,1.0,0.0,0,1,單季 EPS 年增 12%、月營收年減 13%、PE 19.7（一年 88% 分位）、距 52 週高點 -0%,4.5,87.14,26.5163,4.09,205491.57,49661.22,41098.31,41098.31,1.21,1.0,5.5,正常,105025.58,3279.08,108304.66,51.11,1.6,5,0,5,0,25973.95,844.63,,,,,,,0,,,,0.0,58.49,532,3,-0.21,56.04,未取得,0.0,56.04,0.0,0.0,0.0,0.0,0.0,-2.24,56.04,2026-06,3.39,-13.04,-1.88,,,,營收 2026-06，月增 3.39%，年增 -13.04%，累計年增 -1.88%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；營收 2026-06，月增 3.39%，年增 -13.04%，累計年增 -1.88%,56.04
2026-07-31,3481,群創,TWSE,光電業,面板,5,45.5,413.64,2.2,1.6,-3.91,,,-9.36,12.35,186.616,-2.35,252,97.4,297.38,63.97,212.94,-37.33,313.64,-12.6,69.31,13.2,-2.0,2026-07-24,34.51,-0.84,-5.65,39.19,51.11,0.9,-5.5,2026Q1,14.43,2.25,2.45,2,0.11,413.64,66.7,18.79,2101.4,0.2,66.7,4.47,17.5,17.0,0.5,0.0,0,0,單季 EPS 年增 67%、毛利率連 2 季升、月營收年增 17%、PE 413.6（一年 67% 分位）、距 52 週高點 -37%,3.9,23.77,44.1725,3.01,2112353.82,365292.28,422470.76,422470.76,0.86,1.0,-1.62,正常,75448.64,24.92,75473.56,3.57,0.0,0,3,2,0,-12504.63,261.1,,,,,,,0,,,,0.0,9.0,-43768,-2912,2.03,17.33,未取得,0.0,17.33,0.0,0.0,0.0,0.0,0.0,6.3,17.33,2026-06,5.11,17.25,16.12,,,,營收 2026-06，月增 5.11%，年增 17.25%，累計年增 16.12%,外資買超；投信買超；融資下降；毛利率連2升；千張大戶減持；營收 2026-06，月增 5.11%，年增 17.25%，累計年增 16.12%,17.33
2026-07-31,2867,三商壽,TWSE,金融保險業,,5,9.9,70.71,0.0,0.75,6.34,,,-1.49,7.61,3.201,8.8,251,23.9,90.02,-9.52,5.58,-1.49,98.8,17.96,32.95,11.25,0.0,2026-07-24,82.89,0.49,1.19,86.18,8.93,-0.24,5.92,2026Q1,,,,0,0.14,70.71,55.6,64.14,10.2,-0.03,-200.0,,0.0,0.0,0.0,0.0,,0,最新單季虧損,1.5,75.08,9.5497,3.67,167603.14,47066.91,33520.63,33520.63,1.4,1.0,7.85,正常,58977.3,0.0,58977.3,35.19,0.0,5,0,0,0,19288.1,0.0,,,,,,,0,,,,0.0,42.0,-809,29,0.49,43.69,未取得,0.0,43.69,0.0,0.0,0.0,0.0,0.0,1.2,43.69,2026-06,-50.67,-192.72,161.23,,,,營收 2026-06，月增 -50.67%，年增 -192.72%，累計年增 161.23%,外資買超；融資下降；接近區間高點；逼近52週高點；千張大戶增持；營收 2026-06，月增 -50.67%，年增 -192.72%，累計年增 161.23%,43.69
2026-07-31,2884,玉山金,TWSE,金融保險業,金控,5,38.65,17.57,3.62,2.2,6.18,,,-1.15,7.81,19.393,8.71,251,15.03,19.84,-18.39,-64.59,-1.15,31.46,13.99,17.21,9.3,3.0,2026-07-24,68.66,0.43,0.61,73.08,19.96,-0.36,5.44,2026Q1,,,39.96,0,2.19,17.65,76.5,16.65,5.5,0.62,12.7,,10.0,9.0,1.0,0.0,0,1,單季 EPS 年增 13%、月營收年增 25%、PE 17.6（一年 76% 分位）、距 52 週高點 -1%,4.5,98.49,37.0238,4.39,261892.5,54046.59,52378.5,52378.5,1.03,1.0,0.38,正常,57984.24,4265.57,62249.8,22.14,1.63,5,0,5,0,17607.36,1548.64,,,,,,,0,,,,0.0,58.57,-51,438,0.12,67.35,未取得,0.0,67.35,0.0,0.0,0.0,0.0,0.0,8.66,67.35,2026-06,1.12,25.3,24.84,,,,營收 2026-06，月增 1.12%，年增 25.3%，累計年增 24.84%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；千張大戶增持；營收 2026-06，月增 1.12%，年增 25.3%，累計年增 24.84%,67.35
2026-07-31,2002,中鋼,TWSE,鋼鐵工業,,5,18.95,,0.79,0.98,-1.56,,,-2.07,1.61,7.633,-0.94,252,-2.07,-1.04,-35.49,-85.48,-12.27,7.67,0.66,-1.06,-6.81,2.0,2026-07-24,48.43,0.58,-0.03,52.2,38.33,-0.39,4.41,2026Q1,3.33,-0.78,-3.1,-1,-0.47,,,,,-0.16,-900.0,-2.43,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-6.2,53.11,19.0031,-0.28,200825.61,37674.55,40165.12,40165.12,0.94,1.0,-0.74,正常,56366.92,297.0,56663.92,28.07,0.15,5,0,4,0,8568.86,132.0,,,,,,,0,,,,0.0,58.37,-3484,1093,1.73,61.02,未取得,0.0,61.02,0.0,0.0,0.0,0.0,0.0,0.92,61.02,2026-06,-6.55,9.61,-0.16,,,,營收 2026-06，月增 -6.55%，年增 9.61%，累計年增 -0.16%,外資買超；投信買超；融資下降；年線之下；千張大戶增持；營收 2026-06，月增 -6.55%，年增 9.61%，累計年增 -0.16%,61.02
2026-07-31,2412,中華電,TWSE,通信網路業,,5,139.5,27.73,3.73,2.73,-0.71,,,-2.11,0.72,33.429,-0.43,252,4.89,6.49,-28.54,-77.95,-5.1,8.56,-0.17,3.26,1.06,1.5,2026-07-24,77.4,0.07,-0.75,79.14,17.94,-0.04,-0.44,2026Q1,37.92,21.85,16.85,1,5.03,27.73,85.3,27.14,2.2,1.3,3.2,-0.59,7.5,6.5,1.0,0.0,0,1,單季 EPS 年增 3%、毛利率連 1 季升、月營收年增 11%、PE 27.7（一年 85% 分位）、距 52 週高點 -5%,4.2,64.7,140.1537,-0.47,119258.03,23664.74,23851.61,23851.61,0.99,1.0,-0.09,正常,50434.52,1308.16,51742.68,42.29,1.1,5,0,2,0,6775.17,1639.21,,,,,,,0,,,,0.0,55.74,1953,189,-1.31,58.85,未取得,0.0,58.85,0.0,0.0,0.0,0.0,0.0,4.42,58.85,2026-06,9.32,11.4,7.83,,,,營收 2026-06，月增 9.32%，年增 11.4%，累計年增 7.83%,外資買超；投信買超；融資增加；營收 2026-06，月增 9.32%，年增 11.4%，累計年增 7.83%,58.85
2026-07-31,2834,臺企銀,TWSE,金融保險業,,5,18.2,13.89,5.49,1.19,0.0,,,-1.09,2.82,10.273,5.0,252,17.42,12.0,-16.0,-72.44,-1.09,22.97,5.95,13.69,9.82,6.5,2026-07-24,55.64,0.04,0.04,61.2,26.79,0.03,0.44,2026Q1,,,,0,1.29,14.11,98.8,12.56,10.6,0.35,9.4,,5.5,0.0,5.5,0.0,0,1,單季 EPS 年增 9%、月營收年減 8%、PE 13.9（一年 99% 分位）、距 52 週高點 -1%,1.5,77.67,18.0796,0.67,284107.42,75741.06,56821.48,56821.48,1.33,1.0,7.0,正常,49487.62,256.47,49744.08,17.42,0.09,2,0,5,0,20791.0,47.0,,,,,,,0,,,,0.0,54.73,12373,-61,-3.49,50.91,未取得,0.0,50.91,0.0,0.0,0.0,0.0,0.0,-0.33,50.91,2026-06,3.28,-7.72,4.14,,,,營收 2026-06，月增 3.28%，年增 -7.72%，累計年增 4.14%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；營收 2026-06，月增 3.28%，年增 -7.72%，累計年增 4.14%,50.91
2026-07-31,1101,台泥,TWSE,水泥工業,,5,24.3,,3.29,0.77,-0.41,,,-2.99,1.67,8.939,-0.25,251,-6.72,0.62,-40.14,-83.82,-9.83,20.0,0.75,2.26,-0.27,3.5,2026-07-24,51.34,0.46,0.0,55.42,35.43,-0.38,4.18,2026Q1,18.72,8.42,2.17,1,-1.57,,2.5,21.8,-14.5,0.1,42.9,1.84,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-0.8,70.32,24.3946,-0.39,183218.13,24641.99,36643.63,36643.63,0.67,1.0,-3.93,正常,40446.58,172.0,40618.58,22.08,0.09,5,0,4,0,2275.77,87.0,,,,,,,0,,,,0.0,58.23,-1621,140,0.88,65.92,未取得,0.0,65.92,0.0,0.0,0.0,0.0,0.0,6.81,65.92,2026-06,6.11,32.4,1.54,,,,營收 2026-06，月增 6.11%，年增 32.4%，累計年增 1.54%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-06，月增 6.11%，年增 32.4%，累計年增 1.54%,65.92
