latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-27,2408,南亞科,TWSE,半導體業,記憶體,20,541.0,20.99,0.25,5.79,50.07,65.73,77.5,-2.52,50.07,418.242,10.0,252,110.1,1051.06,73.56,961.34,-2.52,1128.15,23.93,111.42,22.0,0.0,2026-08-21,82.9,0.38,3.29,84.86,12.19,-0.21,5.04,2026Q2,79.49,73.68,60.8,4,27.46,19.7,13.8,37.69,-44.3,14.97,,116.44,18.0,12.0,6.0,0.0,0,1,毛利率連 4 季升、月營收年增 720%、PE 21.0（一年 14% 分位）、距 52 週高點 -3%,8.0,103.75,489.1372,10.6,1710122.22,87535.75,85506.11,70613.95,1.02,0.83,-2.5,正常,171713.16,9757.22,181470.38,10.04,0.57,2,0,2,0,30133.53,711.48,摩根大通,48116.0,,503.16,0,摩根大通,0,富邦證券,5498.0,,3.22,34.92,-17846,-362,1.04,59.96,已取得,38.89,98.85,15.92,3.38,0.0,5.6,14.0,24,59.96,2026-07,49.27,719.61,660.87,10.61,2.81,7.52,外資與投信同買；前大買超分點約占成交 2.81%；收盤距區間均價 10.6%；收盤距分點均價 7.52%；連買：外2 / 投2；營收 2026-07，月增 49.27%，年增 719.61%，累計年增 660.87%,外資買超；投信買超；融資下降；波動偏高；毛利率連4升；千張大戶增持；營收 2026-07，月增 49.27%，年增 719.61%，累計年增 660.87%,59.96
2026-08-27,2344,華邦電,TWSE,半導體業,記憶體,20,186.0,20.51,0.27,5.07,43.08,66.92,73.64,-3.63,43.08,257.755,10.0,252,66.07,844.16,29.54,754.44,-20.34,947.89,6.64,76.51,13.54,0.0,2026-08-21,66.79,0.72,0.4,69.68,26.22,-0.69,5.7,2026Q2,66.25,48.43,40.63,2,9.06,20.53,12.4,53.26,-61.5,5.4,,54.59,19.0,11.0,8.0,0.0,0,1,毛利率連 2 季升、月營收年增 292%、PE 20.5（一年 12% 分位）、距 52 週高點 -20%,6.9,58.84,174.9037,6.34,2947392.52,139732.64,147369.63,106389.55,0.95,0.72,-5.07,正常,129435.93,-46842.4,82593.53,4.39,-1.59,2,0,0,4,30131.89,-295.19,摩根大通,59943.0,,175.06,0,摩根大通,0,統一,20652.0,,2.09,1.05,-5571,-1148,0.18,25.23,已取得,15.04,40.27,4.2,2.44,0.0,2.4,6.0,24.0,25.23,2026-07,29.99,291.55,160.97,2.8,2.03,6.25,外資主導買超；前大買超分點約占成交 2.03%；收盤距區間均價 6.34%；收盤距分點均價 6.25%；連買：外2 / 投0；營收 2026-07，月增 29.99%，年增 291.55%，累計年增 160.97%,外資買超；融資下降；波動偏高；毛利率連2升；千張大戶增持；營收 2026-07，月增 29.99%，年增 291.55%，累計年增 160.97%,25.23
2026-08-27,1301,台塑,TWSE,塑膠工業,,20,63.1,38.48,0.79,0.7,14.73,69.31,40.63,-2.02,19.28,15.782,12.84,252,33.12,62.0,-3.41,-27.72,-9.6,74.07,12.67,35.29,6.9,2.0,2026-08-21,71.27,-0.22,-1.32,74.09,21.3,0.1,-3.26,2026Q2,12.65,6.09,22.54,3,1.64,38.48,,,,1.68,,9.53,6.5,8.0,-1.5,0.0,0,0,毛利率連 3 季升、月營收年增 5%、PE 38.5、距 52 週高點 -10%,8.0,40.91,57.8612,9.05,545513.09,50413.39,27275.65,33410.44,1.85,1.22,16.78,放量,6313.65,1891.87,8205.53,1.16,0.35,3,0,0,1,21638.58,-1.0,,,,,,,0,,,,0.0,3.89,-2741,517,0.56,6.04,未取得,0.0,6.04,0.0,0.0,0.0,0.0,0.0,1.59,6.04,2026-07,9.43,4.77,-2.48,,,,營收 2026-07，月增 9.43%，年增 4.77%，累計年增 -2.48%,外資買超；投信買超；融資下降；放量；毛利率連3升；營收 2026-07，月增 9.43%，年增 4.77%，累計年增 -2.48%,6.04
2026-08-27,2889,國票金,TWSE,金融保險業,,20,16.2,13.28,3.64,1.24,3.85,73.68,16.52,-0.92,6.93,1.36,11.31,252,0.0,4.52,-36.53,-85.2,-8.99,12.89,5.36,3.4,0.4,5.0,2026-08-21,70.71,-0.1,-0.29,73.32,21.79,0.1,-1.67,2026Q1,,,33.6,0,0.77,21.04,0.8,27.0,-50.8,0.25,127.3,,23.5,11.0,12.5,0.0,0,1,單季 EPS 年增 127%、月營收年增 16%、PE 13.3（一年 1% 分位）、距 52 週高點 -9%,4.5,74.63,15.6738,3.36,173601.23,36308.75,8680.06,14738.08,4.18,1.7,30.0,強放量,22368.78,-2026.39,20342.38,12.89,-1.17,2,0,0,0,19029.49,0.0,,,,,,,0,,,,0.0,30.46,-234,-31,0.13,40.09,未取得,0.0,40.09,0.0,0.0,0.0,0.0,0.0,9.5,40.09,2026-07,-33.06,16.12,104.08,,,,營收 2026-07，月增 -33.06%，年增 16.12%，累計年增 104.08%,外資買超；融資下降；強放量；接近區間高點；營收 2026-07，月增 -33.06%，年增 16.12%，累計年增 104.08%,40.09
2026-08-27,2317,鴻海,TWSE,其他電子業,EMS組裝,20,252.0,16.61,2.85,1.85,0.6,42.31,29.39,-8.2,5.88,122.147,0.36,252,12.5,23.83,-24.03,-65.89,-19.75,34.4,-0.72,8.0,2.37,1.5,2026-08-21,66.73,-0.3,0.19,69.47,25.85,0.27,-1.83,2026Q2,6.12,3.75,2.37,-1,15.22,16.56,43.7,16.78,-1.0,4.28,33.8,0.59,13.0,11.0,2.0,0.0,0,1,單季 EPS 年增 34%、毛利率連 1 季降、月營收年增 54%、PE 16.6（一年 44% 分位）、距 52 週高點 -20%,0.3,43.59,255.3878,-1.33,956558.01,42280.36,47827.9,30624.19,0.88,0.64,-7.15,正常,79719.74,-5851.16,73868.58,8.33,-0.61,1,0,0,1,18248.97,-120.2,元大證券,37185.0,,256.39,0,元大證券,0,凱基-台北,9028.0,,14.19,26.82,-58,204,0.01,44.47,已取得,37.45,81.92,11.58,4.66,14.0,1.2,6.0,17.64,44.47,2026-07,15.18,54.19,37.89,7.72,3.89,-1.71,外資主導買超；前大買超分點約占成交 3.89%；收盤距區間均價 -1.33%；收盤距分點均價 -1.71%；連買：外1 / 投0；營收 2026-07，月增 15.18%，年增 54.19%，累計年增 37.89%,外資買超；融資下降；千張大戶減持；營收 2026-07，月增 15.18%，年增 54.19%，累計年增 37.89%,44.47
2026-08-27,1314,中石化,TWSE,塑膠工業,,20,8.16,,0.0,0.41,7.79,61.39,28.1,-2.04,9.83,1.915,8.67,251,0.25,13.49,-36.29,-76.23,-23.74,21.97,-0.06,3.17,0.43,2.0,2026-08-21,31.8,0.08,-1.21,40.28,44.71,-0.05,-0.36,2026Q2,5.19,-2.87,-44.32,2,-0.79,,,,,-0.45,,16.55,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-2.6,13.41,7.8534,3.9,487755.03,35700.32,24387.75,28270.4,1.46,1.16,11.11,正常,7065.27,-66.6,6998.66,1.45,-0.01,2,0,0,0,14070.65,0.0,摩根大通,10886.0,,7.81,0,摩根大通,0,元大證券,50157.0,,7.54,8.01,-8199,-89,1.68,-0.29,已取得,27.23,26.94,2.15,2.68,14.0,2.4,6.0,-9.98,-0.29,2026-07,1.85,-35.6,-30.9,1.43,2.23,4.48,外資主導買超；前大買超分點約占成交 2.23%；收盤距區間均價 3.9%；收盤距分點均價 4.48%；連買：外2 / 投0；營收 2026-07，月增 1.85%，年增 -35.6%，累計年增 -30.9%,外資買超；融資下降；毛利率連2升；營收 2026-07，月增 1.85%，年增 -35.6%，累計年增 -30.9%,-0.29
2026-08-27,2801,彰銀,TWSE,金融保險業,,20,24.7,14.53,4.25,1.27,-1.98,77.19,30.38,-4.08,7.39,6.318,-5.19,252,19.61,28.65,-16.92,-61.07,-4.08,28.65,4.94,16.48,3.93,5.0,2026-08-21,73.8,0.09,-0.16,77.5,14.86,-0.03,0.74,2026Q1,,,,0,1.58,15.63,83.7,13.65,6.4,0.44,18.9,,7.5,5.0,4.5,-2.0,0,1,單季 EPS 年增 19%、月營收年增 7%、PE 14.5（一年 84% 分位）、距 52 週高點 -4%,1.5,-20.8,24.3142,1.59,519660.16,30074.64,25983.01,15196.11,1.16,0.58,-4.75,正常,-61397.04,3550.62,-57846.41,-11.81,0.68,1,0,0,1,13000.44,-371.0,土銀,61149.0,,25.4,0,土銀,0,摩根大通,42058.0,,20.07,-27.7,410,109,-0.05,-24.4,已取得,0.0,-24.4,0.0,0.0,0.0,0.0,0.0,3.35,-24.4,2026-07,-0.59,7.11,13.38,,,,營收 2026-07，月增 -0.59%，年增 7.11%，累計年增 13.38%,投信買超；融資增加；RSI過熱；營收 2026-07，月增 -0.59%，年增 7.11%，累計年增 13.38%,-24.4
2026-08-27,2371,大同,TWSE,電機機械,,20,29.2,,0.0,1.24,20.16,73.38,34.78,-2.34,22.18,2.594,13.0,252,-11.65,-26.63,-48.18,-116.35,-34.38,25.32,7.51,-10.06,-11.77,2.0,2026-08-21,42.85,-0.06,0.84,47.5,43.43,-0.03,1.02,2026Q2,17.37,5.25,15.48,3,-4.65,,56.5,7.0,1.9,0.96,336.4,-0.89,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,3.0,48.57,26.9513,8.34,192478.92,36297.87,9623.95,12368.61,3.77,1.29,25.56,強放量,30004.21,-1081.88,28922.33,15.59,-0.56,3,0,0,0,12343.83,0.0,台灣摩根士丹利,10028.0,,25.98,0,台灣摩根士丹利,0,華南永昌-台南,2263.0,,-0.34,32.59,-2135,573,1.29,28.54,已取得,32.35,60.89,22.5,6.25,-6.0,3.6,6.0,-5.34,28.54,2026-07,-30.51,-14.15,1.29,15.03,5.21,12.39,外資主導買超；前大買超分點約占成交 5.21%；收盤距區間均價 8.34%；收盤距分點均價 12.39%；連買：外3 / 投0；營收 2026-07，月增 -30.51%，年增 -14.15%，累計年增 1.29%,外資買超；融資下降；強放量；年線之下；毛利率連3升；營收 2026-07，月增 -30.51%，年增 -14.15%，累計年增 1.29%,28.54
2026-08-27,2634,漢翔,TWSE,航運業,軍工航太,20,70.3,33.96,1.11,3.6,13.57,63.11,61.94,-8.1,17.95,32.207,12.14,252,28.05,12.66,-8.48,-77.06,-8.1,63.49,19.24,29.59,5.79,0.0,2026-08-21,53.55,3.97,4.73,55.68,37.45,-3.83,6.0,2026Q2,18.99,15.22,10.5,1,2.07,33.96,3.2,63.88,-46.8,1.02,,11.41,12.5,7.5,5.0,0.0,0,0,毛利率連 1 季升、月營收年增 20%、PE 34.0（一年 3% 分位）、距 52 週高點 -8%,4.2,57.47,68.5972,2.48,939022.45,103744.46,46951.12,47334.24,2.21,1.01,17.65,強放量,29122.18,-733.02,28389.16,3.1,-0.08,1,0,0,1,11938.6,-15.0,美商高盛,14050.0,,68.86,0,美商高盛,0,摩根大通,4745.0,,11.54,13.93,-623,51,0.07,20.51,已取得,27.53,48.04,4.53,1.8,14.0,1.2,6.0,6.51,20.51,2026-07,12.41,19.99,8.92,3.02,1.5,2.09,外資主導買超；前大買超分點約占成交 1.5%；收盤距區間均價 2.48%；收盤距分點均價 2.09%；連買：外1 / 投0；營收 2026-07，月增 12.41%，年增 19.99%，累計年增 8.92%,外資買超；融資下降；強放量；千張大戶增持；營收 2026-07，月增 12.41%，年增 19.99%，累計年增 8.92%,20.51
2026-08-27,1717,長興,TWSE,化學工業,,20,75.8,39.89,1.32,2.85,26.54,66.9,58.33,-5.01,28.04,10.048,13.0,252,23.65,73.06,-12.88,-16.66,-15.68,122.94,8.09,28.26,4.82,0.0,2026-08-21,60.02,-1.0,1.43,65.86,27.5,1.11,-2.5,2026Q2,24.81,8.59,7.1,3,1.9,39.89,52.0,39.05,2.2,0.72,140.0,3.49,19.0,20.0,-1.0,0.0,0,0,單季 EPS 年增 140%、毛利率連 3 季升、月營收年增 24%、PE 39.9（一年 52% 分位）、距 52 週高點 -16%,5.0,77.0,72.664,4.32,276561.6,33931.58,13828.08,11703.64,2.45,0.85,17.99,強放量,34437.35,2922.04,37359.39,12.45,1.06,1,0,2,0,11851.51,1.0,台灣摩根士丹利,5469.0,,70.51,0,台灣摩根士丹利,0,兆豐-松德,1025.0,,2.19,40.45,-1029,376,0.45,47.69,已取得,47.04,94.73,20.26,2.37,6.0,4.4,14.0,6.79,47.69,2026-07,6.82,23.86,10.48,13.51,1.98,7.5,外資與投信同買；前大買超分點約占成交 1.98%；收盤距區間均價 4.32%；收盤距分點均價 7.5%；連買：外1 / 投2；營收 2026-07，月增 6.82%，年增 23.86%，累計年增 10.48%,外資買超；投信買超；融資下降；強放量；毛利率連3升；千張大戶減持；營收 2026-07，月增 6.82%，年增 23.86%，累計年增 10.48%,47.69
