latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-09,2344,華邦電,TWSE,半導體業,記憶體,20,183.0,20.18,0.27,4.99,3.39,54.89,51.75,-4.69,10.91,279.748,2.03,252,42.97,632.0,5.6,544.88,-21.63,863.16,3.76,64.49,8.97,0.0,2026-09-04,64.57,-3.21,-2.59,67.97,27.54,2.33,-5.5,2026Q2,66.25,48.43,40.63,2,9.06,20.2,15.9,51.04,-60.5,5.4,,54.59,19.0,11.0,8.0,0.0,0,1,毛利率連 2 季升、月營收年增 292%、PE 20.2（一年 16% 分位）、距 52 週高點 -22%,6.9,42.88,181.004,1.1,3091073.49,140400.62,154553.67,148704.81,0.91,0.96,-1.7,正常,133615.31,-63244.15,70371.16,4.32,-2.05,0,1,0,1,-57990.39,-420.2,新加坡商瑞銀,136825.0,,181.82,0,新加坡商瑞銀,0,美商高盛,40832.0,,14.65,6.85,-14825,-9,0.48,31.33,已取得,28.73,60.06,3.41,5.31,14.0,0.0,6.0,24.0,31.33,2026-07,29.99,291.55,160.97,2.28,4.43,0.65,外資主導買超；前大買超分點約占成交 4.43%；收盤距區間均價 1.1%；收盤距分點均價 0.65%；營收 2026-07，月增 29.99%，年增 291.55%，累計年增 160.97%,外資買超；融資下降；毛利率連2升；千張大戶減持；營收 2026-07，月增 29.99%，年增 291.55%，累計年增 160.97%,31.33
2026-09-09,2887,台新新光金,TWSE,金融保險業,金控,20,42.4,15.7,2.59,1.56,17.13,82.41,34.54,-1.51,20.28,25.948,10.0,252,72.36,146.51,34.99,59.39,-1.51,162.54,18.63,66.82,20.2,1.5,2026-09-04,71.52,0.28,0.55,75.58,16.99,-0.14,4.24,2026Q1,,,43.96,0,2.4,17.67,33.3,16.87,-6.9,0.82,148.5,,16.0,13.0,3.0,0.0,0,1,單季 EPS 年增 148%、月營收年增 79%、PE 15.7（一年 33% 分位）、距 52 週高點 -2%,4.5,92.28,38.7883,9.31,1337926.0,69029.38,66896.3,64118.74,1.03,0.96,-0.28,正常,-52439.41,184277.6,131838.2,-3.92,13.77,0,1,12,0,-32416.06,20378.96,富邦證券,59359.0,,37.58,0,富邦證券,0,摩根大通,36424.0,,-2.04,31.54,3014,181,-0.17,51.98,已取得,30.1,82.08,14.78,5.32,-6.0,8.0,8.0,20.61,51.98,2026-07,1.78,79.23,110.53,9.85,4.44,12.83,投信主導買超；前大買超分點約占成交 4.44%；收盤距區間均價 9.31%；收盤距分點均價 12.83%；連買：外0 / 投12；營收 2026-07，月增 1.78%，年增 79.23%，累計年增 110.53%,投信買超；融資增加；接近區間高點；逼近52週高點；RSI過熱；營收 2026-07，月增 1.78%，年增 79.23%，累計年增 110.53%,51.98
2026-09-09,1815,富喬,TPEX,電子零組件業,,20,126.0,36.52,0.79,5.38,40.16,62.84,80.19,-10.95,41.57,88.804,10.0,252,12.0,91.78,-25.37,4.66,-10.95,116.12,29.48,34.83,2.16,0.0,2026-09-04,52.01,6.88,21.31,55.55,38.64,-5.87,6.0,2026Q2,39.97,25.69,39.54,4,3.61,34.9,7.1,74.07,-50.7,1.45,,11.49,17.0,12.0,5.0,0.0,0,1,毛利率連 4 季升、月營收年增 68%、PE 36.5（一年 7% 分位）、距 52 週高點 -11%,8.0,82.75,118.9457,5.93,1493188.0,68959.0,74659.4,84796.2,0.92,1.14,1.26,正常,104942.53,43897.68,148840.22,7.03,2.94,0,1,3,0,-29928.92,10982.0,摩根大通,36766.0,,118.98,0,摩根大通,0,國泰-敦南,5911.0,,2.76,34.88,1858,-443,-0.11,55.96,已取得,36.71,92.67,14.95,2.95,0.0,4.8,14.0,21.19,55.96,2026-07,24.01,68.11,46.9,9.97,2.46,5.9,外資與投信同買；前大買超分點約占成交 2.46%；收盤距區間均價 5.93%；收盤距分點均價 5.9%；連買：外0 / 投3；營收 2026-07，月增 24.01%，年增 68.11%，累計年增 46.9%,外資買超；投信買超；融資增加；波動偏高；毛利率連4升；千張大戶增持；營收 2026-07，月增 24.01%，年增 68.11%，累計年增 46.9%,55.96
2026-09-09,2883,凱基金,TWSE,金融保險業,金控,20,36.75,12.85,2.72,1.45,16.67,86.29,28.03,-2.26,22.3,16.125,5.0,252,77.97,145.0,40.6,57.88,-2.26,150.85,18.07,68.14,20.87,3.5,2026-09-04,65.27,0.26,0.7,69.04,22.94,-0.16,4.08,2026Q1,,,49.61,0,1.91,19.24,29.4,13.42,-4.2,0.69,32.7,,7.5,1.0,6.5,0.0,0,0,單季 EPS 年增 33%、月營收年減 167%、PE 12.8（一年 29% 分位）、距 52 週高點 -2%,4.5,89.77,33.4104,10.0,965281.39,52826.65,48264.07,48413.32,1.09,1.0,1.18,正常,79792.87,96593.07,176385.94,8.27,10.01,0,1,1,0,-21916.64,8068.31,凱基,69698.0,,31.63,0,凱基,0,凱基-台北,18645.0,,1.7,50.03,166,142,-0.0,51.23,已取得,40.76,91.99,22.5,8.66,-6.0,1.6,14.0,1.2,51.23,2026-07,-36.51,-167.35,385.65,18.27,7.22,16.19,外資與投信同買；前大買超分點約占成交 7.22%；收盤距區間均價 10.0%；收盤距分點均價 16.19%；連買：外0 / 投1；營收 2026-07，月增 -36.51%，年增 -167.35%，累計年增 385.65%,外資買超；投信買超；融資增加；RSI過熱；營收 2026-07，月增 -36.51%，年增 -167.35%，累計年增 385.65%,51.23
2026-09-09,2884,玉山金,TWSE,金融保險業,金控,20,44.25,18.36,3.16,2.54,18.63,83.17,33.51,-3.91,21.73,20.384,5.0,251,37.21,30.92,-0.16,-56.2,-3.91,50.51,19.09,31.58,7.7,1.5,2026-09-04,70.17,0.89,1.06,74.4,18.87,-0.69,6.0,2026Q1,,,39.96,0,2.19,20.21,99.2,16.48,11.4,0.62,12.7,,6.0,5.0,1.0,0.0,0,1,單季 EPS 年增 13%、月營收年增 5%、PE 18.4（一年 99% 分位）、距 52 週高點 -4%,4.5,50.27,40.2422,9.96,1013043.14,79994.67,50652.16,71846.27,1.58,1.42,16.65,放量,-107488.2,137070.88,29582.69,-10.61,13.53,0,1,20,0,-20077.28,3131.88,統一,64312.0,,39.99,0,統一,0,摩根大通,93818.0,,2.99,13.84,1756,-32,-0.14,17.24,已取得,28.0,45.24,4.38,7.62,0.0,8.0,8.0,3.54,17.24,2026-07,-6.43,4.75,21.58,2.92,6.35,10.65,投信主導買超；前大買超分點約占成交 6.35%；收盤距區間均價 9.96%；收盤距分點均價 10.65%；連買：外0 / 投20；營收 2026-07，月增 -6.43%，年增 4.75%，累計年增 21.58%,投信買超；融資增加；放量；RSI過熱；千張大戶增持；營收 2026-07，月增 -6.43%，年增 4.75%，累計年增 21.58%,17.24
2026-09-09,2801,彰銀,TWSE,金融保險業,,20,26.85,15.79,3.91,1.38,14.01,81.91,21.86,-2.54,15.24,5.225,4.41,252,29.09,38.4,-8.28,-48.72,-2.54,39.84,11.12,25.14,11.92,5.0,2026-09-04,74.17,-0.34,0.33,77.89,14.46,0.04,-1.73,2026Q1,,,,0,1.58,16.99,98.8,13.65,15.7,0.44,18.9,,7.5,5.0,2.5,0.0,0,1,單季 EPS 年增 19%、月營收年增 7%、PE 15.8（一年 99% 分位）、距 52 週高點 -3%,1.5,60.9,25.3258,6.02,412625.4,29009.61,20631.27,32234.13,1.41,1.56,16.87,放量,11948.26,22588.99,34537.25,2.9,5.47,0,4,4,0,-12910.12,599.0,台灣摩根士丹利,21088.0,,25.08,0,台灣摩根士丹利,0,花旗環球,10600.0,,4.85,28.17,924,114,-0.16,31.36,已取得,39.09,70.45,12.56,6.13,0.0,6.4,14.0,3.35,31.36,2026-07,-0.59,7.11,13.38,8.37,5.11,7.06,外資與投信同買；前大買超分點約占成交 5.11%；收盤距區間均價 6.02%；收盤距分點均價 7.06%；連買：外0 / 投4；營收 2026-07，月增 -0.59%，年增 7.11%，累計年增 13.38%,外資買超；投信買超；融資增加；放量；RSI過熱；千張大戶減持；營收 2026-07，月增 -0.59%，年增 7.11%，累計年增 13.38%,31.36
2026-09-09,2812,台中銀,TWSE,金融保險業,,20,19.15,11.4,5.54,1.2,2.68,60.0,12.52,-2.79,3.79,2.624,5.61,252,-6.59,-13.15,-43.95,-100.27,-17.81,5.8,-2.73,-6.61,-7.26,8.0,2026-09-04,53.75,0.05,-0.03,58.75,28.87,-0.02,0.81,2026Q2,,,,0,1.64,11.68,6.3,13.84,-17.6,0.47,27.0,,22.5,7.0,15.5,0.0,0,1,單季 EPS 年增 27%、月營收年增 2%、PE 11.4（一年 6% 分位）、距 52 週高點 -18%,1.5,44.06,19.0633,0.45,275265.21,28989.58,13763.26,18074.99,2.11,1.31,21.29,強放量,52910.6,-6582.17,46328.43,19.22,-2.39,0,1,0,3,-11757.97,-24.0,台灣摩根士丹利,19082.0,,19.05,0,台灣摩根士丹利,0,元大-士林,20843.0,,14.53,22.52,1652,-16,-0.48,24.75,已取得,50.82,75.57,22.5,8.32,14.0,0.0,6.0,2.71,24.75,2026-07,-5.5,1.56,19.29,16.83,6.93,0.52,外資主導買超；前大買超分點約占成交 6.93%；收盤距區間均價 0.45%；收盤距分點均價 0.52%；營收 2026-07，月增 -5.5%，年增 1.56%，累計年增 19.29%,外資買超；融資增加；強放量；年線之下；營收 2026-07，月增 -5.5%，年增 1.56%，累計年增 19.29%,24.75
2026-09-09,2891,中信金,TWSE,金融保險業,金控,20,66.6,15.93,3.75,1.9,0.15,62.5,26.53,-4.17,7.25,21.701,4.09,252,24.95,57.63,-12.41,-29.49,-9.51,61.85,0.06,22.75,5.01,3.0,2026-09-04,79.07,0.15,0.07,81.88,13.82,-0.09,1.91,2026Q1,,,38.6,0,4.24,15.71,85.3,13.7,16.3,1.18,15.7,,10.0,9.0,1.0,0.0,0,1,單季 EPS 年增 16%、月營收年增 71%、PE 15.9（一年 85% 分位）、距 52 週高點 -10%,4.5,38.43,65.5165,1.65,662454.65,29229.39,33122.73,32115.94,0.88,0.97,-1.9,正常,-39405.34,30355.52,-9049.82,-5.95,4.58,0,1,9,0,-11359.76,1348.49,永豐金-匯立,32188.0,,65.22,0,永豐金-匯立,0,美林,31409.0,,13.46,8.97,382,-25,-0.05,20.87,已取得,0.0,20.87,0.0,0.0,0.0,0.0,0.0,11.95,20.87,2026-07,-8.99,71.11,13.91,,,,營收 2026-07，月增 -8.99%，年增 71.11%，累計年增 13.91%,投信買超；融資增加；營收 2026-07，月增 -8.99%，年增 71.11%，累計年增 13.91%,20.87
2026-09-09,8112,至上,TWSE,電子通路業,,20,86.5,6.54,4.39,2.13,-11.55,25.0,27.08,-13.93,2.25,10.036,-4.5,252,-8.56,107.43,-45.93,20.32,-16.83,109.95,-3.77,10.81,-0.46,4.5,2026-09-04,36.39,-3.18,1.89,40.56,50.78,2.29,-2.5,2026Q2,3.77,3.21,1.92,-2,13.86,6.24,0.0,19.51,-66.5,5.54,1529.4,1.29,17.5,9.5,15.0,-7.0,1,1,⚠ 循環高峰疑慮（獲利在多年高點、年增來自低基期，低 PE 可能反映市場預期獲利反轉）：單季 EPS 年增 1529%、毛利率連 2 季降、月營收年增 333%、PE 6.5（一年 0% 分位）、距 52 週高點 -17%,-0.9,-8.51,92.9166,-6.91,216030.84,21363.12,10801.54,9247.42,1.98,0.86,9.43,放量,-36349.52,3690.0,-32659.52,-16.83,1.71,0,12,2,0,-9362.08,1986.0,凱基-台南,2725.0,,94.31,0,凱基-台南,0,摩根大通,9382.0,,3.34,-32.73,-139,-470,-0.0,-9.36,已取得,0.0,-9.36,0.0,0.0,0.0,0.0,0.0,23.37,-9.36,2026-07,24.74,333.48,180.42,,,,營收 2026-07，月增 24.74%，年增 333.48%，累計年增 180.42%,投信買超；融資下降；放量；毛利率連2降；千張大戶減持；營收 2026-07，月增 24.74%，年增 333.48%，累計年增 180.42%,-9.36
2026-09-09,6949,沛爾生醫*-創,TWSE,生技醫療業,,13,54.9,,0.0,28.01,-94.62,,457.25,-96.32,0.92,7.385,-12.0,245,-90.2,-86.08,-127.56,-173.2,-96.32,0.92,-93.86,-90.91,-12.0,-1.5,2026-09-04,100.0,39.22,38.29,100.0,0.0,-12.64,6.0,2026Q2,-20.09,-1221.13,-993.3,-2,-7.14,,,,,-1.36,,193.13,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-7.4,-27.46,117.9476,-53.45,81395.4,34556.73,6261.18,15830.1,5.52,2.53,30.0,強放量,-5655.52,0.0,-5655.52,-6.95,0.0,0,1,0,0,-6625.88,0.0,兆豐-埔墘,2331.0,,,0,兆豐-埔墘,0,元大證券,9740.0,,0.0,0.0,103535,7,-6.4,-15.56,已取得,0.0,-15.56,0.0,0.0,0.0,0.0,0.0,-9.16,-15.56,2026-07,-23.05,-22.6,-14.53,,,,營收 2026-07，月增 -23.05%，年增 -22.6%，累計年增 -14.53%,融資增加；強放量；年線之下；波動偏高；毛利率連2降；千張大戶增持；營收 2026-07，月增 -23.05%，年增 -22.6%，累計年增 -14.53%,-15.56
