latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-27,2883,凱基金,TWSE,金融保險業,金控,20,32.15,11.24,3.11,1.27,4.21,62.75,28.26,-2.87,8.61,13.874,6.53,252,58.37,110.82,21.84,21.1,-2.87,119.45,7.43,52.42,18.46,6.5,2026-08-21,64.66,-0.02,0.48,68.55,23.33,0.01,1.28,2026Q1,,,49.61,0,1.91,16.83,2.8,13.42,-16.2,0.69,32.7,,13.5,1.0,12.5,0.0,0,0,單季 EPS 年增 33%、月營收年減 167%、PE 11.2（一年 3% 分位）、距 52 週高點 -3%,4.5,98.19,31.1207,3.31,891600.59,35842.29,44580.03,44842.68,0.8,1.01,-2.26,正常,111038.16,114432.9,225471.06,12.45,12.83,3,0,0,1,9279.08,-6332.15,凱基,76033.0,,31.14,0,凱基,0,台灣摩根士丹利,19812.0,,19.12,60.5,-3187,-198,0.35,62.05,已取得,64.33,126.38,22.5,10.23,14.0,3.6,14.0,1.2,62.05,2026-07,-36.51,-167.35,385.65,25.29,8.53,3.24,外資與投信同買；前大買超分點約占成交 8.53%；收盤距區間均價 3.31%；收盤距分點均價 3.24%；連買：外3 / 投0；營收 2026-07，月增 -36.51%，年增 -167.35%，累計年增 385.65%,外資買超；投信買超；融資下降；營收 2026-07，月增 -36.51%，年增 -167.35%，累計年增 385.65%,62.05
2026-08-27,2609,陽明,TWSE,航運業,貨櫃航運,20,57.9,13.04,3.45,0.62,13.98,66.52,52.83,-13.97,16.27,41.857,12.39,252,-3.5,0.35,-40.03,-89.37,-17.17,22.54,10.31,8.25,0.05,5.0,2026-08-21,58.12,3.39,4.64,61.16,35.16,-3.09,6.0,2026Q2,17.54,12.38,12.49,2,4.44,13.04,72.1,7.33,77.9,1.64,485.7,2.29,23.5,17.0,6.5,0.0,0,0,單季 EPS 年增 486%、毛利率連 2 季升、月營收年增 35%、PE 13.0（一年 72% 分位）、距 52 週高點 -17%,5.4,83.48,59.5768,-2.81,1405142.6,60493.75,70257.13,156060.45,0.86,2.22,16.33,放量,189373.14,835.11,190208.25,13.48,0.06,1,0,0,1,7193.62,-16.22,美商高盛,55608.0,,56.82,0,美商高盛,0,國泰-敦南,5960.0,,14.54,36.48,3862,1964,-0.22,46.48,已取得,54.25,100.73,20.3,4.75,14.0,1.2,14.0,10.22,46.48,2026-07,25.59,34.56,5.78,13.54,3.96,1.9,外資與投信同買；前大買超分點約占成交 3.96%；收盤距區間均價 -2.81%；收盤距分點均價 1.9%；連買：外1 / 投0；營收 2026-07，月增 25.59%，年增 34.56%，累計年增 5.78%,外資買超；投信買超；融資增加；放量；毛利率連2升；千張大戶增持；營收 2026-07，月增 25.59%，年增 34.56%，累計年增 5.78%,46.48
2026-08-27,2408,南亞科,TWSE,半導體業,記憶體,20,541.0,20.99,0.25,5.79,50.07,65.73,77.5,-2.52,50.07,418.242,10.0,252,110.1,1051.06,73.56,961.34,-2.52,1128.15,23.93,111.42,22.0,0.0,2026-08-21,82.9,0.38,3.29,84.86,12.19,-0.21,5.04,2026Q2,79.49,73.68,60.8,4,27.46,19.7,13.8,37.69,-44.3,14.97,,116.44,18.0,12.0,6.0,0.0,0,1,毛利率連 4 季升、月營收年增 720%、PE 21.0（一年 14% 分位）、距 52 週高點 -3%,8.0,103.75,489.1372,10.6,1710122.22,87535.75,85506.11,70613.95,1.02,0.83,-2.5,正常,171713.16,9757.22,181470.38,10.04,0.57,2,0,2,0,30133.53,711.48,摩根大通,48116.0,,503.16,0,摩根大通,0,富邦證券,5498.0,,3.22,34.92,-17846,-362,1.04,59.96,已取得,38.89,98.85,15.92,3.38,0.0,5.6,14.0,24,59.96,2026-07,49.27,719.61,660.87,10.61,2.81,7.52,外資與投信同買；前大買超分點約占成交 2.81%；收盤距區間均價 10.6%；收盤距分點均價 7.52%；連買：外2 / 投2；營收 2026-07，月增 49.27%，年增 719.61%，累計年增 660.87%,外資買超；投信買超；融資下降；波動偏高；毛利率連4升；千張大戶增持；營收 2026-07，月增 49.27%，年增 719.61%，累計年增 660.87%,59.96
2026-08-27,2887,台新新光金,TWSE,金融保險業,金控,20,37.3,18.28,2.95,1.64,3.76,62.87,31.76,-2.48,10.52,19.123,6.26,252,51.93,129.54,15.4,39.82,-2.48,131.68,9.71,52.08,17.04,0.0,2026-08-21,71.13,0.08,0.45,75.23,17.18,-0.28,2.49,2026Q1,,,43.96,0,2.4,15.54,73.8,16.87,8.4,0.82,148.5,,13.0,13.0,0.0,0.0,0,1,單季 EPS 年增 148%、月營收年增 79%、PE 18.3（一年 74% 分位）、距 52 週高點 -2%,4.5,106.36,36.2881,2.79,1053931.08,38263.61,52696.55,40671.77,0.73,0.77,-6.94,正常,18558.52,127113.73,145672.25,1.76,12.06,3,0,3,0,3099.43,1780.61,富邦證券,61075.0,,37.11,0,富邦證券,0,永豐金-匯立,15276.0,,16.23,59.08,1890,-158,-0.15,79.54,已取得,64.09,143.63,20.73,6.95,14.0,8.4,14.0,20.61,79.54,2026-07,1.78,79.23,110.53,13.82,5.79,0.51,外資與投信同買；前大買超分點約占成交 5.79%；收盤距區間均價 2.79%；收盤距分點均價 0.51%；連買：外3 / 投3；營收 2026-07，月增 1.78%，年增 79.23%，累計年增 110.53%,外資買超；投信買超；融資增加；營收 2026-07，月增 1.78%，年增 79.23%，累計年增 110.53%,79.54
2026-08-27,2324,仁寶,TWSE,電腦及週邊設備業,AI伺服器/組裝,20,39.75,19.97,2.77,1.23,10.42,58.74,64.33,-11.57,15.05,42.156,10.25,252,30.76,43.76,-5.78,-45.96,-16.75,48.88,6.15,22.07,6.38,2.0,2026-08-21,62.42,0.42,2.31,66.4,28.61,-0.63,5.36,2026Q2,4.62,1.2,1.31,-2,1.95,20.38,40.1,20.5,-2.6,0.73,563.6,-0.25,11.5,8.0,3.5,0.0,0,0,單季 EPS 年增 564%、毛利率連 2 季降、月營收年增 38%、PE 20.0（一年 40% 分位）、距 52 週高點 -17%,-0.9,45.66,40.4316,-1.69,2085278.47,77545.6,104263.92,82247.47,0.74,0.79,-6.45,正常,136850.7,2842.2,139692.9,6.56,0.14,0,1,0,2,-32046.11,-64.98,摩根大通,71168.0,,38.81,0,摩根大通,0,美林,25916.0,,13.47,17.83,2213,304,-0.08,25.79,已取得,42.14,67.93,10.05,4.1,14.0,0.0,14.0,8.04,25.79,2026-07,-15.49,38.26,18.82,6.7,3.41,2.42,外資與投信同買；前大買超分點約占成交 3.41%；收盤距區間均價 -1.69%；收盤距分點均價 2.42%；營收 2026-07，月增 -15.49%，年增 38.26%，累計年增 18.82%,外資買超；投信買超；融資增加；毛利率連2降；千張大戶增持；營收 2026-07，月增 -15.49%，年增 38.26%，累計年增 18.82%,25.79
2026-08-27,1402,遠東新,TWSE,紡織纖維,,20,28.4,14.72,4.4,0.65,4.6,56.92,30.5,-7.34,6.77,5.414,6.76,252,1.79,2.9,-34.74,-86.82,-10.27,21.89,2.01,3.2,0.58,5.0,2026-08-21,87.05,0.6,0.42,89.03,7.99,-0.4,5.76,2026Q2,19.82,7.54,3.94,-1,2.04,13.92,2.0,17.75,-17.1,0.54,170.0,1.5,25.5,13.0,12.5,0.0,0,0,單季 EPS 年增 170%、毛利率連 1 季降、月營收年增 21%、PE 14.7（一年 2% 分位）、距 52 週高點 -10%,0.3,70.71,27.9964,1.44,386745.57,12686.92,19337.28,21419.0,0.66,1.11,-2.4,正常,110739.24,26831.99,137571.24,28.63,6.94,0,2,0,1,-973.0,-65.15,台灣摩根士丹利,44365.0,,28.04,0,台灣摩根士丹利,0,港商麥格理,14492.0,,21.89,48.84,2240,72,-0.45,53.51,已取得,64.27,117.78,22.5,13.77,14.0,0.0,14.0,5.12,53.51,2026-07,1.94,20.58,7.41,35.57,11.47,1.28,外資與投信同買；前大買超分點約占成交 11.47%；收盤距區間均價 1.44%；收盤距分點均價 1.28%；營收 2026-07，月增 1.94%，年增 20.58%，累計年增 7.41%,外資買超；投信買超；融資增加；千張大戶增持；營收 2026-07，月增 1.94%，年增 20.58%，累計年增 7.41%,53.51
2026-08-27,2886,兆豐金,TWSE,金融保險業,金控,20,46.15,17.96,3.79,1.7,-13.09,26.83,31.69,-14.06,2.67,16.453,-4.5,252,17.43,15.23,-19.1,-74.49,-14.06,21.93,-1.47,10.13,3.45,3.0,2026-08-21,81.76,-0.04,-0.02,83.25,13.82,0.06,-0.38,2026Q1,,,45.25,0,2.45,18.84,50.8,17.93,0.2,0.63,16.7,,6.0,5.0,1.0,0.0,0,1,單季 EPS 年增 17%、月營收年增 2%、PE 18.0（一年 51% 分位）、距 52 週高點 -14%,4.5,70.96,48.3416,-4.53,680691.66,22503.03,34034.58,23483.46,0.66,0.69,-9.03,正常,63413.52,69191.02,132604.54,9.32,10.16,11,0,0,1,7301.73,-67.6,土銀,24769.0,,50.59,0,土銀,0,富邦證券,36102.0,,5.71,66.13,1418,-73,-0.17,69.4,已取得,46.87,116.27,22.5,4.37,0.0,6.0,14.0,3.44,69.4,2026-07,6.77,1.77,14.42,19.48,3.64,-8.78,外資與投信同買；前大買超分點約占成交 3.64%；收盤距區間均價 -4.53%；收盤距分點均價 -8.78%；連買：外11 / 投0；營收 2026-07，月增 6.77%，年增 1.77%，累計年增 14.42%,外資買超；投信買超；融資增加；營收 2026-07，月增 6.77%，年增 1.77%，累計年增 14.42%,69.4
2026-08-27,2615,萬海,TWSE,航運業,貨櫃航運,20,113.5,7.8,2.64,1.1,34.0,75.81,68.08,-15.61,35.44,41.959,-1.0,252,44.22,37.08,7.68,-52.64,-15.61,55.48,29.77,40.67,9.34,5.0,2026-08-21,86.68,1.8,3.16,89.04,8.68,-1.6,6.0,2026Q2,30.37,25.95,26.89,1,14.55,7.8,90.1,6.6,18.2,4.11,953.8,1.09,21.5,14.0,7.5,0.0,0,0,單季 EPS 年增 954%、毛利率連 1 季升、月營收年增 50%、PE 7.8（一年 90% 分位）、距 52 週高點 -16%,5.7,83.33,111.2595,2.01,754253.34,45539.69,37712.67,78723.44,1.21,2.09,22.89,放量,110236.49,1557.05,111793.55,14.62,0.21,0,1,0,1,-6125.0,-7.35,台灣摩根士丹利,38207.0,,104.91,0,台灣摩根士丹利,0,中國信託,12485.0,,5.25,33.87,530,1444,0.06,46.84,已取得,48.31,95.15,22.23,6.08,6.0,0.0,14.0,12.91,46.84,2026-07,15.3,50.13,12.8,14.82,5.07,8.19,外資與投信同買；前大買超分點約占成交 5.07%；收盤距區間均價 2.01%；收盤距分點均價 8.19%；營收 2026-07，月增 15.3%，年增 50.13%，累計年增 12.8%,外資買超；投信買超；融資增加；放量；RSI過熱；波動偏高；千張大戶增持；營收 2026-07，月增 15.3%，年增 50.13%，累計年增 12.8%,46.84
2026-08-27,1815,富喬,TPEX,電子零組件業,,20,116.5,33.77,0.86,4.97,75.72,83.26,65.22,-2.1,80.62,45.362,2.0,252,7.87,52.29,-28.66,-37.43,-10.04,99.83,25.3,27.88,1.35,0.0,2026-08-21,37.59,7.15,7.88,41.28,52.04,-8.16,6.0,2026Q2,39.97,25.69,39.54,4,3.61,32.27,4.4,76.3,-55.7,1.45,,11.49,17.0,12.0,5.0,0.0,0,1,毛利率連 4 季升、月營收年增 68%、PE 33.8（一年 4% 分位）、距 52 週高點 -10%,8.0,95.36,102.4612,13.7,885453.0,75561.0,44272.65,80848.6,1.71,1.83,24.7,放量,60020.96,35464.39,95485.35,6.78,4.01,2,0,8,0,209.66,398.0,美林,15578.0,,103.03,0,美林,0,華南永昌-竹北,2876.0,,-4.05,44.7,3472,1207,-0.23,65.66,已取得,31.69,97.35,16.18,2.11,-11.0,10.4,14.0,21.19,65.66,2026-07,24.01,68.11,46.9,10.78,1.76,13.07,外資與投信同買；前大買超分點約占成交 1.76%；收盤距區間均價 13.7%；收盤距分點均價 13.07%；連買：外2 / 投8；營收 2026-07，月增 24.01%，年增 68.11%，累計年增 46.9%,外資買超；投信買超；融資增加；放量；RSI過熱；波動偏高；毛利率連4升；千張大戶增持；營收 2026-07，月增 24.01%，年增 68.11%，累計年增 46.9%,65.66
2026-08-27,2301,光寶科,TWSE,電腦及週邊設備業,電源供應器,20,301.0,35.2,1.66,7.13,44.02,71.26,74.97,-3.68,44.02,104.899,10.0,252,86.96,131.54,50.42,41.82,-3.68,146.72,29.99,62.84,16.05,-1.5,2026-08-21,76.14,-0.16,2.44,81.53,14.03,-0.08,0.22,2026Q2,27.22,15.56,13.5,1,8.55,35.2,97.6,27.06,30.1,3.14,127.5,6.34,14.5,17.5,-3.0,0.0,0,1,單季 EPS 年增 128%、毛利率連 1 季升、月營收年增 38%、PE 35.2（一年 98% 分位）、距 52 週高點 -4%,4.2,75.95,268.5207,12.1,781306.99,25729.08,39065.35,44286.84,0.66,1.13,-1.96,正常,79929.13,15209.81,95138.94,10.23,1.95,0,3,8,0,-3239.6,3050.1,摩根大通,20787.0,,260.55,0,摩根大通,0,永豐金-匯立,5737.0,,-3.17,37.11,4477,29,-0.46,47.96,已取得,32.46,80.42,18.27,3.19,-11.0,8.0,14.0,11.31,47.96,2026-07,1.88,37.61,26.99,12.18,2.66,15.52,外資與投信同買；前大買超分點約占成交 2.66%；收盤距區間均價 12.1%；收盤距分點均價 15.52%；連買：外0 / 投8；營收 2026-07，月增 1.88%，年增 37.61%，累計年增 26.99%,外資買超；投信買超；融資增加；波動偏高；營收 2026-07，月增 1.88%，年增 37.61%，累計年增 26.99%,47.96
