latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-06,3017,奇鋐,TWSE,電腦及週邊設備業,散熱,20,2940.0,48.31,0.71,25.55,25.11,71.64,88.42,-0.84,45.91,107.833,15.0,252,97.32,169.72,56.93,84.9,-2.33,250.0,19.38,65.71,22.0,-3.5,2026-07-31,52.32,-0.62,-0.45,66.11,20.77,0.28,-5.35,2026Q1,29.77,24.51,16.14,3,61.06,48.15,90.1,38.78,24.6,20.17,143.6,5.82,17.0,20.0,-3.0,0.0,0,1,單季 EPS 年增 144%、毛利率連 3 季升、月營收年增 66%、PE 48.3（一年 90% 分位）、距 52 週高點 -2%,6.5,104.86,2388.461,23.09,90295.37,9418.73,4514.77,5564.86,2.09,1.23,19.76,強放量,876.48,5227.93,6104.41,0.97,5.79,4,0,6,0,2310.53,908.0,港商麥格理,1519.0,,2298.51,0,港商麥格理,0,台灣摩根士丹利,706.0,,-4.37,38.32,-234,50,0.29,60.33,已取得,33.96,94.29,10.14,2.02,-5.0,12.8,14.0,21.72,60.33,2026-06,11.01,66.11,85.46,6.76,1.68,,外資與投信同買；前大買超分點約占成交 1.68%；收盤距區間均價 23.09%；連買：外4 / 投6；營收 2026-06，月增 11.01%，年增 66.11%，累計年增 85.46%,外資買超；投信買超；融資下降；強放量；接近區間高點；波動偏高；毛利率連3升；千張大戶減持；營收 2026-06，月增 11.01%，年增 66.11%，累計年增 85.46%,60.33
2026-08-06,2059,川湖,TWSE,電子零組件業,連接器,20,10100.0,55.68,0.5,28.51,22.42,69.25,95.6,0.0,47.66,53.946,15.0,252,229.53,241.22,189.14,156.39,0.0,307.26,46.53,131.87,22.0,-3.5,2026-07-31,56.04,-0.24,-0.5,66.0,18.06,0.19,-3.42,2026Q1,77.74,67.06,63.96,2,113.46,89.02,78.2,42.54,30.9,36.58,38.8,-1.81,11.0,14.0,-3.0,0.0,0,1,單季 EPS 年增 39%、毛利率連 2 季升、月營收年增 221%、PE 55.7（一年 78% 分位）,6.9,70.98,8218.7143,22.89,13127.61,698.42,656.38,627.59,1.06,0.96,0.07,正常,-924.72,1345.31,420.59,-7.04,10.25,0,6,10,0,-109.64,3.97,國泰證券,162.0,,8535.49,3,國泰證券,0,美商高盛,199.0,,-2.88,11.97,106,38,-0.47,33.96,已取得,17.29,51.25,4.81,1.48,-5.0,8.0,8.0,22.46,33.96,2026-06,17.18,220.52,98.95,3.2,1.23,,投信主導買超；前大買超分點約占成交 1.23%；收盤距區間均價 22.89%；連買：外0 / 投10；營收 2026-06，月增 17.18%，年增 220.52%，累計年增 98.95%,投信買超；融資增加；接近區間高點；逼近52週高點；波動偏高；主力分點連3買；毛利率連2升；營收 2026-06，月增 17.18%，年增 220.52%，累計年增 98.95%,33.96
2026-08-06,5351,鈺創,TPEX,半導體業,,20,103.0,15.94,0.0,4.69,4.89,60.14,117.71,-2.37,56.77,24.796,3.93,252,86.93,242.19,46.54,157.37,-2.37,300.0,18.15,73.52,21.58,1.5,2026-07-31,23.03,-5.22,-2.45,31.01,58.4,3.41,-5.5,2026Q1,36.65,22.53,22.46,3,0.96,107.29,6.6,89.69,-82.2,1.88,,57.21,20.0,12.0,8.0,0.0,0,1,毛利率連 3 季升、月營收年增 657%、PE 15.9（一年 7% 分位）、距 52 週高點 -2%,8.0,74.88,93.144,10.58,532432.0,48375.0,26621.6,20217.6,1.82,0.76,8.96,放量,13075.03,490.0,13565.03,2.46,0.09,5,0,2,0,8667.8,427.0,摩根大通,7297.0,,94.35,3,摩根大通,0,花旗環球,1042.0,,3.95,18.18,-2826,466,0.58,40.89,已取得,28.67,69.56,3.82,1.64,0.0,9.2,14.0,22.13,40.89,2026-06,14.4,657.48,456.48,2.55,1.37,,外資與投信同買；前大買超分點約占成交 1.37%；收盤距區間均價 10.58%；連買：外5 / 投2；營收 2026-06，月增 14.4%，年增 657.48%，累計年增 456.48%,外資買超；投信買超；融資下降；放量；波動偏高；主力分點連3買；毛利率連3升；千張大戶減持；營收 2026-06，月增 14.4%，年增 657.48%，累計年增 456.48%,40.89
2026-08-06,6669,緯穎,TWSE,電腦及週邊設備業,,20,6265.0,21.0,2.62,8.31,24.31,73.81,88.73,-2.11,35.61,108.222,10.0,252,73.79,116.78,33.4,31.96,-2.11,154.16,20.71,48.47,20.01,-1.5,2026-07-31,53.1,-0.65,-0.67,64.47,19.47,-0.13,-5.5,2026Q1,7.55,6.31,5.1,1,298.31,21.0,94.4,17.08,23.0,75.95,44.1,-0.71,12.5,12.5,0.0,0.0,0,1,單季 EPS 年增 44%、毛利率連 1 季升、月營收年增 30%、PE 21.0（一年 94% 分位）、距 52 週高點 -2%,2.7,64.16,5450.1646,14.95,39713.25,1342.31,1985.66,2264.68,0.68,1.14,-1.64,正常,-437.38,3568.1,3130.72,-1.1,8.98,2,0,0,2,240.81,-32.92,元大證券,656.0,,5539.59,0,元大證券,0,花旗環球,939.0,,-5.2,21.57,-690,17,1.76,39.27,已取得,19.21,58.48,11.82,1.98,-5.0,2.4,8.0,15.94,39.27,2026-06,32.51,29.79,41.71,7.88,1.65,,投信主導買超；前大買超分點約占成交 1.65%；收盤距區間均價 14.95%；連買：外2 / 投0；營收 2026-06，月增 32.51%，年增 29.79%，累計年增 41.71%,投信買超；融資下降；波動偏高；千張大戶減持；營收 2026-06，月增 32.51%，年增 29.79%，累計年增 41.71%,39.27
2026-08-06,2377,微星,TWSE,電腦及週邊設備業,AI伺服器/組裝,20,154.0,16.09,2.73,2.37,6.21,62.38,47.55,-2.53,17.11,24.896,7.73,252,69.6,2.33,29.21,-82.5,-2.53,81.18,12.46,35.88,19.51,1.5,2026-07-31,58.97,-1.21,3.4,65.86,28.94,0.58,-2.5,2026Q1,15.0,6.89,6.07,1,9.57,16.09,39.3,17.71,-9.1,4.04,218.1,5.0,13.5,10.5,3.0,0.0,0,1,單季 EPS 年增 218%、毛利率連 1 季升、月營收年減 9%、PE 16.1（一年 39% 分位）、距 52 週高點 -3%,2.7,71.33,146.4857,5.13,339910.57,17400.9,16995.53,17446.39,1.02,1.03,0.71,正常,34188.98,2630.8,36819.78,10.06,0.77,5,0,1,0,4224.48,410.0,富邦證券,16304.0,,148.47,6,富邦證券,0,國泰證券,1153.0,,19.59,43.1,-1180,-463,0.31,42.03,已取得,43.6,85.63,16.25,5.76,0.0,7.6,14.0,-1.38,42.03,2026-06,12.39,-9.23,-7.56,10.83,4.8,,外資與投信同買；前大買超分點約占成交 4.8%；收盤距區間均價 5.13%；連買：外5 / 投1；營收 2026-06，月增 12.39%，年增 -9.23%，累計年增 -7.56%,外資買超；投信買超；融資下降；主力分點連6買；千張大戶減持；營收 2026-06，月增 12.39%，年增 -9.23%，累計年增 -7.56%,42.03
2026-08-06,3022,威強電,TWSE,電腦及週邊設備業,,20,100.5,28.47,3.48,1.54,12.92,72.53,70.95,-0.5,30.18,2.885,13.75,252,57.52,34.9,17.13,-49.92,-0.5,81.41,22.03,42.83,17.81,1.5,2026-07-31,57.95,1.33,3.9,64.99,27.91,-0.43,6.0,2026Q1,28.15,2.29,10.61,-1,3.53,28.47,99.6,13.47,111.4,0.96,-53.4,-10.02,-4.5,-5.5,1.0,0.0,0,0,毛利率連 1 季降、月營收年增 80%、PE 28.5（一年 100% 分位）、距 52 週高點 -0%,1.8,86.16,91.2667,10.12,63212.36,8930.8,3160.62,4746.27,2.83,1.5,29.03,強放量,4033.47,335.15,4368.62,6.38,0.53,0,1,1,0,-136.83,343.0,美商高盛,1339.0,,90.63,14,美商高盛,0,美林,513.0,,6.14,16.12,116,4,-0.14,30.79,已取得,28.51,59.3,10.37,2.54,0.0,1.6,14.0,14.81,30.79,2026-06,8.34,79.97,18.78,6.91,2.12,,外資與投信同買；前大買超分點約占成交 2.12%；收盤距區間均價 10.12%；連買：外0 / 投1；營收 2026-06，月增 8.34%，年增 79.97%，累計年增 18.78%,外資買超；投信買超；融資增加；強放量；接近區間高點；逼近52週高點；波動偏高；主力分點連14買；千張大戶增持；營收 2026-06，月增 8.34%，年增 79.97%，累計年增 18.78%,30.79
2026-08-06,2362,藍天,TWSE,電腦及週邊設備業,,20,51.1,22.81,3.91,0.67,17.74,83.02,53.6,-1.35,26.49,0.757,10.0,252,37.0,12.31,-3.39,-72.51,-1.92,39.81,16.59,25.12,13.29,3.5,2026-07-31,76.12,0.27,0.72,79.73,16.46,-0.09,4.16,2026Q1,20.88,6.85,7.1,2,2.23,22.91,75.0,18.79,21.4,0.61,41.9,-3.93,13.5,11.0,2.5,0.0,0,0,單季 EPS 年增 42%、毛利率連 2 季升、月營收年增 30%、PE 22.8（一年 75% 分位）、距 52 週高點 -2%,3.9,90.23,46.1617,10.7,32777.5,12720.26,1638.87,3863.75,7.76,2.36,30.0,強放量,6984.25,-315.0,6669.25,21.31,-0.96,4,0,0,0,4358.02,0.0,美商高盛,2016.0,,46.6,6,美商高盛,0,富邦-台北,375.0,,10.81,33.6,263,10,-0.62,40.38,已取得,40.68,81.06,22.5,7.38,0.0,4.8,6.0,7.4,40.38,2026-06,-7.26,30.25,17.64,20.35,6.15,,外資主導買超；前大買超分點約占成交 6.15%；收盤距區間均價 10.7%；連買：外4 / 投0；營收 2026-06，月增 -7.26%，年增 30.25%，累計年增 17.64%,外資買超；融資增加；強放量；接近區間高點；逼近52週高點；RSI過熱；主力分點連6買；毛利率連2升；營收 2026-06，月增 -7.26%，年增 30.25%，累計年增 17.64%,40.38
2026-08-06,2880,華南金,TWSE,金融保險業,金控,20,44.05,21.28,3.29,2.52,13.38,78.68,18.94,-2.44,14.86,11.168,4.03,252,34.5,48.57,-5.89,-36.26,-2.44,60.18,18.75,33.86,12.74,1.5,2026-07-31,79.58,0.3,0.7,81.99,12.93,-0.16,4.4,2026Q1,,,40.92,0,2.06,21.38,99.6,17.43,22.1,0.55,41.0,,12.0,11.0,1.0,0.0,0,1,單季 EPS 年增 41%、月營收年增 22%、PE 21.3（一年 100% 分位）、距 52 週高點 -2%,4.5,44.93,41.2845,6.7,541029.06,25496.42,27051.45,28138.52,0.94,1.04,-0.05,正常,-97486.63,110260.11,12773.48,-18.02,20.38,0,8,15,0,-11103.86,10426.0,元大證券,67841.0,,40.9,20,元大證券,0,台灣摩根士丹利,54944.0,,13.97,9.39,3,-47,-0.0,17.78,已取得,34.59,52.37,3.54,15.05,0.0,8.0,8.0,8.39,17.78,2026-06,3.09,21.56,25.84,2.36,12.54,,投信主導買超；前大買超分點約占成交 12.54%；收盤距區間均價 6.7%；連買：外0 / 投15；營收 2026-06，月增 3.09%，年增 21.56%，累計年增 25.84%,投信買超；融資增加；RSI過熱；主力分點連20買；千張大戶增持；營收 2026-06，月增 3.09%，年增 21.56%，累計年增 25.84%,17.78
2026-08-06,6491,晶碩,TWSE,生技醫療業,,20,379.0,18.22,2.64,2.62,1.07,74.18,54.03,-2.07,22.65,2.027,4.64,252,34.4,19.18,-5.99,-65.64,-2.82,40.11,14.19,23.2,12.72,0.0,2026-07-31,51.9,-1.86,-1.47,61.9,27.7,1.61,-5.5,2026Q1,53.33,28.79,25.05,2,20.66,18.34,99.2,14.64,24.5,6.06,-3.3,1.74,3.5,3.5,0.0,0.0,0,0,毛利率連 2 季升、月營收年增 34%、PE 18.2（一年 99% 分位）、距 52 週高點 -3%,6.9,73.73,349.4865,8.44,11597.23,816.65,579.86,990.44,1.41,1.71,19.23,放量,1635.06,148.0,1783.06,14.1,1.28,0,1,1,0,-13.03,164.0,美商高盛,581.0,,347.86,2,美商高盛,0,新加坡商瑞銀,369.0,,6.02,31.69,-410,0,3.54,45.35,已取得,44.11,89.46,22.5,6.01,0.0,1.6,14.0,10.12,45.35,2026-06,1.09,33.94,24.22,15.37,5.01,,外資與投信同買；前大買超分點約占成交 5.01%；收盤距區間均價 8.44%；連買：外0 / 投1；營收 2026-06，月增 1.09%，年增 33.94%，累計年增 24.22%,外資買超；投信買超；融資下降；放量；毛利率連2升；千張大戶減持；營收 2026-06，月增 1.09%，年增 33.94%，累計年增 24.22%,45.35
2026-08-06,1590,亞德客-KY,TWSE,電機機械,自動化/傳動,20,1560.0,34.15,1.87,6.14,21.88,74.38,60.81,0.0,25.3,13.93,18.0,252,33.33,93.07,-7.06,8.25,-2.5,110.53,13.5,43.84,12.49,-1.5,2026-07-31,52.3,0.3,-1.45,72.69,10.4,0.26,0.9,2026Q1,47.97,33.2,26.67,4,45.67,34.16,96.4,24.76,37.9,13.35,37.9,5.13,15.0,18.0,-3.0,0.0,0,1,單季 EPS 年增 38%、毛利率連 4 季升、月營收年增 45%、PE 34.1（一年 96% 分位）、距 52 週高點 -2%,8.0,74.13,1373.585,13.57,20282.28,886.36,1014.11,1221.65,0.87,1.2,1.76,正常,324.47,402.98,727.45,1.6,1.99,4,0,3,0,41.97,13.0,台灣摩根士丹利,1279.0,,1371.48,20,台灣摩根士丹利,0,花旗環球,592.0,,4.11,22.54,20,-1,-0.08,35.36,已取得,31.55,66.91,5.38,7.57,-5.0,9.6,14.0,12.9,35.36,2026-06,0.08,44.88,30.08,3.59,6.31,,外資與投信同買；前大買超分點約占成交 6.31%；收盤距區間均價 13.57%；連買：外4 / 投3；營收 2026-06，月增 0.08%，年增 44.88%，累計年增 30.08%,外資買超；投信買超；融資增加；接近區間高點；主力分點連20買；毛利率連4升；千張大戶增持；營收 2026-06，月增 0.08%，年增 44.88%，累計年增 30.08%,35.36
