latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-22,1810,和成,TWSE,玻璃陶瓷,,5,34.15,9.03,0.59,1.28,18.17,,,0.0,28.87,9.593,14.0,252,75.13,120.32,27.48,25.79,0.0,140.49,61.0,77.24,19.3,5.0,2026-07-17,61.82,-0.59,0.38,66.63,27.32,1.18,-2.86,2026Q1,17.36,-19.13,106.14,-1,3.78,9.03,3.3,49.57,30.3848,12.39,157858.44,36961.75,31571.69,31571.69,1.17,1.0,2.05,正常,6279.63,14.69,6294.31,3.98,0.01,2,0,0,0,7155.43,0.0,,,,,,,0,,,,0.0,11.17,-1699,2588,2.06,9.81,未取得,0.0,9.81,0.0,0.0,0.0,0.0,0.0,-3.42,9.81,2026-06,0.41,-11.91,-8.26,,,,營收 2026-06，月增 0.41%，年增 -11.91%，累計年增 -8.26%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；千張大戶減持；營收 2026-06，月增 0.41%，年增 -11.91%，累計年增 -8.26%,9.81
2026-07-22,3088,艾訊,TPEX,電腦及週邊設備業,,5,147.5,26.06,1.99,3.12,6.88,,,-2.96,19.92,2.899,4.13,252,72.51,60.68,24.87,-33.86,-2.96,106.29,9.6,55.23,18.98,0.0,2026-07-17,40.06,-0.16,1.36,49.72,37.96,0.5,0.22,2026Q1,34.03,12.88,11.52,1,5.69,25.92,4.2,95.82,144.7119,1.93,10017.0,6615.0,2003.4,2003.4,3.3,1.0,21.0,強放量,2741.11,0.0,2741.11,27.36,0.0,3,0,0,0,2740.97,0.0,,,,,,,0,,,,0.0,44.0,103,-2,-0.83,57.79,未取得,0.0,57.79,0.0,0.0,0.0,0.0,0.0,14.62,57.79,2026-06,-6.38,48.37,41.75,,,,營收 2026-06，月增 -6.38%，年增 48.37%，累計年增 41.75%,外資買超；融資增加；強放量；營收 2026-06，月增 -6.38%，年增 48.37%，累計年增 41.75%,57.79
2026-07-22,2883,凱基金,TWSE,金融保險業,金控,5,30.45,17.11,3.28,1.52,-0.33,,,-1.14,3.22,16.146,4.8,252,71.55,98.37,23.9,3.84,-2.4,107.85,16.93,56.67,18.87,3.0,2026-07-17,63.84,0.02,0.06,67.79,23.86,-0.1,0.84,2026Q1,,,49.61,0,1.91,15.94,4.5,93.43,30.124,1.08,267984.01,59155.62,53596.8,53596.8,1.1,1.0,1.24,正常,62273.26,2648.55,64921.81,23.24,0.99,2,0,2,0,37650.85,1284.15,,,,,,,0,,,,0.0,49.47,-2510,90,0.96,60.8,未取得,0.0,60.8,0.0,0.0,0.0,0.0,0.0,10.37,60.8,2026-06,15.71,-6.2,128.36,,,,營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,60.8
2026-07-22,1709,和益,TWSE,化學工業,,5,27.9,20.07,3.58,1.52,2.57,,,-2.45,9.2,1.589,1.54,252,61.74,58.97,14.09,-35.56,-2.45,73.29,31.66,53.43,17.69,1.5,2026-07-17,57.63,2.77,3.97,66.75,24.03,-2.15,6.0,2026Q1,20.33,13.22,10.92,3,1.38,20.22,6.5,49.56,27.203,2.56,29197.23,5226.74,5839.45,5839.45,0.9,1.0,-1.26,正常,197.41,0.0,197.41,0.68,0.0,1,0,0,0,119.16,0.0,,,,,,,0,,,,0.0,9.89,5249,-10,-6.41,16.96,未取得,0.0,16.96,0.0,0.0,0.0,0.0,0.0,13.48,16.96,2026-06,14.17,70.14,6.15,,,,營收 2026-06，月增 14.17%，年增 70.14%，累計年增 6.15%,外資買超；融資增加；毛利率連3升；千張大戶增持；營收 2026-06，月增 14.17%，年增 70.14%，累計年增 6.15%,16.96
2026-07-22,6414,樺漢,TWSE,電腦及週邊設備業,,5,490.0,22.77,2.81,2.72,22.5,,,0.0,26.45,15.807,14.0,252,61.18,61.72,13.54,-32.82,0.0,91.41,32.7,57.2,17.62,0.0,2026-07-17,49.23,-1.66,-1.76,66.3,22.32,-0.03,-5.5,2026Q1,20.11,5.37,2.03,-2,22.39,21.88,-0.9,75.51,433.2182,13.11,18243.72,5327.08,3648.74,3648.74,1.46,1.0,8.52,正常,2305.41,54.0,2359.41,12.64,0.3,5,0,0,1,751.43,-4.0,,,,,,,0,,,,0.0,34.59,1195,332,-4.15,46.03,未取得,0.0,46.03,0.0,0.0,0.0,0.0,0.0,15.59,46.03,2026-06,13.36,56.97,23.33,,,,營收 2026-06，月增 13.36%，年增 56.97%，累計年增 23.33%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；毛利率連2降；千張大戶減持；營收 2026-06，月增 13.36%，年增 56.97%，累計年增 23.33%,46.03
2026-07-22,2377,微星,TWSE,電腦及週邊設備業,AI伺服器/組裝,5,155.0,16.2,2.71,2.38,6.9,,,-1.59,17.87,26.119,9.14,252,56.57,7.27,8.92,-87.27,-1.59,82.35,20.59,36.65,16.73,1.5,2026-07-17,58.56,1.36,4.84,64.55,30.43,-1.19,6.0,2026Q1,15.0,6.89,6.07,1,9.57,16.2,2.7,97.36,147.2865,5.24,88666.7,40828.32,17733.34,17733.34,2.3,1.0,18.63,強放量,11682.74,1986.38,13669.12,13.18,2.24,4,0,3,0,10420.8,691.38,,,,,,,0,,,,0.0,53.1,-258,-85,0.26,51.98,未取得,0.0,51.98,0.0,0.0,0.0,0.0,0.0,-1.38,51.98,2026-06,12.39,-9.23,-7.56,,,,營收 2026-06，月增 12.39%，年增 -9.23%，累計年增 -7.56%,外資買超；投信買超；融資下降；強放量；接近區間高點；逼近52週高點；千張大戶增持；營收 2026-06，月增 12.39%，年增 -9.23%，累計年增 -7.56%,51.98
2026-07-22,6957,裕慶-KY,TWSE,其他業,,5,252.5,23.91,3.6,6.08,1.2,,,-2.51,6.77,0.911,0.72,252,30.49,51.2,-17.15,-43.33,-2.51,71.77,35.73,38.65,10.99,0.0,2026-07-17,55.63,-0.03,-0.03,72.96,12.4,-0.47,-0.33,2026Q1,30.22,10.01,8.19,-1,10.53,23.98,0.3,49.28,248.86,1.46,1831.16,209.47,366.23,366.23,0.57,1.0,-5.14,正常,127.0,0.0,127.0,6.94,0.0,3,0,0,0,60.67,0.0,,,,,,,0,,,,0.0,31.42,158,-15,-6.65,40.17,未取得,0.0,40.17,0.0,0.0,0.0,0.0,0.0,15.4,40.17,2026-06,35.17,33.53,32.13,,,,營收 2026-06，月增 35.17%，年增 33.53%，累計年增 32.13%,外資買超；融資增加；營收 2026-06，月增 35.17%，年增 33.53%，累計年增 32.13%,40.17
2026-07-22,2880,華南金,TWSE,金融保險業,金控,5,41.25,19.93,3.52,2.36,4.7,,,0.0,6.59,13.239,7.82,252,24.43,42.98,-23.21,-51.55,0.0,50.0,16.65,27.73,9.66,1.5,2026-07-17,79.05,0.05,0.25,81.5,13.26,-0.03,1.65,2026Q1,,,40.92,0,2.06,20.02,4.5,50.73,40.0897,2.89,165115.64,27491.43,33023.13,33023.13,0.83,1.0,-2.01,正常,-27014.73,37744.74,10730.01,-16.36,22.86,0,4,4,0,-10805.0,10202.26,,,,,,,0,,,,0.0,18.2,0,44,0.02,26.61,未取得,0.0,26.61,0.0,0.0,0.0,0.0,0.0,8.39,26.61,2026-06,3.09,21.56,25.84,,,,營收 2026-06，月增 3.09%，年增 21.56%，累計年增 25.84%,投信買超；接近區間高點；逼近52週高點；營收 2026-06，月增 3.09%，年增 21.56%，累計年增 25.84%,26.61
2026-07-22,2801,彰銀,TWSE,金融保險業,,5,24.65,15.41,4.26,1.28,2.92,,,0.0,4.67,7.521,6.75,252,21.13,22.03,-26.51,-72.5,0.0,33.97,11.9,19.04,8.93,5.0,2026-07-17,73.78,0.06,0.22,77.49,14.78,-0.02,1.64,2026Q1,,,,0,1.58,15.6,1.5,74.25,24.131,2.15,155836.99,38539.95,31167.4,31167.4,1.24,1.0,5.84,正常,-7981.84,42017.85,34036.01,-5.12,26.96,0,1,4,0,-4741.48,9570.18,,,,,,,0,,,,0.0,40.76,-2562,12,1.65,47.51,未取得,0.0,47.51,0.0,0.0,0.0,0.0,0.0,5.1,47.51,2026-06,8.71,9.51,14.62,,,,營收 2026-06，月增 8.71%，年增 9.51%，累計年增 14.62%,投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-06，月增 8.71%，年增 9.51%，累計年增 14.62%,47.51
2026-07-22,2027,大成鋼,TWSE,鋼鐵工業,,5,43.75,12.79,3.43,1.3,6.71,,,-2.23,9.24,8.166,4.03,252,19.86,22.72,-27.78,-71.81,-2.23,34.2,7.06,13.68,8.65,5.0,2026-07-17,70.17,0.33,0.42,74.27,19.71,-0.24,4.4,2026Q1,27.32,18.07,9.35,1,3.38,12.94,2.7,103.37,42.1343,3.83,96910.14,50852.03,19382.03,19382.03,2.62,1.0,21.0,強放量,30504.56,5101.33,35605.89,31.48,5.26,2,0,2,0,23949.07,4112.32,,,,,,,0,,,,0.0,54.16,-888,89,0.97,68.09,未取得,0.0,68.09,0.0,0.0,0.0,0.0,0.0,12.96,68.09,2026-06,2.07,43.73,30.28,,,,營收 2026-06，月增 2.07%，年增 43.73%，累計年增 30.28%,外資買超；投信買超；融資下降；強放量；千張大戶增持；營收 2026-06，月增 2.07%，年增 43.73%，累計年增 30.28%,68.09
