latest_date,stock_id,name,market,close,1d_avg_price,close_vs_avg_pct,1d_volume_lot,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,chip_score
2026-04-17,2303,聯電,TWSE,73.0,72.6592,0.47,497159.39,57658.15,41005.19,98663.34,11.6,8.25,1,0,1,0,57658.15,41005.19,63.12
2026-04-17,1802,台玻,TWSE,74.2,72.9739,1.68,346753.09,26413.02,0.0,26413.02,7.62,0.0,1,0,0,0,26413.02,0.0,29.33
2026-04-17,2324,仁寶,TWSE,30.35,30.5961,-0.8,99623.64,38011.51,-17887.35,20124.16,38.16,-17.95,1,0,0,1,38011.51,-17887.35,12.5
2026-04-17,4960,誠美材,TWSE,33.85,33.4106,1.32,75611.79,18319.63,0.0,18319.63,24.23,0.0,1,0,0,0,18319.63,0.0,40.0
2026-04-17,1815,富喬,TPEX,127.0,123.1088,3.16,128213.67,14685.28,-0.96,14684.32,11.45,-0.0,1,0,0,1,14685.28,-0.96,28.66
2026-04-17,1717,長興,TWSE,81.0,79.5021,1.88,84708.4,13217.7,0.0,13217.7,15.6,0.0,1,0,0,0,13217.7,0.0,40.0
2026-04-17,1711,永光,TWSE,47.95,47.0543,1.9,73476.39,13001.4,0.0,13001.4,17.69,0.0,1,0,0,0,13001.4,0.0,40.0
2026-04-17,4938,和碩,TWSE,83.0,82.9066,0.11,26603.95,10849.18,-761.79,10087.4,40.78,-2.86,1,0,0,1,10849.18,-761.79,30.34
2026-04-17,3231,緯創,TWSE,136.5,135.6406,0.63,36847.54,11007.02,-1164.52,9842.49,29.87,-3.16,1,0,0,1,11007.02,-1164.52,29.6
2026-04-17,2356,英業達,TWSE,45.75,45.6994,0.11,34823.29,14769.11,-5784.69,8984.43,42.41,-16.61,1,0,0,1,14769.11,-5784.69,12.5
2026-04-17,2353,宏碁,TWSE,28.7,28.6188,0.28,42007.69,9284.25,-589.78,8694.47,22.1,-1.4,1,0,0,1,9284.25,-589.78,33.99
2026-04-17,3045,台灣大,TWSE,112.5,111.2438,1.13,19150.99,9525.0,-1006.02,8518.98,49.74,-5.25,1,0,0,1,9525.0,-1006.02,24.37
2026-04-17,2382,廣達,TWSE,323.0,323.9186,-0.28,20083.51,9627.25,-1518.17,8109.08,47.94,-7.56,1,0,0,1,9627.25,-1518.17,18.6
2026-04-17,2002,中鋼,TWSE,20.1,20.0365,0.32,26198.19,8304.59,-210.74,8093.85,31.7,-0.8,1,0,0,1,8304.59,-210.74,35.49
2026-04-17,6548,長科*,TPEX,54.7,53.9122,1.46,22639.49,7124.0,-2.0,7122.0,31.47,-0.01,1,0,0,1,7124.0,-2.0,37.48
2026-04-17,3706,神達,TWSE,84.1,84.2042,-0.12,18822.33,6700.37,-39.96,6660.41,35.6,-0.21,1,0,0,1,6700.37,-39.96,36.97
2026-04-17,2454,聯發科,TWSE,1925.0,1924.519,0.02,16759.98,5340.3,1283.63,6623.92,31.86,7.66,1,0,1,0,5340.3,1283.63,61.65
2026-04-17,2402,毅嘉,TWSE,77.7,76.2236,1.94,39487.47,6274.0,-27.0,6247.0,15.89,-0.07,1,0,0,1,6274.0,-27.0,37.33
2026-04-17,3715,定穎投控,TWSE,198.0,194.9561,1.56,63631.71,5549.74,0.0,5549.74,8.72,0.0,1,0,0,0,5549.74,0.0,32.42
2026-04-17,2801,彰銀,TWSE,21.6,21.4155,0.86,19141.76,6123.93,-627.0,5496.93,31.99,-3.28,1,0,0,1,6123.93,-627.0,29.31
2026-04-17,2834,臺企銀,TWSE,16.3,16.2444,0.34,36452.39,5235.85,-85.0,5150.85,14.36,-0.23,1,0,0,1,5235.85,-85.0,36.22
2026-04-17,2412,中華電,TWSE,137.5,137.0463,0.33,9367.32,5320.08,-543.24,4776.84,56.79,-5.8,1,0,0,1,5320.08,-543.24,23.0
2026-04-17,2406,國碩,TWSE,33.95,33.2585,2.08,12653.07,4432.85,0.0,4432.85,35.03,0.0,1,0,0,0,4432.85,0.0,40.0
2026-04-17,4927,泰鼎-KY,TWSE,50.1,49.4301,1.36,18828.88,4381.28,0.0,4381.28,23.27,0.0,1,0,0,0,4381.28,0.0,40.0
2026-04-17,3105,穩懋,TPEX,539.0,531.0545,1.5,29993.42,3834.4,444.7,4279.1,12.78,1.48,1,0,1,0,3834.4,444.7,45.62
2026-04-17,6278,台表科,TWSE,157.0,154.6306,1.53,27549.29,5713.13,-1521.26,4191.86,20.74,-5.52,1,0,0,1,5713.13,-1521.26,23.7
2026-04-17,2301,光寶科,TWSE,162.0,161.9481,0.03,18876.84,5259.65,-1137.62,4122.03,27.86,-6.03,1,0,0,1,5259.65,-1137.62,22.43
2026-04-17,2464,盟立,TWSE,79.0,77.8507,1.48,12574.07,3821.89,0.0,3821.89,30.4,0.0,1,0,0,0,3821.89,0.0,40.0
2026-04-17,5871,中租-KY,TWSE,118.0,117.4467,0.47,6782.66,4331.56,-560.07,3771.48,63.86,-8.26,1,0,0,1,4331.56,-560.07,16.86
2026-04-17,6282,康舒,TWSE,50.9,50.7003,0.39,27909.98,3785.03,-97.0,3688.03,13.56,-0.35,1,0,0,1,3785.03,-97.0,35.2
