latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-11,2002,中鋼,TWSE,鋼鐵工業,,20,19.75,,0.76,1.0,5.9,76.47,15.16,-0.75,7.05,8.748,4.54,252,-5.73,0.51,-47.61,-84.64,-8.56,12.22,4.5,3.15,-0.17,2.0,2026-08-07,48.89,0.13,0.95,52.62,37.98,-0.12,3.04,2026Q1,3.33,-0.78,-3.1,-1,-0.47,,,,,-0.16,-900.0,-2.43,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-6.2,52.37,19.074,3.54,917302.16,83235.7,45865.11,56245.59,1.81,1.23,16.4,放量,334593.52,231.7,334825.22,36.48,0.03,5,0,0,1,29246.81,-32.66,美商高盛,68490.0,,19.09,0,美商高盛,0,國泰-敦南,9955.0,,18.42,39.56,-4096,521,0.48,40.96,已取得,57.46,98.42,22.5,8.96,6.0,6.0,14.0,0.92,40.96,2026-06,-6.55,9.61,-0.16,36.5,7.47,,外資與投信同買；前大買超分點約占成交 7.47%；收盤距區間均價 3.54%；連買：外5 / 投0；營收 2026-06，月增 -6.55%，年增 9.61%，累計年增 -0.16%,外資買超；投信買超；融資下降；放量；接近區間高點；RSI過熱；營收 2026-06，月增 -6.55%，年增 9.61%，累計年增 -0.16%,40.96
2026-08-11,3231,緯創,TWSE,電腦及週邊設備業,AI伺服器/組裝,20,191.0,15.17,2.88,3.13,31.27,64.67,74.21,-5.68,37.41,178.516,10.0,252,49.8,62.55,7.92,-22.6,-5.68,75.23,18.52,34.75,9.93,1.5,2026-08-07,64.89,2.81,7.59,68.92,26.13,-2.77,6.0,2026Q1,5.21,3.44,1.14,-2,10.25,18.63,14.7,17.16,-11.6,3.06,65.4,-0.93,16.0,10.0,6.0,0.0,0,1,單季 EPS 年增 65%、毛利率連 2 季降、月營收年增 61%、PE 15.2（一年 15% 分位）、距 52 週高點 -6%,-0.9,72.55,176.6455,8.13,2021179.95,34518.45,101059.0,91926.0,0.34,0.91,-9.35,正常,279350.2,17507.43,296857.63,13.82,0.87,0,1,1,0,-374.27,629.08,台灣摩根士丹利,89797.0,,172.69,0,台灣摩根士丹利,0,華南永昌-中正,9385.0,,5.1,30.42,-6980,1014,0.38,50.69,已取得,42.96,93.65,22.03,5.33,0.0,1.6,14.0,19.89,50.69,2026-07,-4.23,60.76,88.16,14.69,4.44,,外資與投信同買；前大買超分點約占成交 4.44%；收盤距區間均價 8.13%；連買：外0 / 投1；營收 2026-07，月增 -4.23%，年增 60.76%，累計年增 88.16%,外資買超；投信買超；融資下降；波動偏高；毛利率連2降；千張大戶增持；營收 2026-07，月增 -4.23%，年增 60.76%，累計年增 88.16%,50.69
2026-08-11,2618,長榮航,TWSE,航運業,航空,20,41.75,7.92,4.79,1.67,-0.95,48.47,34.62,-6.39,4.11,18.17,-0.57,252,8.58,5.83,-33.3,-79.32,-8.54,29.86,3.44,11.53,1.26,4.5,2026-08-07,78.27,0.73,1.94,81.46,14.5,-0.59,6.0,2026Q1,26.22,18.64,13.66,2,5.27,7.92,84.1,7.24,9.4,1.53,39.1,3.44,22.0,17.0,5.0,0.0,0,0,單季 EPS 年增 39%、毛利率連 2 季升、月營收年增 27%、PE 7.9（一年 84% 分位）、距 52 週高點 -9%,5.4,42.21,42.3212,-1.35,858658.77,36659.53,42932.94,35916.43,0.85,0.84,-4.37,正常,321593.05,-40153.89,281439.16,37.45,-4.68,0,2,0,1,-2470.24,-5.1,台灣摩根士丹利,85515.0,,42.42,0,台灣摩根士丹利,0,統一,61619.0,,18.36,19.81,320,405,-0.03,27.8,已取得,46.45,74.25,22.5,11.95,6.0,0.0,6.0,8.02,27.8,2026-06,5.12,26.58,16.36,32.78,9.96,,外資主導買超；前大買超分點約占成交 9.96%；收盤距區間均價 -1.35%；營收 2026-06，月增 5.12%，年增 26.58%，累計年增 16.36%,外資買超；融資增加；毛利率連2升；千張大戶增持；營收 2026-06，月增 5.12%，年增 26.58%，累計年增 16.36%,27.8
2026-08-11,2883,凱基金,TWSE,金融保險業,金控,20,31.05,17.44,3.22,1.55,2.99,54.05,37.31,-2.2,9.52,14.523,1.79,252,68.75,97.14,26.87,11.99,-2.2,111.95,10.68,52.84,19.22,3.0,2026-08-07,64.57,0.35,0.75,68.41,23.41,-0.24,4.8,2026Q1,,,49.61,0,1.91,16.26,98.8,13.33,30.8,0.69,32.7,,5.0,4.0,1.0,0.0,0,0,單季 EPS 年增 33%、月營收年減 6%、PE 17.4（一年 99% 分位）、距 52 週高點 -2%,4.5,97.53,30.3011,2.47,958589.89,21438.0,47929.49,38039.98,0.45,0.79,-9.93,量縮,177939.9,31289.07,209228.97,18.56,3.26,1,0,4,0,68.12,5286.56,摩根大通,43803.0,,30.42,0,摩根大通,0,國票-敦北法人,12995.0,,14.81,58.16,-6256,74,0.66,69.19,已取得,55.58,124.77,22.5,5.48,6.0,7.6,14.0,10.37,69.19,2026-06,15.71,-6.2,128.36,21.83,4.57,,外資與投信同買；前大買超分點約占成交 4.57%；收盤距區間均價 2.47%；連買：外1 / 投4；營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,69.19
2026-08-11,1402,遠東新,TWSE,紡織纖維,,20,27.3,16.96,4.58,0.62,-0.91,51.92,14.13,-3.19,4.0,5.308,-0.55,252,-4.55,-0.73,-46.43,-85.88,-13.74,17.17,-0.26,-0.69,-7.05,5.0,2026-08-07,86.65,-0.13,-0.02,88.61,8.28,0.12,-1.1,2026Q1,21.9,7.99,5.05,1,1.7,16.06,16.3,17.75,-4.5,0.61,32.6,-1.85,21.0,12.5,8.5,0.0,0,0,單季 EPS 年增 33%、毛利率連 1 季升、月營收年增 21%、PE 17.0（一年 16% 分位）、距 52 週高點 -14%,2.7,70.06,27.274,0.1,389245.08,20186.08,19462.25,20115.3,1.04,1.03,0.98,正常,159596.21,7391.38,166987.59,41.0,1.9,20,0,5,0,6558.05,64.18,台灣摩根士丹利,48350.0,,27.31,0,台灣摩根士丹利,0,兆豐證券,24443.0,,21.77,65.25,-773,-33,0.2,70.57,已取得,71.41,141.98,22.5,14.91,6.0,14.0,14.0,5.12,70.57,2026-07,1.94,20.58,7.41,42.9,12.42,,外資與投信同買；前大買超分點約占成交 12.42%；收盤距區間均價 0.1%；連買：外20 / 投5；營收 2026-07，月增 1.94%，年增 20.58%，累計年增 7.41%,外資買超；投信買超；融資下降；年線之下；營收 2026-07，月增 1.94%，年增 20.58%，累計年增 7.41%,70.57
2026-08-11,2884,玉山金,TWSE,金融保險業,金控,20,36.9,16.77,3.79,2.1,7.11,57.02,26.25,-5.63,7.58,16.237,8.27,251,8.69,11.14,-33.19,-74.0,-5.63,25.51,6.68,11.42,1.27,3.0,2026-08-07,69.11,0.16,1.04,73.49,19.65,-0.13,3.28,2026Q1,,,39.96,0,2.19,16.85,51.8,16.65,0.7,0.62,12.7,,6.0,5.0,1.0,0.0,0,1,單季 EPS 年增 13%、月營收年增 5%、PE 16.8（一年 52% 分位）、距 52 週高點 -6%,4.5,66.61,36.5927,0.84,887433.89,37302.82,44371.69,27757.91,0.84,0.63,-7.9,正常,148975.72,9692.13,158667.85,16.79,1.09,0,2,4,0,-9675.93,419.19,新加坡商瑞銀,38936.0,,36.81,0,新加坡商瑞銀,0,宏遠證券,23134.0,,13.96,46.73,388,142,-0.03,50.24,已取得,54.16,104.4,22.5,5.26,6.0,6.4,14.0,3.54,50.24,2026-07,-6.43,4.75,21.58,17.88,4.39,,外資與投信同買；前大買超分點約占成交 4.39%；收盤距區間均價 0.84%；連買：外0 / 投4；營收 2026-07，月增 -6.43%，年增 4.75%，累計年增 21.58%,外資買超；投信買超；融資增加；營收 2026-07，月增 -6.43%，年增 4.75%，累計年增 21.58%,50.24
2026-08-11,2317,鴻海,TWSE,其他電子業,EMS組裝,20,263.0,18.68,2.73,2.07,10.04,56.65,53.15,-1.5,16.11,137.212,15.02,251,22.04,32.49,-19.84,-52.65,-16.24,53.8,2.64,13.84,3.82,0.0,2026-08-07,67.04,0.82,0.93,69.76,25.63,-0.79,6.0,2026Q1,6.18,3.57,2.36,1,14.14,18.6,87.6,16.74,11.6,3.56,17.5,0.74,14.0,12.0,2.0,0.0,0,1,單季 EPS 年增 18%、毛利率連 1 季升、月營收年增 54%、PE 18.7（一年 88% 分位）、距 52 週高點 -16%,2.7,76.57,247.9881,6.05,1106598.34,24592.44,55329.92,50614.56,0.44,0.91,-8.03,正常,135698.98,6499.32,142198.3,12.26,0.59,0,1,2,0,-1139.49,397.83,台灣摩根士丹利,54604.0,,247.76,0,台灣摩根士丹利,0,凱基-台北,31210.0,,4.51,34.75,-6986,467,0.66,53.05,已取得,42.4,95.45,19.28,5.92,0.0,3.2,14.0,17.64,53.05,2026-07,15.18,54.19,37.89,12.85,4.93,,外資與投信同買；前大買超分點約占成交 4.93%；收盤距區間均價 6.05%；連買：外0 / 投2；營收 2026-07，月增 15.18%，年增 54.19%，累計年增 37.89%,外資買超；投信買超；融資下降；接近區間高點；千張大戶增持；營收 2026-07，月增 15.18%，年增 54.19%，累計年增 37.89%,53.05
2026-08-11,2867,三商壽,TWSE,金融保險業,,20,9.48,67.71,0.0,0.72,7.12,57.46,25.84,-5.67,7.48,1.981,8.27,251,19.1,78.87,-22.79,-6.28,-5.67,88.1,9.94,25.14,3.18,0.0,2026-08-07,83.54,0.33,1.28,86.78,8.63,-0.1,4.64,2026Q1,,,,0,0.14,67.71,52.2,66.29,2.1,-0.03,-200.0,,0.0,0.0,0.0,0.0,,0,最新單季虧損,1.5,47.45,9.4546,0.27,419043.71,13159.88,20952.19,14208.3,0.63,0.68,-9.61,正常,128057.54,-35.06,128022.48,30.56,-0.01,0,1,0,1,-757.0,-35.06,元大證券,99837.0,,9.45,0,元大證券,0,群益金鼎,47281.0,,28.36,33.48,75,0,-0.01,34.67,已取得,58.5,93.17,22.5,24.0,6.0,0.0,6.0,1.2,34.67,2026-06,-50.67,-192.72,161.23,30.55,23.82,,外資主導買超；前大買超分點約占成交 23.82%；收盤距區間均價 0.27%；營收 2026-06，月增 -50.67%，年增 -192.72%，累計年增 161.23%,外資買超；融資增加；千張大戶增持；營收 2026-06，月增 -50.67%，年增 -192.72%，累計年增 161.23%,34.67
2026-08-11,2891,中信金,TWSE,金融保險業,金控,20,66.8,16.1,3.74,2.39,5.2,64.0,22.7,-0.74,10.05,27.266,12.12,252,29.21,55.35,-12.68,-29.8,-9.24,64.13,2.02,27.97,5.4,3.0,2026-08-07,79.0,0.05,-0.47,81.83,13.83,-0.08,-0.51,2026Q1,,,38.6,0,4.24,15.75,90.1,13.38,20.3,1.18,15.7,,0.0,-1.0,1.0,0.0,0,1,單季 EPS 年增 16%、月營收年減 26%、PE 16.1（一年 90% 分位）、距 52 週高點 -9%,4.5,55.6,63.4776,5.23,859083.13,28839.76,42954.16,27471.78,0.67,0.64,-9.71,正常,112510.17,2530.55,115040.72,13.1,0.29,9,0,0,1,4796.81,-260.18,美林,27683.0,,63.47,0,美林,0,台新-台北,18432.0,,2.79,38.95,-27,2,0.0,35.95,已取得,43.95,79.9,20.09,3.87,0.0,6.0,14.0,-3.0,35.95,2026-06,3.18,-26.27,8.4,13.39,3.22,,外資與投信同買；前大買超分點約占成交 3.22%；收盤距區間均價 5.23%；連買：外9 / 投0；營收 2026-06，月增 3.18%，年增 -26.27%，累計年增 8.4%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-06，月增 3.18%，年增 -26.27%，累計年增 8.4%,35.95
2026-08-11,2412,中華電,TWSE,通信網路業,,20,136.0,26.72,3.82,2.88,2.26,38.1,14.25,-4.56,2.26,23.871,1.36,252,2.64,1.12,-39.24,-84.03,-7.48,5.84,-2.72,0.6,0.66,1.5,2026-08-07,77.47,-0.18,-0.42,79.25,17.88,0.16,-2.7,2026Q1,37.92,21.85,16.85,1,5.03,27.04,19.0,27.15,-1.6,1.3,3.2,-0.59,13.5,6.5,7.0,0.0,0,1,單季 EPS 年增 3%、毛利率連 1 季升、月營收年增 11%、PE 26.7（一年 19% 分位）、距 52 週高點 -7%,4.2,40.92,138.3247,-1.68,345137.57,8042.85,17256.88,9006.91,0.47,0.52,-12.0,量縮,107269.85,1801.43,109071.28,31.08,0.52,0,2,1,0,-1682.43,29.96,台灣摩根士丹利,40180.0,,138.62,0,台灣摩根士丹利,0,華南永昌,14898.0,,21.81,37.8,1394,-12,-0.32,41.9,已取得,58.07,99.97,22.5,13.97,6.0,1.6,14.0,4.42,41.9,2026-06,9.32,11.4,7.83,31.6,11.64,,外資與投信同買；前大買超分點約占成交 11.64%；收盤距區間均價 -1.68%；連買：外0 / 投1；營收 2026-06，月增 9.32%，年增 11.4%，累計年增 7.83%,外資買超；投信買超；融資增加；營收 2026-06，月增 9.32%，年增 11.4%，累計年增 7.83%,41.9
