latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-03,1314,中石化,TWSE,塑膠工業,,5,9.88,,0.0,0.49,21.82,,,0.0,24.28,10.523,14.0,251,25.38,46.81,-43.52,-63.39,-6.79,58.33,29.86,27.53,2.94,2.0,2026-06-26,31.67,,,40.15,44.48,,0.0,2026Q1,-7.12,-15.82,-6.44,1,-0.77,,-3.8,49.23,9.1418,8.07,575520.94,294715.99,115104.19,115104.19,2.56,1.0,21.0,強放量,98879.65,0.0,98879.65,17.18,0.0,5,0,0,0,34370.94,0.0,,,,,,,0.0,38.0,32826,1485,-4.41,23.59,未取得,0.0,23.59,0.0,0.0,0.0,0.0,0.0,-10,23.59,2026-05,-17.11,-23.96,-30.37,,,,營收 2026-05，月增 -17.11%，年增 -23.96%，累計年增 -30.37%,外資買超；融資增加；強放量；接近區間高點；營收 2026-05，月增 -17.11%，年增 -23.96%，累計年增 -30.37%,23.59
2026-07-03,2887,台新新光金,TWSE,金融保險業,金控,5,34.15,16.74,3.22,1.5,3.48,,,-2.15,6.39,27.767,2.09,252,66.18,110.8,-2.73,0.61,-2.15,116.83,28.49,58.56,15.67,5.0,2026-06-26,70.21,,,74.41,17.94,,0.0,2026Q1,,,43.96,0,2.4,14.23,4.5,106.36,33.448,2.1,415075.16,108841.69,83015.03,83015.03,1.31,1.0,6.73,正常,35098.18,47033.02,82131.2,8.46,11.33,1,0,0,2,47477.67,-3892.54,,,,,,,0.0,56.91,-372,-97,0.08,75.73,未取得,0.0,75.73,0.0,0.0,0.0,0.0,0.0,18.74,75.73,2026-05,-13.81,117.88,105.23,,,,營收 2026-05，月增 -13.81%，年增 117.88%，累計年增 105.23%,外資買超；投信買超；融資下降；營收 2026-05，月增 -13.81%，年增 117.88%，累計年增 105.23%,75.73
2026-07-03,2883,凱基金,TWSE,金融保險業,金控,5,28.45,15.98,3.51,1.42,-4.05,,,-7.63,3.08,26.608,-2.43,252,62.57,90.94,-6.33,-19.25,-8.81,94.2,17.49,52.12,9.24,5.0,2026-06-26,63.78,,,67.59,24.05,,0.0,2026Q1,,,49.61,0,1.91,14.9,4.5,42.03,28.6685,-0.76,464067.25,59279.02,92813.45,92813.45,0.64,1.0,-4.34,正常,82748.53,-17209.99,65538.54,17.83,-3.71,5,0,0,5,24649.04,-2613.86,,,,,,,0.0,25.53,902,18,-0.16,27.89,未取得,0.0,27.89,0.0,0.0,0.0,0.0,0.0,2.52,27.89,2026-05,-13.98,-172.68,277.79,,,,營收 2026-05，月增 -13.98%，年增 -172.68%，累計年增 277.79%,外資買超；融資增加；營收 2026-05，月增 -13.98%，年增 -172.68%，累計年增 277.79%,27.89
2026-07-03,1303,南亞,TWSE,塑膠工業,,5,197.0,85.28,0.41,4.07,30.03,,,-1.5,35.86,69.002,14.0,252,237.91,602.32,169.0,492.12,-1.5,650.48,85.3,190.38,22.0,-2.0,2026-06-26,84.26,,,86.6,10.23,,0.0,2026Q1,11.93,5.45,20.78,2,2.31,85.28,6.9,108.05,178.2864,10.5,193515.25,35662.61,38703.05,38703.05,0.92,1.0,-0.94,正常,17012.14,25092.58,42104.72,8.79,12.97,0,1,5,0,-2696.53,3442.7,,,,,,,0.0,61.08,2565,-4093,-1.69,67.62,未取得,0.0,67.62,0.0,0.0,0.0,0.0,0.0,8.23,67.62,2026-05,4.15,31.35,13.04,,,,營收 2026-05，月增 4.15%，年增 31.35%，累計年增 13.04%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；毛利率連2升；營收 2026-05，月增 4.15%，年增 31.35%，累計年增 13.04%,67.62
2026-07-03,2890,永豐金,TWSE,金融保險業,金控,5,39.7,19.0,3.27,2.17,0.51,,,-2.34,1.93,24.88,0.31,252,37.85,60.73,-31.06,-49.46,-2.93,71.49,19.73,37.26,10.19,1.5,2026-06-26,77.49,,,80.72,14.33,,0.0,2026Q1,,,41.88,0,2.16,18.38,4.5,68.91,39.8265,-0.32,312355.58,25809.19,62471.11,62471.11,0.41,1.0,-7.04,正常,-92661.56,131826.15,39164.59,-29.67,42.2,1,0,5,0,3879.98,2258.18,,,,,,,0.0,35.53,-106,-13,0.03,55.93,未取得,0.0,55.93,0.0,0.0,0.0,0.0,0.0,20.37,55.93,2026-05,4.89,82.69,56.17,,,,營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,投信買超；融資下降；營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,55.93
2026-07-03,2882,國泰金,TWSE,金融保險業,金控,5,93.6,14.2,3.74,1.87,-7.78,,,-11.28,1.08,68.778,-4.67,252,22.83,51.95,-46.07,-58.25,-20.34,56.0,7.48,27.92,2.68,3.0,2026-06-26,83.55,,,85.87,11.0,,0.0,2026Q1,,,43.55,0,7.03,13.31,4.5,7.17,96.717,-3.22,355560.93,38336.32,71112.19,71112.19,0.54,1.0,-5.53,正常,100106.06,-61096.72,39009.34,28.15,-17.18,4,0,0,5,10200.46,-1761.38,,,,,,,0.0,2.28,1680,6,-0.38,4.43,未取得,0.0,4.43,0.0,0.0,0.0,0.0,0.0,2.53,4.43,2026-05,-17.88,28.84,-3.2,,,,營收 2026-05，月增 -17.88%，年增 28.84%，累計年增 -3.2%,外資買超；融資增加；營收 2026-05，月增 -17.88%，年增 28.84%，累計年增 -3.2%,4.43
2026-07-03,2105,正新,TWSE,橡膠工業,,5,32.15,19.85,5.6,1.23,6.28,,,-3.31,9.35,5.521,3.77,252,9.35,-18.92,-59.55,-129.11,-24.8,14.41,0.33,-3.91,-5.66,5.0,2026-06-26,77.17,,,79.93,15.69,,0.0,2026Q1,24.84,9.93,7.95,1,1.62,19.85,2.7,65.3,31.0945,3.39,88777.58,28053.92,17755.52,17755.52,1.58,1.0,9.96,放量,31981.24,2267.92,34249.16,36.02,2.55,3,0,4,0,13642.83,198.49,,,,,,,0.0,54.39,-496,2,0.56,54.51,未取得,0.0,54.51,0.0,0.0,0.0,0.0,0.0,-0.44,54.51,2026-05,-9.48,1.22,2.97,,,,營收 2026-05，月增 -9.48%，年增 1.22%，累計年增 2.97%,外資買超；投信買超；融資下降；放量；年線之下；營收 2026-05，月增 -9.48%，年增 1.22%，累計年增 2.97%,54.51
2026-07-03,1802,台玻,TWSE,玻璃陶瓷,,5,68.8,529.23,0.0,4.03,1.18,,,-11.0,5.85,57.848,0.71,252,96.29,332.7,27.39,222.51,-15.27,351.15,0.63,55.51,13.29,-2.0,2026-06-26,76.31,,,78.12,19.4,,0.0,2026Q1,19.23,7.88,5.79,3,0.13,529.23,5.0,29.33,71.8584,-4.26,402514.23,38090.83,80502.85,80502.85,0.47,1.0,-6.32,正常,31251.61,-758.0,30493.61,7.76,-0.19,0,3,0,3,-15032.61,-351.0,,,,,,,0.0,10.62,-1488,-519,0.33,15.49,未取得,0.0,15.49,0.0,0.0,0.0,0.0,0.0,4.54,15.49,2026-05,-0.27,17.71,8.63,,,,營收 2026-05，月增 -0.27%，年增 17.71%，累計年增 8.63%,外資買超；融資下降；毛利率連3升；營收 2026-05，月增 -0.27%，年增 17.71%，累計年增 8.63%,15.49
2026-07-03,2409,友達,TWSE,光電業,面板,5,30.0,93.75,1.33,1.51,-1.96,,,-12.92,8.7,186.561,-1.18,252,148.96,141.94,80.06,31.74,-12.92,177.78,32.93,91.86,17.2,-2.0,2026-06-26,44.25,,,48.82,41.02,,0.0,2026Q1,11.85,-0.92,-1.66,2,0.32,93.75,0.9,15.64,31.3245,-4.23,2977878.73,231040.27,595575.75,595575.75,0.39,1.0,-7.34,正常,30966.85,-881.7,30085.15,1.04,-0.03,0,3,2,0,-22901.76,48.34,,,,,,,0.0,4.81,19322,2088,-0.52,4.39,未取得,0.0,4.39,0.0,0.0,0.0,0.0,0.0,0.1,4.39,2026-05,7.86,-1.4,-3.72,,,,營收 2026-05，月增 7.86%，年增 -1.4%，累計年增 -3.72%,外資買超；融資增加；毛利率連2升；營收 2026-05，月增 7.86%，年增 -1.4%，累計年增 -3.72%,4.39
2026-07-03,1301,台塑,TWSE,塑膠工業,,5,62.1,,0.81,1.01,16.73,,,-2.97,19.19,47.784,9.0,252,58.82,79.48,-10.08,-30.71,-2.97,85.93,24.81,42.96,14.67,2.0,2026-06-26,71.92,,,74.55,21.03,,0.0,2026Q1,3.7,-3.1,7.79,2,-1.08,,0.4,46.3,58.8464,5.53,406008.59,190058.98,81201.72,81201.72,2.34,1.0,19.09,強放量,24729.29,-10.2,24719.09,6.09,-0.0,0,1,0,0,-17406.25,0.0,,,,,,,0.0,15.05,8893,583,-1.67,10.68,未取得,0.0,10.68,0.0,0.0,0.0,0.0,0.0,-2.7,10.68,2026-05,-18.42,0.67,-3.79,,,,營收 2026-05，月增 -18.42%，年增 0.67%，累計年增 -3.79%,外資買超；融資增加；強放量；毛利率連2升；營收 2026-05，月增 -18.42%，年增 0.67%，累計年增 -3.79%,10.68
