latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-29,4728,雙美,TPEX,生技醫療業,,20,378.0,28.44,3.2,17.36,0.0,50.0,20.1,-2.83,1.34,0.013,0.0,235,-5.97,,-31.24,,-16.0,8.0,-1.12,,-4.2,0.0,2026-07-24,65.91,0.0,1.78,84.5,7.0,-0.01,1.5,2026Q1,78.91,51.77,39.23,1,13.3,28.42,5.5,29.75,4.07,-0.7,-3.38,0.0,0.0,0.0,0.0,,0,日均量 4 張偏低（門檻 500）,5.7,70.88,378.1786,-0.05,70.0,10.0,3.5,5.2,2.86,1.49,28.77,強放量,280.0,0.0,280.0,400.0,0.0,0,2,0,0,-2.0,0.0,元大-蘆洲,14.0,,378.7,0,元大-蘆洲,0,元大-天母,9.0,,27.57,34.0,-4,0,5.71,53.49,已取得,58.5,111.99,22.5,24.0,6.0,0.0,6.0,13.78,53.49,2026-06,17.54,50.07,16.64,400.0,20.0,,外資主導買超；前大買超分點約占成交 20.0%；收盤距區間均價 -0.05%；營收 2026-06，月增 17.54%，年增 50.07%，累計年增 16.64%,外資買超；融資下降；強放量；營收 2026-06，月增 17.54%，年增 50.07%，累計年增 16.64%,53.49
2026-07-29,5324,士開,TPEX,建材營造業,,20,11.95,,0.0,1.84,-2.45,47.37,12.0,-2.85,1.27,0.04,-1.47,252,9.63,8.14,-15.64,-61.93,-4.4,20.46,0.71,7.9,3.09,0.0,2026-07-24,73.64,0.08,0.37,79.93,13.81,-0.04,2.25,2026Q1,51.32,-2.63,-14.56,1,-0.1,,81.6,37.04,-0.11,,-5.24,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-3.8,66.23,12.0337,-0.7,6573.0,624.0,328.65,283.6,1.9,0.86,11.59,放量,4074.77,0.0,4074.77,61.99,0.0,3,0,0,0,561.0,0.0,統一-內湖,3156.0,,12.03,1,統一-內湖,0,玉山-士林,3083.0,,24.8,44.0,0,0,0.0,60.36,已取得,62.1,122.46,22.5,24.0,6.0,3.6,6.0,16.36,60.36,2026-06,241.25,271.97,4.75,61.99,48.01,,外資主導買超；前大買超分點約占成交 48.01%；收盤距區間均價 -0.7%；連買：外3 / 投0；營收 2026-06，月增 241.25%，年增 271.97%，累計年增 4.75%,外資買超；放量；營收 2026-06，月增 241.25%，年增 271.97%，累計年增 4.75%,60.36
2026-07-29,8482,商億-KY,TWSE,居家生活,,20,49.7,21.06,3.94,1.62,3.33,57.78,26.88,-1.19,7.23,0.003,11.0,241,0.0,-4.61,-25.27,-74.68,-16.47,10.81,1.82,-1.13,-6.03,1.5,2026-07-24,90.26,0.0,0.0,95.18,3.15,0.01,0.0,2026Q1,32.74,9.44,7.7,1,2.36,21.06,88.8,16.57,0.66,10.0,1.07,0.0,0.0,0.0,0.0,,0,日均量 7 張偏低（門檻 500）,2.7,73.41,48.6825,2.09,130.25,22.29,6.51,8.95,3.42,1.37,27.0,強放量,62.55,0.0,62.55,48.02,0.0,15,0,0,0,16.9,0.0,元大證券,13.0,,48.9,0,元大證券,0,國泰-敦南,29.0,,11.98,48.0,-5,0,3.84,50.74,已取得,52.48,103.22,22.5,11.98,6.0,6.0,6.0,-1.1,50.74,2026-06,-7.15,-8.51,8.09,48.02,9.98,,外資主導買超；前大買超分點約占成交 9.98%；收盤距區間均價 2.09%；連買：外15 / 投0；營收 2026-06，月增 -7.15%，年增 -8.51%，累計年增 8.09%,外資買超；融資下降；強放量；接近區間高點；年線之下；營收 2026-06，月增 -7.15%，年增 -8.51%，累計年增 8.09%,50.74
2026-07-29,2707,晶華,TWSE,觀光餐旅,,20,180.0,12.86,5.97,6.48,1.12,52.63,9.58,-1.64,1.98,0.29,5.67,252,-4.51,-5.51,-29.78,-75.58,-11.98,7.78,1.72,-3.51,-7.02,3.0,2026-07-24,54.75,0.0,0.0,61.12,33.38,0.17,0.0,2026Q1,35.95,28.9,37.52,2,13.99,12.87,16.7,17.07,5.73,81.3,2.11,0.0,0.0,0.0,0.0,,1,日均量 162 張偏低（門檻 500）,6.9,65.34,179.4017,0.33,3238.0,290.4,161.9,201.64,1.79,1.25,16.45,放量,1352.62,2.0,1354.62,41.77,0.06,4,0,0,0,169.07,0.0,台灣摩根士丹利,388.0,,180.01,0,台灣摩根士丹利,0,富邦-七賢,219.0,,21.0,46.15,13,0,-0.32,48.56,已取得,61.68,110.24,22.5,14.38,6.0,4.8,14.0,2.73,48.56,2026-06,-4.96,13.94,5.11,41.84,11.98,,外資與投信同買；前大買超分點約占成交 11.98%；收盤距區間均價 0.33%；連買：外4 / 投0；營收 2026-06，月增 -4.96%，年增 13.94%，累計年增 5.11%,外資買超；投信買超；融資增加；放量；接近區間高點；年線之下；毛利率連2升；營收 2026-06，月增 -4.96%，年增 13.94%，累計年增 5.11%,48.56
2026-07-29,9937,全國,TWSE,油電燃氣業,,20,56.3,22.61,3.91,2.9,1.44,58.21,17.43,-2.76,4.26,0.028,4.86,251,-3.76,-11.76,-29.03,-81.83,-17.08,5.23,1.06,-2.93,-6.86,1.5,2026-07-24,82.53,0.0,0.08,89.25,5.19,-0.05,0.24,2026Q1,13.34,4.23,3.75,6,2.49,22.61,19.1,24.16,0.66,24.5,1.08,0.0,0.0,0.0,0.0,,1,日均量 50 張偏低（門檻 500）,5.0,66.22,55.7013,1.07,993.43,117.24,49.67,52.07,2.36,1.05,20.09,強放量,393.6,0.0,393.6,39.62,0.0,3,0,0,0,94.4,0.0,台灣摩根士丹利,70.0,,55.55,0,台灣摩根士丹利,0,群益金鼎-海山,54.0,,15.74,44.0,-52,0,5.23,51.43,已取得,46.56,97.99,22.5,8.46,6.0,3.6,6.0,2.2,51.43,2026-06,-6.36,13.73,3.08,39.62,7.05,,外資主導買超；前大買超分點約占成交 7.05%；收盤距區間均價 1.07%；連買：外3 / 投0；營收 2026-06，月增 -6.36%，年增 13.73%，累計年增 3.08%,外資買超；融資下降；強放量；年線之下；毛利率連6升；營收 2026-06，月增 -6.36%，年增 13.73%，累計年增 3.08%,51.43
2026-07-29,2015,豐興,TWSE,鋼鐵工業,,20,65.6,16.52,5.03,1.8,7.54,68.18,16.33,-1.94,8.61,0.206,13.52,252,3.31,-2.96,-21.97,-73.03,-7.08,8.97,4.97,2.45,1.69,4.5,2026-07-24,81.86,-0.17,0.13,88.06,6.19,-0.05,-0.97,2026Q1,12.81,9.2,8.22,1,3.98,16.48,63.9,16.06,0.91,12.3,1.5,0.0,0.0,0.0,0.0,,0,日均量 326 張偏低（門檻 500）,2.7,73.27,63.3062,3.62,6523.81,723.05,326.19,410.94,2.22,1.26,21.76,強放量,2584.12,85.0,2669.12,39.61,1.3,5,0,0,0,309.71,0.0,,,,,,,0,,,,0.0,45.26,-1,0,0.02,40.95,未取得,0.0,40.95,0.0,0.0,0.0,0.0,0.0,-4.33,40.95,2026-06,-6.18,-9.73,-11.51,,,,營收 2026-06，月增 -6.18%，年增 -9.73%，累計年增 -11.51%,外資買超；投信買超；融資下降；強放量；接近區間高點；營收 2026-06，月增 -6.18%，年增 -9.73%，累計年增 -11.51%,40.95
2026-07-29,2608,嘉里大榮,TWSE,航運業,,20,29.75,14.8,5.55,1.09,2.76,59.46,9.08,-0.67,4.02,0.08,10.66,252,-9.85,-11.59,-35.12,-81.66,-15.96,4.75,1.28,-7.35,-7.58,6.5,2026-07-24,71.91,0.26,0.16,76.73,18.71,-0.05,3.06,2026Q1,18.59,11.97,7.02,1,2.01,14.8,17.9,15.77,0.47,9.3,1.36,0.0,0.0,0.0,0.0,,0,日均量 272 張偏低（門檻 500）,2.7,73.33,29.3392,1.4,5432.84,910.83,271.64,329.64,3.35,1.21,24.42,強放量,2042.92,0.0,2042.92,37.6,0.0,4,0,0,0,647.46,0.0,新加坡商瑞銀,469.0,,,,,0,台灣企銀-太平,118.0,,9.27,46.0,-38,0,0.7,45.78,已取得,49.66,95.44,22.5,10.36,6.0,4.8,6.0,-0.92,45.78,2026-06,4.32,-6.46,-1.7,37.6,8.63,,外資主導買超；前大買超分點約占成交 8.63%；收盤距區間均價 1.4%；連買：外4 / 投0；營收 2026-06，月增 4.32%，年增 -6.46%，累計年增 -1.7%,外資買超；融資下降；強放量；接近區間高點；年線之下；營收 2026-06，月增 4.32%，年增 -6.46%，累計年增 -1.7%,45.78
2026-07-29,5007,三星,TWSE,鋼鐵工業,,20,56.9,18.72,5.27,2.55,1.61,63.46,12.98,0.0,2.71,0.025,9.97,252,-0.18,6.16,-25.45,-63.92,-9.68,12.67,0.49,3.11,0.93,3.0,2026-07-24,84.58,-0.1,-0.15,87.67,6.15,-0.02,-1.25,2026Q1,27.58,19.59,17.65,2,3.03,18.78,52.0,18.71,0.91,1.1,3.6,0.0,0.0,0.0,0.0,,1,日均量 44 張偏低（門檻 500）,5.4,76.91,56.1179,1.39,886.88,108.36,44.34,51.97,2.44,1.17,23.08,強放量,330.92,-9.0,321.92,37.31,-1.01,3,0,0,0,70.2,0.0,花旗環球,61.0,,55.97,0,花旗環球,0,凱基-站前,166.0,,8.9,41.46,-1,0,0.11,47.32,已取得,46.35,93.67,22.5,8.25,6.0,3.6,6.0,5.75,47.32,2026-06,6.39,28.19,-0.57,36.3,6.88,,外資主導買超；前大買超分點約占成交 6.88%；收盤距區間均價 1.39%；連買：外3 / 投0；營收 2026-06，月增 6.39%，年增 28.19%，累計年增 -0.57%,外資買超；融資下降；強放量；接近區間高點；毛利率連2升；營收 2026-06，月增 6.39%，年增 28.19%，累計年增 -0.57%,47.32
2026-07-29,9926,新海,TWSE,油電燃氣業,,20,49.8,18.24,4.22,2.0,0.4,54.95,13.79,-3.3,1.74,0.015,0.24,244,1.12,-1.39,-24.16,-71.46,-12.94,3.86,0.8,0.03,1.21,1.5,2026-07-24,73.65,0.0,0.0,83.82,7.67,-0.03,0.0,2026Q1,26.18,18.67,17.41,1,2.72,18.31,19.3,18.75,0.68,6.3,-0.53,0.0,0.0,0.0,0.0,,1,日均量 30 張偏低（門檻 500）,4.2,67.33,49.6904,0.22,598.31,83.44,29.92,40.97,2.79,1.37,26.91,強放量,221.11,0.0,221.11,36.96,0.0,5,0,0,0,57.1,0.0,摩根大通,44.0,,49.74,0,摩根大通,0,國票-台東,60.0,,13.81,48.0,3,0,-0.4,46.73,已取得,49.32,96.05,22.5,8.82,6.0,6.0,6.0,-0.87,46.73,2026-06,-3.53,-1.61,-0.99,36.96,7.35,,外資主導買超；前大買超分點約占成交 7.35%；收盤距區間均價 0.22%；連買：外5 / 投0；營收 2026-06，月增 -3.53%，年增 -1.61%，累計年增 -0.99%,外資買超；融資增加；強放量；營收 2026-06，月增 -3.53%，年增 -1.61%，累計年增 -0.99%,46.73
2026-07-29,6183,關貿,TWSE,資訊服務業,,20,92.8,22.91,3.83,4.64,3.23,67.95,10.51,0.0,4.74,0.031,10.94,252,-2.83,-2.01,-28.1,-72.08,-8.12,6.67,2.21,-1.91,-6.65,1.5,2026-07-24,71.06,0.0,0.0,77.43,13.71,-0.02,0.0,2026Q1,45.16,29.1,24.12,1,4.05,22.91,23.0,24.83,1.07,16.3,2.61,0.0,0.0,0.0,0.0,,1,日均量 34 張偏低（門檻 500）,5.7,90.31,90.5883,2.44,686.86,77.98,34.34,36.69,2.27,1.07,19.34,強放量,245.1,47.0,292.1,35.68,6.84,5,0,0,0,55.6,0.0,新加坡商瑞銀,62.0,,90.3,1,新加坡商瑞銀,0,凱基-台南,65.0,,16.9,65.11,-1,0,0.15,69.15,已取得,59.33,128.48,22.5,10.83,6.0,6.0,14.0,3.89,69.15,2026-06,9.22,7.45,9.0,42.53,9.03,,外資與投信同買；前大買超分點約占成交 9.03%；收盤距區間均價 2.44%；連買：外5 / 投0；營收 2026-06，月增 9.22%，年增 7.45%，累計年增 9.0%,外資買超；投信買超；融資下降；強放量；接近區間高點；年線之下；營收 2026-06，月增 9.22%，年增 7.45%，累計年增 9.0%,69.15
