latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-09,8482,商億-KY,TWSE,居家生活,,5,50.9,17.2,3.85,1.72,8.07,,,-0.2,8.88,0.003,9.84,242,6.04,-6.78,-31.32,-93.9,-9.91,13.49,4.29,2.88,1.0,3.0,2026-09-04,90.26,0.0,0.0,95.21,3.03,-0.06,0.0,2026Q1,32.74,9.44,7.7,1,2.36,21.57,56.6,16.78,2.5,0.66,10.0,1.07,0.0,0.0,0.0,0.0,,0,日均量 6 張偏低（門檻 500）,2.7,65.95,48.5303,4.88,29.33,4.12,5.87,5.87,0.7,1.0,-3.57,正常,19.96,0.0,19.96,68.03,0.0,5,0,0,0,3.0,0.0,,,,,,,0,,,,0.0,42.0,-3,0,8.0,51.19,未取得,0.0,51.19,0.0,0.0,0.0,0.0,0.0,1.19,51.19,2026-07,2.89,-1.2,6.64,,,,營收 2026-07，月增 2.89%，年增 -1.2%，累計年增 6.64%,外資買超；融資下降；接近區間高點；營收 2026-07，月增 2.89%，年增 -1.2%，累計年增 6.64%,51.19
2026-09-09,2752,豆府,TPEX,觀光餐旅,,5,,11.1,7.46,3.9,2.55,,,,,0.021,1.53,247,-14.42,-12.98,-51.79,-100.1,-18.83,6.16,1.9,-7.5,-8.04,6.0,2026-09-04,40.7,0.0,0.0,63.69,20.46,-0.01,0.0,2026Q2,51.7,11.52,9.82,-1,16.29,,6.5,13.26,-16.3,4.02,33.6,-0.91,0.0,0.0,0.0,0.0,,1,日均量 12 張偏低（門檻 500）,0.3,30.24,179.0085,,59.0,0.0,11.8,11.8,0.0,1.0,-8.0,正常,39.0,0.0,39.0,66.1,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,32.0,,,0.0,34.45,未取得,0.0,34.45,0.0,0.0,0.0,0.0,0.0,2.45,34.45,2026-07,0.07,4.11,10.63,,,,營收 2026-07，月增 0.07%，年增 4.11%，累計年增 10.63%,外資買超；年線之下；營收 2026-07，月增 0.07%，年增 4.11%，累計年增 10.63%,34.45
2026-09-09,9926,新海,TWSE,油電燃氣業,,5,49.2,17.26,4.27,1.99,0.1,,,-1.6,1.03,0.008,5.06,246,-1.8,-1.5,-39.16,-88.62,-13.99,2.61,-0.43,-0.9,-6.78,3.0,2026-09-04,73.65,0.0,0.0,83.81,7.73,0.05,0.0,2026Q2,27.51,17.56,26.86,2,2.84,17.32,5.7,18.66,-7.5,0.93,14.8,-4.76,0.0,0.0,0.0,0.0,,1,日均量 16 張偏低（門檻 500）,6.9,52.48,49.3935,-0.39,79.8,10.03,15.96,15.96,0.63,1.0,-4.46,正常,52.06,0.0,52.06,65.23,0.0,5,0,0,0,6.0,0.0,,,,,,,0,,,,0.0,48.0,0,0,0.0,46.53,未取得,0.0,46.53,0.0,0.0,0.0,0.0,0.0,-1.47,46.53,2026-07,-9.51,-0.93,-0.99,,,,營收 2026-07，月增 -9.51%，年增 -0.93%，累計年增 -0.99%,外資買超；接近區間高點；年線之下；毛利率連2升；營收 2026-07，月增 -9.51%，年增 -0.93%，累計年增 -0.99%,46.53
2026-09-09,6958,日盛台駿,TWSE,其他業,,5,17.45,,0.0,0.73,1.45,,,-0.85,2.05,0.004,5.87,252,0.87,-7.43,-36.5,-94.55,-14.67,17.11,-0.82,1.37,0.49,2.0,2026-09-04,93.02,0.0,0.02,94.15,4.03,-0.02,0.06,2026Q2,27.99,6.36,4.09,-2,-1.1,,,,,0.26,,21.12,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-4.4,51.33,17.3569,0.54,114.58,20.38,22.92,22.92,0.89,1.0,-1.33,正常,69.48,0.0,69.48,60.64,0.0,5,0,0,0,15.0,0.0,,,,,,,0,,,,0.0,48.0,-3,0,2.62,47.97,未取得,0.0,47.97,0.0,0.0,0.0,0.0,0.0,-2.65,47.97,2026-07,2.36,-7.68,-9.7,,,,營收 2026-07，月增 2.36%，年增 -7.68%，累計年增 -9.7%,外資買超；融資下降；接近區間高點；毛利率連2降；營收 2026-07，月增 2.36%，年增 -7.68%，累計年增 -9.7%,47.97
2026-09-09,9937,全國,TWSE,油電燃氣業,,5,55.7,21.67,3.95,3.11,1.09,,,0.0,2.2,0.02,5.65,252,-1.76,-9.87,-39.13,-96.99,-14.31,4.11,0.64,-2.52,-6.78,1.5,2026-09-04,82.54,0.0,0.0,89.26,5.17,-0.01,0.0,2026Q2,10.91,3.05,3.13,-1,2.57,21.67,9.1,23.99,-9.7,0.64,14.3,-0.15,0.0,0.0,0.0,0.0,,1,日均量 36 張偏低（門檻 500）,0.3,50.36,55.1973,0.91,181.0,17.69,36.2,36.2,0.49,1.0,-6.14,正常,106.82,0.0,106.82,59.02,0.0,4,0,0,0,10.0,0.0,,,,,,,0,,,,0.0,46.0,-7,0,3.87,52.76,未取得,0.0,52.76,0.0,0.0,0.0,0.0,0.0,2.89,52.76,2026-07,0.02,12.18,4.35,,,,營收 2026-07，月增 0.02%，年增 12.18%，累計年增 4.35%,外資買超；融資下降；接近區間高點；年線之下；營收 2026-07，月增 0.02%，年增 12.18%，累計年增 4.35%,52.76
2026-09-09,6965,中傑-KY,TWSE,運動休閒,,5,73.8,125.08,6.78,1.01,0.14,,,-1.73,1.1,0.013,5.08,252,-11.62,-23.84,-48.98,-110.96,-29.38,3.36,-4.35,-11.42,-7.76,3.0,2026-09-04,90.94,0.01,0.03,92.42,5.32,0.0,0.17,2026Q1,10.05,-1.69,-2.1,-1,1.59,46.42,97.6,16.68,649.9,-0.64,-150.4,-4.77,0.0,0.0,0.0,0.0,,0,最新單季虧損,-2.7,50.56,74.0546,-0.34,85.74,26.15,17.15,17.15,1.52,1.0,9.3,放量,50.36,0.0,50.36,58.73,0.0,5,0,0,0,13.0,0.0,,,,,,,0,,,,0.0,48.0,0,0,0.0,48.12,未取得,0.0,48.12,0.0,0.0,0.0,0.0,0.0,0.12,48.12,2026-07,3.9,3.3,-5.87,,,,營收 2026-07，月增 3.9%，年增 3.3%，累計年增 -5.87%,外資買超；放量；接近區間高點；年線之下；營收 2026-07，月增 3.9%，年增 3.3%，累計年增 -5.87%,48.12
2026-09-09,2008,高興昌,TWSE,鋼鐵工業,,5,30.7,47.97,3.26,1.42,0.66,,,-2.54,0.66,0.004,0.4,252,9.64,15.63,-27.72,-71.49,-3.76,22.8,0.0,6.23,1.64,1.5,2026-09-04,91.23,0.0,0.1,92.56,5.03,0.01,0.3,2026Q2,16.6,10.33,,-2,0.64,47.97,52.2,47.73,0.5,0.21,-34.4,2.49,0.0,0.0,0.0,0.0,,0,日均量 13 張偏低（門檻 500）,-0.9,50.09,30.8588,-0.51,64.42,16.55,12.88,12.88,1.28,1.0,6.42,正常,37.12,0.0,37.12,57.63,0.0,4,0,0,0,10.0,0.0,,,,,,,0,,,,0.0,46.0,0,0,0.0,43.94,未取得,0.0,43.94,0.0,0.0,0.0,0.0,0.0,-2.06,43.94,2026-07,-3.26,3.69,-14.61,,,,營收 2026-07，月增 -3.26%，年增 3.69%，累計年增 -14.61%,外資買超；毛利率連2降；營收 2026-07，月增 -3.26%，年增 3.69%，累計年增 -14.61%,43.94
2026-09-09,1234,黑松,TWSE,食品工業,,5,33.45,20.4,4.93,0.73,0.45,,,-0.45,0.9,0.025,5.27,252,-8.23,-14.23,-45.6,-101.35,-17.41,1.36,-0.74,-6.99,-7.42,3.5,2026-09-04,74.29,0.0,0.05,83.05,11.04,0.06,0.15,2026Q2,31.0,3.0,5.93,1,1.64,20.4,83.7,19.11,6.8,0.31,-11.4,-0.72,0.0,0.0,0.0,0.0,,0,日均量 76 張偏低（門檻 500）,2.7,53.82,33.3989,0.15,379.47,70.7,75.89,75.89,0.93,1.0,-0.82,正常,217.37,0.0,217.37,57.28,0.0,5,0,0,0,25.0,0.0,,,,,,,0,,,,0.0,48.0,0,0,0.0,50.03,未取得,0.0,50.03,0.0,0.0,0.0,0.0,0.0,2.03,50.03,2026-07,19.03,2.44,-4.32,,,,營收 2026-07，月增 19.03%，年增 2.44%，累計年增 -4.32%,外資買超；接近區間高點；年線之下；營收 2026-07，月增 19.03%，年增 2.44%，累計年增 -4.32%,50.03
2026-09-09,1435,中福,TWSE,其他業,,5,23.3,,0.0,3.55,10.69,,,-0.43,11.48,0.005,11.41,201,9.13,,-28.23,,-29.5,82.03,0.93,,-2.47,0.0,2026-09-04,93.05,0.0,0.0,94.87,4.12,0.0,0.0,2026Q2,64.17,-4223.46,,1,-0.76,,,,,-0.46,,-3443.85,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-0.8,47.71,22.2927,4.52,102.28,12.02,20.46,20.46,0.59,1.0,-4.95,正常,54.24,0.0,54.24,53.04,0.0,5,0,0,0,9.0,0.0,,,,,,,0,,,,0.0,42.0,0,0,0.0,42.04,未取得,0.0,42.04,0.0,0.0,0.0,0.0,0.0,0.04,42.04,2026-07,0.0,0.2,0.03,,,,營收 2026-07，月增 0.0%，年增 0.2%，累計年增 0.03%,外資買超；接近區間高點；營收 2026-07，月增 0.0%，年增 0.2%，累計年增 0.03%,42.04
2026-09-09,2910,統領,TWSE,貿易百貨業,,5,23.95,13.09,4.34,1.52,3.01,,,-1.84,3.01,0.004,6.81,248,14.05,14.59,-23.32,-72.53,-22.99,18.56,-0.2,8.98,2.61,3.0,2026-09-04,92.96,0.01,0.03,96.62,1.12,0.0,0.17,2026Q2,82.68,50.82,88.06,-1,1.84,13.02,2.8,17.75,-26.3,0.73,563.6,-2.74,0.0,0.0,0.0,0.0,,1,日均量 16 張偏低（門檻 500）,3.3,57.76,23.8818,0.29,79.34,8.75,15.87,15.87,0.55,1.0,-5.38,正常,41.03,0.0,41.03,51.72,0.0,4,0,0,0,2.0,0.0,,,,,,,0,,,,0.0,46.0,0,0,0.0,44.56,未取得,0.0,44.56,0.0,0.0,0.0,0.0,0.0,-1.44,44.56,2026-07,-21.99,-0.02,7.49,,,,營收 2026-07，月增 -21.99%，年增 -0.02%，累計年增 7.49%,外資買超；接近區間高點；營收 2026-07，月增 -21.99%，年增 -0.02%，累計年增 7.49%,44.56
