latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-07,2303,聯電,TWSE,半導體業,晶圓代工,5,155.0,38.94,,,-8.28,,,-10.4,1.97,182.79,-4.97,252,218.28,254.69,157.63,153.26,-16.44,286.53,31.31,131.6,17.2,0.0,2026-07-03,74.23,-0.79,,76.82,19.72,0.73,-4.0,2026Q1,29.19,18.47,26.49,-1,4.01,38.65,3.3,4.73,165.9701,-6.61,550671.71,91482.18,110134.34,110134.34,0.83,1.0,-2.03,正常,97281.87,-106094.35,-8812.48,17.67,-19.27,3,0,0,5,2888.69,-13841.96,,,,,,,0,,,,0.0,-12.78,-12620,-1753,2.2,-5.78,未取得,0.0,-5.78,0.0,0.0,0.0,0.0,0.0,4.8,-5.78,2026-05,1.23,17.78,9.05,,,,營收 2026-05，月增 1.23%，年增 17.78%，累計年增 9.05%,外資買超；融資下降；千張大戶減持；營收 2026-05，月增 1.23%，年增 17.78%，累計年增 9.05%,-5.78
2026-07-07,2884,玉山金,TWSE,金融保險業,金控,5,34.5,15.68,,,4.86,,,-0.43,5.18,17.884,7.92,251,1.17,0.88,-59.47,-100.56,-5.74,17.35,4.72,5.12,0.52,1.5,2026-07-03,67.87,-0.18,,72.3,20.58,0.11,-1.44,2026Q1,,,39.96,0,2.19,15.75,4.5,58.46,33.6706,2.46,265572.13,49161.49,53114.43,53114.43,0.93,1.0,-0.89,正常,49442.04,1746.87,51188.91,18.62,0.66,3,0,0,3,14524.1,-3370.54,,,,,,,0,,,,0.0,38.14,-669,111,0.28,45.9,未取得,0.0,45.9,0.0,0.0,0.0,0.0,0.0,7.48,45.9,2026-05,-7.84,24.76,24.75,,,,營收 2026-05，月增 -7.84%，年增 24.76%，累計年增 24.75%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-05，月增 -7.84%，年增 24.76%，累計年增 24.75%,45.9
2026-07-07,2105,正新,TWSE,橡膠工業,,5,32.45,20.03,,,7.81,,,-2.41,9.44,5.716,4.69,252,9.81,-16.9,-50.83,-118.33,-24.09,15.48,1.19,-2.84,-5.62,0.0,2026-07-03,77.93,0.76,,80.5,15.28,-0.41,4.5,2026Q1,24.84,9.93,7.95,1,1.62,20.03,2.7,70.81,31.9295,1.63,89509.25,13718.46,17901.85,17901.85,0.77,1.0,-2.8,正常,43021.98,1474.57,44496.55,48.06,1.65,5,0,5,0,4772.32,108.57,,,,,,,0,,,,0.0,64.62,-1578,-1,1.76,65.94,未取得,0.0,65.94,0.0,0.0,0.0,0.0,0.0,-0.44,65.94,2026-05,-9.48,1.22,2.97,,,,營收 2026-05，月增 -9.48%，年增 1.22%，累計年增 2.97%,外資買超；投信買超；融資下降；年線之下；千張大戶增持；營收 2026-05，月增 -9.48%，年增 1.22%，累計年增 2.97%,65.94
2026-07-07,2834,臺企銀,TWSE,金融保險業,,5,18.1,13.82,,,2.84,,,-0.55,3.43,4.902,6.7,252,12.77,12.07,-47.87,-89.36,-0.55,22.3,8.63,13.9,7.68,1.5,2026-07-03,55.54,-0.06,,61.16,26.73,0.03,-0.48,2026Q1,,,,0,1.29,14.03,1.5,65.31,17.8908,1.17,137001.14,30901.56,27400.23,27400.23,1.13,1.0,1.53,正常,39887.59,-13.94,39873.65,29.11,-0.01,4,0,0,2,14608.33,-16.37,,,,,,,0,,,,0.0,40.97,-1284,1,0.94,47.64,未取得,0.0,47.64,0.0,0.0,0.0,0.0,0.0,5.73,47.64,2026-05,4.45,22.52,7.17,,,,營收 2026-05，月增 4.45%，年增 22.52%，累計年增 7.17%,外資買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 4.45%，年增 22.52%，累計年增 7.17%,47.64
2026-07-07,1102,亞泥,TWSE,水泥工業,,5,36.3,12.18,,,3.42,,,-2.16,4.01,10.909,2.05,252,-3.71,-12.53,-64.36,-113.96,-17.87,12.04,3.68,-0.57,-6.97,1.5,2026-07-03,79.59,0.11,,81.82,14.13,0.03,0.88,2026Q1,13.0,7.99,12.72,-3,3.15,11.52,-0.5,-17.13,35.7635,1.5,152515.67,12343.3,30503.13,30503.13,0.4,1.0,-7.14,正常,33103.27,-51125.4,-18022.13,21.7,-33.52,0,3,4,0,-6499.97,180.34,,,,,,,0,,,,0.0,-10.45,-307,-2,0.2,-10.52,未取得,0.0,-10.52,0.0,0.0,0.0,0.0,0.0,-0.27,-10.52,2026-05,10.57,-1.16,-8.28,,,,營收 2026-05，月增 10.57%，年增 -1.16%，累計年增 -8.28%,外資買超；融資下降；年線之下；毛利率連3降；營收 2026-05，月增 10.57%，年增 -1.16%，累計年增 -8.28%,-10.52
2026-07-07,2812,台中銀,TWSE,金融保險業,,5,20.65,13.32,,,3.77,,,-0.72,4.29,2.69,7.26,252,-1.2,-9.03,-61.84,-110.46,-14.14,14.09,5.01,-1.57,-6.72,1.5,2026-07-03,53.77,0.07,,58.87,28.88,-0.11,1.06,2026Q1,,,,0,1.54,13.41,1.5,56.33,20.3851,1.3,65970.47,15527.58,13194.09,13194.09,1.18,1.0,2.12,正常,29582.11,43.81,29625.93,44.84,0.07,4,0,0,1,7227.98,-0.52,,,,,,,0,,,,0.0,43.67,-186,0,0.28,50.67,未取得,0.0,50.67,0.0,0.0,0.0,0.0,0.0,6.72,50.67,2026-05,-18.32,28.33,23.88,,,,營收 2026-05，月增 -18.32%，年增 28.33%，累計年增 23.88%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-05，月增 -18.32%，年增 28.33%，累計年增 23.88%,50.67
2026-07-07,1717,長興,TWSE,化學工業,,5,77.1,52.09,,,7.23,,,-12.98,8.9,38.821,4.34,252,83.79,221.92,23.15,120.49,-14.24,225.32,-0.19,43.56,12.78,-2.0,2026-07-03,58.53,-0.47,,64.68,28.75,0.28,-3.76,2026Q1,22.16,5.22,4.18,2,1.48,52.09,3.9,51.45,81.9216,-5.89,236941.57,56058.86,47388.31,47388.31,1.18,1.0,2.2,正常,24093.47,245.62,24339.08,10.17,0.1,0,1,1,0,-14571.76,1.0,,,,,,,0,,,,0.0,31.98,-942,150,0.4,35.09,未取得,0.0,35.09,0.0,0.0,0.0,0.0,0.0,2.71,35.09,2026-05,-8.8,14.88,6.81,,,,營收 2026-05，月增 -8.8%，年增 14.88%，累計年增 6.81%,外資買超；投信買超；融資下降；毛利率連2升；千張大戶減持；營收 2026-05，月增 -8.8%，年增 14.88%，累計年增 6.81%,35.09
2026-07-07,1313,聯成,TWSE,塑膠工業,,5,13.05,0.0,,,6.97,,,-10.0,7.85,3.048,4.18,252,32.76,66.67,-27.89,-34.77,-12.12,71.26,13.53,20.32,3.93,0.0,2026-07-03,62.9,0.33,,66.85,25.41,-0.09,3.14,2026Q1,6.21,1.35,0.71,2,-0.89,,0.4,55.44,13.5972,-4.02,112066.13,14541.84,22413.23,22413.23,0.65,1.0,-4.21,正常,21809.78,0.0,21809.78,19.46,0.0,5,0,0,0,4183.29,0.0,,,,,,,0,,,,0.0,45.0,-954,56,0.85,45.89,未取得,0.0,45.89,0.0,0.0,0.0,0.0,0.0,0.04,45.89,2026-05,-8.64,4.71,1.46,,,,營收 2026-05，月增 -8.64%，年增 4.71%，累計年增 1.46%,外資買超；融資下降；毛利率連2升；千張大戶增持；營收 2026-05，月增 -8.64%，年增 4.71%，累計年增 1.46%,45.89
2026-07-07,1216,統一,TWSE,食品工業,,5,78.0,21.08,,,4.7,,,-0.89,5.69,11.999,7.82,252,0.78,-7.14,-59.87,-108.58,-10.55,13.87,6.37,2.97,0.48,0.0,2026-07-03,85.53,0.08,,89.0,8.46,0.03,0.64,2026Q1,33.78,5.86,3.74,1,3.69,21.14,2.7,79.9,76.7731,1.6,78148.84,20179.66,15629.77,15629.77,1.29,1.0,6.49,正常,20502.05,2122.49,22624.54,26.23,2.72,3,0,5,0,2777.04,176.48,,,,,,,0,,,,0.0,63.29,-303,4,0.39,65.01,未取得,0.0,65.01,0.0,0.0,0.0,0.0,0.0,1.33,65.01,2026-05,2.96,2.7,3.03,,,,營收 2026-05，月增 2.96%，年增 2.7%，累計年增 3.03%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-05，月增 2.96%，年增 2.7%，累計年增 3.03%,65.01
2026-07-07,5483,中美晶,TPEX,半導體業,,5,198.5,28.2,1.76,2.47,0.25,,,-10.79,5.03,99.898,0.15,252,79.64,102.76,18.99,1.32,-10.79,120.56,28.0,62.43,12.28,0.0,2026-07-03,54.55,0.91,,62.06,31.73,-1.61,4.5,2026Q1,23.24,11.88,5.81,-1,7.35,27.01,0.3,46.47,202.9403,-2.19,246127.0,27832.0,49225.4,49225.4,0.57,1.0,-5.22,正常,19922.92,1408.16,21331.08,8.09,0.57,1,0,0,1,7643.92,-465.0,,,,,,,0,,,,0.0,30.05,-1418,43,0.58,31.85,未取得,0.0,31.85,0.0,0.0,0.0,0.0,0.0,1.22,31.85,2026-05,0.21,5.67,1.08,,,,營收 2026-05，月增 0.21%，年增 5.67%，累計年增 1.08%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-05，月增 0.21%，年增 5.67%，累計年增 1.08%,31.85
