latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-06,9958,世紀鋼,TWSE,鋼鐵工業,,5,110.5,14.09,4.07,2.38,5.74,,,0.0,6.25,1.489,8.44,252,-17.23,-41.99,-57.62,-126.82,-46.1,9.95,-0.44,-18.14,-12.0,3.0,2026-07-31,43.1,-0.3,-0.54,53.12,40.23,0.28,-3.9,2026Q1,33.19,28.83,14.23,2,7.79,14.18,11.1,25.28,-44.3,2.63,86.5,7.99,33.0,19.0,14.0,0.0,0,1,單季 EPS 年增 86%、毛利率連 2 季升、月營收年增 64%、PE 14.1（一年 11% 分位）、距 52 週高點 -46%,5.4,56.41,106.493,3.76,6992.89,1618.01,1398.58,1398.58,1.16,1.0,1.88,正常,1450.84,-229.0,1221.84,20.75,-3.27,5,0,0,0,252.0,0.0,,,,,,,0,,,,0.0,33.81,-149,12,2.23,54.53,未取得,0.0,54.53,0.0,0.0,0.0,0.0,0.0,18.49,54.53,2026-06,25.2,64.09,29.18,,,,營收 2026-06，月增 25.2%，年增 64.09%，累計年增 29.18%,外資買超；融資下降；接近區間高點；年線之下；毛利率連2升；千張大戶減持；營收 2026-06，月增 25.2%，年增 64.09%，累計年增 29.18%,54.53
2026-08-06,8131,福懋科,TWSE,半導體業,,5,64.3,18.64,1.56,1.85,14.41,,,-7.48,17.34,4.101,8.65,252,-9.56,153.65,-49.95,68.83,-26.18,158.23,-7.3,16.68,-0.56,0.0,2026-07-31,69.15,-1.83,-0.96,71.24,24.15,1.73,-5.5,2026Q1,19.55,16.12,,3,1.98,32.47,4.4,50.88,-63.4,0.96,182.4,10.02,31.5,20.0,11.5,0.0,0,1,單季 EPS 年增 182%、毛利率連 3 季升、月營收年增 61%、PE 18.6（一年 4% 分位）、距 52 週高點 -26%,5.0,41.73,62.9765,2.1,32557.06,5797.13,6511.41,6511.41,0.89,1.0,-1.32,正常,1492.05,0.0,1492.05,4.58,0.0,0,1,0,0,-1508.7,0.0,,,,,,,0,,,,0.0,16.83,-8,-3,0.02,34.8,未取得,0.0,34.8,0.0,0.0,0.0,0.0,0.0,17.95,34.8,2026-06,5.1,60.87,40.86,,,,營收 2026-06，月增 5.1%，年增 60.87%，累計年增 40.86%,外資買超；融資下降；毛利率連3升；千張大戶減持；營收 2026-06，月增 5.1%，年增 60.87%，累計年增 40.86%,34.8
2026-08-06,6757,台灣虎航,TWSE,航運業,,5,56.5,9.08,4.28,3.44,-1.57,,,-3.25,2.17,0.884,-0.94,252,-13.48,-33.45,-53.87,-118.27,-36.09,19.83,-0.61,-12.15,-11.95,4.5,2026-07-31,73.05,0.27,-1.3,75.39,22.07,-0.22,1.16,2026Q1,40.68,30.51,,2,6.23,9.07,13.5,12.55,-27.6,2.91,42.0,4.93,31.5,17.0,14.5,0.0,0,1,單季 EPS 年增 42%、毛利率連 2 季升、月營收年增 27%、PE 9.1（一年 14% 分位）、距 52 週高點 -36%,3.9,32.65,56.7419,-0.43,7793.41,721.46,1558.68,1558.68,0.46,1.0,-6.45,正常,1208.14,-74.0,1134.14,15.5,-0.95,0,1,0,1,-78.19,-74.0,,,,,,,0,,,,0.0,30.77,74,2,-0.76,39.2,未取得,0.0,39.2,0.0,0.0,0.0,0.0,0.0,9.19,39.2,2026-06,6.37,27.12,22.13,,,,營收 2026-06，月增 6.37%，年增 27.12%，累計年增 22.13%,外資買超；融資增加；年線之下；毛利率連2升；營收 2026-06，月增 6.37%，年增 27.12%，累計年增 22.13%,39.2
2026-08-06,6584,南俊國際,TPEX,電子零組件業,,5,500.0,65.45,0.5,9.9,17.51,,,-1.77,19.05,3.831,14.0,252,72.12,135.85,31.73,51.03,-41.52,164.55,-19.91,14.72,9.81,-3.5,2026-07-31,62.72,-0.01,-1.6,76.94,16.34,0.0,-1.58,2026Q1,41.55,29.46,27.13,6,7.96,62.81,6.3,90.31,-27.5,3.37,237.0,15.05,30.0,20.0,10.0,0.0,0,1,單季 EPS 年增 237%、毛利率連 6 季升、月營收年增 41%、PE 65.5（一年 6% 分位）、距 52 週高點 -42%,8.0,55.83,467.8228,6.88,4094.0,1039.0,818.8,818.8,1.27,1.0,6.23,正常,749.83,-309.29,440.53,18.32,-7.55,2,0,0,1,312.7,-1.5,,,,,,,0,,,,0.0,11.22,92,11,-1.64,25.98,未取得,0.0,25.98,0.0,0.0,0.0,0.0,0.0,16.4,25.98,2026-06,1.48,40.64,55.65,,,,營收 2026-06，月增 1.48%，年增 40.64%，累計年增 55.65%,外資買超；融資增加；接近區間高點；毛利率連6升；營收 2026-06，月增 1.48%，年增 40.64%，累計年增 55.65%,25.98
2026-08-06,8110,華東,TWSE,半導體業,,5,46.0,16.85,3.24,1.88,23.99,,,-3.16,25.17,4.131,9.0,252,-35.57,257.98,-75.96,173.15,-47.73,269.48,-10.31,2.78,-6.6,3.0,2026-07-31,47.38,-0.49,-3.02,50.76,45.22,0.32,-5.42,2026Q1,10.04,5.25,12.64,3,2.76,16.67,7.4,23.88,-29.4,0.49,133.3,9.66,30.0,18.0,14.0,-2.0,0,1,單季 EPS 年增 133%、毛利率連 3 季升、月營收年增 16%、PE 16.9（一年 7% 分位）、距 52 週高點 -48%,6.5,-11.66,43.4311,5.91,47563.02,6401.47,9512.6,9512.6,0.67,1.0,-3.92,正常,-3972.95,0.0,-3972.95,-8.35,0.0,1,0,0,0,86.05,0.0,,,,,,,0,,,,0.0,-21.39,277,261,-0.14,-16.18,未取得,0.0,-16.18,0.0,0.0,0.0,0.0,0.0,5.35,-16.18,2026-06,2.42,16.26,13.32,,,,營收 2026-06，月增 2.42%，年增 16.26%，累計年增 13.32%,融資增加；毛利率連3升；千張大戶減持；營收 2026-06，月增 2.42%，年增 16.26%，累計年增 13.32%,-16.18
2026-08-06,2103,台橡,TWSE,橡膠工業,,5,22.75,9.14,1.19,0.85,7.06,,,-0.44,9.37,0.744,9.24,252,55.82,31.5,15.43,-53.32,-17.57,67.28,4.71,25.4,11.43,5.0,2026-07-31,51.72,0.11,1.55,56.48,33.09,0.11,2.38,2026Q1,12.25,6.3,4.22,3,0.67,33.96,0.0,34.78,-73.7,0.53,32.5,1.55,30.0,16.5,15.5,-2.0,0,1,單季 EPS 年增 32%、毛利率連 3 季升、月營收年增 40%、PE 9.1（一年 0% 分位）、距 52 週高點 -18%,5.0,35.12,21.6726,4.97,17162.58,2525.25,3432.52,3432.52,0.74,1.0,-3.17,正常,-552.6,0.0,-552.6,-3.22,0.0,3,0,0,0,459.17,0.0,,,,,,,0,,,,0.0,-3.02,532,38,-2.35,3.66,未取得,0.0,3.66,0.0,0.0,0.0,0.0,0.0,9.03,3.66,2026-06,-3.63,40.24,13.88,,,,營收 2026-06，月增 -3.63%，年增 40.24%，累計年增 13.88%,融資增加；接近區間高點；毛利率連3升；營收 2026-06，月增 -3.63%，年增 40.24%，累計年增 13.88%,3.66
2026-08-06,8086,宏捷科,TPEX,半導體業,,5,123.5,27.75,1.36,2.96,12.27,,,-4.63,14.35,3.032,7.36,252,19.32,16.51,-21.07,-68.31,-32.51,40.18,-13.65,-0.78,-7.6,0.0,2026-07-31,47.65,0.75,-1.16,52.92,39.26,0.05,2.5,2026Q1,34.63,27.35,,5,4.45,27.75,5.2,49.06,-43.4,1.51,259.5,17.1,29.5,18.0,11.5,0.0,0,1,單季 EPS 年增 260%、毛利率連 5 季升、月營收年增 16%、PE 27.8（一年 5% 分位）、距 52 週高點 -33%,5.0,4.44,120.029,2.89,12630.0,1751.0,2526.0,2526.0,0.69,1.0,-3.68,正常,-35.44,1.22,-34.22,-0.28,0.01,0,2,0,2,-115.52,-1.2,,,,,,,0,,,,0.0,-9.75,48,7,-0.27,-0.98,未取得,0.0,-0.98,0.0,0.0,0.0,0.0,0.0,9.04,-0.98,2026-06,-7.9,16.05,44.36,,,,營收 2026-06，月增 -7.9%，年增 16.05%，累計年增 44.36%,投信買超；融資增加；年線之下；毛利率連5升；千張大戶增持；營收 2026-06，月增 -7.9%，年增 16.05%，累計年增 44.36%,-0.98
2026-08-06,3135,凌航,TWSE,半導體業,,5,186.5,13.2,2.52,5.13,21.9,,,-1.32,23.1,5.257,14.0,243,64.32,477.4,23.93,392.58,-29.89,498.72,-1.45,71.71,12.87,1.5,2026-07-31,43.04,-0.02,-0.05,49.61,42.07,0.48,-0.31,2026Q1,30.35,27.43,,3,16.55,11.27,11.5,46.8,-71.8,10.76,1892.6,24.34,29.5,18.0,11.5,0.0,0,,單季 EPS 年增 1893%、毛利率連 3 季升、月營收年增 150%、PE 13.2（一年 12% 分位）、距 52 週高點 -30%,5.0,45.56,172.3656,8.2,15249.45,4827.71,3049.89,3049.89,1.58,1.0,6.99,放量,-220.79,0.0,-220.79,-1.45,0.0,0,1,0,0,-211.62,0.0,,,,,,,0,,,,0.0,-6.05,828,130,-3.83,9.01,未取得,0.0,9.01,0.0,0.0,0.0,0.0,0.0,18.89,9.01,2026-06,-12.58,150.02,842.76,,,,營收 2026-06，月增 -12.58%，年增 150.02%，累計年增 842.76%,融資增加；放量；接近區間高點；毛利率連3升；營收 2026-06，月增 -12.58%，年增 150.02%，累計年增 842.76%,9.01
2026-08-06,6215,和椿,TWSE,其他電子業,,5,97.1,34.07,1.03,4.96,12.25,,,-2.41,15.18,0.807,7.35,252,-10.09,-27.27,-50.48,-112.09,-40.79,22.14,-11.53,-14.23,-11.61,0.0,2026-07-31,26.4,0.0,-3.31,31.87,60.67,0.78,-1.5,2026Q1,29.92,14.07,12.2,2,2.85,34.07,4.8,55.88,-39.0,1.14,208.1,8.46,29.0,19.0,10.0,0.0,0,1,單季 EPS 年增 208%、毛利率連 2 季升、月營收年增 30%、PE 34.1（一年 5% 分位）、距 52 週高點 -41%,5.4,21.47,93.9448,3.36,4296.15,1583.67,859.23,859.23,1.84,1.0,13.12,放量,79.02,0.0,79.02,1.84,0.0,0,1,0,0,-243.57,0.0,,,,,,,0,,,,0.0,3.15,104,32,-1.49,15.27,未取得,0.0,15.27,0.0,0.0,0.0,0.0,0.0,13.61,15.27,2026-06,-4.01,30.49,53.74,,,,營收 2026-06，月增 -4.01%，年增 30.49%，累計年增 53.74%,外資買超；融資增加；放量；年線之下；毛利率連2升；營收 2026-06，月增 -4.01%，年增 30.49%，累計年增 53.74%,15.27
2026-08-06,8103,瀚荃,TWSE,電子零組件業,,5,84.5,14.77,3.31,1.63,15.6,,,-0.59,19.52,0.591,14.0,245,-2.76,97.43,-43.15,12.61,-38.1,103.61,-10.1,1.81,-3.88,3.0,2026-07-31,29.45,1.5,1.5,42.26,45.09,1.52,5.5,2026Q1,37.97,14.24,9.96,-1,4.36,19.38,4.9,21.55,-31.5,1.17,60.3,5.22,29.0,14.5,14.5,0.0,0,1,單季 EPS 年增 60%、毛利率連 1 季降、月營收年增 45%、PE 14.8（一年 5% 分位）、距 52 週高點 -38%,0.3,39.94,76.4778,10.49,3865.72,1029.65,773.14,773.14,1.33,1.0,6.98,正常,230.59,0.0,230.59,5.96,0.0,0,2,0,0,-122.44,0.0,,,,,,,0,,,,0.0,8.7,212,1,-4.37,17.53,未取得,0.0,17.53,0.0,0.0,0.0,0.0,0.0,13.2,17.53,2026-06,7.33,45.04,26.34,,,,營收 2026-06，月增 7.33%，年增 45.04%，累計年增 26.34%,外資買超；融資增加；接近區間高點；千張大戶增持；營收 2026-06，月增 7.33%，年增 45.04%，累計年增 26.34%,17.53
