latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-03,2383,台光電,TWSE,電子零組件業,PCB,20,6080.0,131.89,0.41,45.44,24.46,73.41,64.65,0.0,34.22,111.054,18.0,252,269.6,537.99,200.7,427.79,0.0,636.97,26.86,155.47,22.0,-3.5,2026-06-26,57.91,,,69.34,16.53,,0.0,2026Q1,29.42,21.56,16.15,1,46.56,130.58,4.2,86.89,5229.8518,16.26,42469.24,3177.23,2123.46,1460.51,1.5,0.69,3.96,正常,3149.08,-148.3,3000.78,7.41,-0.35,1,0,2,0,334.84,114.7,台灣摩根士丹利,2726.0,,新加坡商瑞銀,1851.0,,5.52,22.61,150,18,-0.26,44.21,已取得,23.7,67.91,10.6,7.7,-5.0,4.4,6.0,21.86,44.21,2026-05,12.17,114.63,73.18,7.07,6.42,,外資主導買超；前大買超分點約占成交 6.42%；收盤距區間均價 16.26%；連買：外1 / 投2；營收 2026-05，月增 12.17%，年增 114.63%，累計年增 73.18%,外資買超；融資增加；接近區間高點；逼近52週高點；營收 2026-05，月增 12.17%，年增 114.63%，累計年增 73.18%,44.21
2026-07-03,3004,豐達科,TWSE,鋼鐵工業,,20,150.0,28.09,1.7,2.65,15.38,65.42,57.09,0.0,22.95,0.979,18.0,252,46.34,15.83,-22.56,-94.36,-3.85,56.25,20.29,26.58,5.93,0.0,2026-06-26,48.13,,,60.02,29.75,,0.0,2026Q1,25.24,13.94,10.27,2,5.78,25.95,5.4,95.14,136.2035,10.13,14378.85,2886.88,718.94,916.83,4.02,1.28,25.4,強放量,2130.21,40.0,2170.21,14.81,0.28,4,0,1,0,312.6,40.0,台灣摩根士丹利,645.0,,凱基-台中,486.0,,3.69,39.2,505,12,-2.76,53.11,已取得,48.28,101.39,22.5,5.38,0.0,6.4,14.0,16.67,53.11,2026-05,11.86,56.16,32.13,15.09,4.49,,外資與投信同買；前大買超分點約占成交 4.49%；收盤距區間均價 10.13%；連買：外4 / 投1；營收 2026-05，月增 11.86%，年增 56.16%，累計年增 32.13%,外資買超；投信買超；融資增加；強放量；接近區間高點；毛利率連2升；營收 2026-05，月增 11.86%，年增 56.16%，累計年增 32.13%,53.11
2026-07-03,8109,博大,TPEX,電子零組件業,,20,140.5,22.16,3.2,4.02,17.08,71.43,49.54,0.0,24.34,0.331,18.0,252,39.11,71.97,-29.8,-38.22,0.0,73.67,17.87,34.98,10.34,1.5,2026-06-26,34.92,,,54.26,29.23,,0.0,2026Q1,50.11,35.57,30.4,-1,6.34,22.16,3.3,95.81,123.7747,13.51,5349.0,900.0,267.45,299.2,3.37,1.12,22.9,強放量,667.5,55.0,722.5,12.48,1.03,6,0,0,0,24.31,0.0,群益金鼎-內湖,239.0,,國票-台東,143.0,,4.03,39.38,-266,0,4.97,51.22,已取得,40.62,91.84,20.26,5.36,-5.0,6.0,14.0,6.87,51.22,2026-05,-4.93,22.73,21.07,13.51,4.47,,外資與投信同買；前大買超分點約占成交 4.47%；收盤距區間均價 13.51%；連買：外6 / 投0；營收 2026-05，月增 -4.93%，年增 22.73%，累計年增 21.07%,外資買超；投信買超；融資下降；強放量；接近區間高點；逼近52週高點；營收 2026-05，月增 -4.93%，年增 22.73%，累計年增 21.07%,51.22
2026-07-03,6196,帆宣,TWSE,其他電子業,,20,588.0,37.45,1.1,7.42,16.67,59.35,64.21,-1.67,28.67,12.481,18.0,252,114.99,221.31,46.09,111.12,-1.67,237.93,28.98,93.3,21.53,-1.5,2026-06-26,66.61,,,72.39,20.02,,0.0,2026Q1,13.57,8.25,7.78,1,16.17,36.36,2.7,71.19,545.3012,7.83,45777.92,1671.41,2288.9,2162.86,0.73,0.94,-4.12,正常,-572.28,1095.8,523.52,-1.25,2.39,4,0,2,0,136.0,12.0,美林,382.0,,摩根大通,476.0,,0.48,17.4,316,-35,-0.58,32.52,已取得,18.72,51.24,1.72,1.0,0.0,8.0,8.0,15.7,32.52,2026-05,5.19,64.89,26.75,1.14,0.83,,投信主導買超；前大買超分點約占成交 0.83%；收盤距區間均價 7.83%；連買：外4 / 投2；營收 2026-05，月增 5.19%，年增 64.89%，累計年增 26.75%,投信買超；融資增加；接近區間高點；逼近52週高點；營收 2026-05，月增 5.19%，年增 64.89%，累計年增 26.75%,32.52
2026-07-03,1308,亞聚,TWSE,塑膠工業,,20,15.85,,1.26,0.85,14.44,72.92,47.83,0.0,21.46,0.424,17.66,252,18.28,40.27,-50.62,-69.93,-25.06,44.09,11.6,17.62,2.23,2.0,2026-06-26,48.95,,,52.13,39.45,,0.0,2026Q1,5.66,1.04,-9.24,-1,-1.56,,-6.2,60.7,14.3016,10.83,59334.8,14799.64,2966.74,4767.28,4.99,1.61,30.0,強放量,6273.41,0.0,6273.41,10.57,0.0,3,0,0,0,289.25,0.0,,,,,,,0.0,30.46,1371,28,-1.82,30.01,未取得,0.0,30.01,0.0,0.0,0.0,0.0,0.0,1.37,30.01,2026-05,1.87,10.42,-4.57,,,,營收 2026-05，月增 1.87%，年增 10.42%，累計年增 -4.57%,外資買超；融資增加；強放量；接近區間高點；營收 2026-05，月增 1.87%，年增 10.42%，累計年增 -4.57%,30.01
2026-07-03,1434,福懋,TWSE,紡織纖維,,20,18.9,31.5,2.65,0.7,13.86,74.19,40.58,-1.82,19.62,0.829,17.32,252,19.24,14.89,-49.66,-95.3,-1.82,31.25,16.51,17.07,8.32,2.0,2026-06-26,68.44,,,72.17,21.18,,0.0,2026Q1,11.18,2.85,4.82,1,0.6,31.5,2.7,72.84,17.5708,7.57,94397.12,34675.56,4719.86,9477.41,7.35,2.01,30.0,強放量,9058.64,-6.0,9052.64,9.6,-0.01,0,1,2,0,-4554.62,2.0,,,,,,,0.0,29.85,2380,-153,-2.07,27.5,未取得,0.0,27.5,0.0,0.0,0.0,0.0,0.0,-0.28,27.5,2026-05,-3.35,5.63,-5.6,,,,營收 2026-05，月增 -3.35%，年增 5.63%，累計年增 -5.6%,外資買超；融資增加；強放量；接近區間高點；逼近52週高點；營收 2026-05，月增 -3.35%，年增 5.63%，累計年增 -5.6%,27.5
2026-07-03,2527,宏璟,TWSE,建材營造業,,20,41.2,8.13,3.64,0.5,13.34,74.23,44.09,-0.72,21.53,0.511,17.0,252,41.58,47.67,-27.32,-62.52,-0.72,86.85,13.73,38.77,10.88,6.5,2026-06-26,74.89,,,79.82,13.61,,0.0,2026Q1,27.5,24.56,19.68,-1,5.06,8.14,1.8,42.47,39.406,4.55,25960.33,603.47,1298.02,847.39,0.46,0.65,-11.98,量縮,635.02,-92.36,542.66,2.45,-0.36,1,0,0,0,87.03,0.0,,,,,,,0.0,7.68,348,1,-1.07,12.28,未取得,0.0,12.28,0.0,0.0,0.0,0.0,0.0,5.67,12.28,2026-05,-17.13,-10.42,1906.39,,,,營收 2026-05，月增 -17.13%，年增 -10.42%，累計年增 1906.39%,外資買超；融資增加；接近區間高點；逼近52週高點；營收 2026-05，月增 -17.13%，年增 -10.42%，累計年增 1906.39%,12.28
2026-07-03,2427,三商電,TWSE,資訊服務業,,20,26.65,20.82,2.63,1.53,12.68,74.39,61.35,0.0,22.53,0.458,16.61,252,0.19,-7.63,-68.72,-117.82,-20.21,32.26,21.25,3.93,0.42,0.0,2026-06-26,49.82,,,52.48,39.65,,0.0,2026Q1,18.91,3.57,2.95,1,1.28,20.82,2.7,34.71,24.0587,10.77,38064.37,15242.15,1903.22,4162.26,8.01,2.19,30.0,強放量,667.57,0.0,667.57,1.75,0.0,4,0,0,0,444.75,0.0,,,,,,,0.0,8.91,545,146,-0.92,-0.02,未取得,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,-8.01,-0.02,2026-05,-35.22,-73.63,2.46,,,,營收 2026-05，月增 -35.22%，年增 -73.63%，累計年增 2.46%,外資買超；融資增加；強放量；接近區間高點；營收 2026-05，月增 -35.22%，年增 -73.63%，累計年增 2.46%,-0.02
2026-07-03,1305,華夏,TWSE,塑膠工業,,20,14.85,,0.67,1.13,12.5,73.4,52.08,-1.0,21.22,0.538,16.5,252,33.18,51.53,-35.72,-58.66,-26.12,56.32,9.08,20.01,3.72,2.0,2026-06-26,49.19,,,52.23,39.56,,0.0,2026Q1,1.97,-6.57,-4.5,3,-1.33,,-1.5,34.01,13.4691,10.25,79932.39,23511.99,3996.62,6866.28,5.88,1.72,30.0,強放量,333.81,0.0,333.81,0.42,0.0,0,1,0,0,-6223.5,0.0,,,,,,,0.0,-4.83,1199,-209,-1.28,-1.71,未取得,0.0,-1.71,0.0,0.0,0.0,0.0,0.0,4.4,-1.71,2026-05,-18.39,20.69,18.02,,,,營收 2026-05，月增 -18.39%，年增 20.69%，累計年增 18.02%,外資買超；融資增加；強放量；接近區間高點；毛利率連3升；營收 2026-05，月增 -18.39%，年增 20.69%，累計年增 18.02%,-1.71
2026-07-03,8383,千附,TPEX,半導體業,,20,66.0,17.74,3.79,1.9,12.05,64.43,56.9,-1.05,24.29,1.18,16.23,252,62.36,52.25,-6.54,-57.94,-14.29,72.77,9.45,42.8,9.22,3.0,2026-06-26,44.91,,,51.22,41.44,,0.0,2026Q1,26.17,15.98,11.67,-1,3.75,17.6,1.8,68.12,61.8057,6.79,38168.0,3094.0,1908.4,2410.0,1.62,1.26,14.66,放量,1333.01,0.0,1333.01,3.49,0.0,2,0,0,0,861.53,0.0,,,,,,,0.0,13.78,-821,0,2.15,30.54,未取得,0.0,30.54,0.0,0.0,0.0,0.0,0.0,14.61,30.54,2026-05,11.31,46.09,30.95,,,,營收 2026-05，月增 11.31%，年增 46.09%，累計年增 30.95%,外資買超；融資下降；放量；接近區間高點；營收 2026-05，月增 11.31%，年增 46.09%，累計年增 30.95%,30.54
