latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-11,3229,晟鈦,TWSE,電子零組件業,,5,67.5,50.75,0.0,6.36,33.4,,,0.0,37.76,2.91,14.0,252,246.15,372.03,208.47,289.89,0.0,385.61,42.31,120.66,22.0,-3.5,2026-09-04,67.46,0.0,-1.57,70.13,24.02,0.02,-1.5,2026Q2,15.03,11.01,11.37,3,1.33,50.75,25.6,809.0,-93.7,0.73,,14.04,12.0,12.0,0.0,0.0,0,1,毛利率連 3 季升、月營收年增 77%、PE 50.8（一年 26% 分位）,6.5,82.78,61.4834,9.79,23667.28,7223.48,4733.46,4733.46,1.53,1.0,9.31,放量,2144.91,0.0,2144.91,9.06,0.0,1,0,0,0,952.0,0.0,,,,,,,0,,,,0.0,23.38,1229,147,-3.78,40.63,未取得,0.0,40.63,0.0,0.0,0.0,0.0,0.0,21.03,40.63,2026-07,5.29,76.77,60.63,,,,營收 2026-07，月增 5.29%，年增 76.77%，累計年增 60.63%,外資買超；融資增加；放量；接近區間高點；逼近52週高點；毛利率連3升；營收 2026-07，月增 5.29%，年增 76.77%，累計年增 60.63%,40.63
2026-09-11,8227,巨有科技,TPEX,半導體業,,5,239.0,46.41,0.71,7.88,45.73,,,0.0,51.27,9.546,14.0,252,88.19,52.23,50.5,-29.91,-4.02,111.5,42.69,49.29,16.06,-3.5,2026-09-04,18.22,0.0,0.0,26.17,64.85,0.33,0.0,2026Q2,17.08,7.56,16.72,-1,5.16,46.32,9.1,71.15,-34.8,2.59,,-5.24,-10.5,-9.5,5.0,-6.0,0,1,⚠ 便宜但基本面轉弱：毛利率連 1 季降、月營收年減 14%、PE 46.4（一年 9% 分位）、距 52 週高點 -4%,1.8,58.52,208.4641,14.65,22895.0,5627.0,4579.0,4579.0,1.23,1.0,5.75,正常,1758.73,0.0,1758.73,7.68,0.0,4,0,0,0,1095.4,0.0,,,,,,,0,,,,0.0,25.51,1243,407,-3.28,27.28,未取得,0.0,27.28,0.0,0.0,0.0,0.0,0.0,5.05,27.28,2026-07,-17.58,-13.54,78.39,,,,營收 2026-07，月增 -17.58%，年增 -13.54%，累計年增 78.39%,外資買超；融資增加；接近區間高點；營收 2026-07，月增 -17.58%，年增 -13.54%，累計年增 78.39%,27.28
2026-09-11,2305,全友,TWSE,電腦及週邊設備業,,5,41.05,50.06,0.0,3.42,22.9,,,0.0,34.37,9.003,14.0,252,176.43,269.82,138.75,187.68,-3.75,310.5,26.08,117.71,17.2,-2.0,2026-09-04,58.07,-0.95,-1.38,63.17,30.33,0.06,-5.5,2026Q2,47.88,23.57,18.53,1,0.82,50.06,17.8,83.52,-40.1,0.35,,21.19,12.5,9.5,3.0,0.0,0,1,毛利率連 1 季升、月營收年增 198%、PE 50.1（一年 18% 分位）、距 52 週高點 -4%,4.2,65.29,36.8757,11.32,122077.81,57982.44,24415.56,24415.56,2.37,1.0,19.5,強放量,1661.86,-4.0,1657.86,1.36,-0.0,3,0,0,0,909.57,0.0,,,,,,,0,,,,0.0,5.8,1676,499,-0.85,27.64,未取得,0.0,27.64,0.0,0.0,0.0,0.0,0.0,22.69,27.64,2026-07,19.11,197.8,96.82,,,,營收 2026-07，月增 19.11%，年增 197.8%，累計年增 96.82%,外資買超；融資增加；強放量；接近區間高點；千張大戶減持；營收 2026-07，月增 19.11%，年增 197.8%，累計年增 96.82%,27.64
2026-09-11,6416,瑞祺電通,TWSE,通信網路業,,5,115.5,21.55,2.42,2.35,15.73,,,-1.7,16.55,1.907,14.0,252,40.0,32.91,2.32,-49.23,-1.7,54.0,21.02,33.46,14.28,0.0,2026-09-04,37.1,0.12,0.32,47.84,37.82,0.33,1.92,2026Q2,24.18,10.67,8.54,-1,5.35,21.59,86.9,20.07,7.4,1.55,106.7,2.27,14.5,14.5,0.0,0.0,0,0,單季 EPS 年增 107%、毛利率連 1 季降、月營收年增 74%、PE 21.6（一年 87% 分位）、距 52 週高點 -2%,0.3,43.42,110.1762,4.83,8652.3,2758.41,1730.46,1730.46,1.59,1.0,10.13,放量,153.51,0.0,153.51,1.77,0.0,0,3,0,0,-298.58,0.0,,,,,,,0,,,,0.0,-1.03,180,6,-1.62,7.86,未取得,0.0,7.86,0.0,0.0,0.0,0.0,0.0,10.51,7.86,2026-07,-32.43,73.5,16.94,,,,營收 2026-07，月增 -32.43%，年增 73.5%，累計年增 16.94%,外資買超；融資增加；放量；接近區間高點；逼近52週高點；營收 2026-07，月增 -32.43%，年增 73.5%，累計年增 16.94%,7.86
2026-09-11,6227,茂綸,TPEX,電子通路業,,5,127.5,9.91,3.53,3.06,14.35,,,0.0,14.86,1.331,13.61,252,47.57,40.88,9.88,-41.25,-10.84,63.46,8.16,28.47,9.94,4.5,2026-09-04,67.6,0.0,0.0,70.39,24.67,1.53,0.0,2026Q2,9.15,5.79,4.18,-2,12.86,9.91,8.7,12.71,-22.0,3.84,,4.73,18.0,5.0,13.0,0.0,0,1,毛利率連 2 季降、月營收年增 45%、PE 9.9（一年 9% 分位）、距 52 週高點 -11%,-0.9,88.03,123.3463,3.37,5395.0,4135.0,1079.0,1079.0,3.83,1.0,21.0,強放量,1015.77,0.0,1015.77,18.83,0.0,3,0,0,0,1011.99,0.0,,,,,,,0,,,,0.0,38.0,709,-4,-6.42,50.38,未取得,0.0,50.38,0.0,0.0,0.0,0.0,0.0,18.8,50.38,2026-07,67.66,45.48,36.33,,,,營收 2026-07，月增 67.66%，年增 45.48%，累計年增 36.33%,外資買超；融資增加；強放量；接近區間高點；毛利率連2降；營收 2026-07，月增 67.66%，年增 45.48%，累計年增 36.33%,50.38
2026-09-11,6706,惠特,TWSE,光電業,,5,137.5,,0.0,2.91,11.34,,,0.0,13.17,2.641,11.8,252,13.64,102.5,-24.05,20.37,-38.89,129.17,9.59,12.98,-1.52,0.0,2026-09-04,15.4,0.0,0.01,25.04,60.26,0.67,0.03,2026Q2,-14.25,-92.06,-83.72,-3,-3.36,,,,,-1.89,,-54.46,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-8.0,47.92,131.2886,4.73,10056.45,6196.52,2011.29,2011.29,3.08,1.0,21.0,強放量,934.02,0.0,934.02,9.29,0.0,2,0,0,0,950.68,0.0,,,,,,,0,,,,0.0,30.01,235,73,-1.43,35.11,未取得,0.0,35.11,0.0,0.0,0.0,0.0,0.0,6.53,35.11,2026-07,4.45,89.25,-42.75,,,,營收 2026-07，月增 4.45%，年增 89.25%，累計年增 -42.75%,外資買超；融資增加；強放量；接近區間高點；毛利率連3降；營收 2026-07，月增 4.45%，年增 89.25%，累計年增 -42.75%,35.11
2026-09-11,3016,嘉晶,TWSE,半導體業,,5,109.5,91.25,0.46,6.1,8.96,,,-0.45,10.27,10.756,10.38,252,75.2,122.79,37.52,40.65,-28.43,207.58,0.87,39.51,14.5,-3.5,2026-09-04,66.48,-0.86,-0.65,70.15,25.6,-0.11,-5.5,2026Q2,23.45,16.92,14.34,4,1.21,90.5,11.1,483.33,-81.1,0.65,,19.68,18.5,12.0,6.5,0.0,0,0,毛利率連 4 季升、月營收年增 51%、PE 91.2（一年 11% 分位）、距 52 週高點 -28%,6.5,53.64,105.0953,4.19,51171.84,19649.19,10234.37,10234.37,1.92,1.0,14.04,放量,2035.03,0.0,2035.03,3.98,0.0,0,1,0,0,-1193.66,0.0,,,,,,,0,,,,0.0,9.14,458,551,-0.07,24.24,未取得,0.0,24.24,0.0,0.0,0.0,0.0,0.0,15.17,24.24,2026-07,7.55,51.43,31.32,,,,營收 2026-07，月增 7.55%，年增 51.43%，累計年增 31.32%,外資買超；融資增加；放量；接近區間高點；毛利率連4升；千張大戶減持；營收 2026-07，月增 7.55%，年增 51.43%，累計年增 31.32%,24.24
2026-09-11,1560,中砂,TWSE,電機機械,,5,790.0,67.18,0.63,13.04,8.22,,,-0.5,12.54,12.008,9.93,252,66.67,141.22,28.98,59.08,-0.5,165.99,12.6,54.78,19.48,-3.5,2026-09-04,48.87,0.75,-0.64,64.54,21.97,-0.05,3.0,2026Q2,40.05,24.22,21.0,7,11.94,66.16,84.1,55.77,20.5,3.5,92.3,7.57,17.0,20.0,-3.0,0.0,0,1,單季 EPS 年增 92%、毛利率連 7 季升、月營收年增 27%、PE 67.2（一年 84% 分位）、距 52 週高點 -0%,8.0,108.17,752.336,5.01,7980.23,4096.12,1596.05,1596.05,2.57,1.0,21.0,強放量,2807.67,116.6,2924.27,35.18,1.46,5,0,1,0,1376.57,208.6,,,,,,,0,,,,0.0,48.15,-216,77,3.29,60.76,未取得,0.0,60.76,0.0,0.0,0.0,0.0,0.0,9.32,60.76,2026-07,6.41,26.56,23.56,,,,營收 2026-07，月增 6.41%，年增 26.56%，累計年增 23.56%,外資買超；投信買超；融資下降；強放量；接近區間高點；逼近52週高點；毛利率連7升；千張大戶增持；營收 2026-07，月增 6.41%，年增 26.56%，累計年增 23.56%,60.76
2026-09-11,2468,華經,TWSE,資訊服務業,,5,35.8,26.32,2.79,2.01,6.87,,,0.0,11.35,0.341,9.12,252,-10.5,-32.33,-48.18,-114.46,-40.63,14.56,2.19,-8.21,-11.65,0.0,2026-09-04,50.02,0.0,0.0,51.69,43.09,0.09,0.0,2026Q2,10.87,3.79,3.24,1,1.36,26.32,15.1,31.29,-15.9,0.31,34.8,1.2,23.0,12.0,11.0,0.0,0,1,單季 EPS 年增 35%、毛利率連 1 季升、月營收年增 16%、PE 26.3（一年 15% 分位）、距 52 週高點 -41%,2.7,20.79,34.951,2.43,4880.26,4234.48,976.05,976.05,4.34,1.0,21.0,強放量,57.96,0.0,57.96,1.19,0.0,3,0,0,0,116.33,0.0,,,,,,,0,,,,0.0,15.33,388,213,-3.74,10.12,未取得,0.0,10.12,0.0,0.0,0.0,0.0,0.0,-1.47,10.12,2026-07,-41.54,15.69,-8.06,,,,營收 2026-07，月增 -41.54%，年增 15.69%，累計年增 -8.06%,外資買超；融資增加；強放量；接近區間高點；年線之下；營收 2026-07，月增 -41.54%，年增 15.69%，累計年增 -8.06%,10.12
2026-09-11,7714,創泓科技,TPEX,數位雲端,,5,173.5,22.45,2.88,6.29,6.77,,,0.0,12.3,0.354,9.06,252,32.44,14.9,-5.24,-67.24,-19.49,56.31,7.79,19.96,6.62,-1.5,2026-09-04,47.95,0.0,0.0,66.63,26.87,-0.12,0.0,2026Q2,17.03,8.56,8.66,-3,7.74,22.42,54.8,22.05,1.8,2.4,55.8,0.63,0.0,0.0,0.0,0.0,,1,日均量 217 張偏低（門檻 500）,-2.0,64.68,163.5286,6.1,1083.0,642.0,216.6,216.6,2.96,1.0,21.0,強放量,111.75,0.0,111.75,10.32,0.0,3,0,0,0,82.0,0.0,,,,,,,0,,,,0.0,34.25,62,-1,-4.61,42.0,未取得,0.0,42.0,0.0,0.0,0.0,0.0,0.0,12.36,42.0,2026-07,-25.4,61.07,28.47,,,,營收 2026-07，月增 -25.4%，年增 61.07%，累計年增 28.47%,外資買超；融資增加；強放量；接近區間高點；毛利率連3降；營收 2026-07，月增 -25.4%，年增 61.07%，累計年增 28.47%,42.0
