latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-14,2887,台新新光金,TWSE,金融保險業,金控,5,37.75,18.5,2.91,1.66,5.15,,,-0.13,8.95,19.984,8.09,252,57.62,131.6,19.11,44.48,-0.13,139.68,17.81,58.93,18.06,0.0,2026-08-07,70.97,0.13,0.29,75.07,17.53,-0.06,2.41,2026Q1,,,43.96,0,2.4,15.73,74.6,16.74,10.5,0.82,148.5,,13.0,13.0,0.0,0.0,0,1,單季 EPS 年增 148%、月營收年增 79%、PE 18.5（一年 75% 分位）、距 52 週高點 -0%,4.5,136.08,36.2644,4.1,275529.22,100876.17,55105.84,55105.84,1.83,1.0,12.97,放量,39630.69,53368.43,92999.12,14.38,19.37,3,0,5,0,17660.52,25041.14,,,,,,,0,,,,0.0,75.5,-808,578,0.42,96.53,未取得,0.0,96.53,0.0,0.0,0.0,0.0,0.0,20.61,96.53,2026-07,1.78,79.23,110.53,,,,營收 2026-07，月增 1.78%，年增 79.23%，累計年增 110.53%,外資買超；投信買超；融資下降；放量；接近區間高點；逼近52週高點；營收 2026-07，月增 1.78%，年增 79.23%，累計年增 110.53%,96.53
2026-08-14,2883,凱基金,TWSE,金融保險業,金控,5,31.65,17.78,3.16,1.58,1.93,,,-0.31,4.28,10.855,6.16,252,67.46,98.43,28.95,11.32,-0.31,116.04,10.85,54.31,19.47,3.0,2026-08-07,64.57,0.35,0.75,68.41,23.41,-0.24,4.8,2026Q1,,,49.61,0,1.91,16.57,99.6,13.36,33.1,0.69,32.7,,5.0,4.0,1.0,0.0,0,0,單季 EPS 年增 33%、月營收年減 6%、PE 17.8（一年 100% 分位）、距 52 週高點 -0%,4.5,119.85,31.1762,1.52,174088.23,58718.63,34817.65,34817.65,1.69,1.0,11.24,放量,9240.54,47779.14,57019.69,5.31,27.45,0,1,5,0,-4054.5,25023.85,,,,,,,0,,,,0.0,64.12,-2601,923,1.81,76.3,未取得,0.0,76.3,0.0,0.0,0.0,0.0,0.0,10.37,76.3,2026-06,15.71,-6.2,128.36,,,,營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,外資買超；投信買超；融資下降；放量；接近區間高點；逼近52週高點；千張大戶增持；營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,76.3
2026-08-14,3017,奇鋐,TWSE,電腦及週邊設備業,散熱,5,3235.0,43.12,0.65,23.01,17.0,,,-2.56,23.24,173.85,9.0,252,99.69,182.53,61.18,95.42,-2.56,261.86,28.81,77.72,22.0,-3.5,2026-08-07,53.32,1.0,1.14,67.46,18.69,-2.08,6.0,2026Q1,29.77,24.51,16.14,3,61.06,52.98,74.6,39.07,10.4,20.17,143.6,5.82,17.0,20.0,-3.0,0.0,0,1,單季 EPS 年增 144%、毛利率連 3 季升、月營收年增 57%、PE 43.1（一年 75% 分位）、距 52 週高點 -3%,6.5,119.62,3036.3471,6.54,28628.1,7354.71,5725.62,5725.62,1.28,1.0,6.41,正常,2806.54,1552.2,4358.74,9.8,5.42,3,0,2,0,1107.98,784.94,,,,,,,0,,,,0.0,56.16,91,-74,-0.33,76.42,未取得,0.0,76.42,0.0,0.0,0.0,0.0,0.0,20.59,76.42,2026-07,5.52,57.39,80.34,,,,營收 2026-07，月增 5.52%，年增 57.39%，累計年增 80.34%,外資買超；投信買超；融資增加；毛利率連3升；千張大戶增持；營收 2026-07，月增 5.52%，年增 57.39%，累計年增 80.34%,76.42
2026-08-14,2542,興富發,TWSE,建材營造業,,5,46.2,10.69,8.66,1.97,4.17,,,-0.96,5.36,3.761,7.5,252,20.63,8.2,-17.89,-78.92,-2.53,37.09,5.67,14.9,9.92,6.0,2026-08-07,60.88,0.26,1.75,64.47,28.18,-0.03,4.08,2026Q1,30.11,24.17,14.95,-1,3.25,14.22,0.4,14.5,-26.3,1.15,,29.72,18.5,6.5,12.0,0.0,0,1,毛利率連 1 季降、月營收年增 197%、PE 10.7（一年 0% 分位）、距 52 週高點 -3%,1.8,117.7,45.3472,1.88,41469.68,9265.42,8293.94,8293.94,1.12,1.0,1.41,正常,4811.11,3142.05,7953.16,11.6,7.58,0,1,5,0,-1661.52,451.0,,,,,,,0,,,,0.0,67.44,-291,-24,0.68,87.7,未取得,0.0,87.7,0.0,0.0,0.0,0.0,0.0,19.58,87.7,2026-07,-6.82,196.59,404.28,,,,營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,87.7
2026-08-14,2890,永豐金,TWSE,金融保險業,金控,5,40.55,19.4,3.21,2.21,4.24,,,-0.98,5.6,8.685,7.54,252,33.61,55.96,-4.91,-31.16,-4.14,75.16,9.13,32.37,6.77,1.5,2026-08-07,77.69,0.02,0.02,80.93,14.16,-0.03,0.72,2026Q1,,,41.88,0,2.16,18.77,98.0,15.73,23.3,0.76,33.3,,12.0,11.0,1.0,0.0,0,1,單季 EPS 年增 33%、月營收年增 51%、PE 19.4（一年 98% 分位）、距 52 週高點 -4%,4.5,115.41,39.679,2.2,109438.46,35464.15,21887.69,21887.69,1.62,1.0,10.44,放量,10325.5,16025.46,26350.96,9.43,14.64,0,1,4,0,-2997.63,14420.64,,,,,,,0,,,,0.0,69.87,-842,376,0.98,89.16,未取得,0.0,89.16,0.0,0.0,0.0,0.0,0.0,18.31,89.16,2026-07,2.8,51.3,54.62,,,,營收 2026-07，月增 2.8%，年增 51.3%，累計年增 54.62%,外資買超；投信買超；融資下降；放量；接近區間高點；營收 2026-07，月增 2.8%，年增 51.3%，累計年增 54.62%,89.16
2026-08-14,9946,三發地產,TWSE,建材營造業,,5,19.05,4.09,7.19,0.86,4.67,,,-1.3,6.13,0.069,7.8,252,16.51,-4.51,-22.0,-91.63,-12.81,22.9,4.11,6.58,3.01,8.0,2026-08-07,78.51,0.0,0.05,81.44,12.85,0.02,0.15,2026Q1,53.82,46.84,36.33,3,4.16,4.58,7.9,54.38,-92.5,2.56,,116.59,0.0,0.0,0.0,0.0,,1,日均量 370 張偏低（門檻 500）,8.0,107.26,18.7506,1.6,1849.91,413.7,369.98,369.98,1.12,1.0,1.42,正常,400.0,-3.0,397.0,21.62,-0.16,5,0,0,0,123.0,0.0,,,,,,,0,,,,0.0,47.59,-167,0,8.0,79.59,未取得,0.0,79.59,0.0,0.0,0.0,0.0,0.0,24,79.59,2026-07,1371.9,1180.83,3975.11,,,,營收 2026-07，月增 1371.9%，年增 1180.83%，累計年增 3975.11%,外資買超；融資下降；接近區間高點；毛利率連3升；營收 2026-07，月增 1371.9%，年增 1180.83%，累計年增 3975.11%,79.59
2026-08-14,3450,聯鈞,TWSE,半導體業,光通訊,5,510.0,103.45,0.2,13.3,-2.67,,,-6.08,8.05,23.232,-1.6,252,105.65,145.78,67.13,58.67,-16.67,176.42,4.53,57.05,17.2,-3.5,2026-08-07,32.42,0.92,-4.34,45.55,45.74,-0.49,3.0,2026Q1,24.8,12.75,4.81,-1,3.36,151.79,72.6,48.81,111.9,0.69,-70.5,-11.33,-6.5,-5.5,-1.0,0.0,0,0,毛利率連 1 季降、月營收年增 98%、PE 103.5（一年 73% 分位）、距 52 週高點 -17%,0.3,103.19,508.3919,0.32,22848.75,1409.68,4569.75,4569.75,0.31,1.0,-8.0,正常,2758.89,2666.9,5425.79,12.07,11.67,3,0,0,0,156.63,0.0,,,,,,,0,,,,0.0,69.0,-1964,-73,7.9,91.79,未取得,0.0,91.79,0.0,0.0,0.0,0.0,0.0,14.89,91.79,2026-07,7.02,98.0,20.29,,,,營收 2026-07，月增 7.02%，年增 98.0%，累計年增 20.29%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-07，月增 7.02%，年增 98.0%，累計年增 20.29%,91.79
2026-08-14,5274,信驊,TPEX,半導體業,,5,17690.0,118.0,0.46,85.83,6.95,,,-4.89,11.05,39.802,4.17,252,89.71,251.34,51.19,164.22,-11.02,296.64,8.05,67.18,16.14,-3.5,2026-08-07,22.55,3.09,3.81,34.23,43.09,0.28,5.5,2026Q1,69.18,52.72,44.94,1,117.87,150.08,69.4,91.4,29.1,37.41,59.5,2.99,0.0,0.0,0.0,0.0,,1,日均量 230 張偏低（門檻 500）,5.7,102.71,17335.4704,2.05,1148.0,246.0,229.6,229.6,1.07,1.0,0.86,正常,2.84,143.8,146.64,0.25,12.53,1,0,3,0,26.64,32.93,,,,,,,0,,,,0.0,51.21,-8,0,0.7,74.27,未取得,0.0,74.27,0.0,0.0,0.0,0.0,0.0,22.36,74.27,2026-07,16.32,97.59,68.06,,,,營收 2026-07，月增 16.32%，年增 97.59%，累計年增 68.06%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-07，月增 16.32%，年增 97.59%，累計年增 68.06%,74.27
2026-08-14,2383,台光電,TWSE,電子零組件業,PCB,5,6165.0,96.4,0.41,37.87,16.54,,,-0.56,17.88,124.334,14.0,252,192.87,372.41,154.36,285.3,-1.36,473.49,19.69,115.34,22.0,-3.5,2026-08-07,57.45,-0.77,0.29,69.26,16.73,0.17,-3.13,2026Q1,29.42,21.56,16.15,1,46.56,132.41,73.8,50.09,92.5,14.9,48.9,0.62,11.0,14.0,-3.0,0.0,0,1,單季 EPS 年增 49%、毛利率連 1 季升、月營收年增 129%、PE 96.4（一年 74% 分位）、距 52 週高點 -1%,4.2,102.64,5656.4042,8.99,10990.58,2986.89,2198.12,2198.12,1.36,1.0,7.31,正常,1112.69,454.05,1566.74,10.12,4.13,1,0,1,0,595.13,169.94,,,,,,,0,,,,0.0,42.23,-184,20,1.78,65.41,未取得,0.0,65.41,0.0,0.0,0.0,0.0,0.0,21.4,65.41,2026-07,8.31,129.4,89.4,,,,營收 2026-07，月增 8.31%，年增 129.4%，累計年增 89.4%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；千張大戶減持；營收 2026-07，月增 8.31%，年增 129.4%，累計年增 89.4%,65.41
2026-08-14,2408,南亞科,TWSE,半導體業,記憶體,5,512.0,19.87,0.26,5.48,1.99,,,-5.54,8.25,545.802,1.19,252,88.93,981.31,50.41,894.19,-5.54,1116.15,25.16,114.84,16.05,0.0,2026-08-07,80.31,1.77,0.07,82.55,14.41,-1.57,4.71,2026Q1,67.87,61.34,53.09,3,11.17,45.84,6.1,39.03,-49.1,8.41,,105.24,20.0,12.0,8.0,0.0,0,1,毛利率連 3 季升、月營收年增 720%、PE 19.9（一年 6% 分位）、距 52 週高點 -6%,8.0,102.62,501.9191,2.01,543715.4,104565.25,108743.08,108743.08,0.96,1.0,-0.46,正常,63676.04,2520.02,66196.06,11.71,0.46,0,1,5,0,-10026.27,330.67,,,,,,,0,,,,0.0,47.4,-8108,104,1.5,72.9,未取得,0.0,72.9,0.0,0.0,0.0,0.0,0.0,24,72.9,2026-07,49.27,719.61,660.87,,,,營收 2026-07，月增 49.27%，年增 719.61%，累計年增 660.87%,外資買超；投信買超；融資下降；毛利率連3升；千張大戶增持；營收 2026-07，月增 49.27%，年增 719.61%，累計年增 660.87%,72.9
