latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-31,2890,永豐金,TWSE,金融保險業,金控,20,40.6,19.43,3.2,2.22,2.27,52.3,36.66,-4.02,7.98,16.7,1.36,252,39.52,58.59,6.1,-25.84,-4.02,75.38,13.91,34.99,8.68,1.5,2026-07-24,77.54,-0.03,0.05,80.75,14.3,0.05,-0.09,2026Q1,,,41.88,0,2.16,18.8,98.4,15.65,24.2,0.76,33.3,,12.0,11.0,1.0,0.0,0,1,單季 EPS 年增 33%、月營收年增 51%、PE 19.4（一年 98% 分位）、距 52 週高點 -4%,4.5,102.41,39.7741,2.08,839753.94,49257.75,41987.7,41151.69,1.17,0.98,1.76,正常,62528.09,57616.77,120144.86,7.45,6.86,3,0,11,0,22905.11,2455.36,港商麥格理,50850.0,,39.24,3,港商麥格理,0,第一金-高雄,53286.0,,16.49,67.99,525,-327,-0.06,85.58,已取得,60.33,145.91,21.46,7.27,6.0,11.6,14.0,17.65,85.58,2026-06,-2.95,50.94,55.23,14.31,6.06,,外資與投信同買；前大買超分點約占成交 6.06%；收盤距區間均價 2.08%；連買：外3 / 投11；營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,外資買超；投信買超；融資增加；主力分點連3買；營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,85.58
2026-07-31,9917,中保科,TWSE,其他業,,20,109.0,16.08,5.69,3.38,1.87,57.14,14.82,-3.11,3.81,0.789,5.12,252,2.83,-4.8,-30.59,-89.24,-11.38,5.31,-2.42,-1.37,-6.32,4.5,2026-07-24,70.99,-0.02,-0.14,76.58,16.73,-0.18,-0.58,2026Q1,33.9,17.61,15.16,1,6.78,16.08,12.7,16.69,-3.7,1.6,0.6,0.09,14.0,6.0,8.0,0.0,0,1,單季 EPS 年增 1%、毛利率連 1 季升、月營收年增 3%、PE 16.1（一年 13% 分位）、距 52 週高點 -11%,4.2,96.28,108.4551,0.5,14547.08,1396.19,727.35,785.41,1.92,1.08,15.31,放量,2935.84,1111.0,4046.84,20.18,7.64,6,0,6,0,59.28,2.0,摩根大通,934.0,,108.85,4,摩根大通,0,富邦-建國,499.0,,19.19,79.59,-117,0,0.8,81.71,已取得,64.2,145.91,22.5,7.7,6.0,14.0,14.0,1.32,81.71,2026-06,5.02,2.56,1.63,27.82,6.42,,外資與投信同買；前大買超分點約占成交 6.42%；收盤距區間均價 0.5%；連買：外6 / 投6；營收 2026-06，月增 5.02%，年增 2.56%，累計年增 1.63%,外資買超；投信買超；融資下降；放量；年線之下；主力分點連4買；營收 2026-06，月增 5.02%，年增 2.56%，累計年增 1.63%,81.71
2026-07-31,1402,遠東新,TWSE,紡織纖維,,20,27.15,16.86,4.6,0.62,-6.7,54.69,24.45,-9.2,5.44,6.424,-4.02,252,-4.06,-6.38,-37.49,-90.82,-14.22,16.52,-0.52,-1.36,-7.01,5.0,2026-07-24,86.63,0.14,0.24,88.59,8.33,-0.08,2.34,2026Q1,21.9,7.99,5.05,1,1.7,15.97,14.3,17.75,-5.0,0.61,32.6,-1.85,19.0,10.5,8.5,0.0,0,1,單季 EPS 年增 33%、毛利率連 1 季升、月營收年增 12%、PE 16.9（一年 14% 分位）、距 52 週高點 -14%,2.7,78.26,27.4848,-1.22,467470.74,26587.5,23373.54,17038.4,1.14,0.73,-2.69,正常,84941.13,31708.47,116649.6,18.17,6.78,14,0,6,0,13943.1,18.0,台灣摩根士丹利,24607.0,,27.53,18,台灣摩根士丹利,0,合庫證券,22829.0,,17.87,77.46,-1697,-98,0.36,80.59,已取得,62.82,143.41,22.5,6.32,6.0,14.0,14.0,2.77,80.59,2026-06,-2.15,12.06,5.35,24.95,5.26,,外資與投信同買；前大買超分點約占成交 5.26%；收盤距區間均價 -1.22%；連買：外14 / 投6；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,外資買超；投信買超；融資下降；年線之下；主力分點連18買；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,80.59
2026-07-31,5522,遠雄,TWSE,建材營造業,,20,64.9,6.86,8.47,1.07,1.09,45.0,24.51,-7.29,2.69,0.658,0.65,252,-1.37,1.09,-34.79,-83.35,-22.65,22.68,-7.35,-2.03,-6.74,8.0,2026-07-24,86.84,0.09,0.23,89.12,8.25,0.0,1.41,2026Q1,36.88,26.72,24.34,1,9.45,6.87,4.0,22.59,-69.6,1.76,,43.24,27.0,9.5,17.5,0.0,0,1,毛利率連 1 季升、月營收年增 2514%、PE 6.9（一年 4% 分位）、距 52 週高點 -23%,5.7,88.89,66.4451,-2.33,19800.14,1312.01,990.01,684.79,1.33,0.69,1.97,正常,3401.77,835.32,4237.09,17.18,4.22,0,1,3,0,-96.47,2.0,美商高盛,1452.0,,66.36,14,美商高盛,0,中國信託,844.0,,20.67,54.05,-172,-24,0.83,78.88,已取得,56.1,134.98,22.5,8.8,6.0,4.8,14.0,24,78.88,2026-06,208.1,2513.5,792.73,21.4,7.33,,外資與投信同買；前大買超分點約占成交 7.33%；收盤距區間均價 -2.33%；連買：外0 / 投3；營收 2026-06，月增 208.1%，年增 2513.5%，累計年增 792.73%,外資買超；投信買超；融資下降；年線之下；主力分點連14買；營收 2026-06，月增 208.1%，年增 2513.5%，累計年增 792.73%,78.88
2026-07-31,2101,南港,TWSE,橡膠工業,,20,33.25,10.73,2.11,1.78,-0.45,37.0,20.69,-5.81,5.06,0.823,-0.27,245,-8.78,-15.29,-42.2,-99.73,-26.44,12.71,2.36,-7.37,-7.48,3.0,2026-07-24,59.41,0.04,0.73,65.51,23.87,0.01,1.82,2026Q1,41.25,30.4,24.78,2,2.98,11.16,24.2,14.9,-28.0,1.86,,25.05,22.5,11.0,11.5,0.0,0,1,毛利率連 2 季升、月營收年增 328%、PE 10.7（一年 24% 分位）、距 52 週高點 -26%,6.9,79.16,33.6914,-1.31,48880.82,2025.74,2444.04,1742.7,0.83,0.71,-6.65,正常,9697.05,0.0,9697.05,19.84,0.0,5,0,0,0,585.26,0.0,台灣摩根士丹利,3510.0,,33.85,20,台灣摩根士丹利,0,永豐金-南京,1542.0,,21.04,48.0,-3183,-10,6.51,78.51,已取得,49.12,127.63,22.5,8.62,6.0,6.0,6.0,24,78.51,2026-06,58.68,328.25,188.75,19.84,7.18,,外資主導買超；前大買超分點約占成交 7.18%；收盤距區間均價 -1.31%；連買：外5 / 投0；營收 2026-06，月增 58.68%，年增 328.25%，累計年增 188.75%,外資買超；融資下降；年線之下；主力分點連20買；毛利率連2升；營收 2026-06，月增 58.68%，年增 328.25%，累計年增 188.75%,78.51
2026-07-31,2646,星宇航空,TWSE,航運業,,20,21.65,240.56,0.0,2.04,1.64,56.34,21.02,-2.48,3.59,1.239,4.98,252,-6.28,-16.25,-39.7,-100.69,-19.07,9.9,3.58,-4.81,-7.23,-2.0,2026-07-24,63.63,0.16,0.25,65.33,30.32,-0.19,2.53,2026Q1,20.17,9.87,,2,0.09,240.56,66.7,233.33,3.1,0.3,0.0,-0.73,1.0,2.0,-1.0,0.0,0,0,毛利率連 2 季升、月營收年增 41%、PE 240.6（一年 67% 分位）、距 52 週高點 -19%,3.9,79.19,21.4393,0.98,115613.28,6990.95,5780.66,6649.79,1.21,1.15,7.92,正常,25842.75,515.0,26357.75,22.35,0.45,5,0,4,0,3047.91,9.0,摩根大通,5198.0,,21.56,13,摩根大通,0,國泰-敦南,1960.0,,18.55,59.11,-746,0,0.65,73.05,已取得,60.3,133.35,22.5,5.4,6.0,12.4,14.0,13.29,73.05,2026-06,9.54,40.81,30.0,22.8,4.5,,外資與投信同買；前大買超分點約占成交 4.5%；收盤距區間均價 0.98%；連買：外5 / 投4；營收 2026-06，月增 9.54%，年增 40.81%，累計年增 30.0%,外資買超；投信買超；融資下降；年線之下；主力分點連13買；毛利率連2升；營收 2026-06，月增 9.54%，年增 40.81%，累計年增 30.0%,73.05
2026-07-31,2206,三陽工業,TWSE,汽車工業,,20,64.8,11.43,4.72,1.83,1.25,54.14,29.64,-2.85,9.09,1.069,0.75,252,9.46,2.86,-23.96,-81.58,-3.28,19.34,5.31,6.1,2.07,4.5,2026-07-24,80.61,-0.09,0.41,84.64,11.7,0.07,0.51,2026Q1,21.2,9.42,7.1,1,5.61,11.55,96.8,10.52,8.7,1.37,-11.0,-0.45,-10.5,-9.5,3.0,-4.0,0,0,⚠ 便宜但基本面轉弱：毛利率連 1 季升、月營收年減 13%、PE 11.4（一年 97% 分位）、距 52 週高點 -3%,2.7,86.64,63.3042,2.36,33786.93,2224.05,1689.35,1836.2,1.32,1.09,8.19,正常,6098.51,1910.0,8008.51,18.05,5.65,8,0,4,0,719.45,6.0,台灣摩根士丹利,1685.0,,63.65,20,台灣摩根士丹利,0,台新,618.0,,19.07,72.13,-1186,12,3.53,72.02,已取得,60.88,132.9,22.5,5.98,6.0,12.4,14.0,-3.64,72.02,2026-06,-3.19,-13.38,-5.33,23.7,4.99,,外資與投信同買；前大買超分點約占成交 4.99%；收盤距區間均價 2.36%；連買：外8 / 投4；營收 2026-06，月增 -3.19%，年增 -13.38%，累計年增 -5.33%,外資買超；投信買超；融資下降；主力分點連20買；營收 2026-06，月增 -3.19%，年增 -13.38%，累計年增 -5.33%,72.02
2026-07-31,2537,聯上發,TWSE,建材營造業,,20,11.1,34.69,0.0,0.73,-0.89,53.12,21.72,-3.48,3.74,0.132,-0.53,252,3.74,0.91,-29.69,-83.53,-12.94,18.34,4.42,3.21,0.81,2.0,2026-07-24,51.24,-0.01,-0.29,59.61,30.41,-0.11,-0.95,2026Q1,21.38,13.81,,1,0.32,34.69,78.5,19.29,79.8,0.4,73.9,-15.45,10.0,11.5,-1.5,0.0,0,0,單季 EPS 年增 74%、毛利率連 1 季升、月營收年增 58%、PE 34.7（一年 78% 分位）、距 52 週高點 -13%,2.7,75.35,11.0444,0.5,23910.69,964.45,1195.53,1368.99,0.81,1.15,0.0,正常,4524.23,0.0,4524.23,18.92,0.0,6,0,0,0,547.1,0.0,凱基-台北,1609.0,,11.04,20,凱基-台北,1,凱基-永華,1482.0,,0.9,48.0,204,2,-0.68,71.32,已取得,48.58,119.9,22.5,8.08,6.0,6.0,6.0,24,71.32,2026-06,113.67,57.68,238.48,18.92,6.73,,外資主導買超；前大買超分點約占成交 6.73%；收盤距區間均價 0.5%；連買：外6 / 投0；營收 2026-06，月增 113.67%，年增 57.68%，累計年增 238.48%,外資買超；融資增加；隔日沖分點買超；營收 2026-06，月增 113.67%，年增 57.68%，累計年增 238.48%,71.32
2026-07-31,2923,鼎固-KY,TWSE,建材營造業,,20,35.1,,0.34,1.33,28.34,60.46,103.33,-20.5,38.74,0.111,7.0,252,71.64,51.95,38.21,-32.49,-20.5,105.87,29.3,54.97,14.59,2.0,2026-07-24,99.39,0.0,0.0,99.51,0.31,-0.01,0.0,2026Q1,59.16,52.88,1.29,3,-3.45,,,,,0.02,,21.84,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,1.5,104.17,34.479,1.8,6424.96,396.03,321.25,535.64,1.23,1.67,16.47,放量,1865.78,0.0,1865.78,29.04,0.0,6,0,0,0,85.98,0.0,摩根大通,400.0,,35.54,20,摩根大通,0,華南永昌-潮州,360.0,,18.67,48.0,,,0.0,70.84,已取得,47.97,118.81,22.5,7.47,6.0,6.0,6.0,22.84,70.84,2026-06,20.35,294.84,170.09,29.04,6.23,,外資主導買超；前大買超分點約占成交 6.23%；收盤距區間均價 1.8%；連買：外6 / 投0；營收 2026-06，月增 20.35%，年增 294.84%，累計年增 170.09%,外資買超；放量；波動偏高；主力分點連20買；毛利率連3升；營收 2026-06，月增 20.35%，年增 294.84%，累計年增 170.09%,70.84
2026-07-31,2845,遠東銀,TWSE,金融保險業,,20,13.5,15.34,4.67,0.92,2.66,55.56,13.06,-1.1,4.65,1.509,10.6,252,6.72,-1.1,-26.7,-85.54,-4.26,13.92,5.77,6.11,1.47,5.0,2026-07-24,70.05,0.05,0.7,74.96,16.09,-0.02,2.4,2026Q1,,,,0,0.92,14.67,69.0,14.59,5.1,0.25,-3.8,,1.5,-1.0,2.5,0.0,0,0,月營收年增 20%、PE 15.3（一年 69% 分位）、距 52 週高點 -4%,1.5,101.22,13.3357,1.23,226252.06,26253.85,11312.6,13934.88,2.32,1.23,22.56,強放量,63363.28,5682.0,69045.28,28.01,2.51,2,0,5,0,11975.8,2.0,美商高盛,15305.0,,13.34,7,美商高盛,0,富邦證券,3857.0,,21.27,60.78,-2115,77,0.96,68.97,已取得,61.02,129.99,22.5,8.12,6.0,10.4,14.0,7.23,68.97,2026-06,7.08,20.15,17.21,30.52,6.76,,外資與投信同買；前大買超分點約占成交 6.76%；收盤距區間均價 1.23%；連買：外2 / 投5；營收 2026-06，月增 7.08%，年增 20.15%，累計年增 17.21%,外資買超；投信買超；融資下降；強放量；接近區間高點；主力分點連7買；營收 2026-06，月增 7.08%，年增 20.15%，累計年增 17.21%,68.97
