latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-15,6810,新穎生醫,ESB,生技醫療業,,16,27.4,,,,-2.32,49.21,133.14,-5.84,31.73,0.04,-4.39,19,,,,,,,,,0.0,0.0,2026-07-09,21.41,0.0,,36.08,39.16,0.02,0.0,2025Q4,,,,0,,,0.0,33.77,24.9514,9.81,2579.51,458.48,161.22,265.17,2.84,1.64,28.32,強放量,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,0.0,,,0.0,24.0,未取得,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24,24.0,2026-05,87.85,89.62,55.96,,,,營收 2026-05，月增 87.85%，年增 89.62%，累計年增 55.96%,強放量；波動偏高；營收 2026-05，月增 87.85%，年增 89.62%，累計年增 55.96%,24.0
2026-07-15,2465,麗臺,TWSE,電腦及週邊設備業,,20,83.3,63.11,0.0,6.5,5.31,56.35,68.68,-10.43,19.51,1.68,4.19,252,42.64,35.23,-14.91,-67.34,-11.19,73.72,5.42,29.07,6.47,-3.5,2026-07-09,30.71,1.13,,36.46,52.57,-1.33,4.5,2026Q1,10.65,5.87,6.87,2,1.34,62.16,3.9,52.34,83.2422,0.07,40357.7,2342.1,2017.88,5263.89,1.16,2.61,19.93,放量,258.0,0.0,258.0,0.64,0.0,0,2,0,0,-571.61,0.0,,,,,,,0,,,,0.0,3.79,494,1,-0.98,26.81,未取得,0.0,26.81,0.0,0.0,0.0,0.0,0.0,24,26.81,2026-06,33.16,543.89,158.17,,,,營收 2026-06，月增 33.16%，年增 543.89%，累計年增 158.17%,外資買超；融資增加；放量；波動偏高；毛利率連2升；千張大戶增持；營收 2026-06，月增 33.16%，年增 543.89%，累計年增 158.17%,26.81
2026-07-15,7833,綠岩能源,ESB,綠能環保,,16,21.9,,,,-12.22,24.21,29.56,-16.41,7.35,0.01,-7.5,19,,,,,,,,,0.0,0.0,2026-07-09,57.5,0.0,,73.67,9.48,-0.08,0.0,2025Q4,,,,0,,,0.0,25.64,22.5153,-2.73,710.35,96.42,44.4,56.09,2.17,1.26,18.28,強放量,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,0.0,,,0.0,24.0,未取得,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24,24.0,2026-05,44.76,280.64,1592.67,,,,營收 2026-05，月增 44.76%，年增 280.64%，累計年增 1592.67%,強放量；營收 2026-05，月增 44.76%，年增 280.64%，累計年增 1592.67%,24.0
2026-07-15,1799,易威,TPEX,生技醫療業,,20,34.85,,0.0,6.04,13.52,78.15,29.95,-0.43,16.17,0.042,9.11,251,3.87,-26.79,-53.67,-129.35,-36.87,26.04,1.12,-8.37,-10.21,-1.5,2026-07-09,66.48,0.0,,68.13,22.01,-0.02,0.0,2026Q1,52.16,7.69,8.61,1,-0.42,,-0.8,69.32,32.3447,7.75,2598.0,211.0,129.9,153.8,1.62,1.18,13.44,放量,446.0,0.0,446.0,17.17,0.0,6,0,0,0,94.0,0.0,台灣摩根士丹利,113.0,,31.49,0,台灣摩根士丹利,0,元大-土城,157.0,,2.2,42.0,0,0,0.0,66.0,已取得,39.72,105.72,22.5,5.22,0.0,6.0,6.0,24,66.0,2026-06,42.94,67.01,77.66,17.17,4.35,,外資主導買超；前大買超分點約占成交 4.35%；收盤距區間均價 7.75%；連買：外6 / 投0；營收 2026-06，月增 42.94%，年增 67.01%，累計年增 77.66%,外資買超；放量；接近區間高點；年線之下；RSI過熱；營收 2026-06，月增 42.94%，年增 67.01%，累計年增 77.66%,66.0
2026-07-15,5525,順天,TWSE,建材營造業,,20,22.1,8.8,5.43,1.15,-0.45,54.76,18.44,-3.07,3.51,0.028,-0.27,252,-20.93,-31.79,-78.48,-134.35,-33.13,8.07,-1.37,-17.14,-12.0,8.0,2026-07-09,84.12,0.0,,88.3,6.87,0.03,0.0,2026Q1,32.74,24.42,18.02,-2,2.52,8.77,0.6,65.53,21.8804,1.0,2582.67,188.94,129.13,137.63,1.46,1.07,9.61,正常,250.03,0.0,250.03,9.68,0.0,3,0,0,0,72.0,0.0,中國信託-文心,532.0,,21.87,1,中國信託-文心,0,凱基-台中,647.0,,24.8,39.11,-33,0,1.28,64.39,已取得,54.12,118.51,14.52,24.0,6.0,3.6,6.0,24,64.39,2026-06,303.71,4115.01,1416.55,9.68,20.6,,外資主導買超；前大買超分點約占成交 20.6%；收盤距區間均價 1.0%；連買：外3 / 投0；營收 2026-06，月增 303.71%，年增 4115.01%，累計年增 1416.55%,外資買超；融資下降；年線之下；毛利率連2降；營收 2026-06，月增 303.71%，年增 4115.01%，累計年增 1416.55%,64.39
2026-07-15,7530,鋒魁科技,ESB,半導體業,,16,39.05,,,,-2.86,42.78,36.98,-9.5,3.17,0.12,-1.72,19,,,,,,,,,0.0,0.0,2026-07-09,45.69,0.06,,55.14,35.67,0.25,0.48,2025Q4,,,,0,,,0.0,24.55,39.9361,-2.22,4790.7,409.62,299.42,283.79,1.37,0.95,3.58,正常,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,0.0,,,0.0,24.0,未取得,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24,24.0,2026-05,49.3,95.87,66.46,,,,營收 2026-05，月增 49.3%，年增 95.87%，累計年增 66.46%,營收 2026-05，月增 49.3%，年增 95.87%，累計年增 66.46%,24.0
2026-07-15,8487,愛爾達-創,TWSE,數位雲端,,20,76.1,13.59,6.32,2.73,-3.18,33.73,14.72,-5.58,0.93,0.032,-1.91,252,-4.76,-3.79,-62.3,-106.36,-12.33,2.56,-3.46,-4.07,-7.08,4.5,2026-07-09,45.91,0.0,,55.76,24.75,-0.41,0.0,2026Q1,33.56,22.51,,-1,5.6,13.59,0.3,64.25,77.9452,-2.37,833.92,41.63,41.7,50.53,1.0,1.21,3.37,正常,90.0,0.0,90.0,10.79,0.0,1,0,0,0,3.0,0.0,台灣摩根士丹利,61.0,,78.08,4,台灣摩根士丹利,0,群益金鼎-宜蘭,71.0,,17.72,36.63,-51,0,6.12,66.75,已取得,38.17,104.92,16.19,8.78,6.0,1.2,6.0,24,66.75,2026-06,221.43,175.77,59.32,10.79,7.31,,外資主導買超；前大買超分點約占成交 7.31%；收盤距區間均價 -2.37%；連買：外1 / 投0；營收 2026-06，月增 221.43%，年增 175.77%，累計年增 59.32%,外資買超；融資下降；年線之下；主力分點連4買；營收 2026-06，月增 221.43%，年增 175.77%，累計年增 59.32%,66.75
2026-07-15,1795,美時,TWSE,生技醫療業,,20,202.5,13.81,1.33,2.21,6.02,57.38,35.36,-6.68,10.66,4.658,7.61,252,-30.77,-9.19,-88.32,-111.76,-45.2,11.26,-0.57,-17.38,-12.0,1.5,2026-07-09,53.24,0.58,,58.2,37.04,-0.63,4.5,2026Q1,50.73,22.66,6.56,-4,14.85,13.64,-2.0,27.68,199.6465,1.43,46659.13,1665.83,2332.96,3237.62,0.71,1.39,2.77,放量,-1906.21,-13.33,-1919.54,-4.09,-0.03,1,0,9,0,164.09,1.0,,,,,,,0,,,,0.0,2.97,172,7,-0.29,26.68,未取得,0.0,26.68,0.0,0.0,0.0,0.0,0.0,24,26.68,2026-06,46.23,225.46,84.17,,,,營收 2026-06，月增 46.23%，年增 225.46%，累計年增 84.17%,融資增加；放量；年線之下；毛利率連4降；千張大戶增持；營收 2026-06，月增 46.23%，年增 225.46%，累計年增 84.17%,26.68
2026-07-15,4931,新盛力,TPEX,電腦及週邊設備業,,20,224.0,69.78,1.12,11.05,-10.58,39.22,82.58,-20.85,4.92,17.971,-12.0,252,30.99,111.32,-26.55,8.76,-21.95,144.54,3.91,36.14,3.91,-3.5,2026-07-09,21.12,2.9,,36.02,52.6,-7.2,4.5,2026Q1,22.08,12.41,12.27,-1,3.22,69.57,1.8,11.2,256.8652,-12.79,139929.0,3363.0,6996.45,10639.6,0.48,1.52,2.1,放量,-1470.63,0.0,-1470.63,-1.05,0.0,0,3,0,0,-665.88,0.0,,,,,,,0,,,,0.0,-8.94,-606,-253,0.38,15.44,未取得,0.0,15.44,0.0,0.0,0.0,0.0,0.0,24,15.44,2026-05,37.32,178.64,57.44,,,,營收 2026-05，月增 37.32%，年增 178.64%，累計年增 57.44%,融資下降；放量；波動偏高；千張大戶增持；營收 2026-05，月增 37.32%，年增 178.64%，累計年增 57.44%,15.44
2026-07-15,7813,宇辰系統,ESB,其他電子業,,16,130.5,,,,-7.12,38.89,42.14,-9.06,9.66,0.085,-4.27,19,,,,,,,,,0.0,0.0,2026-07-09,27.44,0.0,,42.76,34.19,-0.01,0.0,2025Q4,,,,0,,,0.0,19.99,127.6262,2.25,1069.3,60.1,66.83,74.04,0.9,1.11,0.52,正常,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,0.0,,,0.0,24.0,未取得,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24,24.0,2026-05,34.71,117.36,69.08,,,,營收 2026-05，月增 34.71%，年增 117.36%，累計年增 69.08%,營收 2026-05，月增 34.71%，年增 117.36%，累計年增 69.08%,24.0
