latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-15,7725,列特博,ESB,生技醫療業,,5,23.0,,,,,,,-0.86,,0.006,5.0,63,,,,,,,82.21,,0.0,0.0,2026-09-11,79.14,0.0,0.0,83.73,9.29,0.0,0.0,2026Q2,,,,0,,,,,,,,,0.0,0.0,0.0,0.0,,,近四季 EPS 未轉正或缺財報,0.0,38.0,23.0039,-0.02,138.1,96.0,27.62,27.62,3.48,1.0,18.0,強放量,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,0.0,,,0.0,24.0,未取得,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24,24.0,2026-07,107.29,156.23,54.16,,,,營收 2026-07，月增 107.29%，年增 156.23%，累計年增 54.16%,強放量；接近區間高點；營收 2026-07，月增 107.29%，年增 156.23%，累計年增 54.16%,24.0
2026-09-15,7853,政美應用,ESB,半導體業,,5,338.5,,,,4.48,,,-4.65,14.94,1.814,2.69,63,,,,,,,4.72,,0.0,0.0,2026-09-11,19.13,1.18,1.18,27.9,59.97,-0.92,6.0,2026Q2,,,,0,,,,,,,,,0.0,0.0,0.0,0.0,,,近四季 EPS 未轉正或缺財報,0.0,41.35,328.1477,3.15,2763.76,1350.55,552.75,552.75,2.44,1.0,17.32,強放量,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,0.0,,,0.0,24.0,未取得,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24,24.0,2026-07,149.31,136.41,751.93,,,,營收 2026-07，月增 149.31%，年增 136.41%，累計年增 751.93%,強放量；千張大戶增持；營收 2026-07，月增 149.31%，年增 136.41%，累計年增 751.93%,24.0
2026-09-15,2548,華固,TWSE,建材營造業,,5,91.6,7.41,9.28,1.41,-4.18,,,-4.28,0.0,0.873,-2.51,252,-23.35,-9.31,-62.9,-88.22,-30.87,0.0,-6.1,-14.98,-12.0,8.0,2026-09-11,38.67,-0.01,-1.28,49.84,38.69,-0.08,-1.58,2026Q2,29.82,18.65,14.39,1,12.23,7.49,0.4,12.57,-41.1,0.53,-53.9,-2.82,14.5,-2.5,19.0,-2.0,0,0,毛利率連 1 季升、月營收年增 140%、PE 7.4（一年 0% 分位）、距 52 週高點 -31%,4.2,-15.05,93.3774,-1.9,4675.53,1610.58,935.11,935.11,1.72,1.0,8.67,放量,-1316.73,-11.4,-1328.13,-28.16,-0.24,0,2,0,1,-948.72,-17.2,,,,,,,0,,,,0.0,-39.11,23,0,-0.39,-15.5,未取得,0.0,-15.5,0.0,0.0,0.0,0.0,0.0,24,-15.5,2026-08,752.41,139.53,105.33,,,,營收 2026-08，月增 752.41%，年增 139.53%，累計年增 105.33%,融資增加；放量；年線之下；營收 2026-08，月增 752.41%，年增 139.53%，累計年增 105.33%,-15.5
2026-09-15,2025,千興,TWSE,鋼鐵工業,,5,11.85,9.19,0.0,0.98,-5.58,,,-6.32,0.0,0.033,-3.35,252,-0.84,6.76,-40.39,-72.15,-25.24,35.58,-5.26,2.37,0.32,5.0,2026-09-11,59.37,0.0,0.0,63.25,27.37,-0.03,0.0,2026Q2,12.49,9.81,,-1,1.3,9.12,0.0,74.38,-87.6,0.29,,84.3,0.0,0.0,0.0,0.0,,0,日均量 266 張偏低（門檻 500）,0.3,-10.91,12.2517,-3.28,1330.56,392.96,266.11,266.11,1.48,1.0,5.72,正常,-227.73,0.0,-227.73,-17.12,0.0,0,3,0,0,-125.91,0.0,,,,,,,0,,,,0.0,-38.0,34,0,-2.04,-16.04,未取得,0.0,-16.04,0.0,0.0,0.0,0.0,0.0,24,-16.04,2026-08,88.52,102.53,136.21,,,,營收 2026-08，月增 88.52%，年增 102.53%，累計年增 136.21%,融資增加；營收 2026-08，月增 88.52%，年增 102.53%，累計年增 136.21%,-16.04
2026-09-15,5522,遠雄,TWSE,建材營造業,,5,60.7,6.05,9.06,1.0,-4.41,,,-4.71,0.83,0.36,-2.65,252,-13.04,-7.04,-52.59,-85.95,-27.65,14.74,-6.13,-8.38,-7.9,8.0,2026-09-11,86.05,0.19,-0.16,88.48,8.58,0.02,1.04,2026Q2,32.81,17.77,6.25,-1,10.03,6.05,0.0,9.88,-38.8,0.23,,75.14,23.5,6.5,19.0,-2.0,0,1,毛利率連 1 季降、月營收年增 189%、PE 6.0（一年 0% 分位）、距 52 週高點 -28%,0.3,-23.49,61.6783,-1.59,2914.43,822.37,582.89,582.89,1.41,1.0,4.93,正常,-1519.45,-97.25,-1616.7,-52.14,-3.34,0,5,1,0,-455.0,13.63,,,,,,,0,,,,0.0,-47.84,33,1,-0.91,-24.75,未取得,0.0,-24.75,0.0,0.0,0.0,0.0,0.0,24,-24.75,2026-07,78.34,189.24,453.3,,,,營收 2026-07，月增 78.34%，年增 189.24%，累計年增 453.3%,融資增加；年線之下；營收 2026-07，月增 78.34%，年增 189.24%，累計年增 453.3%,-24.75
2026-09-15,9946,三發地產,TWSE,建材營造業,,5,16.7,3.58,8.26,0.75,-2.05,,,-3.19,0.6,0.03,-1.23,252,-8.49,-13.25,-48.05,-92.16,-23.57,7.74,-9.3,-5.96,-7.45,8.0,2026-09-11,78.44,-0.07,-0.07,81.58,13.08,-0.08,-0.77,2026Q2,51.56,35.33,24.42,-1,4.63,3.61,0.0,12.14,-70.5,0.28,,109.98,0.0,0.0,0.0,0.0,,1,日均量 179 張偏低（門檻 500）,3.3,-15.95,16.9552,-1.51,896.49,224.87,179.3,179.3,1.25,1.0,3.05,正常,-231.0,-6.0,-237.0,-25.77,-0.67,0,3,0,0,-110.0,0.0,,,,,,,0,,,,0.0,-39.67,41,0,-3.66,-19.33,未取得,0.0,-19.33,0.0,0.0,0.0,0.0,0.0,24,-19.33,2026-07,1371.9,1180.83,3975.11,,,,營收 2026-07，月增 1371.9%，年增 1180.83%，累計年增 3975.11%,融資增加；年線之下；營收 2026-07，月增 1371.9%，年增 1180.83%，累計年增 3975.11%,-19.33
2026-09-15,2816,旺旺保,TWSE,金融保險業,,5,39.1,3.4,3.84,0.91,0.9,,,-2.37,1.56,0.13,0.54,252,27.78,48.11,-11.78,-30.8,-4.52,50.97,10.31,25.71,5.36,6.5,2026-09-11,75.52,-0.03,0.65,81.2,11.47,0.13,1.26,2026Q1,,,,0,6.3,6.21,2.0,6.61,-48.6,1.78,1171.4,,0.0,0.0,0.0,0.0,,1,日均量 333 張偏低（門檻 500）,1.5,81.82,39.1248,-0.06,1664.93,380.71,332.99,332.99,1.14,1.0,1.72,正常,302.69,0.0,302.69,18.18,0.0,1,0,0,0,86.27,0.0,,,,,,,0,,,,0.0,40.0,-30,0,1.8,65.8,未取得,0.0,65.8,0.0,0.0,0.0,0.0,0.0,24,65.8,2026-08,60.13,66.06,55.58,,,,營收 2026-08，月增 60.13%，年增 66.06%，累計年增 55.58%,外資買超；融資下降；營收 2026-08，月增 60.13%，年增 66.06%，累計年增 55.58%,65.8
2026-09-15,6026,福邦證,TPEX,金融保險業,,5,15.0,5.43,9.09,0.94,-1.32,,,-2.6,0.0,0.123,-0.79,252,2.74,32.16,-36.81,-46.75,-23.27,33.93,0.44,5.84,0.67,8.0,2026-09-11,41.19,-0.04,0.63,50.76,34.46,-0.1,1.18,2026Q2,,68.48,56.81,0,2.76,5.43,4.4,11.26,-51.8,1.01,,84.79,25.5,8.0,17.5,0.0,0,1,月營收年增 232%、PE 5.4（一年 4% 分位）、距 52 週高點 -23%,4.5,78.97,15.1613,-1.06,4049.0,909.0,809.8,809.8,1.12,1.0,1.47,正常,387.6,84.03,471.63,9.57,2.08,0,1,1,0,-380.0,25.21,,,,,,,0,,,,0.0,40.15,-21,0,0.52,64.67,未取得,0.0,64.67,0.0,0.0,0.0,0.0,0.0,24,64.67,2026-08,381.78,231.78,170.4,,,,營收 2026-08，月增 381.78%，年增 231.78%，累計年增 170.4%,外資買超；投信買超；融資下降；營收 2026-08，月增 381.78%，年增 231.78%，累計年增 170.4%,64.67
2026-09-15,6531,愛普*,TWSE,半導體業,,5,890.0,51.33,0.79,11.55,-10.91,,,-16.43,0.34,45.434,-9.0,252,77.64,172.59,38.09,93.68,-31.8,198.66,-0.71,38.32,10.57,-3.5,2026-09-11,53.62,1.54,0.54,65.53,21.74,-1.41,6.0,2026Q2,49.06,30.71,28.83,1,17.39,51.18,4.4,75.81,-32.3,4.18,,10.33,18.0,9.5,8.5,0.0,0,1,毛利率連 1 季升、月營收年增 145%、PE 51.3（一年 4% 分位）、距 52 週高點 -32%,5.7,62.59,981.5554,-9.33,23144.09,4824.31,4628.82,4628.82,1.04,1.0,0.51,正常,324.56,1551.0,1875.56,1.4,6.7,0,1,0,0,-665.2,0.0,,,,,,,0,,,,0.0,27.04,-352,7,1.52,52.56,未取得,0.0,52.56,0.0,0.0,0.0,0.0,0.0,24,52.56,2026-07,36.08,144.57,102.88,,,,營收 2026-07，月增 36.08%，年增 144.57%，累計年增 102.88%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-07，月增 36.08%，年增 144.57%，累計年增 102.88%,52.56
2026-09-15,2855,統一證,TWSE,金融保險業,,5,51.5,5.35,4.1,1.72,-1.15,,,-3.74,1.98,2.498,-0.69,252,66.13,130.94,26.58,52.03,-13.88,149.39,7.89,46.35,13.19,4.5,2026-09-11,71.96,0.25,0.97,76.91,15.65,-0.28,4.0,2026Q1,,38.25,41.88,0,4.48,11.5,3.2,11.36,-52.9,1.43,,53.46,21.0,8.0,13.0,0.0,0,1,月營收年增 110%、PE 5.3（一年 3% 分位）、距 52 週高點 -14%,4.5,83.21,51.8675,-0.71,24079.99,5011.1,4816.0,4816.0,1.04,1.0,0.49,正常,-4121.55,7307.23,3185.68,-17.12,30.35,0,1,5,0,-3273.17,1457.9,,,,,,,0,,,,0.0,32.08,-333,9,1.38,57.46,未取得,0.0,57.46,0.0,0.0,0.0,0.0,0.0,24,57.46,2026-08,122.48,109.88,217.4,,,,營收 2026-08，月增 122.48%，年增 109.88%，累計年增 217.4%,投信買超；融資下降；營收 2026-08，月增 122.48%，年增 109.88%，累計年增 217.4%,57.46
