latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-07,3017,奇鋐,TWSE,電腦及週邊設備業,散熱,5,2785.0,45.76,0.75,24.2,9.22,,,-6.07,16.04,161.389,5.53,252,70.34,157.87,32.97,74.63,-7.48,229.98,12.93,56.35,13.96,-3.5,2026-07-31,52.32,-0.62,-0.45,66.11,20.77,0.28,-5.35,2026Q1,29.77,24.51,16.14,3,61.06,45.61,83.3,38.86,17.8,20.17,143.6,5.82,17.0,20.0,-3.0,0.0,0,1,單季 EPS 年增 144%、毛利率連 3 季升、月營收年增 66%、PE 45.8（一年 83% 分位）、距 52 週高點 -7%,6.5,111.28,2738.5852,1.69,29465.8,4140.36,5893.16,5893.16,0.7,1.0,-3.57,正常,4196.4,3057.61,7254.01,14.24,10.38,0,1,5,0,-239.96,527.2,,,,,,,0,,,,0.0,73.5,-193,22,0.7,95.92,未取得,0.0,95.92,0.0,0.0,0.0,0.0,0.0,21.72,95.92,2026-06,11.01,66.11,85.46,,,,營收 2026-06，月增 11.01%，年增 66.11%，累計年增 85.46%,外資買超；投信買超；融資下降；毛利率連3升；千張大戶減持；營收 2026-06，月增 11.01%，年增 66.11%，累計年增 85.46%,95.92
2026-08-07,5274,信驊,TPEX,半導體業,,5,16345.0,138.68,0.5,103.66,2.32,,,-3.85,7.15,39.017,1.39,252,66.96,245.56,29.59,162.32,-17.78,275.32,0.13,58.22,13.55,-3.5,2026-07-31,19.46,0.21,0.64,33.77,42.81,-0.32,3.68,2026Q1,69.18,52.72,44.94,1,117.87,138.67,79.8,90.31,53.6,37.41,59.5,2.99,0.0,0.0,0.0,0.0,,1,日均量 241 張偏低（門檻 500）,5.7,97.04,16189.6805,0.96,1205.0,155.0,241.0,241.0,0.64,1.0,-4.28,正常,36.84,180.13,216.98,3.06,14.95,0,2,5,0,-22.0,11.0,,,,,,,0,,,,0.0,57.62,-1,0,0.08,78.36,未取得,0.0,78.36,0.0,0.0,0.0,0.0,0.0,20.66,78.36,2026-06,2.19,67.47,62.77,,,,營收 2026-06，月增 2.19%，年增 67.47%，累計年增 62.77%,外資買超；投信買超；融資下降；營收 2026-06，月增 2.19%，年增 67.47%，累計年增 62.77%,78.36
2026-08-07,6541,泰福-KY,TWSE,生技醫療業,,5,38.05,,0.0,1.88,0.13,,,-1.04,3.96,0.109,5.08,252,-24.5,-26.12,-61.87,-109.36,-44.04,4.25,-4.15,-20.77,-12.0,0.0,2026-07-31,65.62,-0.01,0.77,71.72,21.16,0.08,1.42,2026Q1,-200.66,-301.32,-292.65,-3,-5.51,,,,,-1.47,,518.07,0.0,0.0,0.0,0.0,,1,近四季 EPS 未轉正或缺財報,-8.0,60.02,37.5131,1.43,1456.66,170.93,291.33,291.33,0.59,1.0,-4.96,正常,317.49,0.0,317.49,21.8,0.0,3,0,0,0,98.0,0.0,,,,,,,0,,,,0.0,44.0,-132,0,8.0,76.0,未取得,0.0,76.0,0.0,0.0,0.0,0.0,0.0,24,76.0,2026-06,170.45,267.35,265.4,,,,營收 2026-06，月增 170.45%，年增 267.35%，累計年增 265.4%,外資買超；融資下降；接近區間高點；年線之下；毛利率連3降；營收 2026-06，月增 170.45%，年增 267.35%，累計年增 265.4%,76.0
2026-08-07,5351,鈺創,TPEX,半導體業,,5,104.0,16.1,0.0,4.74,30.16,,,-5.88,31.48,31.595,9.0,252,86.71,252.54,49.35,169.3,-5.88,301.54,18.91,74.3,15.92,1.5,2026-07-31,23.03,-5.22,-2.45,31.01,58.4,3.41,-5.5,2026Q1,36.65,22.53,22.46,3,0.96,108.33,8.1,89.69,-82.0,1.88,,57.21,20.0,12.0,8.0,0.0,0,1,毛利率連 3 季升、月營收年增 657%、PE 16.1（一年 8% 分位）、距 52 週高點 -6%,8.0,109.69,99.787,4.22,158313.0,59876.0,31662.6,31662.6,1.89,1.0,13.69,放量,38056.96,772.0,38828.96,24.04,0.49,5,0,3,0,7964.62,315.0,,,,,,,0,,,,0.0,50.72,-1088,1020,1.07,73.92,未取得,0.0,73.92,0.0,0.0,0.0,0.0,0.0,22.13,73.92,2026-06,14.4,657.48,456.48,,,,營收 2026-06，月增 14.4%，年增 657.48%，累計年增 456.48%,外資買超；投信買超；融資下降；放量；毛利率連3升；千張大戶減持；營收 2026-06，月增 14.4%，年增 657.48%，累計年增 456.48%,73.92
2026-08-07,2465,麗臺,TWSE,電腦及週邊設備業,,5,85.1,64.47,0.0,6.64,12.72,,,-4.81,17.54,1.651,7.63,252,62.72,30.32,25.35,-52.92,-9.28,77.48,7.01,29.7,13.04,-3.5,2026-07-31,29.58,0.0,0.0,36.35,51.58,0.29,0.0,2026Q1,10.65,5.87,6.87,2,1.34,63.51,49.0,64.55,-0.1,1.15,379.2,2.4,14.0,17.0,-3.0,0.0,0,1,單季 EPS 年增 379%、毛利率連 2 季升、月營收年增 544%、PE 64.5（一年 49% 分位）、距 52 週高點 -9%,3.9,91.72,84.1419,1.14,9813.76,1499.08,1962.75,1962.75,0.76,1.0,-2.83,正常,1697.46,0.0,1697.46,17.3,0.0,5,0,0,0,138.62,0.0,,,,,,,0,,,,0.0,48.0,28,49,0.07,72.07,未取得,0.0,72.07,0.0,0.0,0.0,0.0,0.0,24,72.07,2026-06,33.16,543.89,158.17,,,,營收 2026-06，月增 33.16%，年增 543.89%，累計年增 158.17%,外資買超；融資增加；毛利率連2升；營收 2026-06，月增 33.16%，年增 543.89%，累計年增 158.17%,72.07
2026-08-07,5388,中磊,TWSE,通信網路業,網通設備,5,91.4,22.85,2.74,1.75,4.58,,,-3.79,11.87,3.855,2.75,252,8.81,-11.26,-28.56,-94.5,-19.12,22.03,8.06,5.33,1.45,0.0,2026-07-31,42.94,0.53,2.74,54.28,34.13,-0.54,6.0,2026Q1,13.66,2.94,1.81,-4,4.03,22.68,98.0,18.09,26.3,1.01,-1.0,-0.23,-3.0,-5.0,2.0,0.0,0,0,毛利率連 4 季降、月營收年增 71%、PE 22.9（一年 98% 分位）、距 52 週高點 -19%,-2.0,81.37,90.0171,1.54,21414.72,5068.09,4282.94,4282.94,1.18,1.0,2.2,正常,6933.37,-3.9,6929.47,32.38,-0.02,5,0,1,0,45.39,1.47,,,,,,,0,,,,0.0,50.45,-8,12,0.07,72.07,未取得,0.0,72.07,0.0,0.0,0.0,0.0,0.0,21.55,72.07,2026-06,12.16,70.81,58.08,,,,營收 2026-06，月增 12.16%，年增 70.81%，累計年增 58.08%,外資買超；融資下降；毛利率連4降；千張大戶增持；營收 2026-06，月增 12.16%，年增 70.81%，累計年增 58.08%,72.07
2026-08-07,6163,華電網,TPEX,資訊服務業,,5,40.65,71.32,1.43,2.02,2.78,,,-2.63,6.83,0.274,1.67,252,-27.28,72.98,-64.65,-10.26,-46.93,92.2,-14.85,-9.1,-12.0,-2.0,2026-07-31,34.17,-2.29,-3.14,42.5,47.38,1.47,-5.5,2026Q1,15.75,0.26,0.12,-1,0.6,67.75,58.3,61.91,15.2,0.02,-88.2,-1.58,-0.5,-2.5,2.0,0.0,0,0,毛利率連 1 季降、月營收年增 61%、PE 71.3（一年 58% 分位）、距 52 週高點 -47%,0.3,49.21,40.4677,0.45,3388.0,320.0,677.6,677.6,0.47,1.0,-6.33,正常,680.41,0.0,680.41,20.08,0.0,5,0,0,0,54.0,0.0,,,,,,,0,,,,0.0,48.0,-113,-35,3.03,69.91,未取得,0.0,69.91,0.0,0.0,0.0,0.0,0.0,18.88,69.91,2026-06,18.85,61.38,36.39,,,,營收 2026-06，月增 18.85%，年增 61.38%，累計年增 36.39%,外資買超；融資下降；年線之下；千張大戶減持；營收 2026-06，月增 18.85%，年增 61.38%，累計年增 36.39%,69.91
2026-08-07,6179,亞通,TPEX,其他業,,5,27.05,142.37,1.85,1.3,9.74,,,-3.91,12.94,0.478,5.84,252,-0.73,-1.99,-38.1,-85.23,-29.19,23.8,7.01,-2.83,-6.67,0.0,2026-07-31,30.26,-0.65,-1.02,40.92,45.76,0.22,-5.5,2026Q1,8.75,3.19,2.59,-1,0.24,112.71,83.6,34.0,318.7,0.27,237.5,-1.82,13.5,11.5,2.0,0.0,0,0,單季 EPS 年增 238%、毛利率連 1 季降、月營收年增 229%、PE 142.4（一年 84% 分位）、距 52 週高點 -29%,0.3,60.27,26.7118,1.27,8945.0,1179.0,1789.0,1789.0,0.66,1.0,-4.09,正常,1730.82,0.0,1730.82,19.35,0.0,1,0,0,0,161.0,0.0,,,,,,,0,,,,0.0,40.0,-397,-28,4.34,68.34,未取得,0.0,68.34,0.0,0.0,0.0,0.0,0.0,24,68.34,2026-06,52.69,229.22,95.96,,,,營收 2026-06，月增 52.69%，年增 229.22%，累計年增 95.96%,外資買超；融資下降；年線之下；千張大戶減持；營收 2026-06，月增 52.69%，年增 229.22%，累計年增 95.96%,68.34
2026-08-07,3489,森寶,TPEX,建材營造業,,5,26.0,,11.54,1.95,7.0,,,-1.52,7.0,0.282,9.2,252,26.83,38.3,-10.54,-44.94,-1.52,57.58,17.67,21.36,11.42,3.0,2026-07-31,66.59,0.0,0.0,73.53,19.54,-0.2,0.0,2026Q1,3.3,0.64,-0.84,-1,-0.08,,,,,-0.03,,4.2,0.0,0.0,0.0,0.0,,1,近四季 EPS 未轉正或缺財報,-6.2,82.3,25.812,0.73,5453.0,475.0,1090.6,1090.6,0.44,1.0,-6.77,正常,695.0,0.0,695.0,12.75,0.0,2,0,0,0,48.0,0.0,,,,,,,0,,,,0.0,40.2,-466,0,8.0,68.27,未取得,0.0,68.27,0.0,0.0,0.0,0.0,0.0,20.07,68.27,2026-06,-2.79,64.54,90.75,,,,營收 2026-06，月增 -2.79%，年增 64.54%，累計年增 90.75%,外資買超；融資下降；接近區間高點；逼近52週高點；營收 2026-06，月增 -2.79%，年增 64.54%，累計年增 90.75%,68.27
2026-08-07,1717,長興,TWSE,化學工業,,5,66.2,34.84,1.51,2.49,7.29,,,-1.93,11.82,4.992,9.37,252,16.96,123.27,-20.41,40.03,-26.36,149.81,-7.81,15.76,3.25,0.0,2026-07-31,57.74,-0.85,-0.79,64.01,29.22,0.24,-5.5,2026Q1,22.16,5.22,4.18,2,1.48,44.73,45.6,37.81,-7.9,0.37,23.3,0.77,12.0,11.5,0.5,0.0,0,0,單季 EPS 年增 23%、毛利率連 2 季升、月營收年增 16%、PE 34.8（一年 46% 分位）、距 52 週高點 -26%,3.9,77.51,64.8931,2.01,38465.05,5561.62,7693.01,7693.01,0.72,1.0,-3.32,正常,6742.13,1314.48,8056.62,17.53,3.42,1,0,5,0,765.89,250.0,,,,,,,0,,,,0.0,61.04,-1084,86,2.95,68.15,未取得,0.0,68.15,0.0,0.0,0.0,0.0,0.0,4.16,68.15,2026-06,-0.76,16.21,8.32,,,,營收 2026-06，月增 -0.76%，年增 16.21%，累計年增 8.32%,外資買超；投信買超；融資下降；接近區間高點；毛利率連2升；千張大戶減持；營收 2026-06，月增 -0.76%，年增 16.21%，累計年增 8.32%,68.15
