snapshot_date,days,ranking_name,rank_no,stock_id,score,total_score,close,updated_at
2026-07-03,5,big_holder_increase,1,2484,45.3,-4.06,96.4,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,2,8033,62.74,35.89,204.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,3,3413,47.8,38.92,326.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,4,3605,62.31,45.06,88.2,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,5,2464,41.72,22.21,172.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,6,4989,87.0,42.42,110.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,7,6191,38.34,42.37,108.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,8,3042,56.16,3.57,249.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,9,3227,82.7,72.95,235.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,10,6182,69.77,22.54,163.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,11,2483,42.25,5.05,67.1,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,12,2406,46.88,33.34,41.15,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,13,3055,75.41,32.41,152.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,14,6409,54.14,38.25,1255.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,15,3289,29.0,1.28,180.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,16,5425,78.31,40.3,131.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,17,4720,46.03,25.28,26.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,18,3583,25.38,5.94,851.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,19,2467,62.38,34.2,615.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,20,6215,40.85,30.46,112.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,21,4533,79.36,51.17,30.85,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,22,2377,39.88,26.58,143.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,23,1314,53.73,23.59,9.88,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,24,2359,74.61,53.78,142.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,25,2449,61.64,42.91,335.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,26,6164,25.77,-7.96,17.4,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,27,2342,45.55,15.66,58.3,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,28,4526,56.57,47.1,41.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,29,5269,68.39,54.62,1530.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,30,8155,68.55,47.9,384.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,31,4931,51.55,45.88,237.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,32,8476,5.12,-6.84,24.45,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,33,3402,81.22,59.95,155.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,34,2634,55.86,36.66,60.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,35,6670,62.87,54.36,259.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,36,4977,17.19,17.32,162.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,37,6224,53.25,16.37,86.4,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,38,6190,52.4,27.73,85.8,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,39,6405,43.86,25.1,62.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,40,3673,53.8,17.69,82.4,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,41,3028,72.52,45.35,82.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,42,3706,53.01,43.83,91.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,43,1312,55.96,29.77,15.1,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,44,3023,43.03,19.85,336.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,45,6438,52.88,37.57,165.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,46,5392,23.87,12.2,48.55,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,47,2421,75.23,59.33,149.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,48,6206,86.87,54.68,132.5,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,49,1590,63.35,38.86,1440.0,2026-07-05T15:35:29
2026-07-03,5,big_holder_increase,50,3624,80.61,50.6,155.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,1,3017,135.81,103.07,2760.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,2,1907,99.98,76.54,28.15,2026-07-05T15:35:29
2026-07-03,5,chip_score,3,6023,113.26,93.17,101.5,2026-07-05T15:35:29
2026-07-03,5,chip_score,4,6526,96.83,78.81,706.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,5,2204,89.61,76.34,57.1,2026-07-05T15:35:29
2026-07-03,5,chip_score,6,3227,82.7,72.95,235.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,7,9935,98.11,75.73,20.5,2026-07-05T15:35:29
2026-07-03,5,chip_score,8,6703,85.96,72.68,118.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,9,1216,84.92,70.39,76.3,2026-07-05T15:35:29
2026-07-03,5,chip_score,10,6122,81.49,55.8,51.5,2026-07-05T15:35:29
2026-07-03,5,chip_score,11,2547,109.78,84.89,11.55,2026-07-05T15:35:29
2026-07-03,5,chip_score,12,4105,76.67,61.52,77.9,2026-07-05T15:35:29
2026-07-03,5,chip_score,13,2382,92.22,79.44,377.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,14,1303,110.71,67.62,197.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,15,2371,56.0,58.37,28.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,16,1608,91.04,66.44,34.8,2026-07-05T15:35:29
2026-07-03,5,chip_score,17,4766,82.0,62.54,370.5,2026-07-05T15:35:29
2026-07-03,5,chip_score,18,3483,62.42,60.95,93.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,19,2718,71.81,56.24,52.4,2026-07-05T15:35:29
2026-07-03,5,chip_score,20,1210,82.34,60.51,58.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,21,3090,90.77,66.24,318.5,2026-07-05T15:35:29
2026-07-03,5,chip_score,22,2887,108.78,75.73,34.15,2026-07-05T15:35:29
2026-07-03,5,chip_score,23,5269,68.39,54.62,1530.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,24,2105,69.8,54.51,32.15,2026-07-05T15:35:29
2026-07-03,5,chip_score,25,2897,91.39,67.02,10.55,2026-07-05T15:35:29
2026-07-03,5,chip_score,26,3596,70.9,56.23,197.5,2026-07-05T15:35:29
2026-07-03,5,chip_score,27,9946,98.26,71.69,19.9,2026-07-05T15:35:29
2026-07-03,5,chip_score,28,2421,75.23,59.33,149.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,29,6146,68.52,54.92,195.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,30,3402,81.22,59.95,155.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,31,4933,72.52,53.75,68.4,2026-07-05T15:35:29
2026-07-03,5,chip_score,32,7828,67.99,47.79,2200.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,33,2395,79.89,57.88,521.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,34,2812,69.93,56.67,20.4,2026-07-05T15:35:29
2026-07-03,5,chip_score,35,9911,69.55,51.66,85.2,2026-07-05T15:35:29
2026-07-03,5,chip_score,36,1722,64.55,47.71,48.75,2026-07-05T15:35:29
2026-07-03,5,chip_score,37,2851,85.09,64.41,38.45,2026-07-05T15:35:29
2026-07-03,5,chip_score,38,2912,53.23,51.61,231.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,39,6104,59.27,50.61,105.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,40,8462,58.7,52.21,147.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,41,2646,60.53,59.94,21.3,2026-07-05T15:35:29
2026-07-03,5,chip_score,42,1316,69.78,67.32,10.95,2026-07-05T15:35:29
2026-07-03,5,chip_score,43,1524,68.1,48.27,29.65,2026-07-05T15:35:29
2026-07-03,5,chip_score,44,1539,46.82,42.62,16.05,2026-07-05T15:35:29
2026-07-03,5,chip_score,45,1604,56.81,44.46,23.5,2026-07-05T15:35:29
2026-07-03,5,chip_score,46,1618,82.22,62.65,41.7,2026-07-05T15:35:29
2026-07-03,5,chip_score,47,1702,58.55,47.99,32.55,2026-07-05T15:35:29
2026-07-03,5,chip_score,48,1732,56.48,48.97,26.75,2026-07-05T15:35:29
2026-07-03,5,chip_score,49,1760,65.08,55.23,63.0,2026-07-05T15:35:29
2026-07-03,5,chip_score,50,1805,54.52,52.36,10.4,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,1,3017,135.81,103.07,2760.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,2,6023,113.26,93.17,101.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,3,2547,109.78,84.89,11.55,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,4,6526,96.83,78.81,706.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,5,9935,98.11,75.73,20.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,6,3227,82.7,72.95,235.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,7,4934,79.62,72.0,18.25,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,8,6163,70.89,71.85,48.35,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,9,6161,89.3,71.63,53.7,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,10,2543,63.25,70.74,39.2,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,11,1216,84.92,70.39,76.3,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,12,7547,62.46,70.29,58.7,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,13,6588,72.79,70.07,89.1,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,14,5263,74.67,69.21,99.4,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,15,8446,78.51,68.65,88.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,16,3188,73.72,68.53,24.45,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,17,8927,63.98,68.12,21.75,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,18,1303,110.71,67.62,197.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,19,1316,69.78,67.32,10.95,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,20,1608,91.04,66.44,34.8,2026-07-05T15:35:29
