latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-24,3017,奇鋐,TWSE,電腦及週邊設備業,散熱,20,2855.0,38.06,0.73,20.31,27.46,58.53,83.77,-14.01,41.34,130.125,10.0,252,61.76,178.54,34.21,94.37,-14.01,211.68,11.92,52.74,14.11,-1.5,2026-08-21,54.6,0.02,1.66,68.52,17.78,0.14,1.66,2026Q2,32.57,27.44,19.48,4,75.13,38.0,40.1,39.1,-2.7,24.37,136.6,10.23,17.0,20.0,-3.0,0.0,0,1,單季 EPS 年增 137%、毛利率連 4 季升、月營收年增 57%、PE 38.1（一年 40% 分位）、距 52 週高點 -14%,6.5,104.48,2787.5783,2.42,93360.34,2274.32,4668.02,3121.02,0.49,0.67,-11.46,量縮,7355.37,5202.84,12558.21,7.88,5.57,1,0,4,0,384.96,46.84,新加坡商瑞銀,2901.0,,3030.52,0,新加坡商瑞銀,0,花旗環球,1148.0,,7.11,58.45,-385,-26,0.4,79.44,已取得,51.51,130.95,20.18,3.73,6.0,7.6,14.0,20.59,79.44,2026-07,5.52,57.39,80.34,13.45,3.11,-5.79,外資與投信同買；前大買超分點約占成交 3.11%；收盤距區間均價 2.42%；收盤距分點均價 -5.79%；連買：外1 / 投4；營收 2026-07，月增 5.52%，年增 57.39%，累計年增 80.34%,外資買超；投信買超；融資下降；波動偏高；毛利率連4升；營收 2026-07，月增 5.52%，年增 57.39%，累計年增 80.34%,79.44
2026-08-24,2347,聯強,TWSE,電子通路業,,20,88.3,12.08,4.76,1.7,2.67,34.64,42.71,-10.17,5.88,3.851,1.6,252,25.6,48.15,-1.94,-36.01,-10.17,61.72,-1.75,20.52,6.33,3.0,2026-08-21,85.44,-0.19,0.02,88.88,8.08,0.16,-1.46,2026Q2,3.4,2.38,1.94,-1,7.32,12.06,32.9,12.78,-5.5,2.35,201.3,0.92,19.0,13.0,6.0,0.0,0,0,單季 EPS 年增 201%、毛利率連 1 季降、月營收年增 129%、PE 12.1（一年 33% 分位）、距 52 週高點 -10%,0.3,81.23,90.9285,-2.89,84708.99,1514.67,4235.45,2854.53,0.36,0.67,-12.0,量縮,7936.08,4964.91,12900.99,9.37,5.86,2,0,1,0,119.92,33.0,台灣摩根士丹利,6616.0,,92.44,0,台灣摩根士丹利,0,港商麥格理,6636.0,,9.46,57.89,196,2,-0.19,77.46,已取得,55.87,133.33,22.5,9.37,6.0,4.0,14.0,19.76,77.46,2026-07,-5.34,128.78,85.37,15.23,7.81,-4.48,外資與投信同買；前大買超分點約占成交 7.81%；收盤距區間均價 -2.89%；收盤距分點均價 -4.48%；連買：外2 / 投1；營收 2026-07，月增 -5.34%，年增 128.78%，累計年增 85.37%,外資買超；投信買超；融資增加；營收 2026-07，月增 -5.34%，年增 128.78%，累計年增 85.37%,77.46
2026-08-24,6234,高僑,TPEX,光電業,,20,34.9,33.56,0.72,1.25,2.8,55.81,73.61,-9.35,21.18,0.157,2.68,252,25.54,27.61,-2.01,-56.56,-44.87,75.82,-14.69,7.9,2.31,2.0,2026-08-21,50.21,0.0,0.5,53.79,39.47,-0.37,1.5,2026Q2,8.77,0.88,6.29,3,1.03,33.88,0.0,525.0,-93.6,0.09,,2.27,0.0,0.0,0.0,0.0,,0,日均量 457 張偏低（門檻 500）,5.0,79.44,34.2654,1.85,9148.0,116.0,457.4,180.8,0.25,0.4,-12.0,量縮,1319.68,0.0,1319.68,14.43,0.0,5,0,0,0,31.99,0.0,港商麥格理,394.0,,,0,港商麥格理,0,大展,104.0,,4.6,47.54,-672,1,7.35,71.95,已取得,44.81,116.76,21.64,5.17,6.0,6.0,6.0,17.06,71.95,2026-07,15.03,111.52,27.85,14.43,4.31,,外資主導買超；前大買超分點約占成交 4.31%；收盤距區間均價 1.85%；連買：外5 / 投0；營收 2026-07，月增 15.03%，年增 111.52%，累計年增 27.85%,外資買超；融資下降；波動偏高；毛利率連3升；營收 2026-07，月增 15.03%，年增 111.52%，累計年增 27.85%,71.95
2026-08-24,9906,欣巴巴,TWSE,建材營造業,,20,39.05,11.38,0.2,2.33,-2.25,48.99,32.5,-6.91,3.03,0.022,-1.35,252,-9.4,-44.53,-36.94,-128.7,-49.55,26.79,-4.39,-15.19,-11.54,3.0,2026-08-21,75.0,-0.01,0.03,78.79,17.71,0.2,0.01,2026Q2,38.31,15.97,9.34,1,3.43,11.38,9.5,16.05,-29.1,0.33,,38.75,0.0,0.0,0.0,0.0,,0,日均量 56 張偏低（門檻 500）,2.7,57.22,39.4694,-1.06,1116.19,26.73,55.81,41.02,0.48,0.74,-10.49,量縮,302.13,0.0,302.13,27.07,0.0,6,0,0,0,4.0,0.0,美商高盛,131.0,,39.65,0,美商高盛,0,國泰-敦南,44.0,,22.11,48.0,-20,-4,1.68,69.64,已取得,62.58,132.22,22.5,14.08,14.0,6.0,6.0,19.96,69.64,2026-07,18.97,44.89,348.63,27.07,11.74,-1.51,外資主導買超；前大買超分點約占成交 11.74%；收盤距區間均價 -1.06%；收盤距分點均價 -1.51%；連買：外6 / 投0；營收 2026-07，月增 18.97%，年增 44.89%，累計年增 348.63%,外資買超；融資下降；年線之下；營收 2026-07，月增 18.97%，年增 44.89%，累計年增 348.63%,69.64
2026-08-24,3706,神達,TWSE,電腦及週邊設備業,,20,92.1,16.45,4.34,1.6,4.42,52.5,31.18,-2.02,10.3,10.731,2.65,252,16.58,-5.25,-10.96,-89.42,-15.5,24.97,2.72,6.11,4.34,3.0,2026-08-21,53.74,0.73,2.96,56.91,38.15,-0.45,6.0,2026Q2,9.15,4.14,4.79,-3,5.39,17.09,23.4,17.96,-8.4,1.48,20.3,-0.56,14.0,5.0,9.0,0.0,0,0,單季 EPS 年增 20%、毛利率連 3 季降、月營收年增 50%、PE 16.4（一年 23% 分位）、距 52 週高點 -16%,-2.0,79.33,90.7976,1.43,236362.54,9405.47,11818.13,7742.84,0.8,0.66,-7.97,正常,33995.88,5364.5,39360.38,14.38,2.27,1,0,3,0,3241.59,1197.0,台灣摩根士丹利,7743.0,,91.59,0,台灣摩根士丹利,0,國泰證券,2697.0,,13.36,53.17,-4968,-53,2.1,69.32,已取得,60.43,129.75,22.5,3.93,14.0,6.0,14.0,14.05,69.32,2026-07,-18.17,49.73,45.52,16.65,3.28,0.56,外資與投信同買；前大買超分點約占成交 3.28%；收盤距區間均價 1.43%；收盤距分點均價 0.56%；連買：外1 / 投3；營收 2026-07，月增 -18.17%，年增 49.73%，累計年增 45.52%,外資買超；投信買超；融資下降；毛利率連3降；千張大戶增持；營收 2026-07，月增 -18.17%，年增 49.73%，累計年增 45.52%,69.32
2026-08-24,3260,威剛,TPEX,半導體業,,20,438.5,5.67,3.88,3.61,18.83,66.53,51.21,-4.57,25.29,59.103,13.0,251,50.43,343.83,22.88,259.66,-16.48,375.6,8.03,43.61,11.79,4.5,2026-08-21,28.08,0.12,3.0,32.84,57.64,0.64,2.46,2026Q2,42.11,33.47,27.27,-1,81.15,5.4,4.8,16.85,-66.4,32.41,1070.0,23.89,22.5,12.5,15.0,-5.0,1,1,⚠ 循環高峰疑慮（獲利在多年高點、年增來自低基期，低 PE 可能反映市場預期獲利反轉）：單季 EPS 年增 1070%、毛利率連 1 季降、月營收年增 331%、PE 5.7（一年 5% 分位）、距 52 週高點 -16%,3.3,111.48,406.0838,7.98,291086.0,31204.0,14554.3,14707.6,2.14,1.01,16.9,強放量,27933.65,93.19,28026.84,9.6,0.03,3,0,4,0,10273.77,148.0,台灣摩根士丹利,4331.0,,408.38,0,台灣摩根士丹利,0,元大證券,2153.0,,1.42,42.98,-4456,138,1.56,67.98,已取得,40.23,108.21,14.44,1.79,0.0,10.0,14.0,23.44,67.98,2026-07,25.36,331.29,206.73,9.63,1.49,7.38,外資與投信同買；前大買超分點約占成交 1.49%；收盤距區間均價 7.98%；收盤距分點均價 7.38%；連買：外3 / 投4；營收 2026-07，月增 25.36%，年增 331.29%，累計年增 206.73%,外資買超；投信買超；融資下降；強放量；營收 2026-07，月增 25.36%，年增 331.29%，累計年增 206.73%,67.98
2026-08-24,6423,億而得,TPEX,半導體業,,20,79.4,111.83,1.26,4.63,19.04,68.04,49.39,-5.14,27.04,0.051,13.0,252,-15.53,-3.76,-43.08,-87.93,-41.62,27.04,-0.06,-5.89,-12.0,-2.0,2026-08-21,22.56,0.03,0.61,40.04,42.1,0.5,1.74,2026Q2,98.16,15.73,,-1,0.74,107.3,38.5,122.86,-9.0,0.21,,24.45,0.0,0.0,0.0,0.0,,0,日均量 68 張偏低（門檻 500）,0.3,61.83,74.9582,5.93,1358.0,44.0,67.9,31.4,0.65,0.46,-12.0,正常,237.51,0.0,237.51,17.49,0.0,12,0,0,0,19.0,0.0,富邦-青埔,124.0,,,,,0,國泰-松江,76.0,,8.16,42.0,-123,-2,7.96,66.79,已取得,45.46,112.25,22.5,10.96,0.0,6.0,6.0,16.83,66.79,2026-07,1551.72,47.94,21.28,17.49,9.13,,外資主導買超；前大買超分點約占成交 9.13%；收盤距區間均價 5.93%；連買：外12 / 投0；營收 2026-07，月增 1551.72%，年增 47.94%，累計年增 21.28%,外資買超；融資下降；年線之下；營收 2026-07，月增 1551.72%，年增 47.94%，累計年增 21.28%,66.79
2026-08-24,8040,九暘,TPEX,半導體業,,20,69.5,868.75,0.0,2.7,2.81,48.74,55.6,-9.51,14.88,0.336,1.69,252,34.95,19.42,7.41,-64.75,-46.74,55.66,-20.52,8.1,4.38,-2.0,2026-08-21,44.62,0.02,0.02,51.79,38.27,-0.04,0.72,2026Q2,44.67,7.07,,3,0.09,772.22,,,,0.25,,20.48,0.0,0.0,0.0,0.0,,0,日均量 486 張偏低（門檻 500）,5.0,69.41,69.1522,0.5,9724.0,212.0,486.2,295.4,0.44,0.61,-12.0,量縮,1098.43,0.0,1098.43,11.3,0.0,11,0,0,0,37.0,0.0,台灣摩根士丹利,526.0,,67.65,0,台灣摩根士丹利,0,大昌,111.0,,15.92,45.04,-657,-4,6.74,65.62,已取得,49.44,115.06,16.94,6.49,14.0,6.0,6.0,13.84,65.62,2026-07,8.8,42.53,32.03,11.3,5.41,2.73,外資主導買超；前大買超分點約占成交 5.41%；收盤距區間均價 0.5%；收盤距分點均價 2.73%；連買：外11 / 投0；營收 2026-07，月增 8.8%，年增 42.53%，累計年增 32.03%,外資買超；融資下降；毛利率連3升；營收 2026-07，月增 8.8%，年增 42.53%，累計年增 32.03%,65.62
2026-08-24,2542,興富發,TWSE,建材營造業,,20,48.3,11.18,8.28,2.06,12.46,86.09,18.02,-1.43,13.65,3.864,8.48,252,28.63,15.55,1.08,-68.62,-1.43,43.32,9.16,19.68,12.99,6.0,2026-08-21,62.55,0.99,2.15,65.96,26.8,-0.85,6.0,2026Q2,31.85,25.33,16.11,1,4.31,11.21,2.4,14.45,-22.6,1.3,441.7,18.11,22.5,15.5,12.0,-5.0,1,1,⚠ 循環高峰疑慮（獲利在多年高點、年增來自低基期，低 PE 可能反映市場預期獲利反轉）：單季 EPS 年增 442%、毛利率連 1 季升、月營收年增 197%、PE 11.2（一年 2% 分位）、距 52 週高點 -1%,4.2,105.47,45.8781,5.28,168449.98,7277.7,8422.5,11813.7,0.86,1.4,4.81,放量,34814.63,8277.05,43091.68,20.67,4.91,0,1,1,0,-899.01,111.0,美商高盛,11718.0,,46.55,0,美商高盛,0,統一-永和,1994.0,,17.76,44.78,-1800,-191,1.03,65.39,已取得,54.45,119.84,22.5,8.35,8.0,1.6,14.0,19.58,65.39,2026-07,-6.82,196.59,404.28,25.58,6.96,3.76,外資與投信同買；前大買超分點約占成交 6.96%；收盤距區間均價 5.28%；收盤距分點均價 3.76%；連買：外0 / 投1；營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,外資買超；投信買超；融資下降；放量；接近區間高點；逼近52週高點；RSI過熱；千張大戶增持；營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,65.39
2026-08-24,9941,裕融,TWSE,其他業,,20,85.9,12.25,5.33,1.44,4.5,74.0,16.64,-0.58,6.58,0.862,11.7,252,15.61,-20.83,-11.93,-105.0,-20.83,19.64,4.36,0.87,4.13,6.5,2026-08-21,67.33,0.0,0.43,70.79,25.25,0.06,1.29,2026Q2,42.49,15.04,12.41,-1,7.63,11.26,52.8,12.18,0.6,2.04,6.3,0.86,10.5,3.0,7.5,0.0,0,0,單季 EPS 年增 6%、毛利率連 1 季降、月營收年增 2%、PE 12.2（一年 53% 分位）、距 52 週高點 -21%,1.8,86.95,83.7126,2.61,20598.2,785.83,1029.91,791.84,0.76,0.77,-6.54,正常,2997.8,640.69,3638.49,14.55,3.11,6,0,3,0,119.0,101.0,美商高盛,1797.0,,83.72,0,美商高盛,0,摩根大通,747.0,,18.66,63.28,-187,-2,0.9,64.8,已取得,71.77,136.57,22.5,10.47,14.0,10.8,14.0,0.62,64.8,2026-07,4.07,2.26,-1.74,17.66,8.72,2.6,外資與投信同買；前大買超分點約占成交 8.72%；收盤距區間均價 2.61%；收盤距分點均價 2.6%；連買：外6 / 投3；營收 2026-07，月增 4.07%，年增 2.26%，累計年增 -1.74%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-07，月增 4.07%，年增 2.26%，累計年增 -1.74%,64.8
