latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,2303,聯電,TWSE,1,111.0,27.89,2.34,3.43,110.1894,0.74,264201.49,264201.49,264201.49,264201.49,1.0,1.0,0.0,正常,-45921.19,20707.13,-25214.06,-17.38,7.84,0,1,1,0,-45921.19,20707.13,,,,,,,0.0,-7.54,11177,407,-3.29,-6.73,未取得,0.0,-6.73,0.0,0.0,0.0,0.0,0.0,4.1,-6.73,2026-04,8.8,10.8,6.88,,,,營收 2026-04，月增 8.8%，年增 10.8%，累計年增 6.88%,投信買超；融資增加；營收 2026-04，月增 8.8%，年增 10.8%，累計年增 6.88%,-6.73
2026-05-18,2344,華邦電,TWSE,1,130.5,38.72,0.38,5.03,124.6885,4.66,192808.79,192808.79,192808.79,192808.79,1.0,1.0,0.0,正常,-19138.37,7462.0,-11676.37,-9.93,3.87,0,1,1,0,-19138.37,7462.0,,,,,,,0.0,-14.52,6157,-229,-2.59,6.89,未取得,0.0,6.89,0.0,0.0,0.0,0.0,0.0,24,6.89,2026-04,32.71,182.22,114.45,,,,營收 2026-04，月增 32.71%，年增 182.22%，累計年增 114.45%,投信買超；融資增加；營收 2026-04，月增 32.71%，年增 182.22%，累計年增 114.45%,6.89
2026-05-18,2327,國巨*,TWSE,1,501.0,39.45,1.2,6.17,487.8989,2.69,92207.45,92207.45,92207.45,92207.45,1.0,1.0,0.0,正常,-4617.14,6849.0,2231.86,-5.01,7.43,0,1,1,0,-4617.14,6849.0,,,,,,,0.0,16.99,3668,601,-2.79,22.13,未取得,0.0,22.13,0.0,0.0,0.0,0.0,0.0,7.93,22.13,2026-04,3.0,22.04,22.53,,,,營收 2026-04，月增 3.0%，年增 22.04%，累計年增 22.53%,投信買超；融資增加；營收 2026-04，月增 3.0%，年增 22.04%，累計年增 22.53%,22.13
2026-05-18,2330,台積電,TWSE,1,2240.0,30.12,0.98,9.86,2234.205,0.26,32966.94,32966.94,32966.94,32966.94,1.0,1.0,0.0,正常,-9521.83,6429.5,-3092.33,-28.88,19.5,0,1,1,0,-9521.83,6429.5,,,,,,,0.0,-2.0,398,-3,-0.97,4.84,未取得,0.0,4.84,0.0,0.0,0.0,0.0,0.0,7.81,4.84,2026-04,-1.08,17.5,29.95,,,,營收 2026-04，月增 -1.08%，年增 17.5%，累計年增 29.95%,投信買超；融資增加；營收 2026-04，月增 -1.08%，年增 17.5%，累計年增 29.95%,4.84
2026-05-18,6147,頎邦,TPEX,1,207.0,60.53,1.35,3.29,206.9255,0.04,101979.0,101979.0,101979.0,101979.0,1.0,1.0,0.0,正常,3180.05,5251.24,8431.29,3.12,5.15,1,0,1,0,3180.05,5251.24,,,,,,,0.0,36.22,3015,-339,-2.46,41.4,未取得,0.0,41.4,0.0,0.0,0.0,0.0,0.0,7.64,41.4,2026-04,7.41,24.15,15.04,,,,營收 2026-04，月增 7.41%，年增 24.15%，累計年增 15.04%,外資買超；投信買超；融資增加；營收 2026-04，月增 7.41%，年增 24.15%，累計年增 15.04%,41.4
2026-05-18,2376,技嘉,TWSE,1,330.5,15.44,3.63,3.43,339.7876,-2.73,39137.87,39137.87,39137.87,39137.87,1.0,1.0,0.0,正常,694.42,3054.0,3748.42,1.77,7.8,1,0,1,0,694.42,3054.0,,,,,,,0.0,41.22,-635,4,1.62,66.84,未取得,0.0,66.84,0.0,0.0,0.0,0.0,0.0,24,66.84,2026-04,33.92,73.66,64.15,,,,營收 2026-04，月增 33.92%，年增 73.66%，累計年增 64.15%,外資買超；投信買超；融資下降；營收 2026-04，月增 33.92%，年增 73.66%，累計年增 64.15%,66.84
2026-05-18,2313,華通,TWSE,1,259.0,45.68,1.08,6.59,251.0199,3.18,97275.86,97275.86,97275.86,97275.86,1.0,1.0,0.0,正常,13246.97,2297.0,15543.97,13.62,2.36,1,0,1,0,13246.97,2297.0,,,,,,,0.0,42.4,-605,385,0.86,43.47,未取得,0.0,43.47,0.0,0.0,0.0,0.0,0.0,0.21,43.47,2026-04,-9.04,-2.86,11.33,,,,營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,外資買超；投信買超；融資下降；營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,43.47
2026-05-18,6278,台表科,TWSE,1,210.0,23.97,2.62,2.73,213.4682,-1.62,21255.36,21255.36,21255.36,21255.36,1.0,1.0,0.0,正常,-2849.34,1559.0,-1290.34,-13.41,7.33,0,1,1,0,-2849.34,1559.0,,,,,,,0.0,-6.02,-2087,-39,7.94,3.75,未取得,0.0,3.75,0.0,0.0,0.0,0.0,0.0,1.83,3.75,2026-04,6.91,3.91,1.85,,,,營收 2026-04，月增 6.91%，年增 3.91%，累計年增 1.85%,投信買超；融資下降；營收 2026-04，月增 6.91%，年增 3.91%，累計年增 1.85%,3.75
2026-05-18,3090,日電貿,TWSE,1,148.0,30.83,3.24,2.42,142.6825,3.73,36767.87,36767.87,36767.87,36767.87,1.0,1.0,0.0,正常,-1484.61,1498.0,13.39,-4.04,4.07,0,1,1,0,-1484.61,1498.0,,,,,,,0.0,2.64,2293,-15,-5.0,8.25,未取得,0.0,8.25,0.0,0.0,0.0,0.0,0.0,10.61,8.25,2026-04,18.11,28.14,21.05,,,,營收 2026-04，月增 18.11%，年增 28.14%，累計年增 21.05%,投信買超；融資增加；營收 2026-04，月增 18.11%，年增 28.14%，累計年增 21.05%,8.25
2026-05-18,5347,世界,TPEX,1,159.0,38.31,2.83,4.34,159.1195,-0.08,16457.0,16457.0,16457.0,16457.0,1.0,1.0,0.0,正常,150630.79,1179.0,151809.79,915.3,7.16,1,0,1,0,150630.79,1179.0,,,,,,,0.0,60.41,550,2928,-2.67,58.2,未取得,0.0,58.2,0.0,0.0,0.0,0.0,0.0,0.46,58.2,2026-04,-18.5,9.58,5.98,,,,營收 2026-04，月增 -18.5%，年增 9.58%，累計年增 5.98%,外資買超；投信買超；融資增加；營收 2026-04，月增 -18.5%，年增 9.58%，累計年增 5.98%,58.2
