latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-23,2303,聯電,TWSE,半導體業,晶圓代工,5,160.0,24.06,1.63,4.52,8.47,,,-5.04,12.28,354.643,5.08,252,178.75,261.17,133.58,176.12,-13.75,291.2,18.05,82.3,17.2,0.0,2026-09-18,72.08,0.51,1.58,74.87,21.44,-0.5,6.0,2026Q2,32.48,21.75,61.48,1,6.68,23.95,77.0,18.5,30.1,3.39,370.8,3.34,15.5,15.5,0.0,0.0,0,0,單季 EPS 年增 371%、毛利率連 1 季升、月營收年增 31%、PE 24.1（一年 77% 分位）、距 52 週高點 -14%,5.7,93.53,156.429,2.28,1133560.47,124757.29,226712.09,226712.09,0.55,1.0,-5.4,正常,71783.04,58671.87,130454.91,6.33,5.18,0,1,5,0,-10353.99,1374.0,,,,,,,0,,,,0.0,51.31,-27267,1010,2.46,62.25,未取得,0.0,62.25,0.0,0.0,0.0,0.0,0.0,8.48,62.25,2026-08,5.04,30.71,14.66,,,,營收 2026-08，月增 5.04%，年增 30.71%，累計年增 14.66%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-08，月增 5.04%，年增 30.71%，累計年增 14.66%,62.25
2026-09-23,1303,南亞,TWSE,塑膠工業,,5,227.5,36.69,0.35,3.78,-3.6,,,-9.54,2.02,166.123,-2.16,252,189.07,456.23,143.91,371.18,-9.54,519.89,12.69,112.58,17.2,0.0,2026-09-18,83.84,-0.15,0.19,86.37,10.3,0.14,-0.63,2026Q2,18.9,13.58,31.98,3,6.2,36.69,16.8,67.1,-45.3,3.37,,11.6,13.0,12.0,3.0,-2.0,0,0,毛利率連 3 季升、月營收年增 47%、PE 36.7（一年 17% 分位）、距 52 週高點 -10%,8.0,21.61,236.1154,-3.65,351782.58,54877.01,70356.52,70356.52,0.78,1.0,-2.64,正常,-46628.1,26793.59,-19834.51,-13.25,7.62,0,2,0,1,-8547.89,-739.0,,,,,,,0,,,,0.0,-11.97,-1284,-8,0.36,0.52,未取得,0.0,0.52,0.0,0.0,0.0,0.0,0.0,12.13,0.52,2026-08,0.09,46.75,23.17,,,,營收 2026-08，月增 0.09%，年增 46.75%，累計年增 23.17%,投信買超；融資下降；毛利率連3升；營收 2026-08，月增 0.09%，年增 46.75%，累計年增 23.17%,0.52
2026-09-23,2618,長榮航,TWSE,航運業,航空,5,42.85,9.02,4.67,1.66,1.9,,,-0.81,4.0,9.689,6.14,252,22.43,11.44,-22.73,-73.61,-6.13,33.28,1.62,13.29,3.52,4.5,2026-09-18,79.4,0.18,0.78,82.6,13.54,-0.13,3.44,2026Q2,14.13,8.44,5.68,-1,4.74,9.04,98.8,7.34,22.9,0.71,-42.7,-10.39,-0.5,-5.5,5.0,0.0,0,0,毛利率連 1 季降、月營收年增 25%、PE 9.0（一年 99% 分位）、距 52 週高點 -6%,0.3,112.68,42.2259,1.48,114725.61,37960.39,22945.12,22945.12,1.65,1.0,10.85,放量,12150.16,24313.81,36463.97,10.59,21.19,3,0,5,0,11207.67,7481.0,,,,,,,0,,,,0.0,81.5,-240,79,0.25,89.36,未取得,0.0,89.36,0.0,0.0,0.0,0.0,0.0,7.61,89.36,2026-08,1.95,24.92,18.06,,,,營收 2026-08，月增 1.95%，年增 24.92%，累計年增 18.06%,外資買超；投信買超；融資下降；放量；接近區間高點；營收 2026-08，月增 1.95%，年增 24.92%，累計年增 18.06%,89.36
2026-09-23,2610,華航,TWSE,航運業,航空,5,20.45,9.47,3.96,1.26,0.49,,,-0.73,2.0,4.079,5.29,252,11.14,-1.92,-34.02,-86.97,-17.37,15.54,-2.33,1.5,1.51,6.5,2026-09-18,70.15,-0.04,0.68,73.04,21.86,0.02,1.18,2026Q2,11.13,4.18,2.21,-1,2.18,9.38,95.2,7.99,18.5,0.23,-63.5,-7.15,3.0,-5.5,8.5,0.0,0,0,毛利率連 1 季降、月營收年增 27%、PE 9.5（一年 95% 分位）、距 52 週高點 -17%,0.3,108.22,20.322,0.63,100352.31,34416.03,20070.46,20070.46,1.71,1.0,11.58,放量,20045.62,14909.76,34955.39,19.98,14.86,2,0,5,0,14583.32,5498.0,,,,,,,0,,,,0.0,79.5,-374,71,0.42,87.65,未取得,0.0,87.65,0.0,0.0,0.0,0.0,0.0,7.73,87.65,2026-08,-1.29,27.22,18.65,,,,營收 2026-08，月增 -1.29%，年增 27.22%，累計年增 18.65%,外資買超；投信買超；融資下降；放量；接近區間高點；營收 2026-08，月增 -1.29%，年增 27.22%，累計年增 18.65%,87.65
2026-09-23,2884,玉山金,TWSE,金融保險業,金控,5,45.6,18.92,3.07,2.62,-3.59,,,-3.7,1.56,19.307,-2.15,251,41.18,36.53,-3.99,-48.52,-3.7,55.1,16.98,33.5,7.64,1.5,2026-09-18,70.43,0.17,1.32,74.54,18.78,-0.06,3.36,2026Q1,,,39.96,0,2.19,20.82,96.4,16.48,14.8,0.62,12.7,,8.0,7.0,1.0,0.0,0,1,單季 EPS 年增 13%、月營收年增 19%、PE 18.9（一年 96% 分位）、距 52 週高點 -4%,4.5,43.34,46.1839,-1.26,209025.44,25178.06,41805.09,41805.09,0.6,1.0,-4.77,正常,-12297.78,14237.12,1939.34,-5.88,6.81,0,1,5,0,-5007.23,3005.0,,,,,,,0,,,,0.0,22.5,-40,-12,0.02,30.87,未取得,0.0,30.87,0.0,0.0,0.0,0.0,0.0,8.35,30.87,2026-08,12.3,19.29,21.26,,,,營收 2026-08，月增 12.3%，年增 19.29%，累計年增 21.26%,投信買超；融資下降；營收 2026-08，月增 12.3%，年增 19.29%，累計年增 21.26%,30.87
2026-09-23,2382,廣達,TWSE,電腦及週邊設備業,AI伺服器/組裝,5,341.5,14.88,4.57,5.4,-0.73,,,-2.15,0.74,46.237,-0.44,252,17.56,19.82,-27.61,-65.23,-22.03,31.35,1.98,9.76,2.44,3.0,2026-09-18,81.7,0.14,0.15,85.35,11.81,-0.19,2.07,2026Q2,5.02,3.3,2.76,1,22.95,14.88,18.3,15.89,-6.4,7.43,70.0,-0.75,25.5,14.5,11.0,0.0,0,1,單季 EPS 年增 70%、毛利率連 1 季升、月營收年增 177%、PE 14.9（一年 18% 分位）、距 52 週高點 -22%,2.7,50.36,342.7431,-0.36,67450.99,9982.47,13490.2,13490.2,0.74,1.0,-3.12,正常,-7399.67,12097.28,4697.61,-10.97,17.93,0,4,5,0,-2763.74,673.0,,,,,,,0,,,,0.0,21.07,1015,-5,-1.21,42.15,未取得,0.0,42.15,0.0,0.0,0.0,0.0,0.0,22.29,42.15,2026-08,15.75,177.45,102.63,,,,營收 2026-08，月增 15.75%，年增 177.45%，累計年增 102.63%,投信買超；融資增加；營收 2026-08，月增 15.75%，年增 177.45%，累計年增 102.63%,42.15
2026-09-23,2542,興富發,TWSE,建材營造業,,5,39.55,9.16,10.11,1.69,-15.58,,,-19.12,1.41,10.996,-9.0,252,11.72,-4.0,-33.44,-89.06,-19.29,17.36,-12.95,-2.61,-5.43,6.0,2026-09-18,62.69,-0.14,0.14,65.96,26.96,0.22,-0.7,2026Q2,31.85,25.33,16.11,1,4.31,9.18,0.0,14.27,-35.8,1.3,441.7,18.11,16.5,5.5,16.0,-5.0,1,1,⚠ 循環高峰疑慮（獲利在多年高點、年增來自低基期，低 PE 可能反映市場預期獲利反轉）：單季 EPS 年增 442%、毛利率連 1 季升、月營收年減 21%、PE 9.2（一年 0% 分位）、距 52 週高點 -19%,4.2,21.04,44.0515,-10.22,124805.16,47140.33,24961.03,24961.03,1.89,1.0,13.66,放量,-9729.13,11167.39,1438.26,-7.8,8.95,0,3,5,0,-251.48,1911.0,,,,,,,0,,,,0.0,17.2,1388,-34,-0.9,19.14,未取得,0.0,19.14,0.0,0.0,0.0,0.0,0.0,2.84,19.14,2026-08,-37.1,-20.88,261.31,,,,營收 2026-08，月增 -37.1%，年增 -20.88%，累計年增 261.31%,投信買超；融資增加；放量；年線之下；營收 2026-08，月增 -37.1%，年增 -20.88%，累計年增 261.31%,19.14
2026-09-23,2801,彰銀,TWSE,金融保險業,,5,27.85,16.38,3.77,1.43,-5.91,,,-6.39,0.36,10.0,-3.55,252,34.54,41.73,-10.62,-43.32,-6.39,44.68,11.31,27.62,6.18,5.0,2026-09-18,74.11,0.06,0.31,77.8,14.57,0.02,1.41,2026Q1,,,,0,1.58,17.63,96.4,13.71,19.5,0.44,18.9,,9.5,9.0,2.5,-2.0,0,1,單季 EPS 年增 19%、月營收年增 21%、PE 16.4（一年 96% 分位）、距 52 週高點 -6%,1.5,4.51,28.855,-3.48,173280.75,32124.96,34656.15,34656.15,0.93,1.0,-0.88,正常,-24014.61,10240.18,-13774.42,-13.86,5.91,0,1,1,0,-2794.26,1165.0,,,,,,,0,,,,0.0,-11.09,299,28,-0.14,-5.59,未取得,0.0,-5.59,0.0,0.0,0.0,0.0,0.0,5.64,-5.59,2026-08,-3.79,21.13,14.34,,,,營收 2026-08，月增 -3.79%，年增 21.13%，累計年增 14.34%,投信買超；融資增加；營收 2026-08，月增 -3.79%，年增 21.13%，累計年增 14.34%,-5.59
2026-09-23,2890,永豐金,TWSE,金融保險業,金控,5,45.05,17.0,2.89,2.46,-1.96,,,-2.8,0.9,12.744,-1.18,252,42.11,83.88,-3.05,-1.17,-2.8,85.01,10.15,37.75,13.85,1.5,2026-09-18,78.13,0.12,0.02,81.27,13.8,-0.1,1.52,2026Q1,,,41.88,0,2.16,20.86,62.7,16.22,4.8,0.76,33.3,,11.0,11.0,0.0,0.0,0,1,單季 EPS 年增 33%、月營收年增 49%、PE 17.0（一年 63% 分位）、距 52 週高點 -3%,4.5,48.81,45.4329,-0.84,140255.7,20244.86,28051.14,28051.14,0.72,1.0,-3.34,正常,-8921.7,8926.93,5.23,-6.36,6.36,0,2,3,0,-3896.91,1456.0,,,,,,,0,,,,0.0,12.69,91,-4,-0.05,30.29,未取得,0.0,30.29,0.0,0.0,0.0,0.0,0.0,17.65,30.29,2026-08,0.98,49.48,53.91,,,,營收 2026-08，月增 0.98%，年增 49.48%，累計年增 53.91%,投信買超；融資增加；營收 2026-08，月增 0.98%，年增 49.48%，累計年增 53.91%,30.29
2026-09-23,2892,第一金,TWSE,金融保險業,金控,5,39.85,18.62,3.26,1.9,-2.21,,,-2.69,2.44,11.184,-1.33,252,40.07,34.63,-5.09,-50.42,-2.69,46.51,12.75,29.99,13.4,1.5,2026-09-18,68.44,0.2,0.58,72.34,19.64,-0.09,3.6,2026Q1,,,42.72,0,1.93,20.65,97.6,15.96,16.7,0.57,11.8,,6.0,5.0,1.0,0.0,0,1,單季 EPS 年增 12%、月營收年增 6%、PE 18.6（一年 98% 分位）、距 52 週高點 -3%,4.5,81.31,39.9253,-0.19,140065.44,18149.13,28013.09,28013.09,0.65,1.0,-4.23,正常,23503.38,8780.51,32283.89,16.78,6.27,0,1,3,0,-1406.69,3234.0,,,,,,,0,,,,0.0,59.17,-118,-4,0.08,61.75,未取得,0.0,61.75,0.0,0.0,0.0,0.0,0.0,2.5,61.75,2026-08,-2.36,6.3,10.28,,,,營收 2026-08，月增 -2.36%，年增 6.3%，累計年增 10.28%,外資買超；投信買超；融資下降；營收 2026-08，月增 -2.36%，年增 6.3%，累計年增 10.28%,61.75
2026-09-23,6446,藥華藥,TWSE,生技醫療業,,5,1175.0,57.54,0.22,11.92,-1.67,,,-3.69,4.44,55.975,-1.0,252,85.04,126.4,39.88,41.35,-28.57,159.67,-9.94,43.81,14.79,-3.5,2026-09-18,42.44,0.08,-1.49,56.95,29.19,0.21,-0.86,2026Q2,94.23,46.03,36.9,1,18.69,62.87,68.7,48.54,18.5,5.56,122.4,15.62,16.0,17.5,0.5,-2.0,0,1,單季 EPS 年增 122%、毛利率連 1 季升、月營收年增 105%、PE 57.5（一年 69% 分位）、距 52 週高點 -29%,5.7,21.16,1178.7353,-0.32,23743.8,2241.46,4748.76,4748.76,0.47,1.0,-6.34,正常,-11122.63,8525.62,-2597.01,-46.84,35.91,0,5,1,0,-533.08,16.0,,,,,,,0,,,,0.0,-11.25,142,2,-0.48,9.2,未取得,0.0,9.2,0.0,0.0,0.0,0.0,0.0,20.93,9.2,2026-08,4.38,105.43,81.24,,,,營收 2026-08，月增 4.38%，年增 105.43%，累計年增 81.24%,投信買超；融資增加；營收 2026-08，月增 4.38%，年增 105.43%，累計年增 81.24%,9.2
2026-09-23,8028,昇陽半導體,TWSE,半導體業,,5,258.0,46.24,1.05,7.73,5.74,,,-5.84,9.55,26.58,3.44,252,45.35,42.54,0.19,-42.51,-29.32,77.93,-4.0,16.95,8.56,-3.5,2026-09-18,36.8,0.95,-2.38,47.96,42.43,-0.57,3.0,2026Q2,37.89,25.94,,2,5.78,44.64,58.7,45.24,2.2,1.71,200.0,6.28,17.5,19.0,0.5,-2.0,0,1,單季 EPS 年增 200%、毛利率連 2 季升、月營收年增 26%、PE 46.2（一年 59% 分位）、距 52 週高點 -29%,3.9,15.27,256.5984,0.55,51793.69,5523.34,10358.74,10358.74,0.53,1.0,-5.6,正常,-10137.65,7913.0,-2224.65,-19.57,15.28,0,3,0,0,-2018.77,0.0,,,,,,,0,,,,0.0,-4.44,1305,74,-1.93,2.67,未取得,0.0,2.67,0.0,0.0,0.0,0.0,0.0,9.04,2.67,2026-08,-1.81,25.57,29.06,,,,營收 2026-08，月增 -1.81%，年增 25.57%，累計年增 29.06%,投信買超；融資增加；毛利率連2升；千張大戶增持；營收 2026-08，月增 -1.81%，年增 25.57%，累計年增 29.06%,2.67
2026-09-23,6505,台塑化,TWSE,油電燃氣業,,5,87.3,15.16,1.37,1.71,1.28,,,-2.78,8.31,18.028,0.77,252,56.73,117.43,11.57,32.38,-10.83,127.64,17.49,53.14,11.06,1.5,2026-09-18,95.45,0.04,0.24,95.96,3.29,-0.04,1.54,2026Q2,13.9,12.51,11.36,-1,5.76,15.16,15.3,51.92,-70.8,2.18,,17.59,12.5,6.5,6.0,0.0,0,1,毛利率連 1 季降、月營收年增 50%、PE 15.2（一年 15% 分位）、距 52 週高點 -11%,1.8,96.72,86.3836,1.06,104350.12,12809.65,20870.03,20870.03,0.61,1.0,-4.63,正常,10041.14,7500.5,17541.64,9.62,7.19,1,0,3,0,3215.87,309.0,,,,,,,0,,,,0.0,64.71,-4870,210,4.79,82.36,未取得,0.0,82.36,0.0,0.0,0.0,0.0,0.0,12.86,82.36,2026-08,9.47,50.29,16.72,,,,營收 2026-08，月增 9.47%，年增 50.29%，累計年增 16.72%,外資買超；投信買超；融資下降；營收 2026-08，月增 9.47%，年增 50.29%，累計年增 16.72%,82.36
2026-09-23,2449,京元電子,TWSE,半導體業,封測,5,304.0,39.84,0.49,5.93,14.72,,,-7.88,14.93,147.175,8.83,252,8.38,83.13,-36.78,-1.92,-17.28,95.5,12.66,14.93,1.24,0.0,2026-09-18,54.88,-0.01,0.84,60.64,32.83,0.21,1.42,2026Q2,39.49,25.38,22.36,-1,7.63,39.84,84.5,31.98,24.6,2.04,14.6,-0.64,6.5,7.5,-1.0,0.0,0,0,單季 EPS 年增 15%、毛利率連 1 季降、月營收年增 32%、PE 39.8（一年 84% 分位）、距 52 週高點 -17%,3.3,65.79,302.3664,0.54,243372.22,37725.25,48674.44,48674.44,0.78,1.0,-2.7,正常,38277.7,7227.48,45505.18,15.73,2.97,0,1,0,1,-3966.72,-162.0,,,,,,,0,,,,0.0,40.92,925,389,-0.21,52.35,未取得,0.0,52.35,0.0,0.0,0.0,0.0,0.0,11.64,52.35,2026-08,2.24,31.58,35.53,,,,營收 2026-08，月增 2.24%，年增 31.58%，累計年增 35.53%,外資買超；投信買超；融資增加；營收 2026-08，月增 2.24%，年增 31.58%，累計年增 35.53%,52.35
