latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-18,4303,信立,TPEX,塑膠工業,,5,48.0,5.17,10.42,1.34,2.13,,,-1.64,6.08,0.392,6.28,250,-14.13,-40.81,-48.29,-132.59,-44.44,21.98,4.96,-18.35,-12.0,8.0,2026-08-14,13.7,-0.15,0.07,20.31,68.66,-0.28,-0.99,2026Q2,20.58,-0.34,7.09,1,9.29,5.17,65.6,4.85,6.6,0.22,,-18.8,14.0,1.5,12.5,0.0,0,0,毛利率連 1 季升、月營收年增 17%、PE 5.2（一年 66% 分位）、距 52 週高點 -44%,2.7,50.7,47.4817,1.09,4132.0,451.0,826.4,826.4,0.55,1.0,-5.45,正常,549.87,0.0,549.87,13.31,0.0,2,0,0,0,10.4,0.0,,,,,,,0,,,,0.0,40.65,-103,2,2.52,49.43,未取得,0.0,49.43,0.0,0.0,0.0,0.0,0.0,6.26,49.43,2026-07,20.69,16.88,4.64,,,,營收 2026-07，月增 20.69%，年增 16.88%，累計年增 4.64%,外資買超；融資下降；接近區間高點；年線之下；營收 2026-07，月增 20.69%，年增 16.88%，累計年增 4.64%,49.43
2026-08-18,7855,和運租車,TWSE,其他業,,5,43.55,9.21,7.39,1.32,-1.91,,,-3.01,1.04,1.706,-1.15,43,,,,,,,,,0.0,8.0,2026-08-14,72.38,-27.16,-26.97,75.66,20.21,19.92,-5.5,2026Q2,11.59,2.57,3.25,-1,,,,,,1.29,,,0.0,0.0,0.0,0.0,,,近四季 EPS 未轉正或缺財報,-1.2,4.79,44.0995,-1.25,19347.08,2063.59,3869.42,3869.42,0.53,1.0,-5.6,正常,109.0,0.0,109.0,0.56,0.0,0,1,0,0,-4.0,0.0,,,,,,,0,,,,0.0,5.58,,,0.0,7.44,未取得,0.0,7.44,0.0,0.0,0.0,0.0,0.0,1.86,7.44,2026-07,15.47,,,,,,營收 2026-07，月增 15.47%,外資買超；千張大戶減持；營收 2026-07，月增 15.47%,7.44
2026-08-18,1612,宏泰,TWSE,電器電纜,,5,34.35,8.81,7.28,1.16,-0.87,,,-2.14,0.88,0.376,-0.52,252,-5.11,-9.13,-39.27,-100.91,-19.18,18.04,-1.21,-3.95,-7.11,8.0,2026-08-14,54.72,0.96,0.53,60.1,32.79,-0.47,6.0,2026Q2,15.58,11.4,27.67,-1,3.9,8.81,1.2,13.01,-32.3,1.8,102.2,0.0,26.5,9.0,17.5,0.0,0,0,單季 EPS 年增 102%、毛利率連 1 季降、月營收年增 7%、PE 8.8（一年 1% 分位）、距 52 週高點 -19%,3.3,43.6,34.5701,-0.64,5434.95,729.0,1086.99,1086.99,0.67,1.0,-3.95,正常,740.18,-21.0,719.18,13.62,-0.39,1,0,0,1,186.63,-16.0,,,,,,,0,,,,0.0,35.12,70,2,-1.03,35.91,未取得,0.0,35.91,0.0,0.0,0.0,0.0,0.0,1.82,35.91,2026-07,4.13,7.44,-0.07,,,,營收 2026-07，月增 4.13%，年增 7.44%，累計年增 -0.07%,外資買超；融資增加；年線之下；千張大戶增持；營收 2026-07，月增 4.13%，年增 7.44%，累計年增 -0.07%,35.91
2026-08-18,6016,康和證,TPEX,金融保險業,,5,19.4,4.6,7.24,1.08,-2.27,,,-6.51,3.74,0.876,-1.36,252,18.65,70.18,-15.5,-21.6,-46.85,80.47,-24.63,8.84,0.0,8.0,2026-08-14,44.22,0.31,-0.39,50.67,35.65,0.09,1.31,2026Q1,,50.05,48.37,0,4.28,4.53,1.5,9.27,-50.4,1.65,,323.93,18.5,-2.0,20.5,0.0,0,1,月營收年減 449%、PE 4.6（一年 2% 分位）、距 52 週高點 -47%,4.5,17.3,19.8662,-2.35,22039.0,2576.0,4407.8,4407.8,0.58,1.0,-4.99,正常,285.13,0.0,285.13,1.29,0.0,0,2,0,0,-378.0,0.0,,,,,,,0,,,,0.0,5.62,-133,-57,0.53,7.35,未取得,0.0,7.35,0.0,0.0,0.0,0.0,0.0,1.2,7.35,2026-07,-856.88,-448.57,240.89,,,,營收 2026-07，月增 -856.88%，年增 -448.57%，累計年增 240.89%,外資買超；融資下降；千張大戶增持；營收 2026-07，月增 -856.88%，年增 -448.57%，累計年增 240.89%,7.35
2026-08-18,2636,台驊控股,TWSE,航運業,,5,69.6,9.89,7.18,0.99,2.96,,,-1.56,4.66,0.341,6.78,252,7.41,-2.52,-26.75,-94.3,-5.05,12.08,2.14,2.61,1.53,8.0,2026-08-14,34.84,0.0,0.02,42.35,47.97,-0.51,0.06,2026Q2,14.19,3.28,5.71,-3,7.04,9.89,85.3,8.2,20.6,2.74,8.7,-0.15,0.0,0.0,0.0,0.0,,0,日均量 496 張偏低（門檻 500）,-2.0,76.8,68.7226,1.28,2477.78,674.91,495.56,495.56,1.36,1.0,7.34,正常,763.91,0.0,763.91,30.83,0.0,4,0,0,0,80.41,0.0,,,,,,,0,,,,0.0,46.0,21,1,-0.65,58.76,未取得,0.0,58.76,0.0,0.0,0.0,0.0,0.0,13.41,58.76,2026-07,8.75,62.85,9.74,,,,營收 2026-07，月增 8.75%，年增 62.85%，累計年增 9.74%,外資買超；融資增加；接近區間高點；毛利率連3降；營收 2026-07，月增 8.75%，年增 62.85%，累計年增 9.74%,58.76
2026-08-18,2204,中華,TWSE,汽車工業,,5,52.5,8.55,6.86,0.76,1.94,,,-0.38,2.74,0.525,6.16,252,-11.17,-8.06,-45.32,-99.84,-19.23,5.0,-3.53,-7.98,-7.72,8.0,2026-08-14,70.24,-0.22,-2.06,73.51,22.08,0.15,-3.26,2026Q2,15.08,5.66,12.73,2,6.22,8.44,0.4,10.85,-21.2,2.01,55.8,0.36,33.0,15.5,17.5,0.0,0,0,單季 EPS 年增 56%、毛利率連 2 季升、月營收年增 14%、PE 8.6（一年 0% 分位）、距 52 週高點 -19%,5.4,50.28,51.8746,1.21,5057.19,558.86,1011.44,1011.44,0.55,1.0,-5.37,正常,1021.28,-17.01,1004.28,20.19,-0.34,3,0,0,1,41.01,-8.0,,,,,,,0,,,,0.0,40.66,-11,0,0.22,44.38,未取得,0.0,44.38,0.0,0.0,0.0,0.0,0.0,3.5,44.38,2026-07,-5.37,13.64,10.58,,,,營收 2026-07，月增 -5.37%，年增 13.64%，累計年增 10.58%,外資買超；融資下降；接近區間高點；年線之下；毛利率連2升；營收 2026-07，月增 -5.37%，年增 13.64%，累計年增 10.58%,44.38
2026-08-18,2603,長榮,TWSE,航運業,貨櫃航運,5,238.0,9.44,6.72,0.92,10.96,,,-1.65,12.8,44.669,11.58,252,26.26,23.64,-7.9,-68.14,-1.86,36.0,15.06,21.41,11.68,8.0,2026-08-14,67.45,0.5,1.51,72.51,22.78,-0.58,6.0,2026Q2,22.8,18.41,15.25,1,25.22,9.44,94.0,4.62,104.3,7.4,46.2,1.73,21.5,14.0,7.5,0.0,0,0,單季 EPS 年增 46%、毛利率連 1 季升、月營收年增 43%、PE 9.4（一年 94% 分位）、距 52 週高點 -2%,4.2,101.59,227.8779,4.44,98011.27,30600.28,19602.25,19602.25,1.56,1.0,9.73,放量,45765.33,2092.53,47857.86,46.69,2.13,4,0,0,1,15066.71,-77.0,,,,,,,0,,,,0.0,42.84,-1138,159,1.26,55.27,未取得,0.0,55.27,0.0,0.0,0.0,0.0,0.0,11.17,55.27,2026-07,22.83,43.07,4.22,,,,營收 2026-07，月增 22.83%，年增 43.07%，累計年增 4.22%,外資買超；投信買超；融資下降；放量；接近區間高點；逼近52週高點；千張大戶增持；營收 2026-07，月增 22.83%，年增 43.07%，累計年增 4.22%,55.27
2026-08-18,3708,上緯投控,TWSE,綠能環保,,5,104.0,2.51,6.25,0.43,0.0,,,-1.89,5.37,0.792,5.0,252,-7.96,-15.45,-42.12,-107.23,-33.12,21.5,-4.06,-10.1,-11.4,8.0,2026-08-14,41.32,0.67,1.02,49.59,40.85,-0.24,6.0,2026Q2,20.9,6.29,-23.76,1,34.57,3.01,8.7,82.59,-97.0,-1.0,,4.51,0.0,0.0,0.0,0.0,,0,最新單季虧損,-0.3,40.89,102.9763,0.99,3846.91,680.28,769.38,769.38,0.88,1.0,-1.39,正常,1141.03,-4.0,1137.03,29.66,-0.1,2,0,0,0,247.23,0.0,,,,,,,0,,,,0.0,41.74,22,900,2.54,34.28,未取得,0.0,34.28,0.0,0.0,0.0,0.0,0.0,-10,34.28,2026-07,-15.66,-80.21,-84.37,,,,營收 2026-07，月增 -15.66%，年增 -80.21%，累計年增 -84.37%,外資買超；融資增加；接近區間高點；年線之下；千張大戶增持；營收 2026-07，月增 -15.66%，年增 -80.21%，累計年增 -84.37%,34.28
2026-08-18,1608,華榮,TWSE,電器電纜,,5,35.45,3.07,5.64,1.33,-6.59,,,-9.57,0.57,3.108,-3.95,252,-1.12,25.71,-35.27,-66.07,-15.39,33.52,5.01,4.47,0.29,8.0,2026-08-14,62.47,1.87,1.89,65.56,29.18,-1.76,6.0,2026Q2,11.42,8.59,86.68,-1,11.53,3.07,1.2,7.06,-56.5,6.67,942.2,1.73,23.5,11.0,17.5,-5.0,1,1,⚠ 循環高峰疑慮（獲利在多年高點、年增來自低基期，低 PE 可能反映市場預期獲利反轉）：單季 EPS 年增 942%、毛利率連 1 季降、月營收年增 43%、PE 3.1（一年 1% 分位）、距 52 週高點 -15%,3.3,56.97,37.3596,-5.11,41596.09,3197.29,8319.22,8319.22,0.38,1.0,-7.39,正常,5974.51,-26.67,5947.84,14.36,-0.06,1,0,0,1,96.08,-20.0,,,,,,,0,,,,0.0,33.78,-281,-14,0.67,47.03,未取得,0.0,47.03,0.0,0.0,0.0,0.0,0.0,12.58,47.03,2026-07,14.96,42.67,19.38,,,,營收 2026-07，月增 14.96%，年增 42.67%，累計年增 19.38%,外資買超；融資下降；千張大戶增持；營收 2026-07，月增 14.96%，年增 42.67%，累計年增 19.38%,47.03
2026-08-18,2851,中再保,TWSE,金融保險業,,5,39.3,7.59,5.6,1.34,7.08,,,-0.88,9.17,0.981,9.25,252,42.13,64.78,7.98,-27.0,-3.56,70.5,7.1,33.14,9.17,8.0,2026-08-14,65.43,0.23,-0.88,70.59,21.13,-0.1,0.84,2026Q1,,,,0,5.18,7.59,25.4,10.26,-26.0,2.3,194.9,,13.5,3.0,10.5,0.0,0,1,單季 EPS 年增 195%、月營收年減 50%、PE 7.6（一年 25% 分位）、距 52 週高點 -4%,1.5,61.8,38.4175,2.3,12763.3,2602.75,2552.66,2552.66,1.02,1.0,0.24,正常,3704.94,-1.0,3703.94,29.03,-0.01,1,0,0,1,1250.25,-1.0,,,,,,,0,,,,0.0,37.48,-95,2,0.75,32.92,未取得,0.0,32.92,0.0,0.0,0.0,0.0,0.0,-5.31,32.92,2026-07,-41.98,-49.78,19.3,,,,營收 2026-07，月增 -41.98%，年增 -49.78%，累計年增 19.3%,外資買超；融資下降；接近區間高點；營收 2026-07，月增 -41.98%，年增 -49.78%，累計年增 19.3%,32.92
2026-08-18,2812,台中銀,TWSE,金融保險業,,5,19.0,11.31,5.58,1.19,1.88,,,-0.26,2.98,2.199,6.13,252,-8.43,-11.42,-42.59,-103.2,-21.0,4.97,-3.44,-8.09,-7.44,8.0,2026-08-14,53.62,-0.16,-0.46,58.7,28.94,0.04,-2.66,2026Q2,,,,0,1.64,11.59,2.0,14.04,-19.4,0.47,27.0,,22.5,7.0,15.5,0.0,0,1,單季 EPS 年增 27%、月營收年增 2%、PE 11.3（一年 2% 分位）、距 52 週高點 -21%,1.5,35.59,18.6806,1.71,58851.59,13824.16,11770.32,11770.32,1.17,1.0,2.09,正常,3612.91,-210.0,3402.91,6.14,-0.36,2,0,0,0,8051.77,0.0,,,,,,,0,,,,0.0,26.01,-175,1,0.3,29.02,未取得,0.0,29.02,0.0,0.0,0.0,0.0,0.0,2.71,29.02,2026-07,-5.5,1.56,19.29,,,,營收 2026-07，月增 -5.5%，年增 1.56%，累計年增 19.29%,外資買超；融資下降；接近區間高點；年線之下；營收 2026-07，月增 -5.5%，年增 1.56%，累計年增 19.29%,29.02
2026-08-18,9904,寶成,TWSE,運動休閒,,5,24.5,5.19,5.31,0.39,2.3,,,-3.35,3.16,6.003,1.38,252,-21.35,-12.66,-55.5,-104.44,-24.38,5.15,-2.01,-12.95,-8.73,8.0,2026-08-14,63.47,-0.09,-1.53,68.3,22.99,0.12,-2.22,2026Q2,20.04,1.35,7.54,-3,4.72,5.19,0.4,6.94,-25.2,1.61,203.8,-3.19,16.5,-1.0,17.5,0.0,0,0,單季 EPS 年增 204%、毛利率連 3 季降、月營收年減 1%、PE 5.2（一年 0% 分位）、距 52 週高點 -24%,-2.0,9.4,24.6293,-0.52,121869.62,18651.67,24373.92,24373.92,0.77,1.0,-2.82,正常,-504.88,1084.0,579.12,-0.41,0.89,0,2,5,0,-4243.13,98.0,,,,,,,0,,,,0.0,16.28,2573,-300,-1.76,14.38,未取得,0.0,14.38,0.0,0.0,0.0,0.0,0.0,-0.14,14.38,2026-07,3.23,-0.64,-2.57,,,,營收 2026-07，月增 3.23%，年增 -0.64%，累計年增 -2.57%,投信買超；融資增加；年線之下；毛利率連3降；營收 2026-07，月增 3.23%，年增 -0.64%，累計年增 -2.57%,14.38
2026-08-18,2501,國建,TWSE,建材營造業,,5,22.9,7.98,5.24,0.83,-1.08,,,-2.14,2.0,0.345,-0.65,252,0.88,7.76,-33.27,-84.01,-19.37,21.81,-2.38,-0.55,-6.51,8.0,2026-08-14,72.9,0.35,0.29,77.67,16.49,-0.16,4.17,2026Q2,28.06,11.02,7.81,1,2.88,7.95,28.6,9.16,-12.9,0.22,-81.8,-16.45,10.0,-2.5,12.5,0.0,0,0,毛利率連 1 季升、月營收年增 120%、PE 8.0（一年 29% 分位）、距 52 週高點 -19%,2.7,67.88,22.8961,0.02,7524.49,993.51,1504.9,1504.9,0.66,1.0,-4.08,正常,1505.03,-2.0,1503.03,20.0,-0.03,2,0,0,1,39.88,-2.0,,,,,,,0,,,,0.0,39.43,-115,0,1.53,62.21,未取得,0.0,62.21,0.0,0.0,0.0,0.0,0.0,21.25,62.21,2026-07,104.85,119.67,35.31,,,,營收 2026-07，月增 104.85%，年增 119.67%，累計年增 35.31%,外資買超；融資下降；年線之下；千張大戶增持；營收 2026-07，月增 104.85%，年增 119.67%，累計年增 35.31%,62.21
2026-08-18,2617,台航,TWSE,航運業,,5,29.85,8.02,5.03,0.69,2.93,,,-1.0,4.55,0.311,6.76,252,-1.16,3.29,-35.31,-88.49,-14.84,12.85,1.56,0.57,0.28,8.0,2026-08-14,57.89,-0.23,-0.35,62.82,29.6,0.16,-2.89,2026Q2,44.82,41.13,27.08,1,3.72,8.02,2.4,9.81,-18.2,0.84,95.3,6.13,33.0,17.5,15.5,0.0,0,0,單季 EPS 年增 95%、毛利率連 1 季升、月營收年增 34%、PE 8.0（一年 2% 分位）、距 52 週高點 -15%,5.7,49.62,29.3427,1.73,5293.34,2282.39,1058.67,1058.67,2.16,1.0,16.87,強放量,90.16,0.0,90.16,1.7,0.0,2,0,0,0,778.33,0.0,,,,,,,0,,,,0.0,14.77,50,3,-0.72,23.33,未取得,0.0,23.33,0.0,0.0,0.0,0.0,0.0,9.28,23.33,2026-07,1.53,34.1,18.5,,,,營收 2026-07，月增 1.53%，年增 34.1%，累計年增 18.5%,外資買超；融資增加；強放量；接近區間高點；營收 2026-07，月增 1.53%，年增 34.1%，累計年增 18.5%,23.33
