latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-24,6577,勁豐,TPEX,電腦及週邊設備業,,20,94.4,16.03,5.3,3.55,30.57,81.35,56.01,0.0,30.93,0.158,10.0,252,30.03,20.1,-17.62,-74.43,0.0,42.81,19.9,27.54,10.89,4.5,2026-07-17,70.03,0.0,0.0,74.85,19.88,-0.2,0.0,2026Q1,34.56,19.06,18.45,2,5.89,16.03,5.4,58.6,87.1585,8.31,3635.0,1984.0,181.75,541.6,10.92,2.98,30.0,強放量,166.88,64.37,231.24,4.59,1.77,1,0,0,0,98.0,0.0,,,,,,,0,,,,0.0,16.7,271,6,-5.87,12.81,未取得,0.0,12.81,0.0,0.0,0.0,0.0,0.0,1.98,12.81,2026-06,7.65,4.97,1.06,,,,營收 2026-06，月增 7.65%，年增 4.97%，累計年增 1.06%,外資買超；投信買超；融資增加；強放量；接近區間高點；逼近52週高點；RSI過熱；毛利率連2升；營收 2026-06，月增 7.65%，年增 4.97%，累計年增 1.06%,12.81
2026-07-24,4557,永新-KY,TWSE,汽車工業,,20,52.6,,3.8,0.97,12.39,61.54,30.38,-1.31,13.12,0.053,16.43,252,-30.97,-42.89,-78.62,-137.42,-46.6,24.06,8.33,-20.38,-12.0,3.5,2026-07-17,28.53,0.0,0.0,43.09,35.9,-0.02,0.0,2026Q1,23.0,1.87,0.71,-3,-3.14,,-5.5,35.9,51.2214,2.69,2055.6,1011.61,102.78,251.58,9.84,2.45,30.0,強放量,109.1,0.0,109.1,5.31,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,20.86,-15,0,0.73,18.47,未取得,0.0,18.47,0.0,0.0,0.0,0.0,0.0,-3.12,18.47,2026-06,0.38,2.46,-22.58,,,,營收 2026-06，月增 0.38%，年增 2.46%，累計年增 -22.58%,外資買超；融資下降；強放量；接近區間高點；年線之下；毛利率連3降；營收 2026-06，月增 0.38%，年增 2.46%，累計年增 -22.58%,18.47
2026-07-24,1413,宏洲,TWSE,紡織纖維,,20,10.3,24.52,0.0,1.22,10.63,73.72,37.02,0.0,13.94,0.005,15.38,250,3.52,-12.34,-44.13,-106.87,-17.6,13.94,8.71,1.79,0.75,2.0,2026-07-17,69.32,0.01,0.06,75.84,15.05,-0.01,0.76,2026Q1,-0.87,-3.37,,-3,0.42,24.52,-2.0,34.06,9.7731,5.39,969.77,441.17,48.49,102.92,9.1,2.12,30.0,強放量,27.7,0.0,27.7,2.86,0.0,0,1,0,0,-14.0,0.0,,,,,,,0,,,,0.0,6.0,0,0,0.0,2.17,未取得,0.0,2.17,0.0,0.0,0.0,0.0,0.0,-3.83,2.17,2026-06,-6.86,-1.89,-16.69,,,,營收 2026-06，月增 -6.86%，年增 -1.89%，累計年增 -16.69%,外資買超；強放量；接近區間高點；毛利率連3降；營收 2026-06，月增 -6.86%，年增 -1.89%，累計年增 -16.69%,2.17
2026-07-24,8111,立碁,TPEX,光電業,,20,60.6,178.24,0.99,5.04,16.99,61.3,81.54,-2.26,37.41,1.336,10.0,252,-10.88,23.67,-58.53,-70.86,-27.94,37.41,3.03,-1.09,-7.69,-2.0,2026-07-17,25.31,-0.07,-0.29,35.98,53.69,-0.13,-1.43,2026Q1,30.78,0.55,9.67,2,0.34,178.24,3.9,7.43,54.9851,10.21,48601.0,20603.0,2430.05,7025.2,8.48,2.89,30.0,強放量,-1530.11,0.0,-1530.11,-3.15,0.0,0,2,0,0,-1193.71,0.0,,,,,,,0,,,,0.0,-12.82,-766,392,2.06,-10.35,未取得,0.0,-10.35,0.0,0.0,0.0,0.0,0.0,0.41,-10.35,2026-06,3.71,2.34,-2.86,,,,營收 2026-06，月增 3.71%，年增 2.34%，累計年增 -2.86%,融資下降；強放量；年線之下；波動偏高；毛利率連2升；營收 2026-06，月增 3.71%，年增 2.34%，累計年增 -2.86%,-10.35
2026-07-24,3669,圓展,TWSE,通信網路業,,20,40.7,22.36,2.46,1.17,21.49,67.24,56.84,0.0,26.79,0.136,18.0,252,3.3,20.24,-44.35,-74.3,-8.33,50.74,9.64,19.03,0.73,2.0,2026-07-17,54.68,0.0,0.0,59.6,32.99,-0.02,0.0,2026Q1,60.62,9.45,9.43,1,1.82,22.36,2.7,65.17,37.1869,9.45,7307.41,2735.03,365.37,1026.47,7.49,2.81,30.0,強放量,453.0,0.0,453.0,6.2,0.0,5,0,0,0,301.8,0.0,,,,,,,0,,,,0.0,23.36,162,15,-1.65,26.74,未取得,0.0,26.74,0.0,0.0,0.0,0.0,0.0,5.03,26.74,2026-06,20.36,2.95,12.84,,,,營收 2026-06，月增 20.36%，年增 2.95%，累計年增 12.84%,外資買超；融資增加；強放量；接近區間高點；營收 2026-06，月增 20.36%，年增 2.95%，累計年增 12.84%,26.74
2026-07-24,6461,益得,TPEX,生技醫療業,,20,17.4,,0.0,3.13,16.39,68.97,44.23,-0.29,17.97,0.034,18.0,252,-24.18,-11.0,-71.83,-105.53,-33.71,23.4,8.94,-2.65,-12.0,0.0,2026-07-17,54.52,0.57,0.58,63.13,24.15,-0.11,6.0,2026Q1,-240.05,-608.95,,1,-2.56,,-0.8,22.71,16.2286,7.22,4243.0,1534.0,212.15,381.6,7.23,1.8,30.0,強放量,38.0,0.0,38.0,0.9,0.0,2,0,0,0,25.0,0.0,,,,,,,0,,,,0.0,6.51,0,0,0.0,-3.49,未取得,0.0,-3.49,0.0,0.0,0.0,0.0,0.0,-10,-3.49,2026-06,-13.36,-91.26,-61.8,,,,營收 2026-06，月增 -13.36%，年增 -91.26%，累計年增 -61.8%,外資買超；強放量；接近區間高點；年線之下；千張大戶增持；營收 2026-06，月增 -13.36%，年增 -91.26%，累計年增 -61.8%,-3.49
2026-07-24,6730,常廣,TPEX,生技醫療業,,20,34.15,18.26,4.39,1.71,-8.93,28.22,31.92,-11.07,2.25,0.01,-3.86,146,-5.66,,-53.31,,-14.63,2.25,-7.71,,-4.17,1.5,2026-07-17,60.59,0.0,0.0,73.99,13.06,-0.0,0.0,2026Q1,47.97,17.03,13.79,-1,2.04,16.74,1.8,25.37,35.1565,-2.86,585.0,209.0,29.25,83.4,7.15,2.85,30.0,強放量,20.0,0.0,20.0,3.42,0.0,0,1,0,0,-4.0,0.0,,,,,,,0,,,,0.0,13.57,-1,0,0.17,15.1,未取得,0.0,15.1,0.0,0.0,0.0,0.0,0.0,1.36,15.1,2026-06,11.3,,,,,,營收 2026-06，月增 11.3%,外資買超；融資下降；強放量；營收 2026-06，月增 11.3%,15.1
2026-07-24,6780,學習王,ESB,文化創意業,,18,40.5,,,,,50.08,812.25,-2.41,,0.003,-3.0,26,,,,,,,,,0.0,0.0,2026-07-17,52.7,0.0,0.02,83.75,6.7,0.03,0.06,2025Q4,,,,0,,,0.0,14.24,40.1288,0.93,149.75,56.0,8.32,17.0,6.73,2.04,30.0,強放量,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,0.0,,,0.0,2.18,未取得,0.0,2.18,0.0,0.0,0.0,0.0,0.0,2.18,2.18,2026-06,112.01,-8.99,-6.24,,,,營收 2026-06，月增 112.01%，年增 -8.99%，累計年增 -6.24%,強放量；波動偏高；營收 2026-06，月增 112.01%，年增 -8.99%，累計年增 -6.24%,2.18
2026-07-24,4995,晶達,TPEX,光電業,,20,50.3,18.42,3.96,2.35,12.78,77.35,38.32,-4.19,14.32,0.045,3.67,252,21.5,1.0,-26.15,-93.53,-4.19,28.64,10.58,14.53,3.01,1.5,2026-07-17,51.66,0.11,0.35,66.77,21.59,0.17,1.93,2026Q1,33.13,12.74,12.45,-1,2.74,18.36,1.8,38.81,48.2508,4.25,1853.0,601.0,92.65,229.6,6.49,2.48,30.0,強放量,42.0,0.0,42.0,2.27,0.0,0,1,0,0,-56.0,0.0,,,,,,,0,,,,0.0,4.35,82,0,-3.54,11.9,未取得,0.0,11.9,0.0,0.0,0.0,0.0,0.0,11.09,11.9,2026-06,21.52,37.35,11.14,,,,營收 2026-06，月增 21.52%，年增 37.35%，累計年增 11.14%,外資買超；融資增加；強放量；RSI過熱；營收 2026-06，月增 21.52%，年增 37.35%，累計年增 11.14%,11.9
2026-07-24,6166,凌華,TWSE,電腦及週邊設備業,工業電腦,20,166.5,46.12,0.72,6.27,17.25,71.52,80.61,-4.31,49.33,3.92,10.0,252,161.79,146.3,114.15,51.77,-4.31,210.63,32.4,111.49,17.2,-3.5,2026-07-17,69.17,-0.08,-0.08,77.29,14.79,0.05,-0.88,2026Q1,37.55,12.12,9.95,1,3.61,46.12,2.7,84.93,146.8795,13.36,53377.94,16885.25,2668.9,5921.89,6.33,2.22,30.0,強放量,5629.87,0.0,5629.87,10.55,0.0,3,0,0,0,977.78,0.0,摩根大通,2018.0,,,,,0,元大-大里德芳,401.0,,4.16,30.44,-1035,208,2.17,44.41,已取得,24.96,69.37,15.82,4.54,-5.0,3.6,6.0,11.8,44.41,2026-06,4.71,25.89,41.08,10.55,3.78,,外資主導買超；前大買超分點約占成交 3.78%；收盤距區間均價 13.36%；連買：外3 / 投0；營收 2026-06，月增 4.71%，年增 25.89%，累計年增 41.08%,外資買超；融資下降；強放量；波動偏高；營收 2026-06，月增 4.71%，年增 25.89%，累計年增 41.08%,44.41
