latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-03,8917,欣泰,TPEX,油電燃氣業,,5,52.5,21.0,4.0,3.24,0.0,,,-0.19,0.57,0.005,5.0,212,-4.72,,-41.27,,-24.24,3.55,-0.36,,-4.07,1.5,2026-08-28,65.61,-0.19,-0.19,82.64,6.24,-0.02,-2.09,2026Q2,20.79,16.76,,2,2.5,21.0,0.9,24.89,-15.6,0.82,30.2,-0.17,0.0,0.0,0.0,0.0,,1,日均量 10 張偏低（門檻 500）,3.9,54.58,52.3673,0.25,49.0,44.0,9.8,9.8,4.49,1.0,21.0,強放量,9.0,0.0,9.0,18.37,0.0,1,0,0,0,5.0,0.0,,,,,,,0,,,,0.0,40.0,0,0,0.0,39.84,未取得,0.0,39.84,0.0,0.0,0.0,0.0,0.0,-0.16,39.84,2026-07,0.44,2.79,-4.44,,,,營收 2026-07，月增 0.44%，年增 2.79%，累計年增 -4.44%,外資買超；強放量；接近區間高點；毛利率連2升；營收 2026-07，月增 0.44%，年增 2.79%，累計年增 -4.44%,39.84
2026-09-03,6122,擎邦,TPEX,電機機械,,5,51.9,11.14,6.55,2.27,6.68,,,-0.95,8.92,0.254,9.01,252,-1.7,11.25,-38.26,-75.96,-18.91,23.13,6.51,5.83,0.23,6.0,2026-08-28,22.24,0.14,0.32,30.75,57.45,-0.4,2.58,2026Q2,13.69,10.35,8.58,-1,4.75,10.93,73.8,10.64,4.7,1.16,6.4,-0.88,0.0,0.0,0.0,0.0,,0,日均量 499 張偏低（門檻 500）,0.3,71.35,50.9731,1.82,2495.0,2005.0,499.0,499.0,4.02,1.0,21.0,強放量,588.33,-2.17,586.17,23.58,-0.09,3,0,1,0,479.88,1.45,,,,,,,0,,,,0.0,46.28,96,0,-3.08,42.73,未取得,0.0,42.73,0.0,0.0,0.0,0.0,0.0,-0.47,42.73,2026-07,-27.97,16.11,-2.28,,,,營收 2026-07，月增 -27.97%，年增 16.11%，累計年增 -2.28%,外資買超；融資增加；強放量；接近區間高點；營收 2026-07，月增 -27.97%，年增 16.11%，累計年增 -2.28%,42.73
2026-09-03,4924,欣厚-KY,TPEX,綠能環保,,5,10.9,13.63,0.0,1.02,6.34,,,0.0,10.1,0.007,8.8,252,5.31,-22.14,-31.24,-109.36,-27.81,17.97,-1.5,-5.26,-6.07,3.5,2026-08-28,50.84,0.0,0.0,70.86,18.63,0.12,0.0,2026Q1,28.8,4.01,5.58,3,0.72,15.14,6.1,27.24,-50.0,0.35,3400.0,4.69,0.0,0.0,0.0,0.0,,0,日均量 69 張偏低（門檻 500）,5.0,52.78,10.5694,3.13,346.0,276.0,69.2,69.2,3.99,1.0,21.0,強放量,82.0,0.0,82.0,23.7,0.0,1,0,0,0,67.0,0.0,,,,,,,0,,,,0.0,34.0,31,0,-6.4,31.05,未取得,0.0,31.05,0.0,0.0,0.0,0.0,0.0,3.45,31.05,2026-07,282.01,-15.16,8.63,,,,營收 2026-07，月增 282.01%，年增 -15.16%，累計年增 8.63%,外資買超；融資增加；強放量；接近區間高點；年線之下；毛利率連3升；營收 2026-07，月增 282.01%，年增 -15.16%，累計年增 8.63%,31.05
2026-09-03,2438,翔耀,TWSE,光電業,,5,22.05,,0.0,3.95,21.49,,,0.0,22.5,0.059,14.0,251,4.01,-15.36,-32.55,-102.57,-24.36,37.81,12.84,-0.1,-6.2,0.0,2026-08-28,49.52,0.0,0.0,58.54,30.14,-0.02,0.0,2026Q2,2.71,-37.95,-33.95,-2,-2.76,,,,,-0.62,,-26.98,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-7.4,36.1,21.1556,4.23,1398.5,1014.7,279.7,279.7,3.63,1.0,21.0,強放量,16.0,0.0,16.0,1.14,0.0,0,1,0,0,-65.0,0.0,,,,,,,0,,,,0.0,1.2,0,0,0.0,25.2,未取得,0.0,25.2,0.0,0.0,0.0,0.0,0.0,24,25.2,2026-07,246.76,185.57,62.32,,,,營收 2026-07，月增 246.76%，年增 185.57%，累計年增 62.32%,外資買超；強放量；接近區間高點；年線之下；毛利率連2降；營收 2026-07，月增 246.76%，年增 185.57%，累計年增 62.32%,25.2
2026-09-03,3564,其陽,TPEX,通信網路業,,5,52.9,146.94,0.51,2.26,18.74,,,0.0,21.05,0.27,14.0,252,19.82,-9.42,-16.74,-96.63,-15.9,34.78,12.84,11.73,3.97,-2.0,2026-08-28,59.98,0.0,0.0,59.98,33.44,0.07,0.0,2026Q2,25.97,4.09,2.64,2,0.36,146.94,83.3,64.87,126.5,0.36,20.0,-0.88,11.0,12.0,-1.0,0.0,0,0,單季 EPS 年增 20%、毛利率連 2 季升、月營收年增 80%、PE 146.9（一年 83% 分位）、距 52 週高點 -16%,3.9,35.95,50.6485,4.45,2663.0,1754.0,532.6,532.6,3.29,1.0,21.0,強放量,3.0,0.0,3.0,0.11,0.0,0,1,0,0,-27.0,0.0,,,,,,,0,,,,0.0,-1.68,232,11,-6.15,5.58,未取得,0.0,5.58,0.0,0.0,0.0,0.0,0.0,13.41,5.58,2026-07,-9.26,80.14,23.25,,,,營收 2026-07，月增 -9.26%，年增 80.14%，累計年增 23.25%,外資買超；融資增加；強放量；接近區間高點；毛利率連2升；營收 2026-07，月增 -9.26%，年增 80.14%，累計年增 23.25%,5.58
2026-09-03,3714,富采,TWSE,光電業,LED,5,61.5,,1.46,1.05,-1.76,,,-9.82,1.49,9.931,-1.06,252,40.89,64.0,4.34,-23.22,-29.39,100.98,3.52,26.13,8.61,2.0,2026-08-28,37.58,0.57,1.37,43.18,46.78,-0.4,6.0,2026Q2,10.85,-5.99,19.69,-1,-0.41,,,,,1.69,,8.55,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-1.7,50.9,64.5778,-4.77,76891.35,50253.67,15378.27,15378.27,3.27,1.0,21.0,強放量,3070.88,0.0,3070.88,3.99,0.0,3,0,0,0,976.03,0.0,,,,,,,0,,,,0.0,20.18,333,-43,-0.36,26.55,未取得,0.0,26.55,0.0,0.0,0.0,0.0,0.0,6.73,26.55,2026-07,11.91,24.92,5.07,,,,營收 2026-07，月增 11.91%，年增 24.92%，累計年增 5.07%,外資買超；融資增加；強放量；千張大戶增持；營收 2026-07，月增 11.91%，年增 24.92%，累計年增 5.07%,26.55
2026-09-03,4510,高鋒,TPEX,電機機械,,5,47.05,49.53,0.0,2.73,2.84,,,-2.18,7.42,1.359,1.7,252,9.93,-2.99,-26.62,-90.21,-16.87,42.58,11.26,7.89,1.8,-2.0,2026-08-28,29.65,-1.1,-0.98,36.28,57.14,0.51,-5.5,2026Q2,11.78,-11.58,25.08,-1,0.95,49.53,,,,1.06,,0.48,4.0,5.0,-1.0,0.0,0,0,毛利率連 1 季降、月營收年增 41%、PE 49.5、距 52 週高點 -17%,3.3,34.27,46.5855,1.0,14591.0,9457.0,2918.2,2918.2,3.24,1.0,21.0,強放量,318.14,0.0,318.14,2.18,0.0,0,1,0,0,-17.92,0.0,,,,,,,0,,,,0.0,10.11,6,103,0.39,24.47,未取得,0.0,24.47,0.0,0.0,0.0,0.0,0.0,13.97,24.47,2026-07,16.06,41.34,28.76,,,,營收 2026-07，月增 16.06%，年增 41.34%，累計年增 28.76%,外資買超；融資增加；強放量；千張大戶減持；營收 2026-07，月增 16.06%，年增 41.34%，累計年增 28.76%,24.47
2026-09-03,3168,眾福科,TWSE,光電業,,5,42.45,14.69,7.07,1.9,0.83,,,-1.51,2.78,0.007,5.5,250,3.16,-15.02,-33.4,-102.23,-18.83,9.83,-2.2,-2.93,-6.28,4.5,2026-08-28,66.9,0.08,0.08,75.44,15.46,0.0,0.88,2026Q2,23.08,8.56,6.12,1,2.88,14.74,6.8,16.51,-11.0,0.83,38.3,-0.78,0.0,0.0,0.0,0.0,,0,日均量 16 張偏低（門檻 500）,2.7,61.93,42.4939,-0.1,78.81,50.23,15.76,15.76,3.19,1.0,21.0,強放量,13.0,0.0,13.0,16.5,0.0,2,0,0,0,15.0,0.0,,,,,,,0,,,,0.0,42.0,9,0,-6.4,44.13,未取得,0.0,44.13,0.0,0.0,0.0,0.0,0.0,8.53,44.13,2026-07,-9.45,40.46,14.86,,,,營收 2026-07，月增 -9.45%，年增 40.46%，累計年增 14.86%,外資買超；融資增加；強放量；接近區間高點；年線之下；營收 2026-07，月增 -9.45%，年增 40.46%，累計年增 14.86%,44.13
2026-09-03,6161,捷波,TPEX,電腦及週邊設備業,,5,51.7,12.55,4.26,2.17,2.78,,,-2.45,4.87,0.065,1.67,252,22.37,27.34,-14.19,-59.88,-20.46,31.55,0.09,7.69,4.53,3.0,2026-08-28,35.28,0.0,0.0,41.21,48.83,0.1,0.0,2026Q2,34.97,15.44,21.47,-1,4.13,12.52,5.6,16.98,-26.1,1.73,198.3,5.03,0.0,0.0,0.0,0.0,,1,日均量 128 張偏低（門檻 500）,3.3,53.54,51.0695,1.23,640.0,391.0,128.0,128.0,3.05,1.0,21.0,強放量,22.12,0.0,22.12,3.46,0.0,3,0,0,0,71.0,0.0,,,,,,,0,,,,0.0,21.68,-30,0,4.69,30.54,未取得,0.0,30.54,0.0,0.0,0.0,0.0,0.0,4.17,30.54,2026-07,-21.06,12.17,28.15,,,,營收 2026-07，月增 -21.06%，年增 12.17%，累計年增 28.15%,外資買超；融資下降；強放量；營收 2026-07，月增 -21.06%，年增 12.17%，累計年增 28.15%,30.54
2026-09-03,8077,洛碁,TPEX,觀光餐旅,,5,43.8,6.46,4.57,1.82,1.39,,,-4.26,2.1,0.003,0.83,140,-5.6,,-42.16,,-22.2,11.73,-5.85,,-4.16,4.5,2026-08-28,76.8,0.0,0.0,82.07,9.48,-0.01,0.0,2026Q2,26.92,15.22,,-2,6.78,6.46,2.9,7.76,-16.8,1.31,23.6,1.27,0.0,0.0,0.0,0.0,,1,日均量 7 張偏低（門檻 500）,-0.9,25.51,44.6939,-2.0,33.0,20.0,6.6,6.6,3.03,1.0,21.0,強放量,1.0,0.0,1.0,3.03,0.0,0,0,0,0,0.0,0.0,,,,,,,0,,,,0.0,14.48,,,0.0,14.74,未取得,0.0,14.74,0.0,0.0,0.0,0.0,0.0,0.26,14.74,2026-07,-9.16,4.72,3.2,,,,營收 2026-07，月增 -9.16%，年增 4.72%，累計年增 3.2%,外資買超；強放量；毛利率連2降；營收 2026-07，月增 -9.16%，年增 4.72%，累計年增 3.2%,14.74
