latest_date,stock_id,name,market,close,1d_avg_price,close_vs_avg_pct,1d_volume_lot,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,chip_score
2026-04-17,2467,志聖,TWSE,550.0,545.6261,0.8,1069.14,133.78,492.0,625.78,12.51,46.02,1,0,1,0,133.78,492.0,67.5
2026-04-17,2303,聯電,TWSE,73.0,72.6592,0.47,497159.39,57658.15,41005.19,98663.34,11.6,8.25,1,0,1,0,57658.15,41005.19,63.12
2026-04-17,2454,聯發科,TWSE,1925.0,1924.519,0.02,16759.98,5340.3,1283.63,6623.92,31.86,7.66,1,0,1,0,5340.3,1283.63,61.65
2026-04-17,2377,微星,TWSE,91.9,91.5489,0.38,4776.85,790.61,363.58,1154.18,16.55,7.61,1,0,1,0,790.61,363.58,61.53
2026-04-17,6669,緯穎,TWSE,3805.0,3845.6233,-1.06,2838.82,430.63,188.44,619.07,15.17,6.64,1,0,1,0,430.63,188.44,59.09
2026-04-17,7751,竑騰,TPEX,1895.0,1869.5852,1.36,549.85,48.25,30.0,78.25,8.78,5.46,1,0,1,0,48.25,30.0,53.08
2026-04-17,3163,波若威,TPEX,1225.0,1220.3934,0.38,519.72,45.99,25.71,71.7,8.85,4.95,1,0,1,0,45.99,25.71,51.6
2026-04-17,6515,穎崴,TWSE,10305.0,10380.9569,-0.73,512.89,8.02,90.2,98.23,1.56,17.59,1,0,1,0,8.02,90.2,50.63
2026-04-17,6271,同欣電,TWSE,185.5,184.8422,0.36,8570.48,971.81,279.0,1250.81,11.34,3.26,1,0,1,0,971.81,279.0,50.31
2026-04-17,6531,愛普*,TWSE,644.0,630.7067,2.11,8284.09,888.02,275.0,1163.02,10.72,3.32,1,0,1,0,888.02,275.0,50.03
2026-04-17,6693,廣閎科,TPEX,143.5,142.356,0.8,1212.76,112.0,50.0,162.0,9.24,4.12,1,0,1,0,112.0,50.0,49.96
2026-04-17,4979,華星光,TPEX,644.0,636.5085,1.18,4446.79,1978.76,118.8,2097.55,44.5,2.67,1,0,1,0,1978.76,118.8,49.18
2026-04-17,6510,精測,TPEX,3740.0,3766.3341,-0.7,946.85,11.67,116.1,127.77,1.23,12.26,1,0,1,0,11.67,116.1,48.76
2026-04-17,3661,世芯-KY,TWSE,3515.0,3565.5487,-1.42,3107.47,219.53,159.98,379.51,7.06,5.15,1,0,1,0,219.53,159.98,47.27
2026-04-17,2820,華票,TWSE,17.2,17.2199,-0.12,1213.76,130.68,28.0,158.68,10.77,2.31,1,0,1,0,130.68,28.0,46.73
2026-04-17,3105,穩懋,TPEX,539.0,531.0545,1.5,29993.42,3834.4,444.7,4279.1,12.78,1.48,1,0,1,0,3834.4,444.7,45.62
2026-04-17,3264,欣銓,TPEX,172.0,173.002,-0.58,9874.09,2589.07,80.33,2669.39,26.22,0.81,1,0,1,0,2589.07,80.33,44.53
2026-04-17,3090,日電貿,TWSE,108.5,110.7776,-2.06,11660.86,1112.07,254.04,1366.11,9.54,2.18,1,0,1,0,1112.07,254.04,44.39
2026-04-17,7769,鴻勁,TWSE,4500.0,4445.2191,1.23,1896.44,562.32,13.99,576.31,29.65,0.74,1,0,1,0,562.32,13.99,44.34
2026-04-17,1227,佳格,TWSE,30.75,30.7723,-0.07,2399.71,394.27,15.0,409.27,16.43,0.63,1,0,1,0,394.27,15.0,44.06
2026-04-17,6679,鈺太,TPEX,276.0,272.0831,1.44,623.84,69.86,7.0,76.86,11.2,1.12,1,0,1,0,69.86,7.0,43.16
2026-04-17,4991,環宇-KY,TPEX,660.0,640.5855,3.03,999.84,226.03,25.0,251.03,22.61,2.5,1,0,1,0,226.03,25.0,42.75
2026-04-17,8070,長華*,TWSE,48.3,48.311,-0.02,6822.48,2100.55,5.93,2106.48,30.79,0.09,1,0,1,0,2100.55,5.93,42.72
2026-04-17,2376,技嘉,TWSE,281.5,281.5893,-0.03,10874.65,3092.05,5.73,3097.78,28.43,0.05,1,0,1,0,3092.05,5.73,42.63
2026-04-17,2059,川湖,TWSE,3640.0,3560.0807,2.24,1005.65,-7.92,176.04,168.12,-0.79,17.51,0,1,1,0,-7.92,176.04,41.93
2026-04-17,8996,高力,TWSE,1220.0,1172.9306,4.01,1479.47,309.25,28.0,337.25,20.9,1.89,1,0,1,0,309.25,28.0,41.23
2026-04-17,5439,高技,TPEX,401.5,400.711,0.2,8854.85,479.3,405.93,885.23,5.41,4.58,1,0,1,0,479.3,405.93,40.78
2026-04-17,3551,世禾,TPEX,198.0,196.3729,0.83,1285.48,144.15,4.0,148.15,11.21,0.31,1,0,1,0,144.15,4.0,40.5
2026-04-17,2345,智邦,TWSE,2070.0,2076.8267,-0.33,3419.13,124.99,204.43,329.42,3.66,5.98,1,0,1,0,124.99,204.43,40.47
2026-04-17,2486,一詮,TWSE,185.0,184.1807,0.44,1640.97,192.1,1.0,193.1,11.71,0.06,1,0,1,0,192.1,1.0,40.07
2026-04-17,1103,嘉泥,TWSE,14.0,13.9139,0.62,266.57,79.96,0.0,79.96,30.0,0.0,1,0,0,0,79.96,0.0,40.0
2026-04-17,1108,幸福,TWSE,14.9,14.8674,0.22,134.58,24.01,0.0,24.01,17.84,0.0,1,0,0,0,24.01,0.0,40.0
2026-04-17,1203,味王,TWSE,43.4,43.314,0.2,94.39,28.19,0.0,28.19,29.87,0.0,1,0,0,0,28.19,0.0,40.0
2026-04-17,1217,愛之味,TWSE,10.4,10.371,0.28,783.53,331.23,0.0,331.23,42.27,0.0,1,0,0,0,331.23,0.0,40.0
2026-04-17,1218,泰山,TWSE,19.05,19.0831,-0.17,1010.72,172.48,0.0,172.48,17.06,0.0,1,0,0,0,172.48,0.0,40.0
2026-04-17,1219,福壽,TWSE,14.3,14.1688,0.93,419.04,174.7,0.0,174.7,41.69,0.0,1,0,0,0,174.7,0.0,40.0
2026-04-17,1220,台榮,TWSE,12.8,12.7792,0.16,133.84,32.88,0.0,32.88,24.57,0.0,1,0,0,0,32.88,0.0,40.0
2026-04-17,1232,大統益,TWSE,150.0,149.8459,0.1,53.2,14.4,0.0,14.4,27.06,0.0,1,0,0,0,14.4,0.0,40.0
2026-04-17,1235,興泰,TWSE,45.2,45.1322,0.15,28.79,7.47,0.0,7.47,25.94,0.0,1,0,0,0,7.47,0.0,40.0
2026-04-17,1315,達新,TWSE,64.9,64.5897,0.48,25.51,11.25,0.0,11.25,44.09,0.0,1,0,0,0,11.25,0.0,40.0
2026-04-17,1339,昭輝,TWSE,41.0,40.8415,0.39,74.7,16.37,0.0,16.37,21.91,0.0,1,0,0,0,16.37,0.0,40.0
2026-04-17,1341,富林-KY,TWSE,60.3,60.2404,0.1,10.23,3.13,0.0,3.13,30.56,0.0,1,0,0,0,3.13,0.0,40.0
2026-04-17,1413,宏洲,TWSE,9.85,9.8164,0.34,18.46,12.5,0.0,12.5,67.7,0.0,1,0,0,0,12.5,0.0,40.0
2026-04-17,1418,東華,TWSE,18.75,18.7202,0.16,6.57,3.24,0.0,3.24,49.26,0.0,1,0,0,0,3.24,0.0,40.0
2026-04-17,1419,新紡,TWSE,64.0,63.9558,0.07,101.18,29.49,0.0,29.49,29.15,0.0,1,0,0,0,29.49,0.0,40.0
2026-04-17,1435,中福,TWSE,14.1,14.1919,-0.65,1.56,0.45,0.0,0.45,28.6,0.0,1,0,0,0,0.45,0.0,40.0
2026-04-17,1438,三地開發,TWSE,28.45,28.4461,0.01,28.55,15.42,0.0,15.42,53.99,0.0,1,0,0,0,15.42,0.0,40.0
2026-04-17,1439,雋揚,TWSE,27.55,27.5132,0.13,9.23,5.23,0.0,5.23,56.65,0.0,1,0,0,0,5.23,0.0,40.0
2026-04-17,1441,大東,TWSE,9.8,9.8566,-0.57,21.62,3.32,0.0,3.32,15.35,0.0,1,0,0,0,3.32,0.0,40.0
2026-04-17,1443,立益物流,TWSE,24.0,23.8385,0.68,86.74,19.67,0.0,19.67,22.68,0.0,1,0,0,0,19.67,0.0,40.0
2026-04-17,1452,宏益,TWSE,12.0,11.9737,0.22,94.16,16.65,0.0,16.65,17.69,0.0,1,0,0,0,16.65,0.0,40.0
2026-04-17,1463,強盛新,TWSE,18.0,17.9368,0.35,44.91,11.43,0.0,11.43,25.45,0.0,1,0,0,0,11.43,0.0,40.0
2026-04-17,1468,昶和,TWSE,12.1,11.8366,2.23,45.22,12.22,0.0,12.22,27.02,0.0,1,0,0,0,12.22,0.0,40.0
2026-04-17,1470,大統新創,TWSE,23.0,22.8936,0.46,26.31,9.31,0.0,9.31,35.39,0.0,1,0,0,0,9.31,0.0,40.0
2026-04-17,1472,三洋實業,TWSE,95.4,95.1881,0.22,7.08,2.07,0.0,2.07,29.28,0.0,1,0,0,0,2.07,0.0,40.0
2026-04-17,1512,瑞利,TWSE,7.45,7.4539,-0.05,86.42,13.0,0.0,13.0,15.04,0.0,1,0,0,0,13.0,0.0,40.0
2026-04-17,1521,大億,TWSE,25.35,25.3364,0.05,22.17,9.38,0.0,9.38,42.29,0.0,1,0,0,0,9.38,0.0,40.0
2026-04-17,1525,江申,TWSE,60.8,60.7869,0.02,27.32,8.25,0.0,8.25,30.19,0.0,1,0,0,0,8.25,0.0,40.0
2026-04-17,1527,鑽全,TWSE,33.0,32.9279,0.22,119.45,24.68,0.0,24.68,20.66,0.0,1,0,0,0,24.68,0.0,40.0
2026-04-17,1529,樂事綠能,TWSE,24.15,24.0894,0.25,955.56,201.38,0.0,201.38,21.08,0.0,1,0,0,0,201.38,0.0,40.0
2026-04-17,1530,亞崴,TWSE,28.35,28.1374,0.76,49.68,8.48,0.0,8.48,17.07,0.0,1,0,0,0,8.48,0.0,40.0
2026-04-17,1536,和大,TWSE,51.3,51.032,0.53,846.98,171.39,0.0,171.39,20.24,0.0,1,0,0,0,171.39,0.0,40.0
2026-04-17,1537,廣隆,TWSE,125.0,124.8915,0.09,91.37,45.41,0.0,45.41,49.69,0.0,1,0,0,0,45.41,0.0,40.0
2026-04-17,1541,錩泰,TWSE,25.2,25.1889,0.04,19.03,3.39,0.0,3.39,17.83,0.0,1,0,0,0,3.39,0.0,40.0
2026-04-17,1568,倉佑,TWSE,25.35,25.5265,-0.69,212.6,34.51,0.0,34.51,16.23,0.0,1,0,0,0,34.51,0.0,40.0
2026-04-17,1583,程泰,TWSE,48.2,47.9656,0.49,22.67,5.55,0.0,5.55,24.48,0.0,1,0,0,0,5.55,0.0,40.0
2026-04-17,1598,岱宇,TWSE,20.65,20.6393,0.05,539.6,148.88,0.0,148.88,27.59,0.0,1,0,0,0,148.88,0.0,40.0
2026-04-17,1599,宏佳騰,TPEX,25.4,25.4007,-0.0,28.52,7.0,0.0,7.0,24.55,0.0,1,0,0,0,7.0,0.0,40.0
2026-04-17,1614,三洋電,TWSE,32.3,32.327,-0.08,45.41,20.26,0.0,20.26,44.61,0.0,1,0,0,0,20.26,0.0,40.0
2026-04-17,1709,和益,TWSE,18.95,19.0568,-0.56,796.27,197.38,0.0,197.38,24.79,0.0,1,0,0,0,197.38,0.0,40.0
2026-04-17,1711,永光,TWSE,47.95,47.0543,1.9,73476.39,13001.4,0.0,13001.4,17.69,0.0,1,0,0,0,13001.4,0.0,40.0
2026-04-17,1717,長興,TWSE,81.0,79.5021,1.88,84708.4,13217.7,0.0,13217.7,15.6,0.0,1,0,0,0,13217.7,0.0,40.0
2026-04-17,1721,三晃,TWSE,20.5,20.243,1.27,9766.19,1919.0,0.0,1919.0,19.65,0.0,1,0,0,0,1919.0,0.0,40.0
2026-04-17,1725,元禎,TWSE,31.0,31.1589,-0.51,176.3,33.91,0.0,33.91,19.23,0.0,1,0,0,0,33.91,0.0,40.0
2026-04-17,1726,永記,TWSE,76.5,76.4941,0.01,26.05,16.1,0.0,16.1,61.8,0.0,1,0,0,0,16.1,0.0,40.0
2026-04-17,1730,花仙子,TWSE,52.8,52.726,0.14,23.57,4.16,0.0,4.16,17.63,0.0,1,0,0,0,4.16,0.0,40.0
