stock_id,name,market,close,20d_avg_price,20d_foreign_net_lot,20d_trust_net_lot,20d_dealer_net_lot,20d_volume_lot,latest_foreign_net_lot,latest_trust_net_lot
2618,長榮航,TWSE,42.1,42.318,298784.55,14736.47,1474.97,1133040.34,11958.09,-3150.03
2883,凱基金,TWSE,30.45,29.6032,209170.76,-12660.71,29200.44,1349738.77,37650.85,1284.15
2882,國泰金,TWSE,96.8,98.2308,152166.88,-77021.49,1127.62,804967.47,9647.96,-2762.34
2353,宏碁,TWSE,30.55,31.9587,122796.3,-72574.59,5493.62,674508.06,8454.28,-3773.09
5880,合庫金,TWSE,25.55,25.0938,117587.52,710.59,7516.55,397066.41,-2809.97,-60.74
2105,正新,TWSE,31.25,31.9149,94488.58,-12362.53,3509.1,282985.9,-1093.19,-2523.34
2610,華航,TWSE,21.35,22.4781,92656.68,43248.49,6307.09,1210044.09,-2089.21,1854.23
2812,台中銀,TWSE,20.45,20.3203,88408.46,2672.52,7.19,304861.53,2606.09,-21.53
2881,富邦金,TWSE,127.0,126.1129,85550.17,-47806.22,4607.32,666378.59,5784.35,124.64
6505,台塑化,TWSE,85.1,74.1708,81353.01,10836.23,3444.6,865673.8,4288.74,-1628.84
2303,聯電,TWSE,139.0,160.3761,78745.19,-312279.02,-15601.65,3911092.26,-6005.98,-1113.43
1301,台塑,TWSE,63.5,60.2469,73763.31,615.7,2361.72,1623721.2,10118.1,330.0
2867,三商壽,TWSE,9.28,8.8026,71827.61,0.0,12459.48,333410.5,-620.58,0.0
2884,玉山金,TWSE,36.05,34.793,70450.98,85300.6,25198.51,1104396.48,2035.88,-233.29
2603,長榮,TWSE,206.0,191.8254,70095.25,-9362.17,-4011.1,293182.36,6917.52,-1035.33
4938,和碩,TWSE,84.4,83.3571,63251.42,-38273.22,5771.81,281484.11,9484.7,-2325.64
2324,仁寶,TWSE,36.2,35.896,44803.09,-67385.53,7890.81,1046507.07,7039.6,22.62
2834,臺企銀,TWSE,18.1,17.9019,43331.08,-486.47,-3118.87,707605.27,2692.93,-31.46
2615,萬海,TWSE,85.1,81.0391,38838.26,-347.41,-93.15,195855.05,4683.85,12.45
3576,聯合再生,TWSE,19.45,18.0213,36106.88,0.0,-74.16,458865.59,7621.74,0.0
1314,中石化,TWSE,8.42,9.418,34015.24,0.0,55.7,2132377.32,-6855.45,0.0
2891,中信金,TWSE,64.0,67.1989,31659.82,17731.96,17498.19,1129688.01,1864.16,-2158.4
3045,台灣大,TWSE,112.5,113.5938,31615.95,25451.26,3408.65,357316.8,4271.58,-2035.02
9907,統一實,TWSE,15.15,15.2136,28440.41,-19849.01,-439.0,98518.0,-308.0,-729.67
6239,力成,TWSE,294.0,319.9984,26448.38,-19077.6,-5978.71,490205.42,1769.12,907.2
2006,東和鋼鐵,TWSE,71.1,70.0661,24998.09,-11481.1,-142.44,74531.02,916.09,-4.04
6147,頎邦,TPEX,190.0,208.0001,22986.58,-28034.09,-6612.65,604099.0,-1198.46,-684.0
2889,國票金,TWSE,15.7,15.4645,20034.42,1904.0,269.13,166040.55,-2409.31,-8.0
6176,瑞儀,TWSE,87.4,88.616,19644.0,-18436.47,-81.8,116791.12,1262.7,3.53
2377,微星,TWSE,155.0,143.8408,19580.44,43358.05,2944.76,361534.87,10420.8,691.38
2385,群光,TWSE,106.5,105.5348,19427.91,-19071.04,488.01,105475.37,2334.35,-1042.0
3005,神基,TWSE,114.5,108.7571,19335.93,-11076.79,758.49,139359.33,1148.84,-9.69
2357,華碩,TWSE,757.0,700.428,19229.78,-4289.67,76.5,107972.44,2663.82,-614.14
8033,雷虎,TWSE,196.5,198.1237,19192.63,311.0,-55.71,282747.08,2206.58,77.0
5483,中美晶,TPEX,234.0,219.8925,19186.73,23376.08,-120.77,731720.0,3341.52,279.24
3036,文曄,TWSE,197.5,207.5443,18998.9,-35534.15,-284.98,178635.73,-1066.83,-289.69
2606,裕民,TWSE,64.1,62.08,16928.41,-5200.0,-150.89,70557.34,2670.86,-689.0
5876,上海商銀,TWSE,45.0,43.6605,15547.91,37680.0,12904.31,278181.95,4421.56,-1787.0
3090,日電貿,TWSE,183.0,243.6233,15526.29,-12604.23,-217.38,94583.56,518.0,29.0
1909,榮成,TWSE,10.1,10.3296,15374.07,0.0,103.0,99277.38,215.5,0.0
3605,宏致,TWSE,92.8,87.7674,14577.04,0.0,447.1,202391.26,4706.39,0.0
2646,星宇航空,TWSE,21.4,21.458,14400.1,1774.0,94.74,130104.75,-3331.97,23.0
2368,金像電,TWSE,940.0,1115.6507,14017.89,-12716.8,-712.21,110474.6,547.68,-2084.14
2637,慧洋-KY,TWSE,83.6,79.2593,13527.88,2000.31,-139.72,64346.81,1000.65,477.87
2836,高雄銀,TWSE,12.8,12.5678,12604.57,-17.0,232.98,79646.43,-46.87,0.0
2485,兆赫,TWSE,42.3,51.1498,12382.22,-397.0,-536.44,131213.31,309.42,-89.0
3034,聯詠,TWSE,501.0,508.3801,11988.28,299.81,-752.82,124759.75,2812.61,-672.0
2301,光寶科,TWSE,218.0,215.2738,11722.24,-22071.57,4323.23,437855.28,6721.49,22.08
2367,燿華,TWSE,45.3,51.7078,11090.86,0.0,79.82,239268.57,630.18,0.0
5388,中磊,TWSE,87.2,84.2931,10876.1,-1866.08,804.67,89409.19,1709.87,-2.67
