stock_id,name,close,5d_avg_price,5d_foreign_net_lot,5d_trust_net_lot,5d_dealer_net_lot,5d_volume_lot,latest_foreign_net_lot,latest_trust_net_lot
1301,台塑,53.4,52.5819,147676.17,1003.66,515.78,324668.75,662.56,450.97
1802,台玻,74.2,69.0379,129607.66,18.0,1412.14,1281632.92,26413.02,0.0
1303,南亞,87.7,88.4024,112271.66,-22165.09,87.05,562503.64,-9772.4,-10879.8
1326,台化,51.0,51.4016,96902.6,-7088.0,1820.2,353198.42,-5036.36,17.0
2303,聯電,73.0,67.846,71782.84,49967.8,4505.78,1121599.34,57658.15,41005.19
2002,中鋼,20.1,20.1608,70966.2,-1899.94,123.43,192751.43,8304.59,-210.74
2324,仁寶,30.35,29.9249,51160.81,-42120.39,1745.67,263539.88,38011.51,-17887.35
2356,英業達,45.75,45.0494,43893.58,-17134.94,978.2,113231.44,14769.11,-5784.69
2327,國巨*,316.5,315.2072,42066.03,8526.1,4438.16,365014.83,-3639.89,27.39
3481,群創,25.9,27.2882,37457.89,-792.07,-3658.74,1998369.79,-111107.21,-1206.06
2890,永豐金,32.7,33.0455,37430.96,-15540.82,-3015.31,96248.27,44.45,-4601.7
6116,彩晶,8.95,9.0566,33173.39,0.0,1897.06,160857.93,-7314.4,0.0
2885,元大金,50.2,49.7496,31906.14,-25913.36,-651.35,129516.34,2625.65,-2488.65
2834,臺企銀,16.3,15.8644,30991.85,-164.0,41.14,195183.87,5235.85,-85.0
3702,大聯大,98.8,97.8748,28002.87,-24518.16,-1534.44,132747.67,4935.66,-6027.16
2867,三商壽,7.87,7.8513,27938.44,0.0,63.34,59864.2,1264.44,0.0
2353,宏碁,28.7,28.0769,27930.21,-1503.79,902.18,138496.0,9284.25,-589.78
3045,台灣大,112.5,110.4156,26885.44,-2438.3,-935.69,48585.83,9525.0,-1006.02
2884,玉山金,32.75,32.6481,25123.96,-12631.93,-1525.15,146601.01,82.25,-6025.81
2880,華南金,36.15,35.5191,24401.9,-8249.15,-2482.83,89008.94,4007.99,-3145.28
