date,stock_id,name,market,observed_days,close,avg_price,volume_lot,foreign_net_lot,trust_net_lot,dealer_net_lot
2026-07-23,2324,仁寶,TWSE,,36.75,37.1123,57790.24,11036.86,94.69,954.31
2026-07-24,2324,仁寶,TWSE,,37.2,36.9217,43851.84,7427.44,146.14,54.35
2026-07-27,2324,仁寶,TWSE,,37.15,36.6627,40216.06,-2106.82,50.35,-658.03
2026-07-28,2324,仁寶,TWSE,,34.7,35.0644,46332.72,-2757.28,82.0,-751.49
2026-07-29,2324,仁寶,TWSE,,34.85,35.1418,82704.42,5295.45,154.1,577.89
2026-07-30,2324,仁寶,TWSE,,33.75,33.8565,62497.78,-8647.11,45.88,-253.17
2026-07-31,2324,仁寶,TWSE,,36.0,35.9023,76506.34,21202.38,222.0,696.79
2026-08-03,2324,仁寶,TWSE,,36.35,35.951,44224.58,9901.84,1061.56,231.51
2026-08-04,2324,仁寶,TWSE,,37.0,36.8718,43359.01,13719.7,417.0,73.45
2026-08-05,2324,仁寶,TWSE,,36.95,37.3821,48333.03,12931.62,-1.96,180.21
2026-08-06,2324,仁寶,TWSE,,37.3,36.9369,29594.07,2157.44,-42.0,-406.6
2026-08-07,2324,仁寶,TWSE,,36.55,36.6718,30472.6,-2764.99,-13.0,-303.73
2026-08-10,2324,仁寶,TWSE,,36.3,36.3783,29167.35,-3237.28,-9.1,-419.98
2026-08-11,2324,仁寶,TWSE,,36.3,36.0544,25357.34,-154.64,-22.95,11.07
2026-08-12,2324,仁寶,TWSE,,39.9,39.1031,171747.29,51024.49,60.92,3903.69
2026-08-13,2324,仁寶,TWSE,,39.3,40.4526,211415.76,12612.71,-42.91,3366.24
2026-08-14,2324,仁寶,TWSE,,43.2,43.031,402245.12,47849.8,-46.92,3909.02
2026-08-17,2324,仁寶,TWSE,,41.65,42.5989,263419.04,10763.82,-24.12,196.6
2026-08-18,2324,仁寶,TWSE,,40.6,41.1222,138341.1,5994.17,-78.92,-1989.89
2026-08-19,2324,仁寶,TWSE,,39.3,38.7498,92963.81,-20436.25,-90.0,1352.92
2026-07-23,2376,技嘉,TWSE,,354.5,350.5117,7441.43,-957.22,911.53,197.51
2026-07-24,2376,技嘉,TWSE,,354.5,353.3124,7613.42,-1089.5,213.0,134.33
2026-07-27,2376,技嘉,TWSE,,349.5,344.8779,6567.62,-1642.71,650.09,122.01
2026-07-28,2376,技嘉,TWSE,,327.0,330.91,9088.74,1054.46,-1761.0,-304.3
2026-07-29,2376,技嘉,TWSE,,321.5,323.6213,7550.65,-469.69,313.25,-67.95
2026-07-30,2376,技嘉,TWSE,,318.5,318.3261,5338.51,-213.03,228.91,54.66
2026-07-31,2376,技嘉,TWSE,,336.5,334.4985,8320.26,-1014.96,379.0,-51.08
2026-08-03,2376,技嘉,TWSE,,324.5,324.0354,10891.02,4572.18,-234.19,-1310.83
2026-08-04,2376,技嘉,TWSE,,332.0,332.3075,10157.49,5591.55,-97.0,-1112.66
2026-08-05,2376,技嘉,TWSE,,342.0,342.057,10360.28,4976.01,31.85,-44.08
2026-08-06,2376,技嘉,TWSE,,344.0,343.4136,7489.76,1907.0,-234.0,18.75
2026-08-07,2376,技嘉,TWSE,,344.0,345.4889,5232.86,133.76,-167.0,-80.52
2026-08-10,2376,技嘉,TWSE,,349.5,347.4465,6544.56,2371.2,-1231.16,278.39
2026-08-11,2376,技嘉,TWSE,,350.5,350.0585,4100.43,1050.71,-13.96,-123.6
2026-08-12,2376,技嘉,TWSE,,375.5,373.1221,17992.45,4224.01,205.76,354.05
2026-08-13,2376,技嘉,TWSE,,393.5,388.5857,18530.24,6831.79,90.09,242.69
2026-08-14,2376,技嘉,TWSE,,397.5,394.6232,14334.53,5115.64,-4.3,47.58
2026-08-17,2376,技嘉,TWSE,,358.0,363.9765,22954.92,-7887.59,75.61,-183.34
2026-08-18,2376,技嘉,TWSE,,348.0,351.526,13207.72,-2233.93,430.7,-274.65
2026-08-19,2376,技嘉,TWSE,,348.5,347.2762,6754.19,-1993.24,497.0,236.63
2026-07-23,2382,廣達,TWSE,,336.0,333.0906,24000.08,-1499.57,483.11,511.91
2026-07-24,2382,廣達,TWSE,,328.0,327.9264,11901.56,-1388.78,60.6,-381.67
2026-07-27,2382,廣達,TWSE,,322.0,319.357,19764.19,-3270.47,2551.44,433.38
2026-07-28,2382,廣達,TWSE,,313.5,311.3734,20455.77,2487.99,1397.48,367.26
2026-07-29,2382,廣達,TWSE,,309.5,311.6853,28018.75,519.44,371.8,-872.98
2026-07-30,2382,廣達,TWSE,,279.0,282.6135,60476.78,-27311.04,227.63,552.09
2026-07-31,2382,廣達,TWSE,,291.5,291.4085,49270.09,-4083.39,840.37,131.33
2026-08-03,2382,廣達,TWSE,,296.5,295.1423,29365.63,2009.89,-234.97,-45.99
2026-08-04,2382,廣達,TWSE,,300.5,300.6535,24772.41,-2549.18,-682.0,-431.96
2026-08-05,2382,廣達,TWSE,,304.0,306.0914,19176.09,-3355.63,-10.06,-850.94
2026-08-06,2382,廣達,TWSE,,302.0,302.6678,13734.72,-1536.66,-349.0,94.55
2026-08-07,2382,廣達,TWSE,,298.0,298.5394,17516.96,-6303.27,79.33,-378.57
2026-08-10,2382,廣達,TWSE,,313.5,309.0751,22764.13,2326.8,322.64,447.05
2026-08-11,2382,廣達,TWSE,,315.5,313.4764,15798.1,-1441.58,205.22,-70.76
